session,bill_no,title,sponsor,relevance,status,last_location,effective_date,chapter,n_rollcalls,n_recorded,bill_url,text_url,enrolled_url
2016GS,HB0031,Enterprise Zone Amendments,"Rep. Sandall, S.",zoning,Governor Signed,Lieutenant Governor's office for filing,1 Mar 2016,011,3,3,https://le.utah.gov/~2016/bills/static/HB0031.html,https://le.utah.gov/~2016/bills/hbillint/HB0031.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0031.htm
2016GS,HB0032,Subdivision Base Parcel Tax Amendments,"Rep. Webb, R. C.",subdivision,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,368,5,3,https://le.utah.gov/~2016/bills/static/HB0032.html,https://le.utah.gov/~2016/bills/hbillint/HB0032.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0032.htm
2016GS,HB0121,Building Code Amendments,"Rep. Edwards, R.",building,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2016/bills/static/HB0121.html,https://le.utah.gov/~2016/bills/hbillint/HB0121.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0121.htm
2016GS,HB0224,Impact Fees Revisions,"Rep. Ray, P.",impact_fee,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2016/bills/static/HB0224.html,https://le.utah.gov/~2016/bills/hbillint/HB0224.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0224.htm
2016GS,HB0316,Building Code Review and Adoption Amendments,"Rep. Wilson, B.",building,Governor Signed,Lieutenant Governor's office for filing,1 Jul 2016,249,15,4,https://le.utah.gov/~2016/bills/static/HB0316.html,https://le.utah.gov/~2016/bills/hbillint/HB0316.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0316.htm
2016GS,HB0320,Metro Township Revisions,"Rep. Christensen, L.",incorporation,Governor Signed,Lieutenant Governor's office for filing,10 Mar 2016,014,3,3,https://le.utah.gov/~2016/bills/static/HB0320.html,https://le.utah.gov/~2016/bills/hbillint/HB0320.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0320.htm
2016GS,HB0328,Housing and Homeless Amendments,"Rep. Chavez-Houck, R.",housing,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,157,2,2,https://le.utah.gov/~2016/bills/static/HB0328.html,https://le.utah.gov/~2016/bills/hbillint/HB0328.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0328.htm
2016GS,HB0346,Urban Redevelopment Tax Credit,"Rep. Handy, S.",development,House/ filed,House file for bills not passed,,,1,0,https://le.utah.gov/~2016/bills/static/HB0346.html,https://le.utah.gov/~2016/bills/hbillint/HB0346.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0346.htm
2016GS,HB0359,Political Subdivision Ethics Commission Amendments,"Rep. Draxler, J.",subdivision,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,160,2,2,https://le.utah.gov/~2016/bills/static/HB0359.html,https://le.utah.gov/~2016/bills/hbillint/HB0359.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0359.htm
2016GS,HB0360,Land Use Amendments,"Rep. Brown, M.",land_use,House/ filed,House file for bills not passed,,,1,1,https://le.utah.gov/~2016/bills/static/HB0360.html,https://le.utah.gov/~2016/bills/hbillint/HB0360.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0360.htm
2016GS,HB0363,Grazing Zone Amendments,"Rep. Noel, M.",zoning,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,121,2,2,https://le.utah.gov/~2016/bills/static/HB0363.html,https://le.utah.gov/~2016/bills/hbillint/HB0363.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0363.htm
2016GS,HB0368,Short-term Rental Tax Amendments,"Rep. Pitcher, D.",housing,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2016/bills/static/HB0368.html,https://le.utah.gov/~2016/bills/hbillint/HB0368.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0368.htm
2016GS,HB0409,Short-term Rental Amendments,"Rep. Knotwell, J.",housing,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2016/bills/static/HB0409.html,https://le.utah.gov/~2016/bills/hbillint/HB0409.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0409.htm
2016GS,HB0414,Zoning Amendments,"Rep. Christensen, L.",zoning,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2016/bills/static/HB0414.html,https://le.utah.gov/~2016/bills/hbillint/HB0414.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0414.htm
2016GS,HB0431,Affordable Housing Revisions,"Rep. Edwards, R.",housing,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,387,2,2,https://le.utah.gov/~2016/bills/static/HB0431.html,https://le.utah.gov/~2016/bills/hbillint/HB0431.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0431.htm
2016GS,HB0436,Housing and Homeless Reform Initiative,"Rep. Gibson, F.",housing,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,278,7,3,https://le.utah.gov/~2016/bills/static/HB0436.html,https://le.utah.gov/~2016/bills/hbillint/HB0436.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0436.htm
2016GS,HB0446,Statewide Homeless Services and Affordable Housing Amendments,"Rep. Eliason, S.",housing,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2016/bills/static/HB0446.html,https://le.utah.gov/~2016/bills/hbillint/HB0446.htm,https://le.utah.gov/~2016/bills/hbillenr/HB0446.htm
2016GS,SB0024,Utah Housing Corporation Sunset Extension,"Sen. Weiler, T.",housing,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,065,3,3,https://le.utah.gov/~2016/bills/static/SB0024.html,https://le.utah.gov/~2016/bills/sbillint/SB0024.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0024.htm
2016GS,SB0044,Construction Code Amendments,"Sen. Dayton, M.",building,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,286,9,4,https://le.utah.gov/~2016/bills/static/SB0044.html,https://le.utah.gov/~2016/bills/sbillint/SB0044.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0044.htm
2016GS,SB0060,Low-income Housing Tax Credit Allocation Amendments,"Sen. Weiler, T.",housing,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,289,5,3,https://le.utah.gov/~2016/bills/static/SB0060.html,https://le.utah.gov/~2016/bills/sbillint/SB0060.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0060.htm
2016GS,SB0099,Transparency for Political Subdivisions,"Sen. Henderson, D.",subdivision,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,233,5,4,https://le.utah.gov/~2016/bills/static/SB0099.html,https://le.utah.gov/~2016/bills/sbillint/SB0099.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0099.htm
2016GS,SB0150,Metro Township Amendments,"Sen. Mayne, K.",incorporation,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,176,6,3,https://le.utah.gov/~2016/bills/static/SB0150.html,https://le.utah.gov/~2016/bills/sbillint/SB0150.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0150.htm
2016GS,SB0151,Community Development and Renewal Agencies Act Revisions,"Sen. Harper, W.",development,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,350,7,4,https://le.utah.gov/~2016/bills/static/SB0151.html,https://le.utah.gov/~2016/bills/sbillint/SB0151.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0151.htm
2016GS,SB0169,Olene Walker Housing Loan Fund Amendments,"Sen. Weiler, T.",housing,Governor Signed,Lieutenant Governor's office for filing,21 Mar 2016,131,10,5,https://le.utah.gov/~2016/bills/static/SB0169.html,https://le.utah.gov/~2016/bills/sbillint/SB0169.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0169.htm
2016GS,SB0175,Fair Housing Act Option Amendments,"Sen. Dayton, M.",housing,Senate/ filed,Senate file for bills not passed,,,3,0,https://le.utah.gov/~2016/bills/static/SB0175.html,https://le.utah.gov/~2016/bills/sbillint/SB0175.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0175.htm
2016GS,SB0219,Fair Housing Act Amendments,"Sen. Weiler, T.",housing,Governor Signed,Lieutenant Governor's office for filing,10 May 2016,244,2,2,https://le.utah.gov/~2016/bills/static/SB0219.html,https://le.utah.gov/~2016/bills/sbillint/SB0219.htm,https://le.utah.gov/~2016/bills/sbillenr/SB0219.htm
2017GS,HB0036,Affordable Housing Amendments,"Rep. Edwards, R.",housing,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,279,15,8,https://le.utah.gov/~2017/bills/static/HB0036.html,https://le.utah.gov/~2017/bills/hbillint/HB0036.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0036.htm
2017GS,HB0037,State Construction Code Amendments,"Rep. Schultz, M.",building,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,236,6,6,https://le.utah.gov/~2017/bills/static/HB0037.html,https://le.utah.gov/~2017/bills/hbillint/HB0037.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0037.htm
2017GS,HB0089,Impact Fee Reporting Requirements,"Rep. Knotwell, J.",impact_fee,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,394,7,5,https://le.utah.gov/~2017/bills/static/HB0089.html,https://le.utah.gov/~2017/bills/hbillint/HB0089.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0089.htm
2017GS,HB0120,University Student Housing Construction Oversight,"Rep. Westwood, J.",housing,House/ filed,House file for bills not passed,,,2,1,https://le.utah.gov/~2017/bills/static/HB0120.html,https://le.utah.gov/~2017/bills/hbillint/HB0120.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0120.htm
2017GS,HB0232,Land Use Amendments,"Rep. Schultz, M.",land_use,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,084,5,5,https://le.utah.gov/~2017/bills/static/HB0232.html,https://le.utah.gov/~2017/bills/hbillint/HB0232.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0232.htm
2017GS,HB0243,Common Area Land Use Amendments,"Rep. Webb, R. C.",land_use,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,405,8,5,https://le.utah.gov/~2017/bills/static/HB0243.html,https://le.utah.gov/~2017/bills/hbillint/HB0243.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0243.htm
2017GS,HB0253,Short-term Rental Amendments,"Rep. Knotwell, J.",housing,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,335,13,6,https://le.utah.gov/~2017/bills/static/HB0253.html,https://le.utah.gov/~2017/bills/hbillint/HB0253.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0253.htm
2017GS,HB0270,Inmate Housing Amendments,"Rep. Peterson, J.",housing,House/ filed,House file for bills not passed,,,1,1,https://le.utah.gov/~2017/bills/static/HB0270.html,https://le.utah.gov/~2017/bills/hbillint/HB0270.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0270.htm
2017GS,HB0279,Impact Fee Amendments,"Rep. Brooks, W.",impact_fee,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,190,6,5,https://le.utah.gov/~2017/bills/static/HB0279.html,https://le.utah.gov/~2017/bills/hbillint/HB0279.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0279.htm
2017GS,HB0290,Community Reinvestment Agency Amendments,"Rep. Handy, S.",development,House/ filed,House file for bills not passed,,,3,3,https://le.utah.gov/~2017/bills/static/HB0290.html,https://le.utah.gov/~2017/bills/hbillint/HB0290.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0290.htm
2017GS,HB0312,Housing Pilot Program for Low-income Students,"Rep. Winder, M.",housing,House/ filed,House file for bills not passed,,,4,4,https://le.utah.gov/~2017/bills/static/HB0312.html,https://le.utah.gov/~2017/bills/hbillint/HB0312.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0312.htm
2017GS,HB0318,Recycling Market Development Zone Amendments,"Rep. Peterson, J.",zoning,House/ filed,House file for bills not passed,,,4,4,https://le.utah.gov/~2017/bills/static/HB0318.html,https://le.utah.gov/~2017/bills/hbillint/HB0318.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0318.htm
2017GS,HB0339,Economic Development and Low Income Housing Amendments,"Rep. Coleman, K.",housing,House/ filed,House file for bills not passed,,,1,1,https://le.utah.gov/~2017/bills/static/HB0339.html,https://le.utah.gov/~2017/bills/hbillint/HB0339.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0339.htm
2017GS,HB0365,Homeless Resource Center Zone Amendments,"Rep. Briscoe, J.",zoning,House/ filed,House file for bills not passed,,,6,4,https://le.utah.gov/~2017/bills/static/HB0365.html,https://le.utah.gov/~2017/bills/hbillint/HB0365.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0365.htm
2017GS,HB0415,Incorporation Filing Amendments,"Rep. Westwood, J.",incorporation,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,452,5,4,https://le.utah.gov/~2017/bills/static/HB0415.html,https://le.utah.gov/~2017/bills/hbillint/HB0415.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0415.htm
2017GS,HB0424,Community Reinvestment Agency Revisions,"Rep. Coleman, K.",development,House/ filed,House file for bills not passed,,,2,2,https://le.utah.gov/~2017/bills/static/HB0424.html,https://le.utah.gov/~2017/bills/hbillint/HB0424.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0424.htm
2017GS,HB0427,Agriculture Commodity Zone Amendments,"Rep. Stratton, K.",zoning,House/ filed,House file for bills not passed,,,3,3,https://le.utah.gov/~2017/bills/static/HB0427.html,https://le.utah.gov/~2017/bills/hbillint/HB0427.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0427.htm
2017GS,HB0441,Housing and Homeless Reform Initiative Amendments,"Rep. Gibson, F.",housing,Governor Signed,Lieutenant Governor's office for filing,15 Mar 2017,021,8,5,https://le.utah.gov/~2017/bills/static/HB0441.html,https://le.utah.gov/~2017/bills/hbillint/HB0441.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0441.htm
2017GS,HB0448,Community Reinvestment Amendments,"Rep. Peterson, J.",development,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,456,3,3,https://le.utah.gov/~2017/bills/static/HB0448.html,https://le.utah.gov/~2017/bills/hbillint/HB0448.htm,https://le.utah.gov/~2017/bills/hbillenr/HB0448.htm
2017GS,SB0088,Medicaid Housing Coordinator,"Sen. Iwamoto, J.",housing,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,307,9,6,https://le.utah.gov/~2017/bills/static/SB0088.html,https://le.utah.gov/~2017/bills/sbillint/SB0088.htm,https://le.utah.gov/~2017/bills/sbillenr/SB0088.htm
2017GS,SB0138,Metro Township Amendments,"Sen. Mayne, K.",incorporation,Governor Signed,Lieutenant Governor's office for filing,14 Mar 2017,013,10,6,https://le.utah.gov/~2017/bills/static/SB0138.html,https://le.utah.gov/~2017/bills/sbillint/SB0138.htm,https://le.utah.gov/~2017/bills/sbillenr/SB0138.htm
2017GS,SB0140,Annexation of Islands Within Cities,"Sen. Buxton, D. G.",annexation,Governor Signed,Lieutenant Governor's office for filing,9 May 2017,367,9,6,https://le.utah.gov/~2017/bills/static/SB0140.html,https://le.utah.gov/~2017/bills/sbillint/SB0140.htm,https://le.utah.gov/~2017/bills/sbillenr/SB0140.htm
2017GS,SB0142,Redevelopment Agency Amendments,"Sen. Fillmore, L.",development,Senate/ filed,Senate file for bills not passed,,,1,1,https://le.utah.gov/~2017/bills/static/SB0142.html,https://le.utah.gov/~2017/bills/sbillint/SB0142.htm,https://le.utah.gov/~2017/bills/sbillenr/SB0142.htm
2018GS,HB0015,Community Reinvestment Agency Amendments,"Rep. Handy, S.",development,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,364,6,6,https://le.utah.gov/~2018/bills/static/HB0015.html,https://le.utah.gov/~2018/bills/hbillint/HB0015.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0015.htm
2018GS,HB0017,Community Reinvestment Agencies Revisions,"Rep. Sagers, D.",development,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,366,11,5,https://le.utah.gov/~2018/bills/static/HB0017.html,https://le.utah.gov/~2018/bills/hbillint/HB0017.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0017.htm
2018GS,HB0022,Enterprise Zone Sunset Amendments,"Rep. Sandall, S.",zoning,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,369,4,4,https://le.utah.gov/~2018/bills/static/HB0022.html,https://le.utah.gov/~2018/bills/hbillint/HB0022.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0022.htm
2018GS,HB0032,Uniform Construction Code Amendments,"Rep. Schultz, M.",building,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,186,10,6,https://le.utah.gov/~2018/bills/static/HB0032.html,https://le.utah.gov/~2018/bills/hbillint/HB0032.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0032.htm
2018GS,HB0093,Agriculture Commodity Zone Amendments,"Rep. Stratton, K.",zoning,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,050,5,5,https://le.utah.gov/~2018/bills/static/HB0093.html,https://le.utah.gov/~2018/bills/hbillint/HB0093.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0093.htm
2018GS,HB0111,Community Reinvestment Agency Modifications,"Rep. Coleman, K.",development,House/ filed,House file for bills not passed,,,3,3,https://le.utah.gov/~2018/bills/static/HB0111.html,https://le.utah.gov/~2018/bills/hbillint/HB0111.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0111.htm
2018GS,HB0126,Offender Housing Amendments,"Rep. Peterson, J.",housing,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,194,14,8,https://le.utah.gov/~2018/bills/static/HB0126.html,https://le.utah.gov/~2018/bills/hbillint/HB0126.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0126.htm
2018GS,HB0142,Impact Fees Amendments,"Rep. Owens, D.",impact_fee,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,196,9,7,https://le.utah.gov/~2018/bills/static/HB0142.html,https://le.utah.gov/~2018/bills/hbillint/HB0142.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0142.htm
2018GS,HB0168,Political Subdivision Lien Authority,"Rep. Webb, R. C.",subdivision,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,197,11,8,https://le.utah.gov/~2018/bills/static/HB0168.html,https://le.utah.gov/~2018/bills/hbillint/HB0168.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0168.htm
2018GS,HB0250,Building Permit and Impact Fees Amendments,"Rep. Schultz, M.","building,impact_fee",Governor Signed,Lieutenant Governor's office for filing,8 May 2018,215,9,6,https://le.utah.gov/~2018/bills/static/HB0250.html,https://le.utah.gov/~2018/bills/hbillint/HB0250.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0250.htm
2018GS,HB0259,Moderate Income Housing Amendments,"Rep. Wilde, L.",housing,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,218,8,6,https://le.utah.gov/~2018/bills/static/HB0259.html,https://le.utah.gov/~2018/bills/hbillint/HB0259.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0259.htm
2018GS,HB0377,Land Use Amendments,"Rep. Schultz, M.",land_use,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,339,6,4,https://le.utah.gov/~2018/bills/static/HB0377.html,https://le.utah.gov/~2018/bills/hbillint/HB0377.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0377.htm
2018GS,HB0406,Political Subdivision Boundary Shift Amendments,"Rep. Cutler, B. R.",subdivision,House/ filed,House file for bills not passed,,,4,4,https://le.utah.gov/~2018/bills/static/HB0406.html,https://le.utah.gov/~2018/bills/hbillint/HB0406.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0406.htm
2018GS,HB0412,Enterprise Zone Tax Credit Amendments,"Rep. Sagers, D.",zoning,House/ filed,House file for bills not passed,,,0,0,https://le.utah.gov/~2018/bills/static/HB0412.html,https://le.utah.gov/~2018/bills/hbillint/HB0412.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0412.htm
2018GS,HB0430,Affordable Housing Amendments,"Rep. Edwards, R.",housing,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,392,9,7,https://le.utah.gov/~2018/bills/static/HB0430.html,https://le.utah.gov/~2018/bills/hbillint/HB0430.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0430.htm
2018GS,HB0464,Affordable Housing Bond,"Rep. Briscoe, J.",housing,House/ filed,House file for bills not passed,,,1,1,https://le.utah.gov/~2018/bills/static/HB0464.html,https://le.utah.gov/~2018/bills/hbillint/HB0464.htm,https://le.utah.gov/~2018/bills/hbillenr/HB0464.htm
2018GS,SB0111,Community Reinvestment Agency Changes,"Sen. Harper, W.",development,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,422,6,6,https://le.utah.gov/~2018/bills/static/SB0111.html,https://le.utah.gov/~2018/bills/sbillint/SB0111.htm,https://le.utah.gov/~2018/bills/sbillenr/SB0111.htm
2018GS,SB0175,Metro Township Modifications,"Sen. Mayne, K.",incorporation,Governor Signed,Lieutenant Governor's office for filing,8 May 2018,174,6,6,https://le.utah.gov/~2018/bills/static/SB0175.html,https://le.utah.gov/~2018/bills/sbillint/SB0175.htm,https://le.utah.gov/~2018/bills/sbillenr/SB0175.htm
2018GS,SB0183,Land Use Notice Amendments,"Sen. Dayton, M.",land_use,Senate/ filed,Senate file for bills not passed,,,0,0,https://le.utah.gov/~2018/bills/static/SB0183.html,https://le.utah.gov/~2018/bills/sbillint/SB0183.htm,https://le.utah.gov/~2018/bills/sbillenr/SB0183.htm
