session,bill_no,title,sponsor,relevance,bill_url
2015GS,HB0049,Clean Fuel School Buses and Infrastructure,"Rep. Handy, S.",,https://le.utah.gov/~2015/bills/static/HB0049.html
2015GS,HB0050,Securities Exemption Amendments,"Rep. Greene, B.",,https://le.utah.gov/~2015/bills/static/HB0050.html
2015GS,HB0051,Voter Eligibility Amendments,"Rep. Webb, R. C.",,https://le.utah.gov/~2015/bills/static/HB0051.html
2015GS,HB0052,Mental Health Professional Practice Amendments,"Rep. Kennedy, M.",,https://le.utah.gov/~2015/bills/static/HB0052.html
2015GS,HB0053,Local Government Residential Reimbursement Authority,"Rep. Anderson, Johnny",,https://le.utah.gov/~2015/bills/static/HB0053.html
2015GS,HB0054,Public Education Increased Funding Program,"Rep. Draxler, J.",,https://le.utah.gov/~2015/bills/static/HB0054.html
2015GS,HB0055,Repeal of Methamphetamine Housing Reconstruction and Rehabilitation Account,"Rep. Redd, E.",housing,https://le.utah.gov/~2015/bills/static/HB0055.html
2015GS,HB0056,Property Tax Definition Amendments,"Rep. Snow, V. L.",,https://le.utah.gov/~2015/bills/static/HB0056.html
2015GS,HB0057,Benefit Corporations Amendments,"Rep. Stratton, K.",,https://le.utah.gov/~2015/bills/static/HB0057.html
2015GS,HB0058,Change Application Modifications,"Rep. Grover, K.",,https://le.utah.gov/~2015/bills/static/HB0058.html
2015GS,HB0059,Agriculture Modifications,"Rep. McKell, M.",,https://le.utah.gov/~2015/bills/static/HB0059.html
2015GS,HB0060,Campaign Finance Amendments,"Rep. King, Brian S.",,https://le.utah.gov/~2015/bills/static/HB0060.html
2015GS,HB0061,Municipal Business Licensing Amendments,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0061.html
2015GS,HB0062,Securities Amendments,"Rep. Greene, B.",,https://le.utah.gov/~2015/bills/static/HB0062.html
2015GS,HB0063,Distracted Driver Amendments,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0063.html
2015GS,HB0064,Milk Sales Amendments,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0064.html
2015GS,HB0065,Workforce Services Amendments,"Rep. Edwards, R.",,https://le.utah.gov/~2015/bills/static/HB0065.html
2015GS,HB0066,Marriage Modifications,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0066.html
2015GS,HB0067,Grants for Digital Learning,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0067.html
2015GS,HB0068,Student Privacy Study,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0068.html
2015GS,HB0069,English Language Arts Instructional Tool,"Rep. Moss, C.",,https://le.utah.gov/~2015/bills/static/HB0069.html
2015GS,HB0070,Posting Political Signs on Public Property,"Rep. Daw, B.",,https://le.utah.gov/~2015/bills/static/HB0070.html
2015GS,HB0071,Sales Tax Rebate Amendments,"Rep. Eliason, S.",,https://le.utah.gov/~2015/bills/static/HB0071.html
2015GS,HB0072,Ballot Publishing Amendments,"Rep. Knotwell, J.",,https://le.utah.gov/~2015/bills/static/HB0072.html
2015GS,HB0073,Nepotism Amendments,"Rep. Cutler, B. R.",,https://le.utah.gov/~2015/bills/static/HB0073.html
2015GS,HB0074,Consent Definition for Sexual Offense,"Rep. Romero, A.",,https://le.utah.gov/~2015/bills/static/HB0074.html
2015GS,HB0075,Children's Health Insurance Program Amendments,"Rep. Hawkes, T.",,https://le.utah.gov/~2015/bills/static/HB0075.html
2015GS,HB0076,Insurance Cancellation and Nonrenewal Amendments,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0076.html
2015GS,HB0077,Postretirement Employment Task Force,"Rep. Cunningham, R.",,https://le.utah.gov/~2015/bills/static/HB0077.html
2015GS,HB0078,Generator Site Access Permits Amendments,"Rep. Dee, B.",,https://le.utah.gov/~2015/bills/static/HB0078.html
2015GS,HB0079,Safety Belt Law Amendments,"Rep. Perry, L.",,https://le.utah.gov/~2015/bills/static/HB0079.html
2015GS,HB0080,Transportation Project Amendments,"Rep. Snow, V. L.",,https://le.utah.gov/~2015/bills/static/HB0080.html
2015GS,HB0081,Local School Board Meetings Requirements,"Rep. Hall, C.",,https://le.utah.gov/~2015/bills/static/HB0081.html
2015GS,HB0082,Request for Legislation Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0082.html
2015GS,HB0083,Crimes Against Health Care Providers in Correctional System,"Rep. Daw, B.",,https://le.utah.gov/~2015/bills/static/HB0083.html
2015GS,HB0084,Lead Recycling Amendments,"Rep. Nelson, M.",,https://le.utah.gov/~2015/bills/static/HB0084.html
2015GS,HB0085,Peace Officer Training Amendments,"Rep. Roberts, M.",,https://le.utah.gov/~2015/bills/static/HB0085.html
2015GS,HB0086,Vehicle Impound Amendments,"Rep. Perry, L.",,https://le.utah.gov/~2015/bills/static/HB0086.html
2015GS,HB0087,Enterprise Zone Amendments,"Rep. Sandall, S.",zoning,https://le.utah.gov/~2015/bills/static/HB0087.html
2015GS,HB0088,Veterinary Practice Act Amendments,"Rep. Peterson, J.",,https://le.utah.gov/~2015/bills/static/HB0088.html
2015GS,HB0089,Campaign Contribution Disclosure Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0089.html
2015GS,HB0090,Residential Building Inspections,"Rep. Dunnigan, J.",,https://le.utah.gov/~2015/bills/static/HB0090.html
2015GS,HB0091,Campaign Contributions Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0091.html
2015GS,HB0092,Rental Restrictions Amendments,"Rep. Tanner, E.",,https://le.utah.gov/~2015/bills/static/HB0092.html
2015GS,HB0093,School District Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2015/bills/static/HB0093.html
2015GS,HB0094,Investigational Drug and Device Access for Terminally Ill Patients,"Rep. Froerer, G.",,https://le.utah.gov/~2015/bills/static/HB0094.html
2015GS,HB0095,Extension of Tax Credits for Energy Efficient Vehicles,"Rep. Snow, V. L.",,https://le.utah.gov/~2015/bills/static/HB0095.html
2015GS,HB0096,Real Estate Transaction Amendments,"Rep. Greene, B.",,https://le.utah.gov/~2015/bills/static/HB0096.html
2015GS,HB0097,Election of Officials of New Municipality,"Rep. Cox, J.",,https://le.utah.gov/~2015/bills/static/HB0097.html
2015GS,HB0098,Association Amendments,"Rep. Froerer, G.",,https://le.utah.gov/~2015/bills/static/HB0098.html
2015GS,HB0099,Association Open Meeting Amendments,"Rep. Schultz, M.",,https://le.utah.gov/~2015/bills/static/HB0099.html
2015GS,HB0100,Candidate Disclosure Amendments,"Rep. Lifferth, D.",,https://le.utah.gov/~2015/bills/static/HB0100.html
2015GS,HB0101,Rural Residency Training Program Reauthorization,"Rep. Redd, E.",,https://le.utah.gov/~2015/bills/static/HB0101.html
2015GS,HB0102,Agricultural Tourism Amendments,"Rep. Perry, L.",,https://le.utah.gov/~2015/bills/static/HB0102.html
2015GS,HB0103,Taxation of Property Amendments,"Rep. Sagers, D.",,https://le.utah.gov/~2015/bills/static/HB0103.html
2015GS,HB0104,Cow-share Program Amendments,"Rep. Roberts, M.",,https://le.utah.gov/~2015/bills/static/HB0104.html
2015GS,HB0105,Antidiscrimination Modifications,"Rep. Miller, J.",,https://le.utah.gov/~2015/bills/static/HB0105.html
2015GS,HB0106,Wildlife Amendments,"Rep. Schultz, M.",,https://le.utah.gov/~2015/bills/static/HB0106.html
2015GS,HB0107,Political Issues Committee Amendments,"Rep. Greene, B.",,https://le.utah.gov/~2015/bills/static/HB0107.html
2015GS,HB0108,Public Waters Access Act,"Rep. Pitcher, D.",,https://le.utah.gov/~2015/bills/static/HB0108.html
2015GS,HB0109,Expungement of Administrative Action,"Rep. Greene, B.",,https://le.utah.gov/~2015/bills/static/HB0109.html
2015GS,HB0110,Motor Vehicle Emissions Amendments,"Rep. Arent, P.",,https://le.utah.gov/~2015/bills/static/HB0110.html
2015GS,HB0111,Payment of Property Tax Amendments,"Rep. Webb, R. C.",,https://le.utah.gov/~2015/bills/static/HB0111.html
2015GS,HB0112,Hearing Instrument Specialist Amendments,"Rep. Froerer, G.",,https://le.utah.gov/~2015/bills/static/HB0112.html
2015GS,HB0113,Dual Enrollment Amendments,"Rep. Sanpei, D.",,https://le.utah.gov/~2015/bills/static/HB0113.html
2015GS,HB0114,Test Preparation Resources,"Rep. Last, B.",,https://le.utah.gov/~2015/bills/static/HB0114.html
2015GS,HB0115,Public Safety Retirement for Dispatchers,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0115.html
2015GS,HB0116,Boating Safety Amendments,"Rep. Chew, S.",,https://le.utah.gov/~2015/bills/static/HB0116.html
2015GS,HB0117,Public Meeting Notice Requirements,"Rep. Stanard, J.",,https://le.utah.gov/~2015/bills/static/HB0117.html
2015GS,HB0118,Public Education Human Resource Management Act Revisions,"Rep. Last, B.",,https://le.utah.gov/~2015/bills/static/HB0118.html
2015GS,HB0119,Charter School Finance Amendments,"Rep. Last, B.",,https://le.utah.gov/~2015/bills/static/HB0119.html
2015GS,HB0120,Modifications to Election Law,"Rep. Hall, C.",,https://le.utah.gov/~2015/bills/static/HB0120.html
2015GS,HB0121,Interstate Medical Licensure Compact,"Rep. Ward, R.",,https://le.utah.gov/~2015/bills/static/HB0121.html
2015GS,HB0122,Technology Services Amendments,"Rep. Romero, A.",,https://le.utah.gov/~2015/bills/static/HB0122.html
2015GS,HB0123,Tuition and Fees Assistance for Utah National Guard Members,"Rep. Peterson, V.",,https://le.utah.gov/~2015/bills/static/HB0123.html
2015GS,HB0124,Education Background Check Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2015/bills/static/HB0124.html
2015GS,HB0125,Fishing License Amendments,"Rep. Cutler, B. R.",,https://le.utah.gov/~2015/bills/static/HB0125.html
2015GS,HB0126,Design Professionals - Amendments,"Rep. Cox, F.",,https://le.utah.gov/~2015/bills/static/HB0126.html
2015GS,HB0127,Local Land Use Amendments,"Rep. Peterson, J.",land_use,https://le.utah.gov/~2015/bills/static/HB0127.html
2015GS,HB0128,Maintenance of Student Records,"Rep. Froerer, G.",,https://le.utah.gov/~2015/bills/static/HB0128.html
2015GS,HB0129,Economic Development Incentive Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0129.html
2015GS,HB0130,Age Limit for Tobacco and Related Products,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0130.html
2015GS,HB0131,Tobacco Shop Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0131.html
2015GS,HB0132,Interstate Compact on Transfer of Public Lands Amendments,"Rep. Stratton, K.",,https://le.utah.gov/~2015/bills/static/HB0132.html
2015GS,HB0133,Firefighter Retirement Amendments,"Rep. Ipson, D.",,https://le.utah.gov/~2015/bills/static/HB0133.html
2015GS,HB0134,Tax Credit for Home-schooling Parent,"Rep. Lifferth, D.",,https://le.utah.gov/~2015/bills/static/HB0134.html
2015GS,HB0135,Pharmacy Licensure Exemptions,"Rep. Westwood, J.",,https://le.utah.gov/~2015/bills/static/HB0135.html
2015GS,HB0136,Campaign Disclosures for Judicial Retention Elections,"Rep. King, Brad",,https://le.utah.gov/~2015/bills/static/HB0136.html
2015GS,HB0137,Change to Mandatory Retirement Age for Judges,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0137.html
2015GS,HB0138,Joint Credit Obligations Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0138.html
2015GS,HB0139,Foster Home Amendments,"Rep. Daw, B.",,https://le.utah.gov/~2015/bills/static/HB0139.html
2015GS,HB0140,Sovereign Lands Around Bear Lake,"Rep. Webb, R. C.",,https://le.utah.gov/~2015/bills/static/HB0140.html
2015GS,HB0141,Insurance Related Inducements,"Rep. Knotwell, J.",,https://le.utah.gov/~2015/bills/static/HB0141.html
2015GS,HB0142,Municipal Government Revisions,"Rep. Anderegg, J.",,https://le.utah.gov/~2015/bills/static/HB0142.html
2015GS,HB0143,Prohibition on Tattooing of Minors,"Rep. Christensen, L.",,https://le.utah.gov/~2015/bills/static/HB0143.html
2015GS,HB0144,Check Cashing and Deferred Deposit Lending Amendments,"Rep. Daw, B.",,https://le.utah.gov/~2015/bills/static/HB0144.html
2015GS,HB0145,Vulnerable Adult Worker Amendments,"Rep. Sanpei, D.",,https://le.utah.gov/~2015/bills/static/HB0145.html
2015GS,HB0146,Driving Under the Influence Revisions,"Rep. Eliason, S.",,https://le.utah.gov/~2015/bills/static/HB0146.html
2015GS,HB0147,Driver License Testing Amendments,"Rep. Eliason, S.",,https://le.utah.gov/~2015/bills/static/HB0147.html
2015GS,HB0148,State Employee Health Clinic,"Rep. Barlow, S.",,https://le.utah.gov/~2015/bills/static/HB0148.html
2015GS,HB0149,Utah Research Institute for Mine Safety and Productivity,"Rep. Wheatley, M.",,https://le.utah.gov/~2015/bills/static/HB0149.html
2015GS,HB0150,Prohibition on Electronic Data Collection Assistance,"Rep. Roberts, M.",,https://le.utah.gov/~2015/bills/static/HB0150.html
2015GS,HB0151,Affiliated Emergency Service Worker Postretirement Employment Amendments,"Rep. Sagers, D.",,https://le.utah.gov/~2015/bills/static/HB0151.html
2015GS,HB0152,Infertility Insurance Coverage Amendments,"Rep. Christensen, L.",,https://le.utah.gov/~2015/bills/static/HB0152.html
2015GS,HB0153,Display of License Plates,"Rep. Wheatley, M.",,https://le.utah.gov/~2015/bills/static/HB0153.html
2015GS,HB0154,Jury Duty Exemption Amendments,"Rep. McKell, M.",,https://le.utah.gov/~2015/bills/static/HB0154.html
2015GS,HB0155,Revisor's - Technical Corrections,"Rep. Dunnigan, J.",,https://le.utah.gov/~2015/bills/static/HB0155.html
2015GS,HB0156,Medicaid Preferred Drug List Amendments,"Rep. Ward, R.",,https://le.utah.gov/~2015/bills/static/HB0156.html
2015GS,HB0157,Utah Code of Military Justice Amendments,"Rep. Peterson, V.",,https://le.utah.gov/~2015/bills/static/HB0157.html
2015GS,HB0158,Drill Status Travel Amendments,"Rep. Peterson, V.",,https://le.utah.gov/~2015/bills/static/HB0158.html
2015GS,HB0159,Off-highway Husbandry Vehicle Amendments,"Rep. Sandall, S.",,https://le.utah.gov/~2015/bills/static/HB0159.html
2015GS,HB0160,Drive-through Service Usage Amendments,"Rep. Anderson, Johnny",,https://le.utah.gov/~2015/bills/static/HB0160.html
2015GS,HB0161,Utah Revised Nonprofit Corporation Act,"Rep. McIff, K.",,https://le.utah.gov/~2015/bills/static/HB0161.html
2015GS,HB0162,Construction Trades Continuing Education Amendments,"Rep. Cox, F.",,https://le.utah.gov/~2015/bills/static/HB0162.html
2015GS,HB0163,Student Data Breach Requirements,"Rep. Knotwell, J.",,https://le.utah.gov/~2015/bills/static/HB0163.html
2015GS,HB0164,Grandparent Rights Amendments,"Rep. Christensen, L.",,https://le.utah.gov/~2015/bills/static/HB0164.html
2015GS,HB0165,Legislative In-session Employee Amendments,"Rep. Dunnigan, J.",,https://le.utah.gov/~2015/bills/static/HB0165.html
2015GS,HB0166,Election Revisions,"Rep. Spendlove, R.",,https://le.utah.gov/~2015/bills/static/HB0166.html
2015GS,HB0167,Asset Forfeiture Revisions,"Rep. Greene, B.",,https://le.utah.gov/~2015/bills/static/HB0167.html
2015GS,HB0168,Unclaimed Life Insurance and Annuity Benefits,"Rep. Dunnigan, J.",,https://le.utah.gov/~2015/bills/static/HB0168.html
2015GS,HB0169,Home Energy Rating Index Score Disclosure,"Rep. Powell, K.",,https://le.utah.gov/~2015/bills/static/HB0169.html
2015GS,HB0170,Legislative Audit Amendments,"Rep. Christensen, L.",,https://le.utah.gov/~2015/bills/static/HB0170.html
2015GS,HB0171,Motor Vehicle Insurance Amendments,"Rep. McKell, M.",,https://le.utah.gov/~2015/bills/static/HB0171.html
2015GS,HB0172,Payroll Services Amendments,"Rep. Spendlove, R.",,https://le.utah.gov/~2015/bills/static/HB0172.html
2015GS,HB0173,Recovery Dog Training Amendments,"Rep. Pitcher, D.",,https://le.utah.gov/~2015/bills/static/HB0173.html
2015GS,HB0174,Procurement Code Modification,"Rep. Lifferth, D.",,https://le.utah.gov/~2015/bills/static/HB0174.html
2015GS,HB0175,Alzheimer State Plan Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2015/bills/static/HB0175.html
2015GS,HB0176,Rights of Child Victim Amendments,"Rep. Christensen, L.",,https://le.utah.gov/~2015/bills/static/HB0176.html
2015GS,HB0177,Modifications to Voting Law,"Rep. Cox, F.",,https://le.utah.gov/~2015/bills/static/HB0177.html
2015GS,HB0178,Daylight Saving Time Exemption,"Rep. Perry, L.",,https://le.utah.gov/~2015/bills/static/HB0178.html
2015GS,HB0179,License Plate Fee Amendments,"Rep. Westwood, J.",,https://le.utah.gov/~2015/bills/static/HB0179.html
2015GS,HB0180,Teacher Salary Supplement Program,"Rep. Edwards, R.",,https://le.utah.gov/~2015/bills/static/HB0180.html
2015GS,HB0181,Sales Tax on Vehicle Purchases,"Rep. Ivory, K.",,https://le.utah.gov/~2015/bills/static/HB0181.html
2015GS,HB0182,Criteria for Determination of Alimony,"Rep. Daw, B.",,https://le.utah.gov/~2015/bills/static/HB0182.html
2015GS,HB0183,Uniform Powers of Appointment Act,"Rep. Snow, V. L.",,https://le.utah.gov/~2015/bills/static/HB0183.html
2015GS,HB0184,Victim Restitution Amendments,"Rep. Wilson, B.",,https://le.utah.gov/~2015/bills/static/HB0184.html
2015GS,HB0185,Charitable Solicitation Act Amendments,"Rep. Cutler, B. R.",,https://le.utah.gov/~2015/bills/static/HB0185.html
2015GS,HB0186,State School Board Membership and Election Amendments,"Rep. Gibson, F.",,https://le.utah.gov/~2015/bills/static/HB0186.html
2015GS,HB0187,Amendments to Health and Human Services Funds,"Rep. Redd, E.",,https://le.utah.gov/~2015/bills/static/HB0187.html
2015GS,HB0188,Transportation Corridor Preservation Amendments,"Rep. Christofferson, K.",,https://le.utah.gov/~2015/bills/static/HB0188.html
2015GS,HB0189,Child Welfare Mediation,"Rep. Hutchings, E.",,https://le.utah.gov/~2015/bills/static/HB0189.html
2015GS,HB0190,Assessment Area Act Modifications,"Rep. Webb, R. C.",,https://le.utah.gov/~2015/bills/static/HB0190.html
2015GS,HB0191,Utah Emergency Medical Services System Act Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2015/bills/static/HB0191.html
2015GS,HB0192,Property Rights Ombudsman Amendments,"Rep. Hawkes, T.",,https://le.utah.gov/~2015/bills/static/HB0192.html
2015GS,HB0193,Continuing Education for General Contractor Licensing,"Rep. Gibson, F.",,https://le.utah.gov/~2015/bills/static/HB0193.html
2015GS,HB0194,Occupational Therapy License Amendments,"Rep. Moss, C.",,https://le.utah.gov/~2015/bills/static/HB0194.html
2015GS,HB0195,Traffic Code Repealer,"Rep. Perry, L.",,https://le.utah.gov/~2015/bills/static/HB0195.html
2015GS,HB0196,Wildfire Mitigation Amendments,"Rep. Briscoe, J.",,https://le.utah.gov/~2015/bills/static/HB0196.html
2015GS,HB0197,Educator Licensing Amendments,"Rep. Coleman, K.",,https://le.utah.gov/~2015/bills/static/HB0197.html
2015GS,HB0198,Strengthening College and Career Readiness,"Rep. Arent, P.",,https://le.utah.gov/~2015/bills/static/HB0198.html
2015GS,HB0199,Pilot Program for Assistance for Children with Disabilities and Complex Medical Conditions,"Rep. Redd, E.",,https://le.utah.gov/~2015/bills/static/HB0199.html
2015GS,HB0200,Task Force on Voter Participation,"Rep. Arent, P.",,https://le.utah.gov/~2015/bills/static/HB0200.html
2015GS,HB0201,Interlocal Entities Amendments,"Rep. Nelson, M.",,https://le.utah.gov/~2015/bills/static/HB0201.html
2015GS,HB0202,Midwife Practice Amendments,"Rep. Moss, C.",,https://le.utah.gov/~2015/bills/static/HB0202.html
2015GS,HB0203,Teacher Salary Supplement Program Amendments,"Rep. Last, B.",,https://le.utah.gov/~2015/bills/static/HB0203.html
2015GS,HB0204,Tax Increment Amendments,"Rep. Peterson, J.",,https://le.utah.gov/~2015/bills/static/HB0204.html
2015GS,HB0205,Veteran Claim Assistance Disclosure,"Rep. Poulson, M.",,https://le.utah.gov/~2015/bills/static/HB0205.html
2015GS,HB0206,Local District Service Amendments,"Rep. Perry, L.",,https://le.utah.gov/~2015/bills/static/HB0206.html
2015GS,HB0207,Educator Tax Credit Study,"Rep. Eliason, S.",,https://le.utah.gov/~2015/bills/static/HB0207.html
2015GS,HB0208,School District Postemployment Health Insurance Benefits,"Rep. Eliason, S.",,https://le.utah.gov/~2015/bills/static/HB0208.html
2015GS,HB0209,Suicide Prevention Program Amendments,"Rep. Fawson, J.",,https://le.utah.gov/~2015/bills/static/HB0209.html
2015GS,HB0210,Early College High Schools,"Rep. Peterson, V.",,https://le.utah.gov/~2015/bills/static/HB0210.html
2015GS,HB0211,Armed Forces Property Tax Exemption Amendments,"Rep. Oda, C.",,https://le.utah.gov/~2015/bills/static/HB0211.html
2015GS,HB0212,Wildland Fire Liability Amendments,"Rep. Wheatley, M.",,https://le.utah.gov/~2015/bills/static/HB0212.html
2015GS,HB0213,Safe Technology Utilization and Digital Citizenship in Public Schools,"Rep. Stratton, K.",,https://le.utah.gov/~2015/bills/static/HB0213.html
2015GS,HB0214,Misrepresentation of Telephone and Text Identification,"Rep. Lifferth, D.",,https://le.utah.gov/~2015/bills/static/HB0214.html
2015GS,HB0215,Sex Offender Registry Amendments,"Rep. Draxler, J.",,https://le.utah.gov/~2015/bills/static/HB0215.html
2015GS,HB0216,Workplace Abusive Conduct Amendments to Promote a Healthy Workplace,"Rep. Stratton, K.",,https://le.utah.gov/~2015/bills/static/HB0216.html
2015GS,HB0217,Uniformed Services Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2015/bills/static/HB0217.html
