rollcall_id,session,bill_no,date,chamber,committee,body_name,vote_type,motion_desc,action,result,yeas,nays,absent,recorded,source_url
33,2015GS,SB0029,2/18/2015 (10:46:06 AM),Senate,,Senate,floor,3rd Reading,Senate/ passed 3rd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=335&house=S
34,2015GS,SB0029,2/25/2015 (10:42:39 AM),House,,House,floor,Senate 3rd Reading,House/ passed 3rd reading,Pass,68,0,7,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=484&house=H
35,2015GS,SB0055,2/10/2015 (3:01:29 PM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=177&house=S
36,2015GS,SB0055,2/10/2015 (3:12:14 PM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=184&house=S
37,2015GS,SB0055,2/10/2015 (3:14:07 PM),Senate,,Senate,floor,Senate/ floor amendment # 2,Senate/ floor amendment # 2,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=185&house=S
38,2015GS,SB0055,2/10/2015 (3:20:09 PM),Senate,,Senate,floor,2nd Reading,Senate/ passed 2nd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=186&house=S
39,2015GS,SB0055,2/11/2015 (2:42:27 PM),Senate,,Senate,floor,3rd Reading,Senate/ passed 3rd reading,Pass,27,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=210&house=S
40,2015GS,SB0067,2/10/2015 (3:04:33 PM),Senate,,Senate,floor,Utah Housing Corporation Act Amendments,Senate/ passed 2nd reading,Pass,24,0,5,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=178&house=S
41,2015GS,SB0067,2/11/2015 (2:30:42 PM),Senate,,Senate,floor,Utah Housing Corporation Act Amendments,Senate/ passed 3rd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=206&house=S
42,2015GS,SB0067,2/25/2015 (11:03:39 AM),House,,House,floor,Utah Housing Corporation Act Amendments,House/ passed 3rd reading,Pass,71,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=492&house=H
43,2015GS,SB0068,2/13/2015 (2:30:15 PM),Senate,,Senate,floor,Eminent Domain Amendments,Senate/ passed 2nd reading,Pass,27,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=270&house=S
44,2015GS,SB0068,2/17/2015 (11:15:54 AM),Senate,,Senate,floor,Eminent Domain Amendments,Senate/ passed 3rd reading,Pass,25,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=290&house=S
45,2015GS,SB0068,2/25/2015 (10:21:43 AM),House,,House,floor,Eminent Domain Amendments,House/ passed 3rd reading,Pass,63,0,12,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=475&house=H
46,2015GS,SB0074,2/2/2015 (11:43:17 AM),Senate,,Senate,floor,Senate/ floor amendment # 1,Senate/ floor amendment # 1,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=60&house=S
47,2015GS,SB0074,2/2/2015 (11:48:12 AM),Senate,,Senate,floor,Unincorporated Business Entities Related Amendments,Senate/ passed 2nd reading,Pass,25,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=61&house=S
48,2015GS,SB0074,2/3/2015 (11:28:22 AM),Senate,,Senate,floor,Unincorporated Business Entities Related Amendments,Senate/ passed 3rd reading,Pass,24,0,5,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=69&house=S
49,2015GS,SB0074,2/11/2015 (11:45:42 AM),House,,House,floor,Unincorporated Business Entities Related Amendments,House/ passed 3rd reading,Pass,70,0,5,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=202&house=H
50,2015GS,SB0124,2/26/2015 (10:33:19 AM),Senate,,Senate,floor,Land Use Amendments,Senate/ passed 3rd reading,Pass,27,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=652&house=S
51,2015GS,SB0124,3/4/2015 (3:35:11 PM),House,,House,floor,House/ substituted from # 1 to # 2,House/ substituted from # 1 to # 2,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=725&house=H
52,2015GS,SB0124,3/4/2015 (3:39:51 PM),House,,House,floor,House/ circled,House/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=726&house=H
53,2015GS,SB0124,3/5/2015 (10:44:39 AM),House,,House,floor,House/ uncircled,House/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=746&house=H
54,2015GS,SB0124,3/5/2015 (10:46:31 AM),House,,House,floor,House/ substituted from # 2 to # 3,House/ substituted from # 2 to # 3,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=747&house=H
55,2015GS,SB0124,3/5/2015 (10:50:19 AM),House,,House,floor,Substitute 3,House/ passed 3rd reading,Pass,67,0,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=748&house=H
56,2015GS,SB0124,3/6/2015 (11:04:58 AM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1123&house=S
57,2015GS,SB0124,3/9/2015 (9:41:45 AM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1179&house=S
58,2015GS,SB0124,3/9/2015 (9:43:51 AM),Senate,,Senate,floor,Substitute 3,Senate/ concurs with House amendment,Pass,25,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1181&house=S
59,2015GS,SB0291,3/9/2015 (6:32:13 PM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2015GS&voteid=1268&house=S
60,2016GS,HB0031,1/27/2016 (11:54:12 AM),House,,House,floor,Enterprise Zone Amendments,House/ passed 3rd reading,Pass,74,0,1,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=56&house=H
61,2016GS,HB0031,2/17/2016 (11:34:34 AM),Senate,,Senate,floor,Enterprise Zone Amendments,Senate/ passed 2nd reading,Pass,22,1,6,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=322&house=S
62,2016GS,HB0031,2/18/2016 (10:30:01 AM),Senate,,Senate,floor,Enterprise Zone Amendments,Senate/ passed 3rd reading,Pass,27,1,1,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=332&house=S
63,2016GS,HB0032,1/26/2016 (11:51:55 AM),House,,House,floor,Subdivision Base Parcel Tax Amendments,House/ passed 3rd reading,Pass,71,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=48&house=H
64,2016GS,HB0032,2/10/2016 (2:52:47 PM),Senate,,Senate,floor,Subdivision Base Parcel Tax Amendments,Senate/ passed 2nd reading,Pass,27,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=225&house=S
65,2016GS,HB0032,2/11/2016 (11:41:24 AM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=240&house=S
66,2016GS,HB0032,2/11/2016 (2:21:16 PM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=257&house=S
67,2016GS,HB0032,2/11/2016 (2:23:53 PM),Senate,,Senate,floor,Subdivision Base Parcel Tax Amendments,Senate/ passed 3rd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=258&house=S
68,2016GS,HB0316,2/24/2016 (3:24:23 PM),House,,House,floor,House/ circled,House/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=476&house=H
69,2016GS,HB0316,2/26/2016 (3:51:00 PM),House,,House,floor,House/ uncircled,House/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=577&house=H
70,2016GS,HB0316,2/26/2016 (3:51:31 PM),House,,House,floor,House/ substituted from # 4 to # 6,House/ substituted from # 4 to # 6,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=578&house=H
71,2016GS,HB0316,2/26/2016 (3:52:27 PM),House,,House,floor,House/ floor amendment # 2,House/ floor amendment # 2,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=579&house=H
72,2016GS,HB0316,2/26/2016 (4:06:29 PM),House,,House,floor,House/ floor amendment failed # 1,House/ floor amendment failed # 1,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=580&house=H
73,2016GS,HB0316,2/26/2016 (4:14:52 PM),House,,House,floor,House/ floor amendment failed,House/ floor amendment failed,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=581&house=H
74,2016GS,HB0316,2/26/2016 (4:16:29 PM),House,,House,floor,House/ floor amendment # 3,House/ floor amendment # 3,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=582&house=H
75,2016GS,HB0316,2/26/2016 (4:19:16 PM),House,,House,floor,Substitute 6,House/ passed 3rd reading,Pass,40,22,13,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=583&house=H
76,2016GS,HB0316,3/8/2016 (3:40:08 PM),Senate,,Senate,floor,Senate/ floor amendment # 6,Senate/ floor amendment # 6,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1294&house=S
77,2016GS,HB0316,3/8/2016 (3:44:24 PM),Senate,,Senate,floor,Substitute 6,Senate/ passed 2nd reading,Pass,23,2,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1295&house=S
78,2016GS,HB0316,3/9/2016 (3:44:10 PM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1415&house=S
79,2016GS,HB0316,3/9/2016 (8:25:38 PM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1444&house=S
80,2016GS,HB0316,3/9/2016 (8:26:53 PM),Senate,,Senate,floor,Senate/ floor amendment # 7,Senate/ floor amendment # 7,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1445&house=S
81,2016GS,HB0316,3/9/2016 (8:28:58 PM),Senate,,Senate,floor,Substitute 6,Senate/ passed 3rd reading,Pass,25,3,1,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1446&house=S
82,2016GS,HB0316,3/10/2016 (8:45:30 AM),House,,House,floor,Substitute 6,House/ concurs with Senate amendment,Pass,51,21,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1128&house=H
83,2016GS,HB0320,2/18/2016 (10:20:23 AM),House,,House,floor,Final Passage,House/ passed 3rd reading,Pass,62,1,12,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=306&house=H
84,2016GS,HB0320,3/2/2016 (11:02:24 AM),Senate,,Senate,floor,2nd Reading,Senate/ passed 2nd reading,Pass,18,0,11,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=900&house=S
85,2016GS,HB0320,3/3/2016 (10:59:39 AM),Senate,,Senate,floor,3rd Reading,Senate/ passed 3rd reading,Pass,25,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=986&house=S
86,2016GS,HB0328,2/25/2016 (3:59:40 PM),House,,House,floor,Housing and Homeless Amendments,House/ passed 3rd reading,Pass,64,3,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=521&house=H
87,2016GS,HB0328,3/9/2016 (11:00:01 AM),Senate,,Senate,floor,Housing and Homeless Amendments,Senate/ passed 2nd & 3rd readings/ suspension,Pass,25,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1350&house=S
88,2016GS,HB0346,3/1/2016 (9:42:12 PM),House,,House,floor,House/ circled,House/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=713&house=H
89,2016GS,HB0359,2/25/2016 (10:38:11 AM),House,,House,floor,Political Subdivision Ethics Commission Amendments,House/ passed 3rd reading,Pass,72,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=487&house=H
90,2016GS,HB0359,3/4/2016 (10:33:01 AM),Senate,,Senate,floor,Political Subdivision Ethics Commission Amendments,Senate/ passed 3rd reading,Pass,22,0,7,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1045&house=S
91,2016GS,HB0360,2/29/2016 (10:38:10 AM),House,,House,floor,Substitute 2,House/ passed 3rd reading,Pass,69,0,6,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=603&house=H
92,2016GS,HB0363,2/25/2016 (10:24:43 AM),House,,House,floor,Grazing Zone Amendments,House/ passed 3rd reading,Pass,66,0,9,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=483&house=H
93,2016GS,HB0363,3/4/2016 (10:27:31 AM),Senate,,Senate,floor,Grazing Zone Amendments,Senate/ passed 3rd reading,Pass,21,0,8,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1041&house=S
94,2016GS,HB0431,3/7/2016 (9:22:04 PM),House,,House,floor,3rd Reading,House/ passed 3rd reading,Pass,58,14,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=948&house=H
95,2016GS,HB0431,3/10/2016 (11:58:29 PM),Senate,,Senate,floor,2nd Reading,Senate/ passed 2nd & 3rd readings/ suspension,Pass,15,12,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1643&house=S
96,2016GS,HB0436,3/1/2016 (9:34:08 PM),House,,House,floor,House/ circled,House/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=712&house=H
97,2016GS,HB0436,3/1/2016 (9:52:12 PM),House,,House,floor,House/ uncircled,House/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=716&house=H
98,2016GS,HB0436,3/1/2016 (9:55:03 PM),House,,House,floor,House/ substituted from # 0 to # 1,House/ substituted from # 0 to # 1,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=717&house=H
99,2016GS,HB0436,3/1/2016 (10:11:51 PM),House,,House,floor,Substitute 1,House/ passed 3rd reading,Pass,72,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=718&house=H
100,2016GS,HB0436,3/9/2016 (8:44:56 AM),Senate,,Senate,floor,Senate/ substituted from # 2 to # 3,Senate/ substituted from # 2 to # 3,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1317&house=S
101,2016GS,HB0436,3/9/2016 (8:52:24 AM),Senate,,Senate,floor,Substitute 3,Senate/ passed 2nd & 3rd readings/ suspension,Pass,24,2,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1318&house=S
102,2016GS,HB0436,3/9/2016 (2:19:19 PM),House,,House,floor,Substitute 3,House/ concurs with Senate amendment,Pass,63,0,12,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1071&house=H
103,2016GS,SB0024,1/25/2016 (4:30:49 PM),Senate,,Senate,floor,2nd Reading,Senate/ passed 2nd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=29&house=S
104,2016GS,SB0024,1/26/2016 (11:43:34 AM),Senate,,Senate,floor,3rd Reading,Senate/ passed 3rd reading,Pass,27,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=49&house=S
105,2016GS,SB0024,2/3/2016 (11:40:07 AM),House,,House,floor,Senate 3rd Reading,House/ passed 3rd reading,Pass,73,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=104&house=H
106,2016GS,SB0044,3/4/2016 (2:38:29 PM),Senate,,Senate,floor,Construction Code Amendments,Senate/ passed 2nd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1084&house=S
107,2016GS,SB0044,3/7/2016 (9:38:17 AM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1114&house=S
108,2016GS,SB0044,3/7/2016 (9:54:47 AM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1127&house=S
109,2016GS,SB0044,3/7/2016 (9:56:36 AM),Senate,,Senate,floor,Substitute 6,Senate/ passed 3rd reading,Pass,51,21,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1128&house=S
110,2016GS,SB0044,3/10/2016 (9:39:53 AM),House,,House,floor,House/ circled,House/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1142&house=H
111,2016GS,SB0044,3/10/2016 (3:07:07 PM),House,,House,floor,House/ uncircled,House/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1202&house=H
112,2016GS,SB0044,3/10/2016 (3:13:55 PM),House,,House,floor,House/ floor amendment # 1,House/ floor amendment # 1,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1203&house=H
113,2016GS,SB0044,3/10/2016 (3:15:59 PM),House,,House,floor,Construction Code Amendments,House/ passed 3rd reading,Pass,73,0,2,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1204&house=H
114,2016GS,SB0044,3/10/2016 (5:47:59 PM),Senate,,Senate,floor,Senate/ concurs with House amendment,Senate/ concurs with House amendment,Pass,24,0,5,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=1569&house=S
115,2016GS,SB0060,2/12/2016 (11:48:06 AM),Senate,,Senate,floor,Senate/ circled,Senate/ circled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=272&house=S
116,2016GS,SB0060,2/12/2016 (11:55:33 AM),Senate,,Senate,floor,Senate/ uncircled,Senate/ uncircled,,,,,0,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=275&house=S
117,2016GS,SB0060,2/12/2016 (11:58:07 AM),Senate,,Senate,floor,Low-income Housing Tax Credit Allocation Amendments,Senate/ passed 2nd reading,Pass,25,0,4,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=276&house=S
118,2016GS,SB0060,2/16/2016 (10:25:16 AM),Senate,,Senate,floor,Low-income Housing Tax Credit Allocation Amendments,Senate/ passed 3rd reading,Pass,26,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=292&house=S
119,2016GS,SB0060,2/24/2016 (10:41:31 AM),House,,House,floor,Low-income Housing Tax Credit Allocation Amendments,House/ passed 3rd reading,Pass,72,0,3,1,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2016GS&voteid=444&house=H
