ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,disposition
20-21,2020-07-08,2020-07-08,amending the Future Land Use Map at 4701 West 6200 South redesignating approximately 5.5 acres from Neighborhood Commercial to Light Industrial and a Zoning Map amendment to rezone approximately 14.3 ,meeting_minutes/minutes/2020/2020-07-06/2020-07-08_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-2 Pass,2020-07-08,2,within_source,adopted
20-22,,2020-07-08,"Amending the 2009 City Code Title 2, repealing Chapters 5 and 16, amending Chapters 6, and enacting Chapter 19 Community Development Block Grant Committee, and Chapter 20 Airport Advisory Board to no ",meeting_minutes/minutes/2020/2020-07-06/2020-07-08_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-07-08,7,within_source,tabled
20-24,2020-07-29,2020-07-29,Rezoning 28.09 acres from R-1-14F to PF (Public Facilities) Zone on property generally located at 5952 West New Bingham Highway,meeting_minutes/minutes/2020/2020-07-27/2020-07-29_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-07-29,3,within_source,adopted
20-25,2020-07-29,2020-07-29,"amending the 2009 City Code Chapter 5, Article C. Planned Development Zones, Section 13-5C-5 (C)(2) Garages in the PC zones (a) and (b)",meeting_minutes/minutes/2020/2020-07-27/2020-07-29_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-07-29,4,within_source,adopted
20-26,,2020-08-12,to staff for further refinement and consideration and move it to Unfinished Business on the Council agenda,meeting_minutes/minutes/2020/2020-08-10/2020-08-12_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-08-12,2,within_source,unclear
20-27,2020-08-26,2020-08-26,"amending Title 1-6-9 Election of Council Officers, 1-6-10 Powers of Council Chair, 1-6-11 Council Office and Council Staff",meeting_minutes/minutes/2020/2020-08-24/2020-08-26_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-08-26,7,within_source,adopted
20-28,2020-09-09,2020-09-09,adopting an amendment to the City of West Jordan’s annual budget for Fiscal Year 2020-2021,meeting_minutes/minutes/2020/2020-09-07/2020-09-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-09-09,2,within_source,adopted
20-29,2020-12-02,2020-12-02,approving the addition of the Active Transportation Plan as part of the Master Transportation element of the General Plan,meeting_minutes/minutes/2020/2020-11-30/2020-12-02_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2020-12-02,2,within_source,adopted
20-30,2020-11-04,2020-11-04,approving the Master Development Agreement and Preliminary Development Plan for Jordan Fields,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-11-04,4,within_source,adopted
20-31,2020-08-26,2020-08-26,amending the Capital Improvement Plan and adopting the 2019 Sanitary Sewer Master Plan update,meeting_minutes/minutes/2020/2020-08-24/2020-08-26_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-08-26,6,within_source,adopted
20-32,2020-09-30,2020-09-30,amending the General Plan Moderate Income Housing element,meeting_minutes/minutes/2020/2020-09-28/2020-09-30_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-0 Pass,2020-09-30,8,within_source,adopted
20-33,2020-09-30,2020-09-30,enacting 2009 City Code Section 2-5-11 regarding the Diversity Committee,meeting_minutes/minutes/2020/2020-09-28/2020-09-30_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2020-09-30,7,within_source,adopted
20-34,2020-09-09,2020-09-09,"amending Title 1, Chapter 8 of the West Jordan City Code with the identified modifications to Section 1-8-1(D) and 1-8-8(H)(2)",meeting_minutes/minutes/2020/2020-09-07/2020-09-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-09-09,4,within_source,adopted
20-35,,2020-09-30,"to the October 28, 2020 City Council Meeting",meeting_minutes/minutes/2020/2020-09-28/2020-09-30_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-1 Pass,2020-09-30,2,within_source,tabled
20-36,,2020-09-30,"to the October 28, 2020 City Council Meeting",meeting_minutes/minutes/2020/2020-09-28/2020-09-30_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2020-09-30,3,within_source,tabled
20-37,,2020-10-14,regarding Parker Place Rezone removing the Senior Housing Overlay,meeting_minutes/minutes/2020/2020-10-12/2020-10-14_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-10-14,5,within_source,denied
20-38,2020-09-30,2020-09-30,amending the 2009 City Code Title 2 (Executive Branch Committees) with amendments as presented,meeting_minutes/minutes/2020/2020-09-28/2020-09-30_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2020-09-30,6,within_source,adopted
20-39,2020-11-04,2020-11-04,amending the 2009 City Code Section 1-6C General Plan Committee Alternate,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-11-04,5,within_source,adopted
20-40,2020-10-28,2020-10-28,"amending the 2009 City Code Sections 13-7C, and 13-7D regarding processes from Planning Commission recommendation and Council public hearings",meeting_minutes/minutes/2020/2020-10-26/2020-10-28_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-10-28,2,within_source,adopted
20-41,2020-10-28,2020-10-28,amending the 2009 City Code Section 13-5C Planned Community (PC) and Planned Residential Development (PRD) Zones regarding Open Space and Master Development Agreement requirements and residential dens,meeting_minutes/minutes/2020/2020-10-26/2020-10-28_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-10-28,3,within_source,adopted
20-42,2020-11-04,2020-11-04,amending the 2009 City Code adding Section 13-6G-18 permitting limited flexibility for small infill developments in the Transit Station Overlay District,meeting_minutes/minutes/2020/2020-11-02/2020-11-04_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2020-11-04,3,within_source,adopted
20-44,2020-12-02,2020-12-02,"updating the West Jordan City Election Code elements into Title 1, Chapter 15",meeting_minutes/minutes/2020/2020-11-30/2020-12-02_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-12-02,4,within_source,adopted
20-45,2020-11-18,2020-11-18,"amending the Future Land Use Map for 5.01 acres located at 7592 S 5490 W from Very Low Density Residential to Community Commercial and Rezone from RR-1D (Rural Residential, 1-acre lots) to SC-2 (Commu",meeting_minutes/minutes/2020/2020-11-16/2020-11-18_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-11-18,2,within_source,adopted
20-46,2020-12-16,2020-12-16,"to vacate the entirety of 6300 West Street, 9350 South Street and 6370 West Street on the Dannon Way Industrial Park subdivision plat recorded January 2, 2019",meeting_minutes/minutes/2020/2020-12-14/2020-12-16_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-12-16,7,within_source,adopted
20-47,2020-12-16,2020-12-16,"amending Title 2, Chapter 1, Section 1 of the West Jordan City Code regarding executive branch committees",meeting_minutes/minutes/2020/2020-12-14/2020-12-16_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2020-12-16,8,within_source,adopted
20-48,2020-12-16,2020-12-16,amending the 2009 City Code Section 13-6K Article K Interchange Overlay Zone (IOZ) Design and Development Standards relating to road standards and other requirements,meeting_minutes/minutes/2020/2020-12-14/2020-12-16_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-12-16,6,within_source,adopted
20-50,2020-12-16,2020-12-16,amending the zoning map on .12 acres from RR-1A (Rural Residential 1-acre lot) to P-O (Professional Office) Zone on property located at 8601 South Redwood Road,meeting_minutes/minutes/2020/2020-12-14/2020-12-16_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2020-12-16,5,within_source,adopted
21-01,2021-01-27,2021-01-27,amending the City of West Jordan’s Annual Budget for Fiscal Year 2020-2021,meeting_minutes/minutes/2021/2021-01-25/2021-01-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-01-27,2,within_source,adopted
21-02,2021-01-13,2021-01-13,amending Section 1-6C-6 of the 2009 West Jordan City Code regarding General Plan Committee,meeting_minutes/minutes/2021/2021-01-11/2021-01-13_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-01-13,4,within_source,adopted
21-03,2021-01-27,2021-01-27,amending the 2009 West Jordan City Code Section 1-7-2 and 1-11A-18 (Mayor’s Compensation),meeting_minutes/minutes/2021/2021-01-25/2021-01-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-01-27,3,within_source,adopted
21-04,2021-02-10,2021-02-10,an ordinance amending the 2009 West Jordan City Code (Change of Municipal Form of Government Revisions) and correct script errors that may exist,meeting_minutes/minutes/2021/2021-02-08/2021-02-10_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-02-10,2,within_source,adopted
21-05,2021-02-24,2021-02-24,"amending the 2009 West Jordan City Code regarding alcohol licenses, in the SC-3 Commercial Zone",meeting_minutes/minutes/2021/2021-02-22/2021-02-24_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-02-24,4,within_source,adopted
21-06,,2021-02-24,amending City Code regarding the election of council chair and vice-chair to a date uncertain,meeting_minutes/minutes/2021/2021-02-22/2021-02-24_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-02-24,13,within_source,tabled
21-07,2021-07-28,2021-07-28,"amending the Master Development Agreement and the Preliminary Master Development Plan for 35.66 acres of property, part of the Town Center at Copper Rim Development located at approximately 7800 South",https://assets.westjordan.utah.gov/ugd/c1b6d4_b07b414d167c4f4a8076baaee33d2d04.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-21-07-Copper-Rim-MDA-signed.pdf,Y,5-1 Pass,2021-07-28,2,high,adopted
21-08,2022-04-13,2022-04-13,Ordinance No,meeting_minutes/minutes/2022/2022-04-11/2022-04-13_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-04-13,3,within_source,adopted
21-009,2021-02-24,2021-02-24,declaring the property rights described in the conservation easement surplus and authorize the Mayor to execute the easement in favor of the State of Utah,meeting_minutes/minutes/2021/2021-02-22/2021-02-24_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-02-24,8,within_source,adopted
21-09,2021-03-10,2021-03-10,ratifying the Planning Commission’s recommendation for approval of the final density for Park Valley Townhomes at 12.7 units per acre in the HFR zone for a total of 217 units on 18.76 acres located at,meeting_minutes/minutes/2021/2021-03-08/2021-03-10_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2021-03-10,3,within_source,adopted
21-10,2021-06-09,2021-06-09,amending the 2009 City Code Chapter 13 Landscaping Requirements and Section 13-2-3 Definitions,meeting_minutes/minutes/2021/2021-06-07/2021-06-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-06-09,4,within_source,adopted
21-11,2021-03-24,2021-03-24,"amending the 2009 West Jordan City Code regarding Change of Municipal Form of Government Revisions, for Land Use Regulation Titles. Vice Chair Green",meeting_minutes/minutes/2021/2021-03-22/2021-03-24_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-0 Pass,2021-03-24,1,within_source,adopted
21-12,2021-03-10,2021-03-10,approving the Action Plan for the Round 3 CARES Act program for the Program Year 2019 as administered by the U.S. Department of Housing and Urban Development (HUD) and authorizing the City to enter in,meeting_minutes/minutes/2021/2021-03-08/2021-03-10_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-03-10,4,within_source,adopted
21-15,2021-04-14,2021-04-14,amending the General Plan Land Use Map for 1.6 acres located at 7106 South 2200 West from Low Density Residential to Medium Density Residential and Rezone the same property from A-1 (Agriculture 1-acr,meeting_minutes/minutes/2021/2021-04-12/2021-04-14_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-04-14,2,within_source,adopted
21-16,2021-04-28,2021-04-28,as outlined in Substitute #1 as presented,meeting_minutes/minutes/2021/2021-04-26/2021-04-28_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-04-28,1,within_source,adopted
21-17,2021-05-26,2021-05-26,"amending the 2009 West Jordan City Code (Sections Affecting Public Notice Requirements, Including Requiring the Use of the State Notice Website and not Requiring the Use of Newspaper Notice)",meeting_minutes/minutes/2021/2021-05-24/2021-05-26_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,4-0 Pass,2021-05-26,3,within_source,adopted
21-18,2021-06-09,2021-06-09,amending the 2009 West Jordan City Code adding Accessory Dwelling Units to all R-1 Single- family Residential Zones with the following modifications: • 13-5B-8A(2) should be changed to “only one acces,meeting_minutes/minutes/2021/2021-06-07/2021-06-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-06-09,5,within_source,adopted
21-19,2021-12-15,2021-12-15,amending the 2009 West Jordan City Code regarding the Planned Community Hillside (PCH) Zone and authorize staff to correct any scrivener errors,meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-12-15,10,within_source,adopted
21-20,2021-06-09,2021-06-09,amending the General Plan Land Use Map at 9000 S and Mtn View Corridor / 5892 W Dannon Way redesignating approximately 4.5 acres from Regional Commercial to Light Industrial and rezoning the same prop,meeting_minutes/minutes/2021/2021-06-07/2021-06-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-06-09,6,within_source,adopted
21-22,2021-06-23,2021-06-23,regarding a General Plan Land Use Map Amendment for 4.04 acres on the NE corner of 3200 West 9000 South from Very Low Density Residential to Community Commercial and Rezone from RR-1D Zone to C-G Zone,meeting_minutes/minutes/2021/2021-06-21/2021-06-23_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-06-23,4,within_source,adopted
21-23,2021-06-23,2021-06-23,amending the 2009 West Jordan City Code (Interchange Overlay Zone: Sections 13-6K-1 and 13- 6K-2) with an amendment to 13-6k-2(A)(1) striking the words “which may include vehicle sales as an anchor”,meeting_minutes/minutes/2021/2021-06-21/2021-06-23_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-06-23,3,within_source,adopted
21-24,2021-07-28,2021-07-28,"amending the 2009 City Code (adding Outdoor Recreation as a Conditional Use in the SC-3 Commercial Zone, Section 13-5E-3)",https://assets.westjordan.utah.gov/ugd/c1b6d4_5e306fb5b1f54de9ad87d4666ca1dea0.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-21-24-Outdoor-Recreation-CU-signed.pdf,Y,6-0 Pass,2021-07-28,6,high,adopted
21-25,2021-06-23,2021-06-23,regarding a rezone of the property at 8482 South Redwood Road from RR-.5A Zone to R-1-8C Zone,meeting_minutes/minutes/2021/2021-06-21/2021-06-23_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-3 Pass,2021-06-23,5,within_source,adopted
21-26,2021-06-23,2021-06-23,amending the City’s Annual Budget for Fiscal Year 2021,meeting_minutes/minutes/2021/2021-06-21/2021-06-23_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-06-23,9,within_source,adopted
21-27,2021-07-28,2021-07-28,"adding Title 7, Chapter 5 Street Name Change to the 2009 West Jordan City code",meeting_minutes/minutes/2021/2021-07-26/2021-07-28_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2021-07-28,8,within_source,adopted
21-28,,2021-07-28,"regarding 3.59 acres of property at 7479, 7481 and 7485 South Redwood Road, adopting the Master Development Agreement and the Preliminary Development Plan for the Joseph View Cottages development",meeting_minutes/minutes/2021/2021-07-26/2021-07-28_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,,2021-07-28,4,within_source,unclear
21-29,2021-07-28,2021-07-28,"regarding 3.59 acres of property at 7479, 7481 and 7485 South Redwood Road, amending the Future Land Use Map from Medium Density Residential to High Density Residential and rezoning the properties fro",meeting_minutes/minutes/2021/2021-07-26/2021-07-28_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-1 Pass,2021-07-28,5,within_source,adopted
21-31,2021-08-25,2021-08-25,amending the 2009 City Code (Alcohol Beverage Control and Uses: adopting Title 17 and repealing and amending other provisions in Titles 4 and 13),meeting_minutes/minutes/2021/2021-08-23/2021-08-25_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-08-25,7,within_source,adopted
21-32,2021-11-16,2021-11-16,amending the 2009 West Jordan City Code Sections 13-5B-6: Residential Exterior Materials and Design adding part (D)(2) and adding clarifying language; and 13-5B-6: Residential Exterior Materials and D,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-11-16,4,within_source,adopted
21-33,2021-08-11,2021-08-11,repealing Section 13-8-17 Accessory Living Quarters and amend Section 13-8-3 Accessory Uses chart removing Accessory Living Quarters and footnote,meeting_minutes/minutes/2021/2021-08-09/2021-08-11_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-08-11,1,within_source,adopted
21-34,2021-08-25,2021-08-25,setting the property tax rate at .001788,meeting_minutes/minutes/2021/2021-08-23/2021-08-25_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,4-3 Pass,2021-08-25,8,within_source,adopted
21-35,2021-08-25,2021-08-25,"adopting the Final Budget with changes discussed that evening, except for Council Compensation, for the City of West Jordan for Fiscal Year 2022",meeting_minutes/minutes/2021/2021-08-23/2021-08-25_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2021-08-25,10,within_source,adopted
21-36,2021-08-11,2021-08-11,amending the 2009 West Jordan City Code Section 1-6-4 Compensation of Members of the City Council,meeting_minutes/minutes/2021/2021-08-09/2021-08-11_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-08-11,5,within_source,adopted
21-37,2021-11-16,2021-11-16,"amending the 2009 West Jordan City Code Mayoral appointments and Council advice and consent Sections 1-7-4, 1-7-8, 5-5-5 and 9-4-3",meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-11-16,3,within_source,adopted
21-38,2021-10-13,2021-10-13,approving the Development Agreement and Preliminary Development Plan for Pura Vita Living Senior Housing development located at 1992 West 9400 South in an R-3- 20 (SHO) zoning district subject to the ,https://www.westjordan.utah.gov/wp-content/uploads/2021/10/Ordinance-No.-21-38-Approving-DA-and-DP-for-Pura-Vita-Living-Sr-Housing.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-21-38-Approving-DA-and-DP-for-Pura-Vita-Living-Sr-Housing.pdf,Y,5-0 Pass,2021-10-13,6,high,adopted
21-39,2021-10-27,2021-10-27,regarding a Future Land Use Map amendment for Papa Pita West Industrial Park at 6099 West New Bingham Highway for approximately 28.22 acres from Regional Commercial to Light Industrial and Rezone from,https://www.westjordan.utah.gov/wp-content/uploads/2021/11/Ordinance-No.-21-39-Approving-FLUM-Amendment-Rezone-for-Papa-Pita-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-21-39-Approving-FLUM-Amendment-Rezone-for-Papa-Pita-signed.pdf,Y,7-0 Pass,2021-10-27,1,high,adopted
21-40,2021-12-15,2021-12-15,amending the 2009 West Jordan City Code (Drinking Water Source Protection Overlay Zones) Sections 13-6F-1 through 13-6F-9 inclusive,meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-12-15,9,within_source,adopted
21-41,2021-12-15,2021-12-15,"amending the 2009 West Jordan City Code Sections 13-8-23, 13-6J-3, 13-4-12B6i changing the name of the ‘Annual Cap on Multi-Family Developments’ to ‘Balanced Housing’ and updating/consolidating associ",meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-12-15,16,within_source,adopted
21-42,2021-12-15,2021-12-15,approving the Wood Ranch Master Development Agreement,meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-12-15,12,within_source,adopted
21-43,2021-12-15,2021-12-15,amending the General Plan Land Use Map to the Master Planned Community,meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-12-15,13,within_source,adopted
21-44,2021-11-16,2021-11-16,"amending City Code regarding Elections and Council District Boundaries in Title 1, Chapter 15, Sections 2 (D)(2)",meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-11-16,5,within_source,adopted
21-45,2021-12-15,2021-12-15,adopting the 2022 Annual Meeting Schedule with an amendment that strikes “in the lobby of” and adds the word “at” in line 169,meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2021-12-15,8,within_source,adopted
21-46,2021-12-15,2021-12-15,Wood Ranch Rezone from A-5 (Agriculture 5-acre lots) to Planned Community Hillside (PCH) Zone (including application of the PCH zone to the annexation area),meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-12-15,15,within_source,adopted
