ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,linkage_note,minutes_source
2020-25,2020-05-12,2020-05-12,"repealing Section 2-1-12 of the Lehi City Municipal Code, requiring a security deposit for utility accounts.",meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,no,Pass,2020-05-12,9,high,other,1,,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md
2020-26,2020-05-12,2020-05-12,"a zone change for Lehi Block, changing the zoning from Industrial to Commercial on 30-acres located at approximately 2303 North 1200 West. Ryan Simmons, with the Boyer Company, was representing the applicant.",meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-05-12,3,high,zone_change,1,,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md
2020-27,2020-05-12,2020-05-12,"a zone change for the New Star Commercial Development, changing the zoning from C (Commercial) to C-H (Heavy Commercial) on 3-acres of property located at approximately 333 Millpond Drive. Mr. Aki Miyagi was representing the applicant.",meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-05-12,4,high,zone_change,1,,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md
2020-28,2020-05-12,2020-05-12,"a Development Code amendment for Section 06.140, changing the residential building material requirements in Planned Communities.",meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-05-12,7,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md
2020-29,2020-05-12,2020-05-12,a Development Code amendment to the Connectivity Standards in Chapter 37.,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-05-12,8,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-05-11/2020-05-12_city-council-meeting.md
2020-31,2020-06-09,2020-06-09,approval of the Ellsworth Zone Change from TH- 5 to RA-1 on 0.34 acres located at 1015 East 1840 North. Tony Trane was representing the applicant.,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-06-09,4,high,zone_change,1,,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md
2020-32,2020-06-09,2020-06-09,a Development Code Amendment to Table 37.070 adding a parking requirement for Short Term Rentals.,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-06-09,6,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md
2020-33,2020-06-09,2020-06-09,"a Development Code Amendment to Chapter 20, adding a home office with mobile services as an allowed use.",meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-06-09,7,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md
2020-34,2020-06-09,2020-06-09,"a Development Code Amendment to Chapters 12 and 26, adding requirements for storage containers on residential property. There was a comment submitted online by Steve Moulton: I appreciate the Planning Commission and City Council finding a solution to this amendment. I’d like to propose that",meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-06-09,8,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-06-08/2020-06-09_city-council-meeting.md
2020-35,2020-06-23,2020-06-23,"a General Plan Amendment for Taylor Meadows, changing the land use designation from VLDRA to VLDR on approximately 16.8 acres at approximately 7550 North 8350 West (600 West 1300 South). Dan Ford was representing the applicant.",meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-06-23,4,medium,general_plan_amendment,2,"ordinance number appears in motions on multiple dates (2020-06-09,2020-06-23); chose last passing as adoption",meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting.md
2020-36,2020-06-23,2020-06-23,a Development Code Amendment to Table 05-030- B to add auto sales of one acre or larger as a permitted use in the Commercial zone. Cody Black was representing the applicant. He stated that his intent is to have no more than 20 cars on the west property to the north and south of the building of his b,meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-06-23,5,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting.md
2020-37,2020-06-23,2020-06-23,"a Development Code Amendment to Chapters 11 and 17, including clarification of requirements for (PUE’s) Public Utility Easement.",meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-06-23,6,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-06-22/2020-06-23_city-council-meeting.md
2020-38,2020-07-14,2020-07-14,"request for approval of a Development Code amendment to Chapter 35, clarifying regulations for Community Forestry. Jessica Smith, with the Parks Department, explained the need for the public to be educated on what trees are appropriate to plant and where.",meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-07-14,7,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council-meeting.md
2020-39,2020-07-14,2020-07-14,"approval of the Muir zone change, changing the zoning on approximately .79-acres of property located at 678 West 300 North from A-1 & R-1-12 to R-1-Flex & R-1-12. Dennis Muir was the applicant.",meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-07-14,3,high,zone_change,1,,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council-meeting.md
2020-40,2020-07-14,2020-07-14,"approval of the Hansen zone change, changing the zoning on .33-acres of property located at 1045 West Main Street from RA-1 to NC. Hollie Hansen was representing the applicant. She stated that they would like to open an ice cream and soda shop. There was discussion regarding safety if kids crossed t",meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-07-14,2,high,zone_change,1,,meeting_minutes/minutes/2020/2020-07-13/2020-07-14_city-council-meeting.md
2020-41,2020-07-28,2020-07-28,"the Center Pointe Towns zone change, changing the zoning on approximately 2.25 -acres of property located at 1627 Center Pointe Drive from Commercial to R-3. (Tabled from the July 14th City Council meeting) Ken Burg was representing the applicant. There was discussion regarding the traffic study tha",meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-07-28,2,medium,zone_change,2,"ordinance number appears in motions on multiple dates (2020-07-14,2020-07-28); chose last passing as adoption",meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md
2020-42,2020-07-28,2020-07-28,"the Black zone change, changing the zoning on 1.52 acres from A-1 (agriculture) to R-1-12 (single family residential) at 1729 North Trinnaman Lane. Trent Black was representing the applicant.",meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-07-28,6,high,zone_change,1,,meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md
2020-43,2020-07-28,2020-07-28,"a General Plan Amendment on approximately 23.9-acres located at approximately 1402 West 900 North, changing the land use designation from VLDRA (very low density residential agriculture) to VLDR (very low density residential).",meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-07-28,7,high,general_plan_amendment,1,,meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md
2020-44,2020-07-28,2020-07-28,"a Development Code Amendment to Chapters 6, 16, 17, and 37, amending the single-family residential design standards for (PC) Planned Communities, (PRD) Planned Residential Development, and (PUD) Planned Unit Development.",meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-07-28,9,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-07-27/2020-07-28_city-council-meeting.md
2020-45,2020-08-11,2020-08-11,"a Development Code Amendment to Chapter 39, amending the definition of Family. Lehi City Council Meeting                         3                                    August 11, 2020 There was discussion about the need to define “family” in the code. Mr. Wood stated that this",meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-08-11,5,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-08-10/2020-08-11_city-council-meeting.md
2020-47,2020-09-08,2020-09-08,"the Sunderland Trust zone change, changing the land use designation on 1-acre of property located at 1765 North Trinnaman Lane from A-1 (agriculture) to R-1-Flex (residential).",meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-09-08,3,high,zone_change,1,,meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md
2020-48,2020-09-08,2020-09-08,"the Mendenhall zone change, changing the land use designation on 3.39-acres of property located at 221 West 400 South from A-1 (agriculture) to R-1-Flex (residential).",meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-09-08,4,high,zone_change,1,,meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md
2020-49,2020-09-08,2020-09-08,"a Development Code amendment to Table 05.030- C, changing Mixed Use Single Family Residential and Commercial Structure/Project to a permitted use in the Mixed Use zone. Mr. Struthers stated that they are adding a use that has historically been in the zone and now",meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-09-08,9,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md
2020-50,2020-09-08,2020-09-08,"a Development Code amendment to Chapters 16 and 17, adding a list of potential items for a density bonus in PRD and PUD developments. Mr. Struthers stated that the current code doesn’t clearly define the parameters for granting a",meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-09-08,10,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md
2020-51,2020-09-08,2020-09-08,"a Development Code Amendment to Section 12.080, amending the landscape buffer requirement. The applicant was not present, but the Council had questions. It was decided to table the item to a time that the applicant could attend.",meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-09-08,7,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-09-07/2020-09-08_city-council-meeting.md
2020-57,2020-10-13,2020-10-13,"a Development Code amendment to Chapter 20, Home Occupations, clarifying allowed home occupations.",meeting_minutes/minutes/2020/2020-10-12/2020-10-13_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-10-13,5,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-10-12/2020-10-13_city-council-meeting.md
2020-58,2020-10-13,2020-10-13,"a Development Code amendment to Chapter 12, clarifying automobile sales and rental property standards.",meeting_minutes/minutes/2020/2020-10-12/2020-10-13_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-10-13,6,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-10-12/2020-10-13_city-council-meeting.md
2020-59,2020-10-27,2020-10-27,"approval of Clay’s Zone Change, changing the zoning from RA-1 to R-2 on 0.68 acres of property located at 521 West 1200 North. Clay Greenwood was the applicant.",meeting_minutes/minutes/2020/2020-10-26/2020-10-27_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-10-27,4,high,zone_change,1,,meeting_minutes/minutes/2020/2020-10-26/2020-10-27_city-council-meeting.md
2020-61,2020-11-10,2020-11-10,"a Development Code Amendment to Chapter 39 and the Table of Uses 05.030.B, amending the definition of Dog Care Facility.",meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-11-10,5,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md
2020-62,2020-11-10,2020-11-10,"approval of the Taylor Meadows General Plan amendment, changing approximately 18 acres of property from VLDRA (very low density residential agriculture) to VLDR (very low density residential) located at approximately 1500 South 500 West.",meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-11-10,6,high,general_plan_amendment,1,,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md
2020-63,2020-11-10,2020-11-10,"8) Consideration Ordinance #63-2020, a Development Code amendment to Table 05.030.C, adding Pet Grooming as a permitted use in the Mixed Use zone. Kim Struthers stated the use would fit in most commercial areas and allow as many uses in commercial areas as possible.",meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-11-10,7,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-11-09/2020-11-10_city-council-meeting.md
2020-64,2020-12-08,2020-12-08,"enacting Title 6 Chapter 8, Targeted Residential Picketing, of the Lehi City Code. Councilor Koivisto stated that she doesn’t feel comfortable approving this. She believes it’s taking away constitutional rights.",meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,no,Pass,2020-12-08,20,high,other,1,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md
2020-65,2020-12-08,2020-12-08,"approval of the Baum Zone Change, changing 1.3 acres located at 2655 North Center Street from A-1 (agriculture) to RA- 1(residential/agriculture). Josh Baum was the applicant.",meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-12-08,7,high,zone_change,1,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md
2020-66,2020-12-08,2020-12-08,"a Development Code Amendment to Section 26.020.E., allowing Accessory Dwelling Units (ADU) units above garages on parcels greater than half an acre. Robert and Diane Myers were the applicants. Mrs. Myers stated that they requested that the",meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-12-08,8,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md
2020-67,2020-12-08,2020-12-08,"approval of the Taylor Meadows North Zone Change, changing the zoning on 16.8 acres located at 600 West 1300 South from R-1-22 (residential/agriculture) to R-1-15 (residential).",meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-12-08,12,high,zone_change,1,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md
2020-68,2020-12-08,2020-12-08,"a Development Code Amendments to Chapters 12, 20, and 26, clarifying the interaction between Accessory Dwelling Units (ADU), Short Term Rentals (STR) and Home Occupations in a single residence.",meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-12-08,17,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md
2020-69,2020-12-08,2020-12-08,"a Development Code amendment to Chapter 5, clarifying the process of rezoning/zoning a property to R-1-10 or R-1-8.",meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-12-08,18,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md
2020-70,2020-12-08,2020-12-08,"a Development Code amendment to Table 05-030- B, and Table 05-030-C, clarifying the dwelling unit for caretaker use.",meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2020-12-08,19,high,development_code_amendment,1,,meeting_minutes/minutes/2020/2020-12-07/2020-12-08_city-council-meeting.md
2020-03,2021-01-12,2021-01-12,"approval of the Traverse Mountain Area Plan Amendment eliminating a maximum street length. Matthew Loveland, with Fieldstone Homes, was representing the applicant. He stated that this land in Hidden Canyon is very unique with its own set of challenges. The new plan allows",meeting_minutes/minutes/2021/2021-01-11/2021-01-12_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-01-12,6,medium,area_plan_amendment,2,"ordinance number appears in motions on multiple dates (2020-01-14,2021-01-12); chose last passing as adoption",meeting_minutes/minutes/2021/2021-01-11/2021-01-12_city-council-meeting.md
2021-04,2021-01-12,2021-01-12,"request for approval of a Development Code Amendment to Section 26.020.E., allowing Accessory Dwelling Units (ADU) units above garages on parcels greater than half an acre (tabled on December 8, 2020).",meeting_minutes/minutes/2021/2021-01-11/2021-01-12_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-01-12,3,high,development_code_amendment,2,,meeting_minutes/minutes/2021/2021-01-11/2021-01-12_city-council-meeting.md
2021-02,2021-01-26,2021-01-26,"approval of the Traverse Mountain Area Plan Amendment, changing the land use designation from Open Space to Public Facility on approximately 5.2-acres located at approximately 5700 North Flight Park Road (tabled on January 12, 2021)",meeting_minutes/minutes/2021/2021-01-25/2021-01-26_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-01-26,5,medium,general_plan_amendment,3,"ordinance number appears in motions on multiple dates (2021-01-12,2021-01-26); chose last passing as adoption",meeting_minutes/minutes/2021/2021-01-25/2021-01-26_city-council-meeting.md
2021-05,2021-02-09,2021-02-09,"amending Title 6, Chapter 5, Section 7 (Firearms and Weapons) to allow the discharge of a bow within Lehi City limits upon the written permission of the Mayor. Mayor Johnson stated that the current code allows for discharge of a firearm, but not a bow,",meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,no,Pass,2021-02-09,9,high,other,1,,meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md
2021-06,2021-02-09,2021-02-09,"a Development Code amendment to Chapter 39, adding a definition for caretaker unit.",meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-02-09,6,high,development_code_amendment,1,,meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md
2021-07,2021-02-09,2021-02-09,"a Development Code amendment to Chapter 12, amending the signage requirements for cannabis-related businesses. Mr. Struthers explained that recently the Hearing Examiner sided with an applicant that claimed the signage was too restrictive, so they decided to amend the Development Code to",meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-02-09,7,high,development_code_amendment,1,,meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md
2021-09,2021-02-09,2021-02-09,"a Development Code amendment to Table 05.030- B, Chapter 39 definitions, and Chapter 12 adding the storage, vehicle use.",meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-02-09,8,high,development_code_amendment,1,,meeting_minutes/minutes/2021/2021-02-08/2021-02-09_city-council-meeting_clip350.md
2021-10,2021-02-23,2021-02-23,"approval of the Yeomans & Morgan General Plan Amendment, changing the land use designation from LDR & MDR to IHDR on approximately 5 acres of property located at 143 South 1100 West. Adam Albrecht was the applicant.",meeting_minutes/minutes/2021/2021-02-22/2021-02-23_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-02-23,7,high,general_plan_amendment,1,,meeting_minutes/minutes/2021/2021-02-22/2021-02-23_city-council-meeting.md
2021-11,2021-02-23,2021-02-23,"a Development Code amendment to Chapter 21, Temporary Uses, clarifying and updating the duration allowance for food trucks. Lehi City was the applicant. Kim Struthers presented information on the Development Code amendment.",meeting_minutes/minutes/2021/2021-02-22/2021-02-23_city-council-meeting.md,2026-07-02,text,reconstructed from meeting_minutes motion text (born-digital Granicus minutes),,yes,Pass,2021-02-23,10,high,development_code_amendment,1,,meeting_minutes/minutes/2021/2021-02-22/2021-02-23_city-council-meeting.md
