date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,in_election_results,matched_election_candidate,join_confidence,date_precision,filing_label_verbatim,pages,note
2017-08-29,Mont L. Millerberg,Mayor,2017,interim,2017-08-29,Mont L. Millerberg — 2017 Midvale campaign financial disclosure (2017-08-29),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/20170829%20Mont%20Millerberg%20C.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_16_Mont-Millerberg.pdf,,city_cf_page,yes,MONT L. MILLERBERG,exact,page_stated,20170829 Mont Millerberg Campaign Finance Statements,4,
2017-11-01,Phil Jankovich,Mayor,2017,,,Phil Jankovich — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Phil%20Jankovich.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_04_Phil-Jankovich.pdf,,city_cf_page,yes,PHIL JANKOVICH,exact,cycle_inferred,Phil Jankovich,5,
2017-10-01,Robert M. Hale,Mayor,2017,interim,October 2017,Robert M. Hale — 2017 Midvale campaign financial disclosure (October 2017),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/October%202017%20Robert%20Hale.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_09_Robert-Hale.pdf,,city_cf_page,yes,ROBERT M. HALE,exact,label_month,October 2017 Robert Hale,5,
2017-11-01,Robert M. Hale,Mayor,2017,,,Robert M. Hale — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Robert%20Hale.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_08_Robert-Hale.pdf,,city_cf_page,yes,ROBERT M. HALE,exact,cycle_inferred,Robert Hale,9,
2017-11-01,Sophia Hawes-Tingey,Mayor,2017,,,Sophia Hawes-Tingey — 2017 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Sophia%20Hawes%20%20Tingey.pdf?t=202309190901470,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2017_10_Sophia-Hawes-Tingey.pdf,,city_cf_page,yes,SOPHIA HAWES-TINGEY,exact,cycle_inferred,Sophia Hawes - Tingey,8,
2017-11-01,Sophia Hawes-Tingey,Mayor,2017,interim,,Sophia Hawes-Tingey — 2017 Midvale campaign financial disclosure (interim),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2017/Sophia%202017%20Campaign%20Octob.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2017_11_Sophia-Hawes-Tingey.pdf,,city_cf_page,yes,SOPHIA HAWES-TINGEY,exact,cycle_inferred,Sophia 2017 Campaign October Report,8,
2019-10-01,Alan C. Anderson,Council,2019,interim,October 2019,Alan C. Anderson — 2019 Midvale campaign financial disclosure (October 2019),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Alan%20Anderson%20October%202019.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_01_Alan-Anderson.pdf,1,city_cf_page,yes,ALAN C. ANDERSON,exact,label_month,Alan Anderson October 2019,5,
2019-10-01,Quinn Sperry,Council,2019,interim,October 2019,Quinn Sperry — 2019 Midvale campaign financial disclosure (October 2019),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Quinn%20Sperryn%20October%202019.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_09_Quinn-Sperry.pdf,1,city_cf_page,yes,QUINN SPERRY,exact,label_month,Quinn Sperryn October 2019,5,
2019-11-01,Quinn Sperry,Council,2019,,,Quinn Sperry — 2019 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Quinn%20Sperry%20Campaign%20Fina.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_08_Quinn-Sperry.pdf,1,city_cf_page,yes,QUINN SPERRY,exact,cycle_inferred,Quinn Sperry Campaign Finance Statement,5,
2019-08-06,Eric Chamberlain,Council,2019,interim,"August 6, 2019","Eric Chamberlain — 2019 Midvale campaign financial disclosure (August 6, 2019)",https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Eric%20Chamberlain%20Campaign%20.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_03_Eric-Chamberlain.pdf,2,city_cf_page,yes,ERIC CHAMBERLAIN,exact,page_stated,"Eric Chamberlain Campaign Financial Disclosure August 6, 2019",5,
2019-09-12,Eric Chamberlain,Council,2019,interim,"September 12, 2019","Eric Chamberlain — 2019 Midvale campaign financial disclosure (September 12, 2019)",https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Eric%20Chamberlain%20September.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_04_Eric-Chamberlain.pdf,2,city_cf_page,yes,ERIC CHAMBERLAIN,exact,page_stated,"Eric Chamberlain September 12, 2019",6,
2019-10-01,Paul Glover,Council,2019,interim,October 2019,Paul Glover — 2019 Midvale campaign financial disclosure (October 2019),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Paul%20Glover%20October%202019.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_07_Paul-Glover.pdf,2,city_cf_page,yes,PAUL GLOVER,exact,label_month,Paul Glover October 2019,5,
2019-11-01,Paul Glover,Council,2019,,,Paul Glover — 2019 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Paul%20Glover%20Campaign%20Finan.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_06_Paul-Glover.pdf,2,city_cf_page,yes,PAUL GLOVER,exact,cycle_inferred,Paul Glover Campaign Finance Statement,5,
2019-11-01,Sophia Hawes-Tingey,Council,2019,,,Sophia Hawes-Tingey — 2019 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Sophia%20Hawes%20Tingey%20Campai.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_10_Sophia-Hawes-Tingey.pdf,2,city_cf_page,yes,SOPHIA HAWES-TINGEY,exact,cycle_inferred,Sophia Hawes Tingey Campaign Finance Statement,10,
2019-11-01,Sophia Hawes-Tingey,Council,2019,,,Sophia Hawes-Tingey — 2019 Midvale campaign financial disclosure (period not stated),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Sophia%20Hawes%20Tingey%20Campai%20%281%29.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_11_Sophia-Hawes-Tingey.pdf,2,city_cf_page,yes,SOPHIA HAWES-TINGEY,exact,cycle_inferred,Sophia Hawes Tingey Campaign Finance Statement,10,duplicate upload (page lists two identical-titled files)
2019-10-01,Bart Benson,Council,2019,interim,October 2019,Bart Benson — 2019 Midvale campaign financial disclosure (October 2019),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Bart%20Benson%20October%202019.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_02_Bart-Benson.pdf,3,city_cf_page,yes,BART BENSON,exact,label_month,Bart Benson October 2019,5,
2019-10-01,Heidi Robinson,Council,2019,interim,October 2019,Heidi Robinson — 2019 Midvale campaign financial disclosure (October 2019),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Heidi%20Robinson%20October%20201.pdf?t=202309190901470,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2019_05_Heidi-Robinson.pdf,3,city_cf_page,yes,HEIDI ROBINSON,exact,label_month,Heidi Robinson October 2019,6,
2021-10-01,Bryant S. Brown,Council,2021,interim,October 2021,Bryant S. Brown — 2021 Midvale campaign financial disclosure (October 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Financial%20Disclos.pdf?t=202309190901460,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_01_Bryant-Brown.pdf,4,city_cf_page,yes,BRYANT S. BROWN,exact,label_month,Bryant Brown (October 2021),5,
2021-12-01,Bryant S. Brown,Council,2021,summary,December 2021,Bryant S. Brown — 2021 Midvale campaign financial disclosure (December 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Bryant%20Brown%20Disclosure%20De.pdf?t=202309190901460,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_09_Bryant-Brown.pdf,4,city_cf_page,yes,BRYANT S. BROWN,exact,label_month,Bryant Brown Disclosure December 2021,6,
2021-10-01,Dustin Gettel,Council,2021,interim,October 2021,Dustin Gettel — 2021 Midvale campaign financial disclosure (October 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur.pdf?t=202309190901460,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_02_Dustin-Gettel.pdf,5,city_cf_page,yes,DUSTIN GETTEL,exact,label_month,Dustin Gettel (October 2021),8,
2021-12-01,Dustin Gettel,Council,2021,summary,December 2021,Dustin Gettel — 2021 Midvale campaign financial disclosure (December 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/2021%20Campaign%20Finance%20Disc.pdf?t=202309190901460,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_11_Dustin-Gettel.pdf,5,city_cf_page,yes,DUSTIN GETTEL,exact,label_month,2021 Campaign Finance Disclosures (Gettel - December 2021),8,
2021-10-01,Wayne Sharp,Council,2021,interim,October 2021,Wayne Sharp — 2021 Midvale campaign financial disclosure (October 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur%207.pdf?t=202309190901460,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_05_Wayne-Sharp.pdf,5,city_cf_page,yes,WAYNE SHARP,exact,label_month,Wayne Sharp (October 2021),5,
2021-12-01,Wayne Sharp,Council,2021,summary,December 2021,Wayne Sharp — 2021 Midvale campaign financial disclosure (December 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Wayne%20Sharp%20Disclosure%20Dec.pdf?t=202309190901460,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_07_Wayne-Sharp.pdf,5,city_cf_page,yes,WAYNE SHARP,exact,label_month,Wayne Sharp Disclosure December 2021,5,
2021-10-01,Amanda Hollingsworth,Mayor,2021,interim,October 2021,Amanda Hollingsworth — 2021 Midvale campaign financial disclosure (October 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur%206.pdf?t=202309190901460,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_04_Amanda-Hollingsworth.pdf,,city_cf_page,yes,AMANDA HOLLINGSWORTH,exact,label_month,Amanda Hollingsworth (October 2021),5,
2021-10-01,Marcus Stevenson,Mayor,2021,interim,October 2021,Marcus Stevenson — 2021 Midvale campaign financial disclosure (October 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Financial%20Disclos%208.pdf?t=202309190901460,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_06_Marcus-Stevenson.pdf,,city_cf_page,yes,MARCUS STEVENSON,exact,label_month,Marcus Stevenson (October 2021),9,
2021-11-01,Marcus Stevenson,Mayor,2021,summary,Year-end / final,Marcus Stevenson — 2021 Midvale campaign financial disclosure (Year-end / final),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/122StevensonDisclosure.pdf?t=202309190901460,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2021_10_Marcus-Stevenson.pdf,,city_cf_page,yes,MARCUS STEVENSON,exact,cycle_inferred,12.2StevensonDisclosure,6,
2021-10-01,Robert M. Hale,Mayor,2021,interim,October 2021,Robert M. Hale — 2021 Midvale campaign financial disclosure (October 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur%205.pdf?t=202309190901460,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_03_Robert-Hale.pdf,,city_cf_page,yes,ROBERT M HALE,exact,label_month,Robert Hale (October 2021),4,
2021-12-01,Robert M. Hale,Mayor,2021,summary,December 2021,Robert M. Hale — 2021 Midvale campaign financial disclosure (December 2021),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Robert%20M%20Hale%20Disclosure%20D.pdf?t=202309190901460,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2021_08_Robert-M-Hale.pdf,,city_cf_page,yes,ROBERT M HALE,exact,label_month,Robert M. Hale Disclosure December 2021,5,
2023-10-24,Ben Umeadi,Council,2023,interim,10/24/2023,Ben Umeadi — 2023 Midvale campaign financial disclosure (10/24/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Ben%20Umeadi%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131911250,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_19_Ben-Umeadi.pdf,1,city_cf_page,yes,BEN UMEADI,exact,page_stated,Ben Umeadi (10/24/2023),3,
2023-11-14,Ben Umeadi,Council,2023,interim,11/14/2023,Ben Umeadi — 2023 Midvale campaign financial disclosure (11/14/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Ben%20Umeadi%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141823440,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_20_Ben-Umeadi.pdf,1,city_cf_page,yes,BEN UMEADI,exact,page_stated,Ben Umeadi (11/14/2023),3,
2023-12-01,Ben Umeadi,Council,2023,summary,Final,Ben Umeadi — 2023 Midvale campaign financial disclosure (Final),http://municipal.utah.gov/salt%20lake/2023/Midvale/Ben%20Umeadi%20Final.pdf,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/state/2023_state_Ben-Umeadi_Final.pdf,1,state_disclosures,yes,BEN UMEADI,exact,cycle_inferred,2023_state_Ben-Umeadi_Final.pdf,3,"Year-end final; state-only, not on city page; may overlap the city December filing"
2023-12-21,Ben Umeadi,Council,2023,summary,12/21/2023,Ben Umeadi — 2023 Midvale campaign financial disclosure (12/21/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Ben%20Umeadi%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281319580,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_21_Ben-Umeadi.pdf,1,city_cf_page,yes,BEN UMEADI,exact,page_stated,Ben Umeadi (12/21/2023),3,
2023-10-24,Bonnie Billings,Council,2023,interim,10/24/2023,Bonnie Billings — 2023 Midvale campaign financial disclosure (10/24/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bonnie%20Billings%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131912450,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_04_Bonnie-Billings.pdf,1,city_cf_page,yes,BONNIE BILLINGS,exact,page_stated,Bonnie Billings (10/24/2023),7,
2023-11-14,Bonnie Billings,Council,2023,interim,11/14/2023,Bonnie Billings — 2023 Midvale campaign financial disclosure (11/14/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bonnie%20Billings%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141855140,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_05_Bonnie-Billings.pdf,1,city_cf_page,yes,BONNIE BILLINGS,exact,page_stated,Bonnie Billings (11/14/2023),8,
2023-12-01,Bonnie Billings,Council,2023,summary,2023 Election Campaign Finance Statement,Bonnie Billings — 2023 Midvale campaign financial disclosure (2023 Election Campaign Finance Statement),http://municipal.utah.gov/salt%20lake/2023/Midvale/Bonnie%20Billings%202023%20Election%20Campaign%20Finance%20Statement001.pdf,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/state/2023_state_Bonnie-Billings_Election-CF-Statement.pdf,1,state_disclosures,yes,BONNIE BILLINGS,exact,cycle_inferred,2023_state_Bonnie-Billings_Election-CF-Statement.pdf,6,"2023 Election Campaign Finance Statement (candidacy/year-end); state-only, not on city page; may overlap the city December filing"
2023-12-21,Bonnie Billings,Council,2023,summary,12/21/2023,Bonnie Billings — 2023 Midvale campaign financial disclosure (12/21/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bonnie%20Billings%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281317550,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_06_Bonnie-Billings.pdf,1,city_cf_page,yes,BONNIE BILLINGS,exact,page_stated,Bonnie Billings (12/21/2023),10,
2023-10-24,Dustin Snow,Council,2023,interim,10/24/2023,Dustin Snow — 2023 Midvale campaign financial disclosure (10/24/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Dustin%20Snow%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131910500,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_16_Dustin-Snow.pdf,1,city_cf_page,yes,DUSTIN SNOW,exact,page_stated,Dustin Snow (10/24/2023),3,
2023-11-14,Dustin Snow,Council,2023,interim,11/14/2023,Dustin Snow — 2023 Midvale campaign financial disclosure (11/14/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Dustin%20Snow%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141823020,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_17_Dustin-Snow.pdf,1,city_cf_page,yes,DUSTIN SNOW,exact,page_stated,Dustin Snow (11/14/2023),4,
2023-12-01,Dustin Snow,Council,2023,summary,Final,Dustin Snow — 2023 Midvale campaign financial disclosure (Final),http://municipal.utah.gov/salt%20lake/2023/Midvale/Dustin%20Snow%20Final.pdf,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/state/2023_state_Dustin-Snow_Final.pdf,1,state_disclosures,yes,DUSTIN SNOW,exact,cycle_inferred,2023_state_Dustin-Snow_Final.pdf,6,"Year-end final; state-only, not on city page; may overlap the city December filing"
2023-12-21,Dustin Snow,Council,2023,summary,12/21/2023,Dustin Snow — 2023 Midvale campaign financial disclosure (12/21/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Dustin%20Snow%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281319320,2026-07-13,text,none (acquisition-only; born-digital text PDF),raw/2023_18_Dustin-Snow.pdf,1,city_cf_page,yes,DUSTIN SNOW,exact,page_stated,Dustin Snow (12/21/2023),6,
2023-10-24,Paul Glover,Council,2023,interim,10/24/2023,Paul Glover — 2023 Midvale campaign financial disclosure (10/24/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Paul%20Glover%20Financial%20Disclosure%20October%202023.pdf?t=202311131908250,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_10_Paul-Glover.pdf,2,city_cf_page,yes,PAUL GLOVER,exact,page_stated,Paul Glover (10/24/2023),3,
2023-11-14,Paul Glover,Council,2023,interim,11/14/2023,Paul Glover — 2023 Midvale campaign financial disclosure (11/14/2023),https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Paul%20Glover%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141821550,2026-07-13,scanned,"none (acquisition-only; scanned image PDF, OCR/vision deferred)",raw/2023_11_Paul-Glover.pdf,2,city_cf_page,yes,PAUL GLOVER,exact,page_stated,Paul Glover (11/14/2023),3,
