year	candidate	office	district	in_er	filing_type	period	label	href	url	fname	upload
2025	Dustin Gettel	Mayor		yes	interim	October 28, 2025	Dustin Gettel Financial Disclosure (October 28, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Dustin Gettel Financial Disclosure (October 28, 2025).pdf?t=202510281913110	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Dustin%20Gettel%20Financial%20Disclosure%20%28October%2028%2C%202025%29.pdf?t=202510281913110	2025_14_Dustin-Gettel.pdf	202510
2025	Dustin Gettel	Mayor		yes	summary	December 4, 2025	Dustin Gettel Financial Disclosure (December 4, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Dustin Gettel Financial Disclosure (December 4, 2025).pdf?t=202512041907560	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Dustin%20Gettel%20Financial%20Disclosure%20%28December%204%2C%202025%29.pdf?t=202512041907560	2025_15_Dustin-Gettel.pdf	202512
2025	Rainer Lilbok	Council	4	yes	interim	October 7, 2025	Rainer Lilbok Financial Disclosure (October 7, 2025)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2025/Rainer Lilbok Financial Disclosure 10-7-25.pdf?t=202510071728580	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2025/Rainer%20Lilbok%20Financial%20Disclosure%2010-7-25.pdf?t=202510071728580	2025_16_Rainer-Lilbok.pdf	202510
2025	Rainer Lilbok	Council	4	yes	interim	October 28, 2025	Rainer Lilbok Financial Disclosure (October 28, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Rainer Lilbok Financial Disclosure (October 28, 2025).pdf?t=202510281914150	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Rainer%20Lilbok%20Financial%20Disclosure%20%28October%2028%2C%202025%29.pdf?t=202510281914150	2025_17_Rainer-Lilbok.pdf	202510
2025	Rainer Lilbok	Council	4	yes	summary	December 4, 2025	Rainer Lilbok Financial Disclosure (December 4, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Rainer Lilbok Financial Disclosure (December 4, 2025).pdf?t=202512041910130	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Rainer%20Lilbok%20Financial%20Disclosure%20%28December%204%2C%202025%29.pdf?t=202512041910130	2025_18_Rainer-Lilbok.pdf	202512
2025	Denece Mikolash	Council	5	yes	interim	October 7, 2025	Denece Mikolash Financial Disclosure (October 7, 2025)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2025/Denece Mikolash Oct 7th Report Redacted.pdf?t=202510071842570	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2025/Denece%20Mikolash%20Oct%207th%20Report%20Redacted.pdf?t=202510071842570	2025_19_Denece-Mikolash.pdf	202510
2025	Denece Mikolash	Council	5	yes	interim	October 28, 2025	Denece Mikolash Financial Disclosure (October 28, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Denece Mikolash Oct 28 2025 Financial Disclosure.pdf?t=202510271950100	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Denece%20Mikolash%20Oct%2028%202025%20Financial%20Disclosure.pdf?t=202510271950100	2025_20_Denece-Mikolash.pdf	202510
2025	Denece Mikolash	Council	5	yes	summary	December 4, 2025	Denece Mikolash Financial Disclosure (December 4, 2025)	Document Center/Government/Departments/Recorders Office/Elections/2025/Denece Mikolash Financial Disclosure (December 4, 2025).pdf?t=202512041926230	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Elections/2025/Denece%20Mikolash%20Financial%20Disclosure%20%28December%204%2C%202025%29.pdf?t=202512041926230	2025_21_Denece-Mikolash.pdf	202512
2023	Bart Benson	Council	3	yes	interim	10/24/2023	Bart Benson (10/24/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Bart Benson Financial Disc.pdf?t=202311131905500	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bart%20Benson%20Financial%20Disc.pdf?t=202311131905500	2023_01_Bart-Benson.pdf	202311
2023	Bart Benson	Council	3	yes	interim	11/14/2023	Bart Benson (11/14/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Bart Benson Financial Disclosure (November 2023).pdf?t=202311141821020	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bart%20Benson%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141821020	2023_02_Bart-Benson.pdf	202311
2023	Bart Benson	Council	3	yes	summary	12/21/2023	Bart Benson (12/21/2023)	Document Center/Bart Benson Financial Disclosure (December 2023).pdf?t=202312281316120	https://www.midvale.utah.gov/Document%20Center/Bart%20Benson%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281316120	2023_03_Bart-Benson.pdf	202312
2023	Bonnie Billings	Council	1	yes	interim	10/24/2023	Bonnie Billings (10/24/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Bonnie Billings Financial Disclosure (October 2023).pdf?t=202311131912450	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bonnie%20Billings%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131912450	2023_04_Bonnie-Billings.pdf	202311
2023	Bonnie Billings	Council	1	yes	interim	11/14/2023	Bonnie Billings (11/14/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Bonnie Billings Financial Disclosure (November 2023).pdf?t=202311141855140	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bonnie%20Billings%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141855140	2023_05_Bonnie-Billings.pdf	202311
2023	Bonnie Billings	Council	1	yes	summary	12/21/2023	Bonnie Billings (12/21/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Bonnie Billings Financial Disclosure (December 2023).pdf?t=202312281317550	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Bonnie%20Billings%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281317550	2023_06_Bonnie-Billings.pdf	202312
2023	Evan Feinberg	Council	3	yes	interim	10/24/2023	Evan Feinberg (10/24/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Evan Feinberg Financial Disclosure (October 2023).pdf?t=202311131910240	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Evan%20Feinberg%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131910240	2023_07_Evan-Feinberg.pdf	202311
2023	Evan Feinberg	Council	3	yes	interim	11/14/2023	Evan Feinberg (11/14/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Evan Feinberg Financial Disclosure (November 2023).pdf?t=202311141909330	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Evan%20Feinberg%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141909330	2023_08_Evan-Feinberg.pdf	202311
2023	Evan Feinberg	Council	3	yes	summary	12/21/2023	Evan Feinberg 12/21/2023	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Evan Feinberg Financial Disclosure (December 2023).pdf?t=202312281318550	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Evan%20Feinberg%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281318550	2023_09_Evan-Feinberg.pdf	202312
2023	Paul Glover	Council	2	yes	interim	10/24/2023	Paul Glover (10/24/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Paul Glover Financial Disclosure October 2023.pdf?t=202311131908250	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Paul%20Glover%20Financial%20Disclosure%20October%202023.pdf?t=202311131908250	2023_10_Paul-Glover.pdf	202311
2023	Paul Glover	Council	2	yes	interim	11/14/2023	Paul Glover (11/14/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Paul Glover Financial Disclosure (November 2023).pdf?t=202311141821550	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Paul%20Glover%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141821550	2023_11_Paul-Glover.pdf	202311
2023	Paul Glover	Council	2	yes	summary	12/21/2023	Paul Glover (12/21/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Paul Glover - Campaign Financial Disclosure 12-21-2023001.pdf?t=202312051820140	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Paul%20Glover%20-%20Campaign%20Financial%20Disclosure%2012-21-2023001.pdf?t=202312051820140	2023_12_Paul-Glover.pdf	202312
2023	Heidi Robinson	Council	3	yes	interim	10/24/2023	Heidi Robinson (10/24/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Heidi Robinson Financial Disclosure (October 2023).pdf?t=202311131914020	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Heidi%20Robinson%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131914020	2023_13_Heidi-Robinson.pdf	202311
2023	Heidi Robinson	Council	3	yes	interim	11/14/2023	Heidi Robinson (11/14/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Heidi Robinson Financial Disclosure (November 2023).pdf.docx.pdf?t=202311141825010	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Heidi%20Robinson%20Financial%20Disclosure%20%28November%202023%29.pdf.docx.pdf?t=202311141825010	2023_14_Heidi-Robinson.pdf	202311
2023	Heidi Robinson	Council	3	yes	summary	12/21/2023	Heidi Robinson (12/21/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Heidi Robinson Financial Disclosure (December 2023).pdf?t=202312201435480	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Heidi%20Robinson%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312201435480	2023_15_Heidi-Robinson.pdf	202312
2023	Dustin Snow	Council	1	yes	interim	10/24/2023	Dustin Snow (10/24/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Dustin Snow Financial Disclosure (October 2023).pdf?t=202311131910500	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Dustin%20Snow%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131910500	2023_16_Dustin-Snow.pdf	202311
2023	Dustin Snow	Council	1	yes	interim	11/14/2023	Dustin Snow (11/14/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Dustin Snow Financial Disclosure (November 2023).pdf?t=202311141823020	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Dustin%20Snow%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141823020	2023_17_Dustin-Snow.pdf	202311
2023	Dustin Snow	Council	1	yes	summary	12/21/2023	Dustin Snow (12/21/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Dustin Snow Financial Disclosure (December 2023).pdf?t=202312281319320	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Dustin%20Snow%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281319320	2023_18_Dustin-Snow.pdf	202312
2023	Ben Umeadi	Council	1	yes	interim	10/24/2023	Ben Umeadi (10/24/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Ben Umeadi Financial Disclosure (October 2023).pdf?t=202311131911250	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Ben%20Umeadi%20Financial%20Disclosure%20%28October%202023%29.pdf?t=202311131911250	2023_19_Ben-Umeadi.pdf	202311
2023	Ben Umeadi	Council	1	yes	interim	11/14/2023	Ben Umeadi (11/14/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Ben Umeadi Financial Disclosure (November 2023).pdf?t=202311141823440	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Ben%20Umeadi%20Financial%20Disclosure%20%28November%202023%29.pdf?t=202311141823440	2023_20_Ben-Umeadi.pdf	202311
2023	Ben Umeadi	Council	1	yes	summary	12/21/2023	Ben Umeadi (12/21/2023)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2023/Ben Umeadi Financial Disclosure (December 2023).pdf?t=202312281319580	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2023/Ben%20Umeadi%20Financial%20Disclosure%20%28December%202023%29.pdf?t=202312281319580	2023_21_Ben-Umeadi.pdf	202312
2021	Bryant Brown	Council	4	yes	interim	October 2021	Bryant Brown (October 2021)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Campaign Financial Disclos.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Financial%20Disclos.pdf?t=202309190901460	2021_01_Bryant-Brown.pdf	202309
2021	Dustin Gettel	Council	5	yes	interim	October 2021	Dustin Gettel (October 2021)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Campaign Finance Disclosur.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur.pdf?t=202309190901460	2021_02_Dustin-Gettel.pdf	202309
2021	Robert Hale	Mayor		yes	interim	October 2021	Robert Hale (October 2021)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Campaign Finance Disclosur 5.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur%205.pdf?t=202309190901460	2021_03_Robert-Hale.pdf	202309
2021	Amanda Hollingsworth	Mayor		yes	interim	October 2021	Amanda Hollingsworth (October 2021)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Campaign Finance Disclosur 6.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur%206.pdf?t=202309190901460	2021_04_Amanda-Hollingsworth.pdf	202309
2021	Wayne Sharp	Council	5	yes	interim	October 2021	Wayne Sharp (October 2021)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Campaign Finance Disclosur 7.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Finance%20Disclosur%207.pdf?t=202309190901460	2021_05_Wayne-Sharp.pdf	202309
2021	Marcus Stevenson	Mayor		yes	interim	October 2021	Marcus Stevenson (October 2021)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Campaign Financial Disclos 8.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Campaign%20Financial%20Disclos%208.pdf?t=202309190901460	2021_06_Marcus-Stevenson.pdf	202309
2021	Wayne Sharp	Council	5	yes	summary	December 2021	Wayne Sharp Disclosure December 2021	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Wayne Sharp Disclosure Dec.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Wayne%20Sharp%20Disclosure%20Dec.pdf?t=202309190901460	2021_07_Wayne-Sharp.pdf	202309
2021	Robert M. Hale	Mayor		yes	summary	December 2021	Robert M. Hale Disclosure December 2021	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Robert M Hale Disclosure D.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Robert%20M%20Hale%20Disclosure%20D.pdf?t=202309190901460	2021_08_Robert-M-Hale.pdf	202309
2021	Bryant Brown	Council	4	yes	summary	December 2021	Bryant Brown Disclosure December 2021	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/Bryant Brown Disclosure De.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/Bryant%20Brown%20Disclosure%20De.pdf?t=202309190901460	2021_09_Bryant-Brown.pdf	202309
2021	Marcus Stevenson	Mayor		yes	summary		12.2StevensonDisclosure	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/122StevensonDisclosure.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/122StevensonDisclosure.pdf?t=202309190901460	2021_10_Marcus-Stevenson.pdf	202309
2021	Dustin Gettel	Council	5	yes	summary	December 2021	2021 Campaign Finance Disclosures (Gettel - December 2021)	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2021/2021 Campaign Finance Disc.pdf?t=202309190901460	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2021/2021%20Campaign%20Finance%20Disc.pdf?t=202309190901460	2021_11_Dustin-Gettel.pdf	202309
2019	Alan Anderson	Council	1	yes	interim	October 2019	Alan Anderson October 2019	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Alan Anderson October 2019.pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Alan%20Anderson%20October%202019.pdf?t=202309190901470	2019_01_Alan-Anderson.pdf	202309
2019	Bart Benson	Council	3	yes	interim	October 2019	Bart Benson October 2019	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Bart Benson October 2019.pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Bart%20Benson%20October%202019.pdf?t=202309190901470	2019_02_Bart-Benson.pdf	202309
2019	Eric Chamberlain	Council	2	yes	interim	August 6, 2019	Eric Chamberlain Campaign Financial Disclosure August 6, 2019	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Eric Chamberlain Campaign .pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Eric%20Chamberlain%20Campaign%20.pdf?t=202309190901470	2019_03_Eric-Chamberlain.pdf	202309
2019	Eric Chamberlain	Council	2	yes	interim	September 12, 2019	Eric Chamberlain September 12, 2019	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Eric Chamberlain September.pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Eric%20Chamberlain%20September.pdf?t=202309190901470	2019_04_Eric-Chamberlain.pdf	202309
2019	Heidi Robinson	Council	3	yes	interim	October 2019	Heidi Robinson October 2019	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Heidi Robinson October 201.pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Heidi%20Robinson%20October%20201.pdf?t=202309190901470	2019_05_Heidi-Robinson.pdf	202309
2019	Paul Glover	Council	2	yes			Paul Glover Campaign Finance Statement	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Paul Glover Campaign Finan.pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Paul%20Glover%20Campaign%20Finan.pdf?t=202309190901470	2019_06_Paul-Glover.pdf	202309
2019	Paul Glover	Council	2	yes	interim	October 2019	Paul Glover October 2019	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Paul Glover October 2019.pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Paul%20Glover%20October%202019.pdf?t=202309190901470	2019_07_Paul-Glover.pdf	202309
2019	Quinn Sperry	Council	1	yes			Quinn Sperry Campaign Finance Statement	Document Center/Government/Departments/Recorders Office/Campaign Financial Disclosures/2019/Quinn Sperry Campaign Fina.pdf?t=202309190901470	https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Campaign%20Financial%20Disclosures/2019/Quinn%20Sperry%20Campaign%20Fina.pdf?t=202309190901470	2019_08_Quinn-Sperry.pdf	202309
