ordinance_no,adoption_date,land_use_type,code_titles,code_title_names,motion_id,match_confidence,source_url,notes
2005-14,2005-12-06,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2006-05,2006-04-25,non_land_use,5,Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2006-16,2006-12-05,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2007-01,2007-01-23,non_land_use,6,Animals,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2007-03,2007-02-13,non_land_use,5,Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2007-07,2007-09-11,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2007-16,2007-11-27,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2008-05,2008-07-22,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2008-09,2008-11-11,non_land_use,13,Public Services,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2009-07,2009-09-22,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2009-08,2009-10-13,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2009-11,2009-11-24,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2010-07,2010-09-14,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2011-04,2011-05-24,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2011-09,2011-06-28,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2011-13,2011-09-13,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2011-18,2011-12-13,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2012-03,2012-04-24,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2012-12,2012-09-25,non_land_use,9,"Public Peace, Morals and Welfare",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2013-01,2013-01-08,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2013-02,2013-02-12,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2013-04,2013-03-12,non_land_use,10,Parking and Vehicles,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2013-06,2013-02-26,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2013-14,2013-10-08,non_land_use,10;12,"Parking and Vehicles; Rights of Way, Roadways, and Transportation Facilities",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2014-01,2014-02-25,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2014-03,2014-03-25,land_use,16;17,Subdivision Regulations; Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2014-06,2014-06-10,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2014-07,2014-06-10,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2014-11,2014-11-11,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2015-04,2015-03-24,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2015-05,2015-03-24,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2015-06,2015-03-24,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2015-12,2015-10-13,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-03,2016-04-26,land_use,16,Subdivision Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-04,2016-04-26,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-06,2016-05-10,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-07,2016-05-10,non_land_use,6,Animals,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-08,2016-06-28,non_land_use,2;5,Administration and Personnel; Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-10,2016-08-09,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-12,2016-08-23,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2016-13,2016-08-23,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2017-02,2017-03-14,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2017-03,2017-03-28,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2017-09,2017-10-24,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2017-10,2017-10-24,non_land_use,5,Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-01,2018-01-09,non_land_use,1,General Provisions,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-02,2018-03-27,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-06,2018-05-08,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-09,2018-08-14,land_use,16;17,Subdivision Regulations; Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-11,2018-09-15,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-14,2018-11-27,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-15,2018-12-11,non_land_use,10,Parking and Vehicles,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-16,2018-12-11,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2018-17,2018-12-11,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
19-02,,non_land_use,6,Animals,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2019-07,2019-11-26,non_land_use,8,Health and Safety,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2019-08,2019-11-26,land_use,17,Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2019-09,2019-12-10,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2019-10,2019-12-03,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2019-11,2019-12-03,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2020-01,2020-02-25,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2020-02,,land_use,16;17,Subdivision Regulations; Zoning Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2020-05,,non_land_use,12,"Rights of Way, Roadways, and Transportation Facilities",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2020-06,2020-04-28,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2020-12,2020-11-10,non_land_use,3,Revenue and Finance,,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 1 Council motion(s) name this ordinance but none is a verified enacting roll call (no passing adoption motion under its own agenda item on a consistent date)
2020-15,2020-12-01,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2021-02,2021-01-12,non_land_use,12,"Rights of Way, Roadways, and Transportation Facilities",,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2021-03,,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2021-05,2021-04-13,non_land_use,5,Business Licenses and Regulations,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2021-09,,land_use,15,Buildings and Construction,,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 2 Council motion(s) name this ordinance but none is a verified enacting roll call (no passing adoption motion under its own agenda item on a consistent date)
2021-14,2021-04-27,land_use,17,Zoning Regulations,,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 1 Council motion(s) name this ordinance but none is a verified enacting roll call (no passing adoption motion under its own agenda item on a consistent date)
2021-15,2021-05-11,non_land_use,3,Revenue and Finance,1537,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2021-05-11 (motion_id 1537, unique; guards: number+agenda-item+date)"
2021-21,2021-09-28,land_use,17,Zoning Regulations,1623,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2021-09-28 (motion_id 1623, unique; guards: number+agenda-item+date)"
2021-22,2021-12-14,land_use,15;16;17;2;3;5;8,Buildings and Construction; Subdivision Regulations; Zoning Regulations; Administration and Personnel; Revenue and Finance; Business Licenses and Regulations; Health and Safety,1692,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2021-12-14 (motion_id 1692, unique; guards: number+agenda-item+date)"
2021-27,2021-12-14,non_land_use,2,Administration and Personnel,1698,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2021-12-14 (motion_id 1698, unique; guards: number+agenda-item+date)"
2021-28,2021-12-14,non_land_use,1,General Provisions,1696,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2021-12-14 (motion_id 1696, unique; guards: number+agenda-item+date)"
2022-01,2022-01-25,non_land_use,2,Administration and Personnel,,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 3 Council motion(s) name this ordinance but none is a verified enacting roll call (no passing adoption motion under its own agenda item on a consistent date)
2022-05,,non_land_use,2,Administration and Personnel,1751,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-02-22 (motion_id 1751, unique; guards: number+agenda-item+date)"
2022-06,,non_land_use,3,Revenue and Finance,1752,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-02-22 (motion_id 1752, unique, bundled roll call; guards: number+agenda-item+date)"
2022-07,,non_land_use,3,Revenue and Finance,1752,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-02-22 (motion_id 1752, unique, bundled roll call; guards: number+agenda-item+date)"
2022-08,,non_land_use,2,Administration and Personnel,1752,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-02-22 (motion_id 1752, unique, bundled roll call; guards: number+agenda-item+date)"
2022-09,,land_use,15,Buildings and Construction,1752,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-02-22 (motion_id 1752, unique, bundled roll call; guards: number+agenda-item+date)"
