=== stream council (year=all) ===
  [council] 2023-08-23 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-08-23 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-09-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-09-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-09-27 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-10-11 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-10-11 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-10-25 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-10-25 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-11-15 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-11-15 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-12-06 BoC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-12-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2023-12-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-01-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-01-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-01-24 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-01-24 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-02-07 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2024-02-07 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-02-21 SM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-02-28 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-02-28 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-03-06 SM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-03-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-03-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-03-27 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-03-27 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-04-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-04-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-04-24 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-04-24 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-05-08 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-05-22 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-05-22 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-06-05 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-06-05 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-06-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-06-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-07-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-07-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-07-31 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-07-31 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-08-07 TT: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-08-21 SM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-08-28 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-08-28 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-09-11 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-09-25 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-09-25 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-10-09 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-10-09 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-10-23 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-11-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-11-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2024-12-11 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-01-08 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-01-08 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-01-22 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-01-22 WM: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2025-02-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-02-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-02-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-02-26 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-03-12 RC: OK (178KB) Draft Minutes - Reg Council 20
  [council] 2025-03-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-03-26 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-03-26 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-04-02 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-04-02 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-04-23 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-04-23 WM: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2025-05-14 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-05-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-05-28 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-05-28 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-06-11 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2025-06-11 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-07-09 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-07-09 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-07-23 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-07-23 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-08-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-08-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-08-27 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2025-09-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-10-15 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-10-15 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-10-29 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2025-10-29 WM: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2025-11-12 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-11-12 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-11-18 BoC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-12-10 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2025-12-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-01-14 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2026-01-14 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-01-28 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-02-11 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-02-11 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-02-25 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-02-25 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-03-11 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-03-11 WM: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2026-03-25 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2026-03-25 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-04-15 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-04-15 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-04-29 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-04-29 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-05-13 RC: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-05-13 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-05-27 RC: UNRECOVERED (only candidate(s) >22MB (agenda packet))
  [council] 2026-05-27 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  [council] 2026-06-10 WM: UNRECOVERED (agenda-only/minutes-not-posted)
  -> recovered 1, skipped(existing) 19, unrecovered 253
