ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,motion_type,doc_type
2023-012,2023-08-17,2023-08-17,"approve Ordinance No. 2023-012 changing the zone from M & G (Mining & Grazing) to PD-C (Planned Development Commercial) on approximately 13.385 acres, with the conditions of the Planning Commission as follows: 1) a 6’4” solid fence shall be erected along all sides and rear property line located adjacent to any use for the RV Resort site; 2) dedicate 60’ public road and at least 32’ of pavement with curb and gutter with the plat; and 3) the northern portion (hobby garages) cannot be developed until all the land in Area 6 (Tortoise Reserve) is adjusted and the portion encroaching is taken out of Area 6.",meeting_minutes/minutes/2023/2023-08-14/2023-08-17_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-17,5,within_source,Land-Use/Zoning,ordinance
2023-013,2023-08-17,2023-08-17,"approve Ordinance No. 2023-013 amending an approved PD-C (Planned Development Commercial) on approximately 4.06 acres, located at Dixie Downs Rd and Snow Canyon Pkwy for the purpose of building three professional office buildings for a project to be known as Precision Professional Plaza, with conditions from the Planning Commission.",meeting_minutes/minutes/2023/2023-08-14/2023-08-17_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-17,6,within_source,Land-Use/Zoning,ordinance
2023-014,2023-08-17,2023-08-17,"approve Ordinance No. 2023-014 amending an approved PD-C (Planned Development Commercial) on approximately .86 acres, located on the southeast corner of River Road and George Washington Boulevard for the purpose of adding a 5,230 square foot restaurant for a project to be known as McDonald’s, with a condition from the Planning Commission.",meeting_minutes/minutes/2023/2023-08-14/2023-08-17_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-17,7,within_source,Land-Use/Zoning,ordinance
2023-015,2023-08-24,2023-08-24,approve Ordinance No. 2023-015 vacating an existing right of way easement for utilities located St. George City Council Regular Meeting Minutes between 600 South Street and 700 South Street and also 800 East Street and southbound I-15.,meeting_minutes/minutes/2023/2023-08-21/2023-08-24_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-24,1,within_source,Land-Use/Zoning,ordinance
2023-016,2023-08-24,2023-08-24,approve Ordinance No. 2023-016 changing the zone from C-2 (Commercial) to PD-C (Planned Development Commercial) on approximately 2.83 acres located at 3270 East Flowers Way to build Fire Station #10 on the property.,meeting_minutes/minutes/2023/2023-08-21/2023-08-24_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-08-24,3,within_source,Land-Use/Zoning,ordinance
2023-018,2023-09-21,2023-09-21,"approve Ordinance No. 2023-018 amending the City zoning map by amending the existing Desert Color Planned Development Residential (PDR) zone on approximately 1.91 acres to approve new civic space including a pool and park in the Desert Color development with conceptual site plan, landscape plans, materials, and elevations, located generally between Emerald Point Drive, Green Mountain Drive, Kelly Lane, and Pebble Glen Lane to be known as Sage Haven Emerald Pool Park with a condition from the Planning Commission.",meeting_minutes/minutes/2023/2023-09-18/2023-09-21_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-09-21,6,within_source,Land-Use/Zoning,ordinance
2023-019,2023-09-21,2023-09-21,"approve Ordinance No. 2023-019 amending the City Zoning Map by amending the zone from A-20 (Agricultural, 20-acre minimum lot size) to A-1 (Agricultural, 40,000 square foot minimum lot size) on approximately 4.25 acres located in the southeast quadrant of the intersection of 2450 South Street and 3430 East Street for the purpose of amending and extending the Crimson Estates final plat for a project to be known as Crimson Estates 2450 S and 3500.",meeting_minutes/minutes/2023/2023-09-18/2023-09-21_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-09-21,7,within_source,Land-Use/Zoning,ordinance
2023-020,2023-09-21,2023-09-21,"approve Ordinance No. 2023-020 amending the Divario Development Agreement Master Plan in order to modify allowed density from medium density to high density for Planning Area 2 (PA-2), and transferring 127 units from PA-13 to PA-2 and amending the city zoning map by amending the zoning on PA-2 from R-1-10 to PD-R, located generally southwest of the Gap Canyon Parkway and 1790 West intersection for the purpose of allowing a 450 unit multi-family development to be known as Allora Village, with conditions from Planning Commission pertaining to Power, Fire, Parks, Engineering, and Planning including the road easement discussed for Fire, the completion of either Sky Rocket Road or Gap Canyon, or both, for an additional exit on to 1600 or Dixie Drive, no additional recommendations in regards to parking, and to add orange fencing to the undisturbed area to ensure that it remains undisturbed when doing site work.",meeting_minutes/minutes/2023/2023-09-18/2023-09-21_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,3-1 Pass (The motion carried.),2023-09-21,8,within_source,Land-Use/Zoning,ordinance
2023-021,2023-10-05,2023-10-05,approve Ordinance No. 2023-021 amending City code regarding camping in public places.,meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-1 Pass (The motion carried.),2023-10-05,4,within_source,Ordinance,ordinance
2023-022,2023-10-05,2023-10-05,"deny Ordinance No. 2023-022 amending the City Zoning Map by amending the zone from R-1-10 (Single Family 10,000 square foot minimum lot size) to R-3 (Multiple Family Residential) on approximately 0.29 acres generally located at 151 Sir Monte Drive for the purpose of creating consistent zoning on this split-zoned parcel, adding that the applicant return with a PD-R zone to consider at that time.",meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-10-05,5,within_source,Land-Use/Zoning,ordinance
2023-023,2023-10-05,2023-10-05,"approve Ordinance No. 2023-023 amending an approved PD-C (Planned Development Commercial) on approximately 1.36 acres, located at approximately 2700 East Mall Drive for the purpose of adding a 10,000 square foot retail building for a project to be known as Walgreens, and amending the use list on the larger 5.17 acre, lot 5 of Fields at Mall Drive Phase 2, with conditions from the Planning Commission that include the cross access easement with Revere Health for lot 5.",meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-10-05,6,within_source,Land-Use/Zoning,ordinance
2023-024,2023-10-05,2023-10-05,approve Ordinance No. 2023-024 amending an approved PD-R (Planned Development Residential) on approximately 10.01 acres located at 800 West Tonaquint Drive for the purpose of developing 89 townhomes for a project to be known as Tonaquint Townhomes.,meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-10-05,7,within_source,Land-Use/Zoning,ordinance
2023-025,2023-10-05,2023-10-05,"approve Ordinance No. 2023-025 amending the existing Grand View Planned Development Residential (PD-R) zone on approximately 20.61 acres to amend the approved Grand View Townhomes with conceptual site plan, landscape plans, materials, and elevations, located generally between Canyon View Drive and Skyrocket Road west of Dixie Drive to be known as Grand View Townhomes with conditions from the Planning Commission and staff.",meeting_minutes/minutes/2023/2023-10-02/2023-10-05_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-10-05,9,within_source,Land-Use/Zoning,ordinance
2023-026,2023-10-19,2023-10-19,approve Ordinance No. 2023-026 amending City code 1-10B regarding Purchasing Policy - Contracts.,meeting_minutes/minutes/2023/2023-10-16/2023-10-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-10-19,2,within_source,Contract/Purchase,ordinance
2023-027,2023-10-19,2023-10-19,"approve Ordinance No. 2023-027 amending an approved Planned Development Commercial (PD-C) zone on approximately 0.72 acres, located at 1664 South Dixie Drive for the purpose of building a new food/retail building for a project to be known as Dixie Commons Lot 9.",meeting_minutes/minutes/2023/2023-10-16/2023-10-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-10-19,3,within_source,Land-Use/Zoning,ordinance
2023-028,2023-10-19,2023-10-19,"approve Ordinance No. 2023-028 amending an approved Planned Development Commercial (PD-C) zone on approximately 2.21 acres, located at 1664 South Dixie Drive for the purpose of building a new office.",meeting_minutes/minutes/2023/2023-10-16/2023-10-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-10-19,4,within_source,Land-Use/Zoning,ordinance
2023-029,2023-10-19,2023-10-19,approve Ordinance No. 2023-029 amending the Desert Color Planned Development Residential (PD- R) zone on approximately 0.90 acres to approve updated building elevations of previously approved residential buildings located generally west of the Marilla Drive and Pura Lane intersection to be known as Desert Color Resort Phase 4B with a condition from the Planning Commission that all units meet the required parking.,meeting_minutes/minutes/2023/2023-10-16/2023-10-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-10-19,5,within_source,Land-Use/Zoning,ordinance
2023-03,2023-04-06,2023-04-06,"A motion was made by Councilmember Tanner ordinance amending Ordinance No. 2023-03-003 adopting a temporary regulation suspending the permitting or processing of special event permits under Title 3, Chapter 10 of the City code.",meeting_minutes/minutes/2023/2023-04-03/2023-04-06_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-04-06,2,within_source,Ordinance,ordinance
2023-032,2023-11-02,2023-11-02,approve Ordinance No. 2023-032 amending the City general plan future land-use map from LDR (Low Density Residential) to COM (Commercial) on approximately 18.69 acres generally located on the north side of Riverside Drive between approximately 800 East and 1050 East for a project to be known as Riverside Drive Property.,meeting_minutes/minutes/2023/2023-10-30/2023-11-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-11-02,2,within_source,Land-Use/Zoning,ordinance
2023-033,2023-11-02,2023-11-02,approve Ordinance No. 2023-033 to amend the City zoning map by amending the zone from R-2 (Multiple Family) to PD-C (Planned Development Commercial) on approximately 2.20 acres generally located at 85 South 400 East Street for the purpose of building Fire Station 1 on this property with the recommendations from the Planning Commission.,meeting_minutes/minutes/2023/2023-10-30/2023-11-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-11-02,3,within_source,Land-Use/Zoning,ordinance
2023-034,2023-11-02,2023-11-02,"approve Ordinance No. 2023-034 amending the City zoning map from RE-20 (Residential Estates, 20,000 sq ft minimum lot size) to A-1 (Agricultural) on approximately 2.48 acres generally located at approximately 2650 East Seegmiller Drive for the purpose of creating consistent zoning on this split-zoned parcel.",meeting_minutes/minutes/2023/2023-10-30/2023-11-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2023-11-02,4,within_source,Land-Use/Zoning,ordinance
2023-036,2023-11-16,2023-11-16,"approve Ordinance No. 2023-036 amending the existing Rillisante Villas Planned Development Residential (PD-R) zone on approximately 24.10 acres to amend the approved Rillisante Villas development with conceptual site plan and elevations, located generally on the west side of the intersection of Canyon View Drive and Gap Canyon Parkway to be known as Rillisante Villas with conditions from the Planning Commission.",meeting_minutes/minutes/2023/2023-11-13/2023-11-16_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-11-16,4,within_source,Land-Use/Zoning,ordinance
2023-037,2023-11-16,2023-11-16,"approve Ordinance No. 2023-037 amending the city zoning map by extending approvals for the zoning on the subject property of R-1-20 (Residential Single Family 20,000 square feet minimum lot size) on approximately 18.62 acres located approximately at the southeast corner of 1580 South 3000 East for a project to be known as The Grove.",meeting_minutes/minutes/2023/2023-11-13/2023-11-16_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-11-16,6,within_source,Land-Use/Zoning,ordinance
2023-038,2023-11-16,2023-11-16,approve Ordinance No. 2023-038 amending the city zoning map by amending the zone from PD-R (Planned Development Residential) to C-3 (General Commercial) on approximately 3.0 acres generally located on the east side of Riverside Drive at approximately 700 South.,meeting_minutes/minutes/2023/2023-11-13/2023-11-16_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-11-16,8,within_source,Land-Use/Zoning,ordinance
2023-039,2023-11-16,2023-11-16,"approve Ordinance No. 2023-039 amending Title 3 and Title 10 of the St. George City Code, to add provisions for temporary parking lot businesses to Title 3 and remove for mobile businesses from Title 10.",meeting_minutes/minutes/2023/2023-11-13/2023-11-16_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2023-11-16,10,within_source,Ordinance,ordinance
2023-040,2023-12-07,2023-12-07,"approve Ordinance No. 2023-040 to vacate a portion of a municipal utility easement located in common area around Lot 3, Avenidas at Hidden Valley.",meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,3-0 Pass (The vote was unanimous and the motion carried.),2023-12-07,2,within_source,Land-Use/Zoning,ordinance
2023-041,2023-12-07,2023-12-07,"approve Ordinance No. 2023-041 amending Title 8, Chapter 6, Section 2 and Section 3, Stormwater Services of the City Code to clarify and adjust the Equivalent Residential Unit (ERU) calculation.",meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,3-0 Pass (The vote was unanimous and the motion carried.),2023-12-07,3,within_source,Ordinance,ordinance
2023-042,2023-12-07,2023-12-07,"approve Ordinance No. 2023-042 amending an approved PD-C (Planned Development Commercial) and adopting a development agreement on approximately 2.23 acres, located at 1685 East Red Hills Parkway for the purpose of adding a 6,900-square foot addition to an existing commercial business for a project to be known as Factory Powersports.",meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,3-0 Pass (The vote was unanimous and the motion carried.),2023-12-07,4,within_source,Land-Use/Zoning,ordinance
2023-043,2023-12-07,2023-12-07,"approve Ordinance No. 2023-043 amending an approved PD-C (Planned Development Commercial) on approximately 18 acres, generally located on the southeast corner of River Road and George Washington Boulevard for the purpose of amending the elevations on five of the previously approved buildings and approving six of the building elevations not previously approved and approving a legislative exception for a removal of a wall on the south end of the site, for a project known as River Crossing, with conditions from the Planning Commission.",meeting_minutes/minutes/2023/2023-12-04/2023-12-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,3-0 Pass (The vote was unanimous and the motion carried.),2023-12-07,5,within_source,Land-Use/Zoning,ordinance
2024-001,2024-01-04,2024-01-04,"approve Ordinance No. 2024-001 to vacate a portion of a municipal utility easement located between Lots 1 and 2, Crimson Ranch Estates Phase 1.",meeting_minutes/minutes/2024/2024-01-01/2024-01-04_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-01-04,2,within_source,Land-Use/Zoning,ordinance
2024-002,2024-01-04,2024-01-04,"approve Ordinance No. 2024-002 amending the approved Viviano at Red Cliffs Planned Development Residential (PD-R) zone on approximately 48.59 acres, located east of 3000 east street and north of 1140 south for the purpose of redesigning the layout, approving building elevations and unit count (300) for a project to be known as Viviano at Red Cliffs and amending the zoning on approximately 3.5 acres from PD-C (Planned Development Commercial) to PD-R (Planned Development Residential), with the conditions from the Planning Commission as well as working with staff on the traffic signal as needed and share in the cost of a said traffic signal.",meeting_minutes/minutes/2024/2024-01-01/2024-01-04_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-01-04,7,within_source,Land-Use/Zoning,ordinance
2024-003,2024-01-04,2024-01-04,"approve Ordinance No. 2024-003 changing the zone from RE 12.5 (Residential Estates minimum lot size 12,500 sq. ft.) and OS (Open Space) to A-1 (Agriculture 1-acre minimum lot size) on approximately 1.6 acres located at the corner of Quarry Ridge Drive and Knolls Drive to develop a single-family residential lot to be known as the Lex Ence Property.",meeting_minutes/minutes/2024/2024-01-01/2024-01-04_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-01-04,9,within_source,Land-Use/Zoning,ordinance
2024-004,2024-01-04,2024-01-04,approve Ordinance No. 2024-004 changing the zone from A-1 (Agriculture 1-acre minimum lot size) to R-1-10 (Single Family Residential 10.000 minimum sq. ft. lot size) on approximately 15.373 acres located at approximately at 2890 South Maple Crest Drive to develop 44 single family residential lots.,meeting_minutes/minutes/2024/2024-01-01/2024-01-04_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-01-04,10,within_source,Land-Use/Zoning,ordinance
2024-008,2024-02-01,2024-02-01,approve Ordinance No. 2024-008 amending the city general plan future land-use map from LDR (Low Density Residential) to COM (Commercial) on approximately 1.22 acres located on the northwest corner of Sugar Leo Drive and Pioneer Road for a project to be known as the Manning Property for Dixie Power.,meeting_minutes/minutes/2024/2024-01-29/2024-02-01_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-02-01,6,within_source,Land-Use/Zoning,ordinance
2024-009,2024-02-01,2024-02-01,"approve Ordinance No. 2024-009 amending Title 10-10-1, Airport Vicinity Zones, of the St. George City Code, to add Airport Lounge as a permitted use in the ASBP (Airport Supporting Business Park) zone.",meeting_minutes/minutes/2024/2024-01-29/2024-02-01_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-02-01,9,within_source,Ordinance,ordinance
2024-010,2024-03-07,2024-03-07,approve Ordinance No. 2024-010 vacating a portion of a roadway located between Lots 11 & 30 of Woodhaven Estates Subdivision and Crimson Cliffs Way.,meeting_minutes/minutes/2024/2024-03-04/2024-03-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-03-07,3,within_source,Land-Use/Zoning,ordinance
2024-011,2024-03-07,2024-03-07,"approve Ordinance No. 2024-011 to vacate a portion of a public utility easement evidenced by Entry No. 855330, The Cliffs of Snow Canyon Plat ‘D’, and also Entry No. 941253, The Cliffs of Snow Canyon Plat ‘F’.",meeting_minutes/minutes/2024/2024-03-04/2024-03-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-03-07,4,within_source,Land-Use/Zoning,ordinance
2024-012,2024-03-07,2024-03-07,"approve Ordinance No. 2024-012 amending an approved PD-C (Planned Development Commercial) on approximately 0.75 acres, located generally southeast of Pioneer Road on the existing private road, south of the existing office building and west of the I-15 exit 2 south-bound off ramp for the purpose of building a Del Taco restaurant, with the recommendations from the Planning Commission and staff.",meeting_minutes/minutes/2024/2024-03-04/2024-03-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-03-07,7,within_source,Land-Use/Zoning,ordinance
