date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,filing_phase,source,source_id,in_election_results,election_winner,date_precision,pages,text_chars
2021-10-27,Lars Nordfelt,Council,2021,interim,,Lars Nordfelt - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3510,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3510_Lars-Nordfelt-General-Financial-Disclosure.pdf,At-Large,general,city_archive_center,ADID3510,yes,True,inferred,3,5350
2021-11-30,Lars Nordfelt,Council,2021,summary,,Lars Nordfelt - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3509,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3509_Lars-Nordfelt-Final-Campaign-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3509,yes,True,inferred,2,1454
2021-10-27,Lindie Sue Beaudoin,Council,2021,interim,,Lindie Sue Beaudoin - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3512,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3512_Lindie-Sue-Beaudoin-General-Financial-Disclosure.pdf,At-Large,general,city_archive_center,ADID3512,yes,False,inferred,3,2288
2021-11-30,Lindie Sue Beaudoin,Council,2021,summary,,Lindie Sue Beaudoin - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3511,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3511_Lindie-Sue-Beaudoin-Final-Campaign-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3511,yes,False,inferred,3,1547
2021-08-05,Philip Wayman,Council,2021,interim,,Philip Wayman - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3514,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3514_Philip-Wayman-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3514,no,,inferred,3,1524
2021-11-30,Philip Wayman,Council,2021,summary,,Philip Wayman - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3513,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3513_Philip-Wayman-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3513,no,,inferred,1,380
2021-08-05,Scott Harmon,Council,2021,interim,,Scott Harmon - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3517,2026-07-06,text,pdftotext -layout,raw/2021_3517_Scott-Harmon-Primary-Financial-Disclosure.pdf,2,primary,city_archive_center,ADID3517,yes,True,inferred,3,2764
2021-10-27,Scott Harmon,Council,2021,interim,,Scott Harmon - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3516,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3516_Scott-Harmon-General-Financial-Disclosure.pdf,2,general,city_archive_center,ADID3516,yes,True,inferred,3,2293
2021-11-30,Scott Harmon,Council,2021,summary,,Scott Harmon - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3515,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3515_Scott-Harmon-Final-Campaign-Financial-Disclosure.pdf,2,final,city_archive_center,ADID3515,yes,True,inferred,3,1674
2021-08-05,Steve Buhler,Mayor,2021,interim,,Steve Buhler - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3520,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3520_Steve-Buhler-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3520,yes,False,inferred,6,5903
2021-10-27,Steve Buhler,Mayor,2021,interim,,Steve Buhler - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3519,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3519_Steve-Buhler-General-Financial-Disclosure.pdf,,general,city_archive_center,ADID3519,yes,False,inferred,10,9271
2021-11-30,Steve Buhler,Mayor,2021,summary,,Steve Buhler - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3518,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3518_Steve-Buhler-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3518,yes,False,inferred,10,9640
2021-08-05,Tom Huynh,Council,2021,interim,,Tom Huynh - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3522,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3522_Tom-Huynh-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3522,no,,inferred,3,3284
2021-11-30,Tom Huynh,Council,2021,summary,,Tom Huynh - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3521,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2021_3521_Tom-Huynh-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3521,no,,inferred,3,1911
2023-08-05,Darrell Curtis,Council,2023,interim,,Darrell Curtis - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3524,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3524_Darrell-Curtis-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3524,no,,inferred,3,1803
2023-11-30,Darrell Curtis,Council,2023,summary,,Darrell Curtis - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3523,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3523_Darrell-Curtis-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3523,no,,inferred,3,1992
2023-08-05,Don Christensen,Council,2023,interim,,Don Christensen - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3528,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3528_Don-Christensen-Primary-Financial-Disclosure.pdf,At-Large,primary,city_archive_center,ADID3528,yes,True,inferred,3,3997
2023-09-15,Don Christensen,Council,2023,interim,,Don Christensen - Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3527,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3527_Don-Christensen-Post-Primary-Financial-Disclosure.pdf,At-Large,post-primary,city_archive_center,ADID3527,yes,True,inferred,3,4562
2023-10-27,Don Christensen,Council,2023,interim,,Don Christensen - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3526,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3526_Don-Christensen-General-Financial-Disclosure.pdf,At-Large,general,city_archive_center,ADID3526,yes,True,inferred,3,4579
2023-11-30,Don Christensen,Council,2023,summary,,Don Christensen - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3525,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3525_Don-Christensen-Final-Campaign-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3525,yes,True,inferred,3,4880
2023-08-05,Heidi Roggenbuck,Council,2023,interim,,Heidi Roggenbuck - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3532,2026-07-06,text,pdftotext -layout,raw/2023_3532_Heidi-Roggenbuck-Primary-Financial-Disclosure.pdf,3,primary,city_archive_center,ADID3532,yes,False,inferred,3,5864
2023-09-15,Heidi Roggenbuck,Council,2023,interim,,Heidi Roggenbuck - Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3531,2026-07-06,text,pdftotext -layout,raw/2023_3531_Heidi-Roggenbuck-Post-Primary-Financial-Disclosure.pdf,3,post-primary,city_archive_center,ADID3531,yes,False,inferred,3,5971
2023-10-27,Heidi Roggenbuck,Council,2023,interim,,Heidi Roggenbuck - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3530,2026-07-06,text,pdftotext -layout,raw/2023_3530_Heidi-Roggenbuck-General-Financial-Disclosure.pdf,3,general,city_archive_center,ADID3530,yes,False,inferred,4,5887
2023-11-30,Heidi Roggenbuck,Council,2023,summary,,Heidi Roggenbuck - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3529,2026-07-06,text,pdftotext -layout,raw/2023_3529_Heidi-Roggenbuck-Final-Campaign-Financial-Disclosure.pdf,3,final,city_archive_center,ADID3529,yes,False,inferred,3,6006
2023-08-05,Jacob Gonzalez,Council,2023,interim,,Jacob Gonzalez - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3534,2026-07-06,text,pdftotext -layout,raw/2023_3534_Jacob-Gonzalez-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3534,no,,inferred,4,7050
2023-11-30,Jacob Gonzalez,Council,2023,summary,,Jacob Gonzalez - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3533,2026-07-06,text,pdftotext -layout,raw/2023_3533_Jacob-Gonzalez-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3533,no,,inferred,3,6007
2023-08-05,James (Jack) Fenn,Council,2023,interim,,James (Jack) Fenn - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3536,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3536_James-Jack-Fenn-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3536,no,,inferred,4,1777
2023-11-30,James (Jack) Fenn,Council,2023,summary,,James (Jack) Fenn - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3535,2026-07-06,text,pdftotext -layout,raw/2023_3535_James-Jack-Fenn-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3535,no,,inferred,3,6448
2023-08-05,Jesus Jimenez-Vivanco,Council,2023,interim,,Jesus Jimenez-Vivanco - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3538,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3538_Jesus-Jimenez-Vivanco-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3538,no,,inferred,3,1949
2023-11-30,Jesus Jimenez-Vivanco,Council,2023,summary,,Jesus Jimenez-Vivanco - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3537,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3537_Jesus-Jimenez-Vivanco-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3537,no,,inferred,3,1701
2023-08-05,Jim Vesock,Council,2023,interim,,Jim Vesock - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3540,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3540_Jim-Vesock-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3540,no,,inferred,3,2180
2023-11-30,Jim Vesock,Council,2023,summary,,Jim Vesock - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3539,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3539_Jim-Vesock-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3539,no,,inferred,1,926
2023-08-05,Marni LeFevre,Council,2023,interim,,Marni LeFevre - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3544,2026-07-06,text,pdftotext -layout,raw/2023_3544_Marni-LeFevre-Primary-Financial-Disclosure.pdf,1,primary,city_archive_center,ADID3544,yes,False,inferred,4,11317
2023-09-15,Marni LeFevre,Council,2023,interim,,Marni LeFevre - Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3543,2026-07-06,text,pdftotext -layout,raw/2023_3543_Marni-LeFevre-Post-Primary-Financial-Disclosure.pdf,1,post-primary,city_archive_center,ADID3543,yes,False,inferred,3,4790
2023-10-27,Marni LeFevre,Council,2023,interim,,Marni LeFevre - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3542,2026-07-06,text,pdftotext -layout,raw/2023_3542_Marni-LeFevre-General-Financial-Disclosure.pdf,1,general,city_archive_center,ADID3542,yes,False,inferred,3,3544
2023-11-30,Marni LeFevre,Council,2023,summary,,Marni LeFevre - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3541,2026-07-06,text,pdftotext -layout,raw/2023_3541_Marni-LeFevre-Final-Campaign-Financial-Disclosure.pdf,1,final,city_archive_center,ADID3541,yes,False,inferred,3,3649
2023-08-05,Richard Nowak,Council,2023,interim,,Richard Nowak - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3546,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3546_Richard-Nowak-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3546,no,,inferred,3,2235
2023-11-30,Richard Nowak,Council,2023,summary,,Richard Nowak - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3545,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3545_Richard-Nowak-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3545,no,,inferred,3,1660
2023-08-05,Sophia Hawes-Tingey,Council,2023,interim,,Sophia Hawes-Tingey - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3550,2026-07-06,text,pdftotext -layout,raw/2023_3550_Sophia-Hawes-Tingey-Primary-Financial-Disclosure.pdf,At-Large,primary,city_archive_center,ADID3550,yes,False,inferred,4,7531
2023-09-15,Sophia Hawes-Tingey,Council,2023,interim,,Sophia Hawes-Tingey - Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3549,2026-07-06,text,pdftotext -layout,raw/2023_3549_Sophia-Hawes-Tingey-Post-Primary-Financial-Disclosure.pdf,At-Large,post-primary,city_archive_center,ADID3549,yes,False,inferred,4,4037
2023-10-27,Sophia Hawes-Tingey,Council,2023,interim,,Sophia Hawes-Tingey - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3548,2026-07-06,text,pdftotext -layout,raw/2023_3548_Sophia-Hawes-Tingey-General-Financial-Disclosure.pdf,At-Large,general,city_archive_center,ADID3548,yes,False,inferred,4,2873
2023-11-30,Sophia Hawes-Tingey,Council,2023,summary,,Sophia Hawes-Tingey - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3547,2026-07-06,text,pdftotext -layout,raw/2023_3547_Sophia-Hawes-Tingey-Final-Campaign-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3547,yes,False,inferred,4,3429
2023-08-05,Steven J Rose,Council,2023,interim,,Steven J Rose - Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3552,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3552_Steven-J-Rose-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3552,no,,inferred,1,964
2023-11-30,Steven J Rose,Council,2023,summary,,Steven J Rose - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3551,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3551_Steven-J-Rose-Final-Campaign-Financial-Disclosure.pdf,,final,city_archive_center,ADID3551,no,,inferred,3,1728
2023-10-27,Tom Huynh,Council,2023,interim,,Tom Huynh - General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3554,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3554_Tom-Huynh-General-Financial-Disclosure.pdf,1,general,city_archive_center,ADID3554,yes,True,inferred,3,1872
2023-11-30,Tom Huynh,Council,2023,summary,,Tom Huynh - Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3553,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2023_3553_Tom-Huynh-Final-Campaign-Financial-Disclosure.pdf,1,final,city_archive_center,ADID3553,yes,True,inferred,3,1928
2025-08-05,Amitonu Wesley Amosa,Council,2025,interim,,Amitonu Wesley Amosa- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3558,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3558_Amitonu-Wesley-Amosa-Primary-Financial-Disclosure.pdf,4,primary,city_archive_center,ADID3558,yes,False,inferred,8,4735
2025-09-15,Amitonu Wesley Amosa,Council,2025,interim,,Amitonu Wesley Amosa- Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3557,2026-07-06,text,pdftotext -layout,raw/2025_3557_Amitonu-Wesley-Amosa-Post-Primary-Financial-Disclosure.pdf,4,post-primary,city_archive_center,ADID3557,yes,False,inferred,3,2325
2025-10-27,Amitonu Wesley Amosa,Council,2025,interim,,Amitonu Wesley Amosa General Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3555,2026-07-06,text,pdftotext -layout,raw/2025_3555_Amitonu-Wesley-Amosa-General-Primary-Financial-Disclosure.pdf,4,general,city_archive_center,ADID3555,yes,False,inferred,3,6854
2025-11-30,Amitonu Wesley Amosa,Council,2025,summary,,Amitonu Wesley Amosa- Final Campaign Financial Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3556,2026-07-06,text,pdftotext -layout,raw/2025_3556_Amitonu-Wesley-Amosa-Final-Campaign-Financial-Statement.pdf,4,final,city_archive_center,ADID3556,yes,False,inferred,2,3337
2025-08-05,Cindy Wood,Council,2025,interim,,Cindy Wood- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3563,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3563_Cindy-Wood-Primary-Financial-Disclosure.pdf,4,primary,city_archive_center,ADID3563,yes,True,inferred,5,4118
2025-09-15,Cindy Wood,Council,2025,interim,,Cindy Wood- Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3562,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3562_Cindy-Wood-Post-Primary-Financial-Disclosure.pdf,4,post-primary,city_archive_center,ADID3562,yes,True,inferred,5,4727
2025-10-27,Cindy Wood,Council,2025,interim,,Cindy Wood General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3560,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3560_Cindy-Wood-General-Financial-Disclosure.pdf,4,general,city_archive_center,ADID3560,yes,True,inferred,5,5371
2025-11-30,Cindy Wood,Council,2025,summary,,Cindy Wood- Final Campaign Financial Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3561,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3561_Cindy-Wood-Final-Campaign-Financial-Statement.pdf,4,final,city_archive_center,ADID3561,yes,True,inferred,3,1706
2025-09-15,Danny George HR,Council,2025,interim,,Danny George HR- Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3564,2026-07-06,text,pdftotext -layout,raw/2025_3564_Danny-George-HR-Post-Primary-Financial-Disclosure.pdf,2,post-primary,city_archive_center,ADID3564,yes,False,inferred,3,5939
2025-10-09,Danny George Jr,Council,2025,interim,,Danny George JR- Declaration of Candidacy_202510090847529186,https://www.wvc-ut.gov/Archive.aspx?ADID=3566,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3566_Danny-George-JR-Declaration-of-Candidacy.pdf,2,declaration,city_archive_center,ADID3566,yes,False,day,2,4935
2025-10-27,Danny George JR,Council,2025,interim,,Danny George JR General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3565,2026-07-06,text,pdftotext -layout,raw/2025_3565_Danny-George-JR-General-Financial-Disclosure.pdf,2,general,city_archive_center,ADID3565,yes,False,inferred,3,5940
2025-11-30,Danny George JR,Council,2025,summary,,Danny George JR- Final Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3567,2026-07-06,text,pdftotext -layout,raw/2025_3567_Danny-George-JR-Final-Financial-Disclosure.pdf,2,final,city_archive_center,ADID3567,yes,False,inferred,3,5916
2025-08-05,Geovani Salazar,Council,2025,interim,,Campaign Finance Statement - 8-2025,https://www.wvc-ut.gov/Archive.aspx?ADID=3559,2026-07-06,text,pdftotext -layout,raw/2025_3559_Campaign-Finance-Statement-8-2025.pdf,,primary,city_archive_center,ADID3559,no,,inferred,3,7859
2025-08-05,Geovani Salazar,Council,2025,interim,,Geovani Salazar- Primary Financial Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3568,2026-07-06,text,pdftotext -layout,raw/2025_3568_Geovani-Salazar-Primary-Financial-Statement.pdf,,primary,city_archive_center,ADID3568,no,,inferred,3,7957
2025-09-15,Heidi Roggenbuck,Council,2025,interim,,Heidi Roggenbuck- Post Primary Financial Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3571,2026-07-06,text,pdftotext -layout,raw/2025_3571_Heidi-Roggenbuck-Post-Primary-Financial-Statement.pdf,At-Large,post-primary,city_archive_center,ADID3571,yes,False,inferred,3,6363
2025-10-09,Heidi Roggenbuck,Council,2025,interim,,Heidi Roggenbuck- Primary Financial Statement_202510090851571161,https://www.wvc-ut.gov/Archive.aspx?ADID=3572,2026-07-06,text,pdftotext -layout,raw/2025_3572_Heidi-Roggenbuck-Primary-Financial-Statement.pdf,At-Large,primary,city_archive_center,ADID3572,yes,False,day,4,5789
