year,election_type,office,contest,precinct,candidate,votes
2025,municipal general,Council,Vineyard City Council,25VI04,EZRA NAIR,16
2025,municipal primary,Council,Vineyard City Council,25VI04,JACOB WOOD,11
2025,municipal general,Council,Vineyard City Council,25VI04,JACOB WOOD,12
2025,municipal primary,Council,Vineyard City Council,25VI04,PARKER MCCUMBER,5
2025,municipal general,Council,Vineyard City Council,25VI04,PARKER MCCUMBER,18
2025,municipal primary,Council,Vineyard City Council,25VI04,STEVE TERRY,3
2025,municipal primary,Council,Vineyard City Council,25VI04,TERRY EWING,8
2025,municipal primary,Council,Vineyard City Council,25VI05,BRETT CLAWSON,17
2025,municipal general,Council,Vineyard City Council,25VI05,BRETT CLAWSON,39
2025,municipal primary,Council,Vineyard City Council,25VI05,CADEN RHOTON,25
2025,municipal general,Council,Vineyard City Council,25VI05,CADEN RHOTON,53
2025,municipal primary,Council,Vineyard City Council,25VI05,DAVID LAURET,5
2025,municipal general,Council,Vineyard City Council,25VI05,DAVID LAURET,47
2025,municipal primary,Council,Vineyard City Council,25VI05,EZRA NAIR,21
2025,municipal general,Council,Vineyard City Council,25VI05,EZRA NAIR,49
2025,municipal primary,Council,Vineyard City Council,25VI05,JACOB WOOD,35
2025,municipal general,Council,Vineyard City Council,25VI05,JACOB WOOD,68
2025,municipal primary,Council,Vineyard City Council,25VI05,PARKER MCCUMBER,28
2025,municipal general,Council,Vineyard City Council,25VI05,PARKER MCCUMBER,50
2025,municipal primary,Council,Vineyard City Council,25VI05,STEVE TERRY,11
2025,municipal primary,Council,Vineyard City Council,25VI05,TERRY EWING,13
2025,municipal primary,Council,Vineyard City Council,25VI06,BRETT CLAWSON,119
2025,municipal general,Council,Vineyard City Council,25VI06,BRETT CLAWSON,208
2025,municipal primary,Council,Vineyard City Council,25VI06,CADEN RHOTON,99
2025,municipal general,Council,Vineyard City Council,25VI06,CADEN RHOTON,139
2025,municipal primary,Council,Vineyard City Council,25VI06,DAVID LAURET,110
2025,municipal general,Council,Vineyard City Council,25VI06,DAVID LAURET,230
2025,municipal primary,Council,Vineyard City Council,25VI06,EZRA NAIR,154
2025,municipal general,Council,Vineyard City Council,25VI06,EZRA NAIR,270
2025,municipal primary,Council,Vineyard City Council,25VI06,JACOB WOOD,124
2025,municipal general,Council,Vineyard City Council,25VI06,JACOB WOOD,223
2025,municipal primary,Council,Vineyard City Council,25VI06,PARKER MCCUMBER,111
2025,municipal general,Council,Vineyard City Council,25VI06,PARKER MCCUMBER,265
2025,municipal primary,Council,Vineyard City Council,25VI06,STEVE TERRY,48
2025,municipal primary,Council,Vineyard City Council,25VI06,TERRY EWING,78
2025,municipal primary,Council,Vineyard City Council,25VI07,BRETT CLAWSON,92
2025,municipal general,Council,Vineyard City Council,25VI07,BRETT CLAWSON,200
2025,municipal primary,Council,Vineyard City Council,25VI07,CADEN RHOTON,169
2025,municipal general,Council,Vineyard City Council,25VI07,CADEN RHOTON,221
2025,municipal primary,Council,Vineyard City Council,25VI07,DAVID LAURET,169
2025,municipal general,Council,Vineyard City Council,25VI07,DAVID LAURET,411
2025,municipal primary,Council,Vineyard City Council,25VI07,EZRA NAIR,87
2025,municipal general,Council,Vineyard City Council,25VI07,EZRA NAIR,173
2025,municipal primary,Council,Vineyard City Council,25VI07,JACOB WOOD,195
2025,municipal general,Council,Vineyard City Council,25VI07,JACOB WOOD,396
2025,municipal primary,Council,Vineyard City Council,25VI07,PARKER MCCUMBER,186
2025,municipal general,Council,Vineyard City Council,25VI07,PARKER MCCUMBER,421
2025,municipal primary,Council,Vineyard City Council,25VI07,STEVE TERRY,103
2025,municipal primary,Council,Vineyard City Council,25VI07,TERRY EWING,123
2025,municipal primary,Council,Vineyard City Council,25VI08,BRETT CLAWSON,195
2025,municipal general,Council,Vineyard City Council,25VI08,BRETT CLAWSON,310
2025,municipal primary,Council,Vineyard City Council,25VI08,CADEN RHOTON,167
2025,municipal general,Council,Vineyard City Council,25VI08,CADEN RHOTON,242
2025,municipal primary,Council,Vineyard City Council,25VI08,DAVID LAURET,104
2025,municipal general,Council,Vineyard City Council,25VI08,DAVID LAURET,256
2025,municipal primary,Council,Vineyard City Council,25VI08,EZRA NAIR,169
2025,municipal general,Council,Vineyard City Council,25VI08,EZRA NAIR,281
2025,municipal primary,Council,Vineyard City Council,25VI08,JACOB WOOD,112
2025,municipal general,Council,Vineyard City Council,25VI08,JACOB WOOD,258
2025,municipal primary,Council,Vineyard City Council,25VI08,PARKER MCCUMBER,131
2025,municipal general,Council,Vineyard City Council,25VI08,PARKER MCCUMBER,288
2025,municipal primary,Council,Vineyard City Council,25VI08,STEVE TERRY,42
2025,municipal primary,Council,Vineyard City Council,25VI08,TERRY EWING,80
2025,municipal general,Mayor,Vineyard Mayor,25VI01,MARDI SIFUENTES,70
2025,municipal general,Mayor,Vineyard Mayor,25VI01,ZACK STRATTON,59
2025,municipal general,Mayor,Vineyard Mayor,25VI02,MARDI SIFUENTES,76
2025,municipal general,Mayor,Vineyard Mayor,25VI02,ZACK STRATTON,216
2025,municipal general,Mayor,Vineyard Mayor,25VI03,MARDI SIFUENTES,111
2025,municipal general,Mayor,Vineyard Mayor,25VI03,ZACK STRATTON,134
2025,municipal general,Mayor,Vineyard Mayor,25VI04,MARDI SIFUENTES,20
2025,municipal general,Mayor,Vineyard Mayor,25VI04,ZACK STRATTON,17
2025,municipal general,Mayor,Vineyard Mayor,25VI05,MARDI SIFUENTES,56
2025,municipal general,Mayor,Vineyard Mayor,25VI05,ZACK STRATTON,60
2025,municipal general,Mayor,Vineyard Mayor,25VI06,MARDI SIFUENTES,287
2025,municipal general,Mayor,Vineyard Mayor,25VI06,ZACK STRATTON,222
2025,municipal general,Mayor,Vineyard Mayor,25VI07,MARDI SIFUENTES,228
2025,municipal general,Mayor,Vineyard Mayor,25VI07,ZACK STRATTON,441
2025,municipal general,Mayor,Vineyard Mayor,25VI08,MARDI SIFUENTES,325
2025,municipal general,Mayor,Vineyard Mayor,25VI08,ZACK STRATTON,268
