layer,description,publisher,url,api_endpoint,format,vintage,license,growth_relevance,notes
SLCo Tax Districts,Property tax district boundaries.,Salt Lake County (Auditor),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Administration/MapServer/18,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,low,Tax-rate geography; joins to parcel tax_dist.
SLCo Address Points,County-maintained address points.,Salt Lake County (Addressing),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Reference/MapServer/5,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,medium,County addressing source feeding UGRC address points.
SLCo Road Centerline,Street centerline network countywide.,Salt Lake County (Surveyor/PW),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://apps.saltlakecounty.gov/slcogis/rest/services/Transportation/MapServer/0,ArcGIS MapServer layer,Continuously maintained,Public — Salt Lake County open data,low,Transportation frame; supports address geocoding.
Housing & Transit Reinvestment Zones (HTRZ),"Boundaries of Housing and Transit Reinvestment Zones — Utah's transit-oriented, higher-density affordable-housing incentive districts around rail stations.","Salt Lake County (hosted, ArcGIS Hub)",https://salt-lake-county-maps-slco.hub.arcgis.com/,https://services1.arcgis.com/DJP723NX3ukQ2LtF/arcgis/rest/services/HTRZ_Zones/FeatureServer/0,ArcGIS FeatureServer,Current,Public — Salt Lake County open data,high,Directly targets state housing/density policy near transit — high growth relevance.
SLCo Building Footprints,Building footprint polygons countywide.,Salt Lake County (hosted),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://services1.arcgis.com/DJP723NX3ukQ2LtF/arcgis/rest/services/SLCo_BuildingFootprints/FeatureServer/0,ArcGIS FeatureServer,Current,Public — Salt Lake County open data,medium,"~442,939 footprints; built-form / density analysis."
SLCo Municipal Boundaries 2024,Current (2024) municipal + metro-township boundaries as a hosted feature layer.,Salt Lake County (hosted),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://services1.arcgis.com/DJP723NX3ukQ2LtF/arcgis/rest/services/MunicipalBoundaries_2024/FeatureServer/0,ArcGIS FeatureServer,2024,Public — Salt Lake County open data,medium,24 jurisdictions; convenient current snapshot.
SLCo County Council Boundaries 2022-2032,County Council district polygons (6 district seats; council also has 3 at-large) for the 2022-2032 cycle.,Salt Lake County (hosted),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://services1.arcgis.com/DJP723NX3ukQ2LtF/arcgis/rest/services/Salt_Lake_County_Council_Boundaries/FeatureServer/0,ArcGIS FeatureServer,2022-2032,Public — Salt Lake County open data,medium,Hosted twin of the authoritative council-districts layer; 6 district polygons.
Parcels Within Unincorporated Lands,Parcels located in unincorporated Salt Lake County (the County Planning Commission's land-use jurisdiction).,Salt Lake County (hosted),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://services1.arcgis.com/DJP723NX3ukQ2LtF/arcgis/rest/services/Parcels_Within_UnincorporatedLands/FeatureServer/0,ArcGIS FeatureServer,Current,Public — Salt Lake County open data,high,"~4,259 parcels. Scopes exactly the land the COUNTY (not a city) zones/permits — pairs with the county planning-commission records."
Affordable Housing Data,Locations/attributes of affordable-housing developments tracked by the county.,Salt Lake County (hosted),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://services1.arcgis.com/DJP723NX3ukQ2LtF/arcgis/rest/services/AffordableHousing_Data/FeatureServer/0,ArcGIS FeatureServer,Current,Public — Salt Lake County open data,high,23 features; county affordable-housing inventory.
Missing Middle Housing Analysis (SLCo),Parcel-level analysis identifying missing-middle housing / infill potential across the county.,Salt Lake County (hosted),https://salt-lake-county-maps-slco.hub.arcgis.com/,https://services1.arcgis.com/DJP723NX3ukQ2LtF/arcgis/rest/services/MissingMiddleHousingAnalysis_SLCo/FeatureServer/0,ArcGIS FeatureServer,Current,Public — Salt Lake County open data,high,"~5,833 parcels; a ready-made growth/infill analysis product."
