legistar_matter_id,matter_file,name,title,matter_type,status,intro_body,intro_date,agenda_date,passed_date,enactment_number,application_id
3784,20-027,,"Council Member Robinson recommending that the Mayor and Council adopt Resolution 20-04C, the Sandy City clean air initiative, idle free restrictions, and proclamation of idle free week",Resolution,Agenda Ready,City Council,2020-01-10,2020-01-21,,,
3786,20-029,,"Approval of the January 7, 2020 Minutes.",Minutes,Consent Agenda,City Council,2020-01-15,2020-01-21,,,
3787,20-030,,"Possible Closed Session to discuss the purchase, exchange, or lease of real property.",Resolution,Agenda Ready,City Council,2020-01-15,2020-01-21,,,
3788,20-031,,Council Members Christensen and Houseman requesting that the Council consider changing their appointment to the Senior Center Advisory Council,Resolution,Consent Agenda,City Council,2020-01-16,2020-01-21,,,
3789,20-032,,"Signal synchronization report from Sandy City Traffic Engineer, Britney Ward",Informational Report,Agenda Ready,Planning Commission,2020-01-17,2020-08-06,,,
3791,20-034,,Capital projects review and discussion.,Informational Report,Agenda Ready,City Council,2020-01-24,2020-01-28,,,
3792,20-035,,Public Utilities Overview.,Informational Report,Agenda Ready,City Council,2020-01-24,2020-01-28,,,
3793,20-036,,"February 4, 2020 agenda preview and discussion.",Informational Report,Agenda Ready,City Council,2020-01-24,2020-01-28,,,
3794,SPR-08-19-5704,,Jolley Pharmacy (Preliminary Site Plan Review) 984 E. 10600 S. [Community #12],Planning Item,Passed,Planning Commission,2020-01-27,2020-02-06,2020-02-06,,3794
3795,SUB-08-19-5705,,Jolley Pharmacy Subdivision (Preliminary Subdivision Review) 984 E. 10600 S. [Community #12],Planning Item,Passed,Planning Commission,2020-01-27,2020-02-06,2020-02-06,,3795
3796,20-039,,Council discussion of changes to the bulk waste clean-up program.,Resolution,Withdrawn,City Council,2020-01-28,2020-02-04,2020-02-04,,
3797,20-040,,Council office recommending that the Council discuss training related to priority based budgeting,Resolution,Agenda Ready,City Council,2020-01-28,2020-02-04,,,
3798,20-041,,Council Member Stroud proposing amendments to the maximum number of household dogs allowed in Sandy City,Resolution,Passed,City Council,2020-01-28,2020-02-04,2020-02-04,,
3799,20-042,,"City Council consideration and vote whether or not to approve Public Works’ request for the use of eminent domain authority, pursuant to Utah Code Ann. § 78B-6-505, to condemn property located at 153 West 9000 South, Sandy, UT 84070 owned by Wagstaff Investments, LLC and operated as Holiday Oil.",Ordinance,Agenda Ready,City Council,2020-01-28,2020-02-04,,,
3800,20-043,,Planning Commission meeting minutes for 01.16.2020,Minutes,Passed,Planning Commission,2020-01-29,2020-02-06,2020-02-06,,
3801,CUP-12-19-5781,,Berg Accessory Apartment (Conditional Use Permit) 1850 E. 10980 S. [Community #26],Resolution,Passed,Planning Commission,2020-01-29,2020-02-06,2020-02-06,,3801
3802,SPR-06-40(2020),,Real Salt Lake Soccer Stadium (Rio Tinto Stadium) 2020 Parking & Access Management Plan - Annual Update 9256 S. State Street [Community #2 - Civic Center],Informational Report,Passed,Planning Commission,2020-01-29,2020-02-20,2020-02-20,,
3803,20-046,,"Approval of the January 21, 2020 Minutes.",Minutes,Consent Agenda,City Council,2020-01-30,2020-02-04,,,
3805,20-048,,"Approval of the January 28, 2020 Worksession Minutes.",Minutes,Consent Agenda,City Council,2020-01-30,2020-02-04,,,
3806,SPR-11-19-5758,,Enterprise Rent-A-Car (Preliminary Site Plan Review) 10710 S. State St. [Community #9 - Commercial Area],Resolution,Passed,Planning Commission,2020-01-30,2020-02-06,2020-02-06,,3806
3807,CUP-11-19-5759,,Enterprise Rent-A-Car (Conditional Use Permit) 10710 S. State St. [Community #9 - Commercial Area],Resolution,Passed,Planning Commission,2020-01-30,2020-02-06,2020-02-06,,3807
3808,20-051,,"Field Trip for February 6, 2020",Informational Report,Agenda Ready,Planning Commission,2020-01-31,2020-02-06,,,
3809,20-052,,Reconsideration of prior Council vote with regard to work session meeting.,Resolution,Passed,City Council,2020-01-31,2020-02-04,2020-02-04,,
3810,SUB-01-20-5786,,Gailey Subdivision (Preliminary Subdivision Review) 657 E. 8680 S. [Community 4 - Historic Sandy],Planning Item,Passed,Planning Commission,2020-02-06,2020-02-20,2020-02-20,,3810
3811,20-054,,Community Events presenting information about the Sandy Amphitheater season ticket program.,Resolution,Agenda Ready,City Council,2020-02-07,2020-02-11,,,
3812,20-055,,Administrative Services Department providing an introduction to city budgeting.,Resolution,Agenda Ready,City Council,2020-02-07,2020-02-11,,,
3813,20-056,,Possible Closed Session to discuss pending or reasonably imminent litigation and/or investigative proceedings regarding allegations of criminal misconduct. (This item is intended to begin at approximately 8:00 PM),Resolution,Passed,City Council,2020-02-07,2020-02-11,2020-02-11,,
3814,20-057,,"February 18, 2020 agenda preview.",Resolution,Agenda Ready,City Council,2020-02-07,2020-02-11,,,
3816,20-059,,Special recognition in honor of the 100th anniversary of the League of Women Voters.,Special Recognition,Agenda Ready,City Council,2020-02-11,2020-02-18,,,
3818,20-061,,"Possible Closed Session: character, professional competence, or physical or mental health of an individual.",Resolution,Agenda Ready,City Council,2020-02-11,2020-02-19,,,
3823,20-066,,"Field trip map for February 20, 2020",Informational Report,Agenda Ready,Planning Commission,2020-02-13,2020-02-20,,,
3824,CUP-01-20-5788,,Haddadin Accessory Apartment (Conditional Use Permit) 11457 S. Gracey Ln. [Community #25 - The Bluff],Resolution,Passed,Planning Commission,2020-02-13,2020-02-20,2020-02-20,,3824
3825,20-068,,Planning Commission meeting minutes for 02.06.2020,Minutes,Passed,Planning Commission,2020-02-13,2020-02-20,2020-02-20,,
3827,20-070,,Community Development Department briefing on Kuwahara Wholesale. (This information item will be heard after 6:00 PM),Informational Report,Agenda Ready,City Council,2020-02-14,2020-02-18,,,
3828,20-071,,Capital projects prioritization workshop. (This item may be heard in the Council Chamber Overflow Room),Informational Report,Agenda Ready,City Council,2020-02-14,2020-02-19,,,
3829,20-072,,Chase Hansen presenting on Project Empathy.,Informational Report,Agenda Ready,City Council,2020-02-14,2020-03-03,,,
3830,20-073,,Mayor Bradburn requesting the Council's advice and consent for the appointment of Greg Severson as the Sandy City Police Chief.,Appointment,Agenda Ready,City Council,2020-02-14,2020-02-19,,,
3831,20-074,,Administrative Services report on audit findings.,Resolution,Agenda Ready,City Council,2020-02-21,2020-02-25,,,
3832,20-075,,Administrative Services presenting personnel and compensation information.,Resolution,Agenda Ready,City Council,2020-02-21,2020-02-25,,,
3833,20-076,,"Possible Closed Session: character, professional competence, or physical or mental health of an individual.",Resolution,Agenda Ready,City Council,2020-02-21,2020-02-25,,,
3834,20-077,,Short-Term Rental (STR) Update,Informational Report,Agenda Ready,City Council,2020-02-25,2020-03-03,,,
3835,SUB-11-19-5754,,Tannenbaum Cove Subdivision (Preliminary Review) 2888 E. Little Cottonwood Rd [Community #9 - Granite],Planning Item,Passed,Planning Commission,2020-02-26,2020-03-05,2020-03-05,,3835
3836,SPEX-02-20-5815,,Tannenbaum Cove Subdivision (Special Exceptions) 2888 E. Little Cottonwood Rd [Community #30 - Granite],Planning Item,Passed,Planning Commission,2020-02-26,2020-03-05,2020-03-05,,3836
3837,SUB-02-20-5802,,Windcroft Subdivision (Amended Plat Review) 11778 S. Windcroft Ct [Community #27 - Lone Peak],Planning Item,Passed,Planning Commission,2020-02-27,2020-03-05,2020-03-05,,3837
3840,CUP-01-20-5790,,"Wright Accessory Structure (Conditional Use Permit) (Increased square footage, height, and setback waiver) 88 E. 11000 S. [Community #11 - Crescent]",Planning Item,Passed,Planning Commission,2020-02-27,2020-03-05,2020-03-05,,3840
3841,20-084,,Informational Report from Parks and Recreation on City Events.,Informational Report,Agenda Ready,City Council,2020-02-27,2020-03-03,,,
3842,20-085,,"Conceptual site plan discussion regarding Classic Fun Center Expansion, located at 9151 S. Monroe Street.",Informational Report,Agenda Ready,Planning Commission,2020-02-27,2020-03-05,,,
3843,20-086,,"Field trip for March 5, 2020",Informational Report,Agenda Ready,Planning Commission,2020-02-27,2020-03-05,,,
3844,20-087,,Fluoride and Sampling Update,Informational Report,Agenda Ready,City Council,2020-02-27,2020-03-03,,,
3845,20-088,,Planning Commission Minutes for 02.20.2020,Minutes,Passed,Planning Commission,2020-02-27,2020-03-05,2020-03-05,,
3846,20-089,,"Approval of the February 4, 2020 Meeting Minutes.",Minutes,Consent Agenda,City Council,2020-02-28,2020-03-03,,,
3847,20-090,,"Approval of the February 11, 2020 Minutes.",Minutes,Consent Agenda,City Council,2020-02-28,2020-03-03,,,
3848,20-091,,Reconsideration Live Streaming of Work Sessions.,Resolution,Agenda Ready,City Council,2020-03-02,2020-03-03,,,
3850,20-093,,Parks and Recreation Deaprtment presenting an in depth history of the Alta Canyon Sports Center for Council discussion,Informational Report,Agenda Ready,City Council,2020-03-06,2020-03-10,,,
3851,20-094,,"In the case of the ongoing wetland delineation study, Administration is requesting that the Council authorize the procurement of supplies, equipment and services without complying with the provisions of the purchasing ordinance determining that compliance, in this case, is not in the best interests of the City.",Resolution,Consent Agenda,City Council,2020-03-09,2020-04-07,,,
3854,20-097,,"NOTICE IS HEREBY GIVEN THAT THE SANDY CITY PLANNING COMMISSION WILL HOLD A TEST MEETING ELECTRONICALLY, VIA ZOOM PHONE AND VIDEO CONFERENCING, ON THURSDAY, APRIL 2, 2020. NO OFFICAL BUSINESS WILL BE CONDUCTED AT THIS TEST MEETING. PERSONS WITH DISABILITIES WHO MAY NEED ASSISTANCE SHOULD CONTACT THE PLANNING STAFF AT (801) 568-7250, AT LEAST 24 HOURS PRIOR TO THIS MEETING. In accordance with Governor Herbert’s Utah Executive Order 2020-1, declaring a state of emergency in response to COVID-19, and pursuant to Utah Executive Order 2020-05, modifying the Open Meetings Act requirements allowing electronic meetings without an anchor location, the City of Sandy will be holding Planning Commission meetings electronically, until further notice is given. Attendees will be allowed to join via phone or video, using Zoom phone and video conferencing. Note, if public comment is invited, it will be accessed through video conferencing, and a participant must have video on and working to speak. Those who join via phone may listen, but not comment. Ability to connect and comment is dependent on an individual’s internet connection, not the City. If you want to comment but do not have video capability, comments must be submitted to the Planning Director Brian McCuistion by email at bmccuistion@sandy.utah.gov, by 4:00 p.m. on April 2, 2020. Instructions on how to join the webinar electronically are below. How to use Zoom General Instructions • Join on any device, with mobile and desktop availability. • Go to: www.zoom.us/w/ • Click on “join a meeting”, in the top right hand corner of the webpage. • Enter the Meeting ID and click “Join”. • A download should start automatically in a few seconds. If not, click “download here”. • Open download and meeting should start at 4:30 pm. Join Sandy City Planning Commission April 2, 2020 Zoom Webinar <https://zoom.us/webinar/register/WN_a_vOeOvTScmMSKAsBcbBQQ> Or an H.323/SIP room system: H.323: 162.255.37.11 (US West) 162.255.36.11 (US East) 221.122.88.195 (China) 115.114.131.7 (India Mumbai) 115.114.115.7 (India Hyderabad) 213.19.144.110 (EMEA) 103.122.166.55 (Australia) 209.9.211.110 (Hong Kong) 64.211.144.160 (Brazil) 69.174.57.160 (Canada) 207.226.132.110 (Japan) Meeting ID: 590 550 484 SIP: 590550484@zoomcrc.com <mailto:590550484@zoomcrc.com>",Informational Report,Agenda Ready,Planning Commission,2020-03-31,2020-04-02,,,
3855,20-098,,"Approval of the February 18, 2020 Minutes.",Minutes,Consent Agenda,City Council,2020-04-01,2020-04-07,,,
3856,20-099,,"Approval of the February 19, 2020 Special Meeting Minutes.",Minutes,Consent Agenda,City Council,2020-04-01,2020-04-07,,,
3857,20-100,,"Approval of the March 3, 2020 Minutes.",Minutes,Consent Agenda,City Council,2020-04-01,2020-04-07,,,
3858,20-101,,"Approval of the March 10, 2020 Minutes.",Minutes,Consent Agenda,City Council,2020-04-01,2020-04-07,,,
3859,20-102,,"Approval of the February 25, 2020 Minutes.",Minutes,Consent Agenda,City Council,2020-04-01,2020-04-07,,,
3860,20-103,,"Mayor Bradburn requesting the City Council renew and continue the March 12 Proclamation of Local Emergency, and consent to the renewal of all other related proclamations issued by the Mayor.",Resolution,Agenda Ready,City Council,2020-04-01,2020-04-07,,,
3861,20-104,,Utah Transit Authority presentation on the Point of the Mountain Transit Study.,Resolution,Agenda Ready,City Council,2020-04-01,2020-04-07,,,
3864,20-107,,"Public Utilities Department recommending the Council: 1. Approve Resolution 20-09C amending an existing agreement with Salt Lake County Flood Control resulting in additional $250,000 reimbursement for the Dry Creek Improvements project, and 2. Approve Resolution 20-08C amending the existing Storm Drainage and Flood Control Agreement between Sandy City and Salt Lake County Flood Control providing an additional $50,000 for the Sandy Canal Trail project, and to relieve Sandy Public Utilities and Salt Lake County Flood Control of future liability and expense responsibilities within that right of way corridor.",Resolution,Consent Agenda,City Council,2020-04-03,2020-04-07,,,3864
3865,20-108,,Public Works Department recommending the Council receive an informational presentation on traffic signals,Informational Report,Agenda Ready,City Council,2020-04-09,2020-04-14,,,
3866,20-109,,"Approval of the April 7, 2020 City Council meeting minutes.",Resolution,Consent Agenda,City Council,2020-04-09,2020-04-21,,,
3867,20-110,,Administration briefing on City staffing during COVID-19 restrictions.,Informational Report,Agenda Ready,City Council,2020-04-10,2020-04-14,,,
3868,20-111,,City Council Office requesting update on current parks usage and conditions.,Informational Report,Agenda Ready,City Council,2020-04-10,2020-04-14,,,
3869,20-112,,Economic Development Director providing an overview of the Redevelopment Agency.,Informational Report,Agenda Ready,City Council,2020-04-10,2020-04-14,,,
3870,20-113,,"Approval of the April 14, 2020 City Council meeting minutes.",Minutes,Consent Agenda,City Council,2020-04-16,2020-04-21,,,
3871,20-114,,Arbor Day Proclamation,Proclamation,Consent Agenda,City Council,2020-04-16,2020-04-21,,,
3872,20-115,,"Council Member Stroud recommending adoption of Ordinance 20-01, amending the Sandy City Animal Services Code to increase from two to three the number of dogs allowed per residence, clarify leash requirements, expand the definition of qualified rescue organizations, and making minor nonsubstantive changes.",Ordinance,Agenda Ready,City Council,2020-04-17,2020-04-21,,,3872
3873,20-116,,Legislative Update: Utah State Legislative Special Session on COVID-19 Legislation,Informational Report,Agenda Ready,City Council,2020-04-17,2020-04-21,,,
3874,20-117,,"Council Member Houseman recommending adoption of Resolution 20-11C admitting the Town of Brighton to the Central Wasatch Commission, and amending the CWC interlocal agreement relative to ""appointed"" and ""ex officio"" commissioners.",Resolution,Agenda Ready,City Council,2020-04-17,2020-04-28,,,
3875,SPR-01-20-5794,,Crescent Park Pickleball Courts (Amended CUP and Preliminary Site Plan Review) 11071 S. 230 E. [Community #11 - Crescent],Planning Item,Passed,Planning Commission,2020-04-23,2020-05-07,2020-05-07,,3875
3876,SPR-03-20-5822,,Alta Canyon Park Pickleball Courts (Amended CUP and Preliminary Site Plan Review) 9565 S. Highland Dr. [Community #20 - Little Cottonwood],Planning Item,Passed,Planning Commission,2020-04-23,2020-05-07,2020-05-07,,3876
3877,20-120,,UTOPIA (Utah Telecommunication Open Infrastructure Agency) Fiber providing the Council with a presentation and overview of their internet service.,Informational Report,Agenda Ready,City Council,2020-04-24,2020-04-28,,,
3878,20-121,,Metropolitan Water District of Salt Lake and Sandy presenting the FY 2020-2021 Tentative Budget.,Informational Report,Agenda Ready,City Council,2020-04-24,2020-04-28,,,
3879,20-122,,"Approval of the April 21, 2020 City Council meeting minutes.",Minutes,Consent Agenda,City Council,2020-04-24,2020-04-28,,,
3880,20-123,,Council Member Houseman requesting discussion of the Central Wasatch Commission's Mountain Transportation Plan.,Informational Report,Agenda Ready,City Council,2020-04-24,2020-04-28,,,
3881,SPR-02-20-5798,,Rees Capital Office Site Plan (Preliminary Review) 1680 E. Dimple Dell Road [Community 22],Planning Item,Passed,Planning Commission,2020-04-28,2020-05-07,2020-05-07,,3881
3882,SUB-02-20-5799,,Rees Capital Subdivision (Preliminary Review) 1680 E. Dimple Dell Road [Community #22],Planning Item,Passed,Planning Commission,2020-04-28,2020-05-07,2020-05-07,,3882
3883,20-126,,Proclamation recognizing May 2020 as Building and Safety Month,Special Recognition,Passed,City Council,2020-04-29,2020-05-05,2020-05-05,,
3884,SPR-07-19-5689_2nd,,Princeton Terrace - Mixed Use Development - Mix Use Zone (MU) (Preliminary Site Plan Review) 8377 S. 115 E. [Community #3 - Sandy Woods],Planning Item,Passed,Planning Commission,2020-04-29,2020-05-07,2020-05-07,,3884
3885,SUB-02-20-5803,,Bell Canyon Cove Subdivision (Preliminary Review) 1785 E. & 1815 E. 11400 S [Community #26],Planning Item,Passed,Planning Commission,2020-04-29,2020-05-07,2020-05-07,,3885
3886,SUB-10-19-5740,,Princeton Terrace Subdivision (Preliminary Review) 8377 S. 115 E. [Community #3 - Sandy Woods],Planning Item,Passed,Planning Commission,2020-04-29,2020-05-07,2020-05-07,,3886
3887,SPEX-04-20-5842,,Bell Canyon Cove Subdivision (Special Exceptions) 1785 E. & 1815 E. 11400 S. [Community #26],Planning Item,Passed,Planning Commission,2020-04-29,2020-05-07,2020-05-07,,3887
3888,20-131,,"Community Development Department presenting, and recommending approval of, the 2020-2024 Consolidated Plan and First Year Annual Action Plan for the 2020 Program Year, including the 2020-2021 CDBG annual budget as prepared by the Citizen Advisory Committee, for the use of Community Development Block Grant funds.",Resolution,Agenda Ready,City Council,2020-04-29,2020-05-26,,,
3889,SUB-03-20-5834,,LHM Jordan Commons Subdivision (Preliminary Review) 9450 S. 150 E. [Community #4 - Historic Sandy],Planning Item,Passed,Planning Commission,2020-04-29,2020-05-07,2020-05-07,,3889
3890,20-133,,Community Development Department is recommending approval of an interlocal agreement for the City to continue to participate in the local HOME Consortium for the HOME Investment Partnership Program for Federal Fiscal Years 2021 through 2023.,Resolution,Agenda Ready,City Council,2020-04-30,2020-05-12,,,
3891,20-134,,PC Meeting Minutes for 03.05.2020,Minutes,Passed,Planning Commission,2020-04-30,2020-05-21,2020-05-21,,
3892,MAP,,Field Trip Map,Planning Item,Agenda Ready,Planning Commission,2020-04-30,2020-05-07,,,
3894,20-137,,PC Test Meeting Minutes 04.02.2020,Minutes,Passed,Planning Commission,2020-05-01,2020-05-21,2020-05-21,,
3895,20-138,,PC Test Meeting Minutes for 04.16.2020,Minutes,Passed,Planning Commission,2020-05-01,2020-05-21,2020-05-21,,
3896,20-139,,"Approval of the April 28, 2020 City Council meeting minutes.",Minutes,Consent Agenda,City Council,2020-05-01,2020-05-05,,,
3897,20-140,,"Administrative Services Department presenting the FY 2020-21 Tentative Budget and recommending approval of Resolution 20-14C adopting tentative budgets for Sandy City and the Alta Canyon Recreation District for FY 2020-21, scheduling a public hearing for final approval, and providing for public access to the tentative budgets and schedules.",Resolution,Agenda Ready,City Council,2020-05-01,2020-05-05,,,
3898,20-141,,"Approval of the May 5, 2020 City Council meeting minutes.",Minutes,Consent Agenda,City Council,2020-05-06,2020-05-12,,,
3899,20-142,,Public Works Department introducing a possible ground lease with Salt Lake County for a household hazardous waste facility,Informational Report,Agenda Ready,City Council,2020-05-08,2020-05-12,,,
3900,20-143,,Council Discussion of the FY 2020-21 Tentative Budget.,Resolution,Agenda Ready,City Council,2020-05-08,2020-05-12,,,
3903,20-146,,Recess of the City Council meeting and convene a meeting of the Redevelopment Agency of Sandy City.,Resolution,Agenda Ready,City Council,2020-05-12,2020-05-19,,,
3905,CODE-04-20-5845_PC,,"Solar Carports - Proposed Amendment to the SD(Harada) Zone Amend Title 21, Chapter 19 - Special Development (SD) Districts, Section 14 - SD(Harada), of the Sandy Municipal Code",Planning Item,Reported to Council,Planning Commission,2020-05-13,2020-05-21,,,3905
3906,CODE-04-20-5846_PC,,"Limits on Dogs as Household Pets Amend Title 21, Chapter 11, Special Use Standards, Section 3 - Animals (Farm and Household Pets), of the Sandy Municipal Code",Planning Item,Reported to Council,Planning Commission,2020-05-13,2020-05-21,,,3906
3907,CUP-03-20-5831,,"Schriever Accessory Structure (Request for increased square footage, height, and to allow a single structure to be over 1500 square feet) 1829 E. 10980 S. [Community #26]",Planning Item,Passed,Planning Commission,2020-05-14,2020-05-21,2020-05-21,,3907
3908,CUP-05-20-5848,,Platt Guesthouse and Home Occupation 11140 S. 115 E. [Community #11 -Crescent],Planning Item,Passed,Planning Commission,2020-05-14,2020-05-21,2020-05-21,,
3909,CUP-04-20-5841,,Nelson Accessory Structure (Request for increased height) 2 Eaglewood Ln. [Community 28- Pepperdell],Planning Item,Withdrawn,Planning Commission,2020-05-14,2020-05-21,2020-05-21,,
3910,CUP-04-20-5847,,Morrill Accessory Structure (Request for increased height and setback waiver) 10308 S. Ashley Meadows Circle. [Community #21],Planning Item,Passed,Planning Commission,2020-05-14,2020-05-21,2020-05-21,,3910
3911,20-154,,Field trip map for Planning Commission members,Informational Report,Agenda Ready,Planning Commission,2020-05-14,2020-05-21,,,
3912,20-155,,PC Meeting Minutes for 5.07.2020,Minutes,Passed,Planning Commission,2020-05-14,2020-05-21,2020-05-21,,
3913,20-156,,Public Works Department recommending adoption of Resolution 20-13C authorizing the execution of an agreement between Salt Lake County and Sandy City to lease and demise a portion of City property to the County.,Resolution,Agenda Ready,City Council,2020-05-15,2020-05-19,,,
3914,20-157,,Council discussion of the FY 2020-21 Tentative Budget compensation plan.,Informational Report,Agenda Ready,City Council,2020-05-15,2020-05-19,,,
3916,20-159,,"Approval of the May 12, 2020 City Council Meeting Minutes.",Minutes,Consent Agenda,City Council,2020-05-18,2020-05-26,,,
3918,20-161,,"Community Development Department presenting, and recommending approval of, an amendment to the 2019 Annual Action Plan for the use of Community Development Block Grant funds awarded by the CARES Act.",Resolution,Agenda Ready,City Council,2020-05-20,2020-07-14,,,
3919,20-162,,"Approval of the May 19, 2020 City Council Meeting Minutes.",Minutes,Consent Agenda,City Council,2020-05-21,2020-05-26,,,
3920,20-163,,Public Utilities Department recommending the City Council adopt Resolution 20-17C authorizing an agreement with the South Valley Sewer District providing for coordination of construction projects.,Resolution,Consent Agenda,City Council,2020-05-21,2020-05-26,,,
3921,20-164,,Police and Fire Departments presenting their FY 2020-21 Tentative department budgets.,Informational Report,Agenda Ready,City Council,2020-05-21,2020-05-26,,,
3922,CODE-04-20-5846_CC,,"Public Meeting: Limits on Dogs as Household Pets Amend Title 21, Chapter 11, Special Use Standards, Section 3 - Animals (Farm and Household Pets), of the Sandy Municipal Code",Planning Item,Agenda Ready,City Council,2020-05-27,2020-06-02,,,3922
3923,CUP-05-20-5849,,"Haislip Accessory Structure (Conditional Use - Increased square footage, height, and setback waiver) 801 E. Silver Sage Dr. [Community #12]",Planning Item,Passed,Planning Commission,2020-05-27,2020-06-04,2020-06-04,,3923
3924,CUP-05-20-5854,,Hunt Accessory Apartment (Conditional Use Permit) 10069 S. Rockview Dr. [Community #21- Falcon HIl],Planning Item,Passed,Planning Commission,2020-05-27,2020-06-04,2020-06-04,,3924
3925,20-168,,Reappointment of Monica Collard to the Sandy City Planning Commission.,Resolution,Consent Agenda,City Council,2020-05-27,2020-06-02,,,
3926,20-169,,Reappointment of Bruce Bryner to the Sandy City Board of Adjustment.,Resolution,Consent Agenda,City Council,2020-05-27,2020-06-02,,,
3927,ZONE-03-20-5825(PC),,Orchards at Farnsworth Farms Rezone 11228 S. 700 E. from R-1-40A to PUD (12) [Community #11 - Crescent],Planning Item,Reported to Council,Planning Commission,2020-05-28,2020-06-04,,,3927
3928,CODE-04-20-5844_PC,,"Jolley Pharmacy (2nd Request) - Proposed Amendments to the SD(Carnation) Zone Amend Title 21, Chapter 19 - Special Development (SD) Districts, Section 20 - SD(Carnation), of the Sandy Municipal Code",Planning Item,Reported to Council,Planning Commission,2020-05-28,2020-06-04,,,3928
3929,20-172,,Field trip for Planning Commission members,Informational Report,Agenda Ready,Planning Commission,2020-05-28,2020-06-04,,,
3930,20-173,,Planning Commission minutes from 5.21.20,Minutes,Passed,Planning Commission,2020-05-28,2020-06-04,2020-06-04,,
3931,20-174,,"Approval of the May 26, 2020 City Council meeting minutes.",Minutes,Consent Agenda,City Council,2020-05-28,2020-06-02,,,
3932,20-175,,"Justice Court, City Attorney's Office, and Parks and Recreation presenting their FY 2020-21 Tentative department budgets.",Informational Report,Agenda Ready,City Council,2020-05-28,2020-06-02,,,
3933,20-176,,Sandy City Fire Department recommends the City Council to adopt the new UFA/UFSA Contract and Resolution.,Resolution,Agenda Ready,City Council,2020-05-28,2020-06-02,,,
3935,20-178,,Sandy City Fire Department's swearing in and badge pinning ceremony for new hire and promotions.,Special Recognition,Agenda Ready,City Council,2020-05-28,2020-06-02,,,
