legistar_vote_pk,legistar_vote_id,legistar_event_item_id,legistar_person_id,person_name,value_raw,value_norm
65,14611,26089,253,Kris Nicholl,Yes,Aye
66,14612,26089,335,Zach Robinson,Yes,Aye
67,14613,26089,370,Monica Zoltanski,Yes,Aye
68,14614,26089,368,Marci Houseman,Yes,Aye
69,14615,26089,331,Cyndi Sharkey,Yes,Aye
70,14616,26089,334,Brooke Christensen,Yes,Aye
71,14638,26092,369,Alison Stroud,Yes,Aye
72,14639,26092,253,Kris Nicholl,Yes,Aye
73,14640,26092,335,Zach Robinson,Yes,Aye
74,14641,26092,370,Monica Zoltanski,Yes,Aye
75,14642,26092,368,Marci Houseman,Yes,Aye
76,14643,26092,331,Cyndi Sharkey,Yes,Aye
77,14644,26092,334,Brooke Christensen,Yes,Aye
78,14617,26106,369,Alison Stroud,Yes,Aye
79,14618,26106,253,Kris Nicholl,Yes,Aye
80,14619,26106,335,Zach Robinson,Yes,Aye
81,14620,26106,370,Monica Zoltanski,Yes,Aye
82,14621,26106,368,Marci Houseman,Yes,Aye
83,14622,26106,331,Cyndi Sharkey,Yes,Aye
84,14623,26106,334,Brooke Christensen,Yes,Aye
85,14624,26107,369,Alison Stroud,Yes,Aye
86,14625,26107,253,Kris Nicholl,Yes,Aye
87,14626,26107,335,Zach Robinson,Yes,Aye
88,14627,26107,370,Monica Zoltanski,Yes,Aye
89,14628,26107,368,Marci Houseman,Yes,Aye
90,14629,26107,331,Cyndi Sharkey,No,Nay
91,14630,26107,334,Brooke Christensen,Yes,Aye
92,14631,26108,369,Alison Stroud,Yes,Aye
93,14632,26108,253,Kris Nicholl,Yes,Aye
94,14633,26108,335,Zach Robinson,No,Nay
95,14634,26108,370,Monica Zoltanski,No,Nay
96,14635,26108,368,Marci Houseman,Yes,Aye
97,14636,26108,331,Cyndi Sharkey,Yes,Aye
98,14637,26108,334,Brooke Christensen,No,Nay
99,14645,26109,369,Alison Stroud,Yes,Aye
100,14646,26109,253,Kris Nicholl,Yes,Aye
101,14647,26109,335,Zach Robinson,Yes,Aye
102,14648,26109,370,Monica Zoltanski,Yes,Aye
103,14649,26109,368,Marci Houseman,Yes,Aye
104,14650,26109,331,Cyndi Sharkey,Yes,Aye
105,14651,26109,334,Brooke Christensen,Yes,Aye
106,14673,26292,369,Alison Stroud,Yes,Aye
107,14674,26292,253,Kris Nicholl,Yes,Aye
108,14675,26292,335,Zach Robinson,Yes,Aye
109,14676,26292,370,Monica Zoltanski,Yes,Aye
110,14677,26292,368,Marci Houseman,Yes,Aye
111,14678,26292,331,Cyndi Sharkey,Yes,Aye
112,14679,26292,334,Brooke Christensen,Yes,Aye
113,14673,26293,369,Alison Stroud,Yes,Aye
114,14674,26293,253,Kris Nicholl,Yes,Aye
115,14675,26293,335,Zach Robinson,Yes,Aye
116,14676,26293,370,Monica Zoltanski,Yes,Aye
117,14677,26293,368,Marci Houseman,Yes,Aye
118,14678,26293,331,Cyndi Sharkey,Yes,Aye
119,14679,26293,334,Brooke Christensen,Yes,Aye
120,14659,26303,369,Alison Stroud,Yes,Aye
121,14660,26303,253,Kris Nicholl,Yes,Aye
122,14661,26303,335,Zach Robinson,Yes,Aye
123,14662,26303,370,Monica Zoltanski,Yes,Aye
124,14663,26303,368,Marci Houseman,Yes,Aye
125,14664,26303,331,Cyndi Sharkey,Yes,Aye
126,14665,26303,334,Brooke Christensen,Yes,Aye
127,14673,26311,369,Alison Stroud,Yes,Aye
128,14674,26311,253,Kris Nicholl,Yes,Aye
129,14675,26311,335,Zach Robinson,Yes,Aye
130,14676,26311,370,Monica Zoltanski,Yes,Aye
131,14677,26311,368,Marci Houseman,Yes,Aye
132,14678,26311,331,Cyndi Sharkey,Yes,Aye
133,14679,26311,334,Brooke Christensen,Yes,Aye
134,14750,26435,369,Alison Stroud,No,Nay
135,14751,26435,253,Kris Nicholl,No,Nay
136,14752,26435,335,Zach Robinson,Yes,Aye
137,14753,26435,370,Monica Zoltanski,Yes,Aye
138,14754,26435,368,Marci Houseman,No,Nay
139,14755,26435,331,Cyndi Sharkey,No,Nay
140,14756,26435,334,Brooke Christensen,Yes,Aye
141,14764,26436,369,Alison Stroud,No,Nay
142,14765,26436,253,Kris Nicholl,Yes,Aye
143,14766,26436,335,Zach Robinson,No,Nay
144,14767,26436,370,Monica Zoltanski,No,Nay
145,14768,26436,368,Marci Houseman,Yes,Aye
146,14769,26436,331,Cyndi Sharkey,Yes,Aye
147,14770,26436,334,Brooke Christensen,No,Nay
148,14785,26564,369,Alison Stroud,Yes,Aye
149,14786,26564,253,Kris Nicholl,Yes,Aye
150,14787,26564,335,Zach Robinson,Yes,Aye
151,14788,26564,370,Monica Zoltanski,Yes,Aye
152,14789,26564,368,Marci Houseman,Yes,Aye
153,14790,26564,331,Cyndi Sharkey,Yes,Aye
154,14791,26564,334,Brooke Christensen,Yes,Aye
155,14817,26591,369,Alison Stroud,Yes,Aye
156,14818,26591,253,Kris Nicholl,Yes,Aye
157,14819,26591,335,Zach Robinson,Yes,Aye
158,14820,26591,370,Monica Zoltanski,Yes,Aye
159,14821,26591,368,Marci Houseman,Yes,Aye
160,14822,26591,331,Cyndi Sharkey,Yes,Aye
161,14823,26591,334,Brooke Christensen,Yes,Aye
162,14842,26661,369,Alison Stroud,Yes,Aye
163,14843,26661,253,Kris Nicholl,Yes,Aye
164,14844,26661,335,Zach Robinson,Yes,Aye
165,14845,26661,370,Monica Zoltanski,Yes,Aye
166,14846,26661,368,Marci Houseman,Yes,Aye
167,14847,26661,331,Cyndi Sharkey,Yes,Aye
168,14848,26661,334,Brooke Christensen,Yes,Aye
169,14842,26662,369,Alison Stroud,Yes,Aye
170,14843,26662,253,Kris Nicholl,Yes,Aye
171,14844,26662,335,Zach Robinson,Yes,Aye
172,14845,26662,370,Monica Zoltanski,Yes,Aye
173,14846,26662,368,Marci Houseman,Yes,Aye
174,14847,26662,331,Cyndi Sharkey,Yes,Aye
175,14848,26662,334,Brooke Christensen,Yes,Aye
176,14849,26674,369,Alison Stroud,No,Nay
177,14850,26674,253,Kris Nicholl,No,Nay
178,14851,26674,335,Zach Robinson,Yes,Aye
179,14852,26674,370,Monica Zoltanski,Yes,Aye
180,14853,26674,368,Marci Houseman,No,Nay
181,14854,26674,331,Cyndi Sharkey,No,Nay
182,14855,26674,334,Brooke Christensen,Yes,Aye
183,14842,26676,369,Alison Stroud,Yes,Aye
184,14843,26676,253,Kris Nicholl,Yes,Aye
185,14844,26676,335,Zach Robinson,Yes,Aye
186,14845,26676,370,Monica Zoltanski,Yes,Aye
187,14846,26676,368,Marci Houseman,Yes,Aye
188,14847,26676,331,Cyndi Sharkey,Yes,Aye
189,14848,26676,334,Brooke Christensen,Yes,Aye
190,14908,26886,369,Alison Stroud,Yes,Aye
191,14909,26886,253,Kris Nicholl,Yes,Aye
192,14910,26886,335,Zach Robinson,Yes,Aye
193,14911,26886,370,Monica Zoltanski,Yes,Aye
194,14912,26886,368,Marci Houseman,Yes,Aye
195,14913,26886,331,Cyndi Sharkey,Yes,Aye
196,14914,26886,334,Brooke Christensen,Yes,Aye
197,14908,26887,369,Alison Stroud,Yes,Aye
198,14909,26887,253,Kris Nicholl,Yes,Aye
199,14910,26887,335,Zach Robinson,Yes,Aye
200,14911,26887,370,Monica Zoltanski,Yes,Aye
201,14912,26887,368,Marci Houseman,Yes,Aye
202,14913,26887,331,Cyndi Sharkey,Yes,Aye
203,14914,26887,334,Brooke Christensen,Yes,Aye
204,14908,26888,369,Alison Stroud,Yes,Aye
205,14909,26888,253,Kris Nicholl,Yes,Aye
206,14910,26888,335,Zach Robinson,Yes,Aye
207,14911,26888,370,Monica Zoltanski,Yes,Aye
208,14912,26888,368,Marci Houseman,Yes,Aye
209,14913,26888,331,Cyndi Sharkey,Yes,Aye
210,14914,26888,334,Brooke Christensen,Yes,Aye
211,14908,26889,369,Alison Stroud,Yes,Aye
212,14909,26889,253,Kris Nicholl,Yes,Aye
213,14910,26889,335,Zach Robinson,Yes,Aye
214,14911,26889,370,Monica Zoltanski,Yes,Aye
215,14912,26889,368,Marci Houseman,Yes,Aye
216,14913,26889,331,Cyndi Sharkey,Yes,Aye
217,14914,26889,334,Brooke Christensen,Yes,Aye
218,14908,26890,369,Alison Stroud,Yes,Aye
219,14909,26890,253,Kris Nicholl,Yes,Aye
220,14910,26890,335,Zach Robinson,Yes,Aye
221,14911,26890,370,Monica Zoltanski,Yes,Aye
222,14912,26890,368,Marci Houseman,Yes,Aye
223,14913,26890,331,Cyndi Sharkey,Yes,Aye
224,14914,26890,334,Brooke Christensen,Yes,Aye
225,14908,26891,369,Alison Stroud,Yes,Aye
226,14909,26891,253,Kris Nicholl,Yes,Aye
227,14910,26891,335,Zach Robinson,Yes,Aye
228,14911,26891,370,Monica Zoltanski,Yes,Aye
229,14912,26891,368,Marci Houseman,Yes,Aye
230,14913,26891,331,Cyndi Sharkey,Yes,Aye
231,14914,26891,334,Brooke Christensen,Yes,Aye
232,14908,26892,369,Alison Stroud,Yes,Aye
233,14909,26892,253,Kris Nicholl,Yes,Aye
234,14910,26892,335,Zach Robinson,Yes,Aye
235,14911,26892,370,Monica Zoltanski,Yes,Aye
236,14912,26892,368,Marci Houseman,Yes,Aye
237,14913,26892,331,Cyndi Sharkey,Yes,Aye
238,14914,26892,334,Brooke Christensen,Yes,Aye
239,14901,26894,369,Alison Stroud,Yes,Aye
240,14902,26894,253,Kris Nicholl,Yes,Aye
241,14903,26894,335,Zach Robinson,Yes,Aye
242,14904,26894,370,Monica Zoltanski,Yes,Aye
243,14905,26894,368,Marci Houseman,Yes,Aye
244,14906,26894,331,Cyndi Sharkey,Yes,Aye
245,14907,26894,334,Brooke Christensen,Yes,Aye
246,14908,26904,369,Alison Stroud,Yes,Aye
247,14909,26904,253,Kris Nicholl,Yes,Aye
248,14910,26904,335,Zach Robinson,Yes,Aye
249,14911,26904,370,Monica Zoltanski,Yes,Aye
250,14912,26904,368,Marci Houseman,Yes,Aye
251,14913,26904,331,Cyndi Sharkey,Yes,Aye
252,14914,26904,334,Brooke Christensen,Yes,Aye
253,14915,26980,369,Alison Stroud,Yes,Aye
254,14916,26980,253,Kris Nicholl,Yes,Aye
255,14917,26980,335,Zach Robinson,Yes,Aye
256,14918,26980,370,Monica Zoltanski,Yes,Aye
257,14919,26980,368,Marci Houseman,Yes,Aye
258,14920,26980,331,Cyndi Sharkey,Yes,Aye
259,14921,26980,334,Brooke Christensen,Yes,Aye
260,14922,26990,369,Alison Stroud,Yes,Aye
261,14923,26990,253,Kris Nicholl,Yes,Aye
262,14924,26990,335,Zach Robinson,Yes,Aye
263,14925,26990,370,Monica Zoltanski,Yes,Aye
264,14926,26990,368,Marci Houseman,Yes,Aye
265,14927,26990,331,Cyndi Sharkey,Yes,Aye
266,14928,26990,334,Brooke Christensen,Yes,Aye
267,14936,27039,369,Alison Stroud,Yes,Aye
268,14937,27039,253,Kris Nicholl,Yes,Aye
269,14938,27039,335,Zach Robinson,Yes,Aye
270,14939,27039,370,Monica Zoltanski,Yes,Aye
271,14940,27039,368,Marci Houseman,Yes,Aye
272,14941,27039,331,Cyndi Sharkey,Yes,Aye
273,14942,27039,334,Brooke Christensen,Yes,Aye
274,14929,27041,369,Alison Stroud,Yes,Aye
275,14930,27041,253,Kris Nicholl,Yes,Aye
276,14931,27041,335,Zach Robinson,Yes,Aye
277,14932,27041,370,Monica Zoltanski,Yes,Aye
278,14933,27041,368,Marci Houseman,Yes,Aye
279,14934,27041,331,Cyndi Sharkey,Yes,Aye
280,14935,27041,334,Brooke Christensen,Yes,Aye
281,14936,27103,369,Alison Stroud,Yes,Aye
282,14937,27103,253,Kris Nicholl,Yes,Aye
283,14938,27103,335,Zach Robinson,Yes,Aye
284,14939,27103,370,Monica Zoltanski,Yes,Aye
285,14940,27103,368,Marci Houseman,Yes,Aye
286,14941,27103,331,Cyndi Sharkey,Yes,Aye
287,14942,27103,334,Brooke Christensen,Yes,Aye
288,14950,27126,369,Alison Stroud,Yes,Aye
289,14951,27126,253,Kris Nicholl,Yes,Aye
290,14952,27126,335,Zach Robinson,Yes,Aye
291,14953,27126,370,Monica Zoltanski,Yes,Aye
292,14954,27126,368,Marci Houseman,Yes,Aye
293,14955,27126,331,Cyndi Sharkey,Yes,Aye
294,14956,27126,334,Brooke Christensen,Yes,Aye
295,14943,27138,369,Alison Stroud,Yes,Aye
296,14944,27138,253,Kris Nicholl,Yes,Aye
297,14945,27138,335,Zach Robinson,Yes,Aye
298,14946,27138,370,Monica Zoltanski,Yes,Aye
299,14947,27138,368,Marci Houseman,Yes,Aye
300,14948,27138,331,Cyndi Sharkey,Yes,Aye
301,14949,27138,334,Brooke Christensen,Yes,Aye
302,14950,27139,369,Alison Stroud,Yes,Aye
303,14951,27139,253,Kris Nicholl,Yes,Aye
304,14952,27139,335,Zach Robinson,Yes,Aye
305,14953,27139,370,Monica Zoltanski,Yes,Aye
306,14954,27139,368,Marci Houseman,Yes,Aye
307,14955,27139,331,Cyndi Sharkey,Yes,Aye
308,14956,27139,334,Brooke Christensen,Yes,Aye
309,15041,27161,369,Alison Stroud,Yes,Aye
310,15042,27161,253,Kris Nicholl,Yes,Aye
311,15043,27161,335,Zach Robinson,Yes,Aye
312,15044,27161,370,Monica Zoltanski,Yes,Aye
313,15045,27161,368,Marci Houseman,Yes,Aye
314,15046,27161,331,Cyndi Sharkey,Yes,Aye
315,15047,27161,334,Brooke Christensen,Yes,Aye
316,15034,27169,369,Alison Stroud,Yes,Aye
317,15035,27169,253,Kris Nicholl,Yes,Aye
318,15036,27169,335,Zach Robinson,Yes,Aye
319,15037,27169,370,Monica Zoltanski,Yes,Aye
320,15038,27169,368,Marci Houseman,Yes,Aye
321,15039,27169,331,Cyndi Sharkey,Yes,Aye
322,15040,27169,334,Brooke Christensen,Yes,Aye
323,15041,27250,369,Alison Stroud,Yes,Aye
324,15042,27250,253,Kris Nicholl,Yes,Aye
325,15043,27250,335,Zach Robinson,Yes,Aye
326,15044,27250,370,Monica Zoltanski,Yes,Aye
327,15045,27250,368,Marci Houseman,Yes,Aye
328,15046,27250,331,Cyndi Sharkey,Yes,Aye
329,15047,27250,334,Brooke Christensen,Yes,Aye
330,15073,27239,369,Alison Stroud,Yes,Aye
331,15074,27239,253,Kris Nicholl,Yes,Aye
332,15075,27239,335,Zach Robinson,Yes,Aye
333,15076,27239,370,Monica Zoltanski,Yes,Aye
334,15077,27239,368,Marci Houseman,Yes,Aye
335,15078,27239,331,Cyndi Sharkey,Yes,Aye
336,15079,27239,334,Brooke Christensen,Yes,Aye
337,15066,27240,369,Alison Stroud,Yes,Aye
338,15067,27240,253,Kris Nicholl,Yes,Aye
339,15068,27240,335,Zach Robinson,Yes,Aye
340,15069,27240,370,Monica Zoltanski,Yes,Aye
341,15070,27240,368,Marci Houseman,Yes,Aye
342,15071,27240,331,Cyndi Sharkey,Yes,Aye
343,15072,27240,334,Brooke Christensen,Yes,Aye
344,15130,27297,369,Alison Stroud,Yes,Aye
345,15131,27297,253,Kris Nicholl,Yes,Aye
346,15132,27297,335,Zach Robinson,Yes,Aye
347,15133,27297,370,Monica Zoltanski,Yes,Aye
348,15134,27297,368,Marci Houseman,Yes,Aye
349,15135,27297,331,Cyndi Sharkey,Yes,Aye
350,15136,27297,334,Brooke Christensen,Yes,Aye
351,15196,27351,369,Alison Stroud,Yes,Aye
352,15197,27351,253,Kris Nicholl,Yes,Aye
353,15198,27351,335,Zach Robinson,Yes,Aye
354,15199,27351,370,Monica Zoltanski,Yes,Aye
355,15200,27351,368,Marci Houseman,Yes,Aye
356,15201,27351,331,Cyndi Sharkey,Yes,Aye
357,15202,27351,334,Brooke Christensen,Yes,Aye
358,15196,27352,369,Alison Stroud,Yes,Aye
359,15197,27352,253,Kris Nicholl,Yes,Aye
360,15198,27352,335,Zach Robinson,Yes,Aye
361,15199,27352,370,Monica Zoltanski,Yes,Aye
362,15200,27352,368,Marci Houseman,Yes,Aye
363,15201,27352,331,Cyndi Sharkey,Yes,Aye
364,15202,27352,334,Brooke Christensen,Yes,Aye
365,15196,27353,369,Alison Stroud,Yes,Aye
366,15197,27353,253,Kris Nicholl,Yes,Aye
367,15198,27353,335,Zach Robinson,Yes,Aye
368,15199,27353,370,Monica Zoltanski,Yes,Aye
369,15200,27353,368,Marci Houseman,Yes,Aye
370,15201,27353,331,Cyndi Sharkey,Yes,Aye
371,15202,27353,334,Brooke Christensen,Yes,Aye
372,15182,27355,369,Alison Stroud,Yes,Aye
373,15183,27355,253,Kris Nicholl,Yes,Aye
374,15184,27355,335,Zach Robinson,Yes,Aye
375,15185,27355,370,Monica Zoltanski,Yes,Aye
376,15186,27355,368,Marci Houseman,Yes,Aye
377,15187,27355,331,Cyndi Sharkey,Yes,Aye
378,15188,27355,334,Brooke Christensen,Yes,Aye
379,15189,27364,369,Alison Stroud,Yes,Aye
380,15190,27364,253,Kris Nicholl,Yes,Aye
381,15191,27364,335,Zach Robinson,Yes,Aye
382,15192,27364,370,Monica Zoltanski,Yes,Aye
383,15193,27364,368,Marci Houseman,Yes,Aye
384,15194,27364,331,Cyndi Sharkey,Yes,Aye
385,15195,27364,334,Brooke Christensen,Yes,Aye
386,15196,27370,369,Alison Stroud,Yes,Aye
387,15197,27370,253,Kris Nicholl,Yes,Aye
388,15198,27370,335,Zach Robinson,Yes,Aye
389,15199,27370,370,Monica Zoltanski,Yes,Aye
390,15200,27370,368,Marci Houseman,Yes,Aye
391,15201,27370,331,Cyndi Sharkey,Yes,Aye
392,15202,27370,334,Brooke Christensen,Yes,Aye
393,15271,27415,369,Alison Stroud,Yes,Aye
394,15272,27415,253,Kris Nicholl,Yes,Aye
395,15273,27415,335,Zach Robinson,Yes,Aye
396,15274,27415,370,Monica Zoltanski,Yes,Aye
397,15275,27415,368,Marci Houseman,Yes,Aye
398,15276,27415,331,Cyndi Sharkey,Yes,Aye
399,15277,27415,334,Brooke Christensen,Yes,Aye
400,15264,27418,369,Alison Stroud,Yes,Aye
401,15265,27418,253,Kris Nicholl,Yes,Aye
402,15266,27418,335,Zach Robinson,Yes,Aye
403,15267,27418,370,Monica Zoltanski,Yes,Aye
404,15268,27418,368,Marci Houseman,Yes,Aye
405,15269,27418,331,Cyndi Sharkey,Yes,Aye
406,15270,27418,334,Brooke Christensen,Yes,Aye
407,15271,27462,369,Alison Stroud,Yes,Aye
408,15272,27462,253,Kris Nicholl,Yes,Aye
409,15273,27462,335,Zach Robinson,Yes,Aye
410,15274,27462,370,Monica Zoltanski,Yes,Aye
411,15275,27462,368,Marci Houseman,Yes,Aye
412,15276,27462,331,Cyndi Sharkey,Yes,Aye
413,15277,27462,334,Brooke Christensen,Yes,Aye
414,15285,27481,369,Alison Stroud,Yes,Aye
415,15286,27481,253,Kris Nicholl,Yes,Aye
416,15287,27481,335,Zach Robinson,Yes,Aye
417,15288,27481,370,Monica Zoltanski,Yes,Aye
418,15289,27481,368,Marci Houseman,Yes,Aye
419,15290,27481,331,Cyndi Sharkey,Yes,Aye
420,15291,27481,334,Brooke Christensen,Yes,Aye
421,15299,27482,369,Alison Stroud,Yes,Aye
422,15300,27482,253,Kris Nicholl,Yes,Aye
423,15301,27482,335,Zach Robinson,Yes,Aye
424,15302,27482,370,Monica Zoltanski,Yes,Aye
425,15303,27482,368,Marci Houseman,Yes,Aye
426,15304,27482,331,Cyndi Sharkey,Yes,Aye
427,15305,27482,334,Brooke Christensen,Yes,Aye
428,15320,27484,369,Alison Stroud,Yes,Aye
429,15321,27484,253,Kris Nicholl,Yes,Aye
430,15322,27484,335,Zach Robinson,Yes,Aye
431,15323,27484,370,Monica Zoltanski,Yes,Aye
432,15324,27484,368,Marci Houseman,Yes,Aye
433,15325,27484,331,Cyndi Sharkey,Yes,Aye
434,15326,27484,334,Brooke Christensen,Yes,Aye
435,15278,27492,369,Alison Stroud,Yes,Aye
436,15279,27492,253,Kris Nicholl,Yes,Aye
437,15280,27492,335,Zach Robinson,Yes,Aye
438,15281,27492,370,Monica Zoltanski,Yes,Aye
439,15282,27492,368,Marci Houseman,Yes,Aye
440,15283,27492,331,Cyndi Sharkey,Yes,Aye
441,15284,27492,334,Brooke Christensen,Yes,Aye
442,15292,27496,369,Alison Stroud,Yes,Aye
443,15293,27496,253,Kris Nicholl,Yes,Aye
444,15294,27496,335,Zach Robinson,Yes,Aye
445,15295,27496,370,Monica Zoltanski,Yes,Aye
446,15296,27496,368,Marci Houseman,Yes,Aye
447,15297,27496,331,Cyndi Sharkey,Yes,Aye
448,15298,27496,334,Brooke Christensen,Yes,Aye
449,15327,27498,369,Alison Stroud,Yes,Aye
450,15328,27498,253,Kris Nicholl,Yes,Aye
451,15329,27498,335,Zach Robinson,Yes,Aye
452,15330,27498,370,Monica Zoltanski,Yes,Aye
453,15331,27498,368,Marci Houseman,Yes,Aye
454,15332,27498,331,Cyndi Sharkey,Yes,Aye
455,15333,27498,334,Brooke Christensen,Yes,Aye
456,15362,27555,369,Alison Stroud,Yes,Aye
457,15363,27555,253,Kris Nicholl,Yes,Aye
458,15364,27555,335,Zach Robinson,Yes,Aye
459,15365,27555,370,Monica Zoltanski,Yes,Aye
460,15366,27555,368,Marci Houseman,Yes,Aye
461,15367,27555,331,Cyndi Sharkey,Yes,Aye
462,15368,27555,334,Brooke Christensen,Yes,Aye
463,15362,27556,369,Alison Stroud,Yes,Aye
464,15363,27556,253,Kris Nicholl,Yes,Aye
465,15364,27556,335,Zach Robinson,Yes,Aye
466,15365,27556,370,Monica Zoltanski,Yes,Aye
467,15366,27556,368,Marci Houseman,Yes,Aye
468,15367,27556,331,Cyndi Sharkey,Yes,Aye
469,15368,27556,334,Brooke Christensen,Yes,Aye
470,15334,27559,369,Alison Stroud,No,Nay
471,15335,27559,253,Kris Nicholl,No,Nay
472,15336,27559,335,Zach Robinson,Yes,Aye
473,15337,27559,370,Monica Zoltanski,Yes,Aye
474,15338,27559,368,Marci Houseman,No,Nay
475,15339,27559,331,Cyndi Sharkey,No,Nay
476,15340,27559,334,Brooke Christensen,Yes,Aye
477,15341,27561,369,Alison Stroud,Yes,Aye
478,15342,27561,253,Kris Nicholl,Yes,Aye
479,15343,27561,335,Zach Robinson,No,Nay
480,15344,27561,370,Monica Zoltanski,No,Nay
481,15345,27561,368,Marci Houseman,Yes,Aye
482,15346,27561,331,Cyndi Sharkey,Yes,Aye
483,15347,27561,334,Brooke Christensen,No,Nay
484,15355,27569,369,Alison Stroud,Yes,Aye
485,15356,27569,253,Kris Nicholl,Yes,Aye
486,15357,27569,335,Zach Robinson,Yes,Aye
487,15358,27569,370,Monica Zoltanski,Yes,Aye
488,15359,27569,368,Marci Houseman,Yes,Aye
489,15360,27569,331,Cyndi Sharkey,Yes,Aye
490,15361,27569,334,Brooke Christensen,Yes,Aye
491,15348,27572,369,Alison Stroud,Yes,Aye
492,15349,27572,253,Kris Nicholl,Yes,Aye
493,15350,27572,335,Zach Robinson,Yes,Aye
494,15351,27572,370,Monica Zoltanski,Yes,Aye
495,15352,27572,368,Marci Houseman,Yes,Aye
496,15353,27572,331,Cyndi Sharkey,Yes,Aye
497,15354,27572,334,Brooke Christensen,No,Nay
498,15362,27574,369,Alison Stroud,Yes,Aye
499,15363,27574,253,Kris Nicholl,Yes,Aye
500,15364,27574,335,Zach Robinson,Yes,Aye
501,15365,27574,370,Monica Zoltanski,Yes,Aye
502,15366,27574,368,Marci Houseman,Yes,Aye
503,15367,27574,331,Cyndi Sharkey,Yes,Aye
504,15368,27574,334,Brooke Christensen,Yes,Aye
505,15419,27647,369,Alison Stroud,Yes,Aye
506,15420,27647,253,Kris Nicholl,Yes,Aye
507,15421,27647,335,Zach Robinson,Yes,Aye
508,15422,27647,370,Monica Zoltanski,No,Nay
509,15423,27647,368,Marci Houseman,Yes,Aye
510,15424,27647,331,Cyndi Sharkey,Yes,Aye
511,15425,27647,334,Brooke Christensen,Yes,Aye
512,15454,27668,369,Alison Stroud,Yes,Aye
513,15455,27668,253,Kris Nicholl,Yes,Aye
514,15456,27668,335,Zach Robinson,Yes,Aye
515,15457,27668,370,Monica Zoltanski,No,Nay
516,15458,27668,368,Marci Houseman,Yes,Aye
