body,body_name,event_date,notice_id,title,file_id,filename,minutes_like
2147,City Council,2026-01-09,1049839,PRE-LEGISLATIVE SESSION BREAKFAST,1372545,01-09-2026 CH CC Pre-Legislative Breakfast Agenda.pdf,False
2147,City Council,2026-01-06,1048715,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1371457,1.06.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2026-01-05,1048487,City Council Oath of Office,1371141,01-05-2026 CH CC Oath of Office Agenda.pdf,False
2147,City Council,2025-12-16,1045045,"CITY COUNCIL WORK SESSION, CDRA. AND BUSINESS MEETING AGENDAS",1364773,12.16. 2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-12-02,1041115,JOINT PLANNING COMMISSION/CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1357241,12.02.2025 Joint PC-CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-11-18,1037639,"CITY COUNCIL WORK SESSION, CDRA. BOARD OF CANVASSERS AND BUSINESS MEETING AGENDAS",1350075,11.18. 2025 CC Work Session CDRA Board of Canvassers CC Business Meeting Agendas.pdf,False
2147,City Council,2025-10-21,1030797,"JOINT PLANNING COMMISSION/CITY COUNCIL WORK SESSION, CDRA AND BUSINESS MEETING AGENDAS",1337373,10.21.2025 Joint PC-CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-10-07,1026561,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1330297,10.7.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-09-16,1023273,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1323391,9.16.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-08-19,1006029,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1308779,8.19.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-07-15,1008891,"CITY COUNCIL WORK SESSION, CDRA AND BUSINESS MEETING AGENDAS",1296851,7.15.2025 CC Work Session CDRA and CC Amended Business Meeting Agendas.pdf,False
2147,City Council,2025-06-19,1004469,Notice of Adoption given by The Cottonwood Heights Community Development and Renewal Agency of Resolutions and Interlocal Agreements by Various Taxing Entities,1288451,Class A Notice for Interlocal Agreements.pdf,False
2147,City Council,2025-06-17,1001613,Notice of Public Hearing - Proposed Compensation Increasers for Executive Municipal Officers,1283259,WST-Cottonwood Heights-Notice of Public Hearing re 2025 Compensation Increases (5.27.2025).pdf,False
2147,City Council,2025-06-09,1001065,2025 COTTONWOOD HEIGHTS MUNICIPAL ELECTION CANDIDATES,1282595,Notice - CWH Municipal Election Candidates 2025.pdf,False
2147,City Council,2025-06-06,1000527,NOTICE OF ADOPTION OF ORDINANCE NO. 430 By the City Council of Cottonwood Heights,1281761,Class A Notice for Canyon Centre CDA.pdf,False
2147,City Council,2025-06-03,995707,"CITY COUNCIL WORK SESSION, CDRA, AND BUSINESS MEETING AGENDAS",1278293,6.3.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-05-20,995713,Notice of Intent to Annex and of Public Hearing,1273187,WST-Cottonwood Heights-Notice of Intent to Annex and Public Hearing (Water Vista Way).pdf,False
2147,City Council,2025-05-06,991633,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1265817,5.6.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-04-28,990497,COTTONWOOD HEIGHTS UOCAVA Election Notice,1263921,Cottonwood Heights UOCAVA Election Notice 2025.pdf,False
2147,City Council,2025-04-21,989021,Notice of Intent to Annex and of Public Hearing,1261243,WST-Cottonwood Heights-Notice of Intent to Annex and Public Hearing (Water Vista Way) (FINAL 4.18.25).pdf,False
2147,City Council,2025-04-15,986813,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1257223,4.15.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-04-03,984891,COTTONWOOD HEIGHTS 2025 NOTICE OF MUNICIPAL ELECTION,1253845,2025 Notice of Municipal Election - PMN Website.pdf,False
2147,City Council,2025-04-01,982645,NOTICE OF PUBLIC HEARING,1249837,Notice of Public Hearing on Budget Amendment for Fiscal Year 2024-2025 (April 2025).pdf,False
2147,City Council,2025-04-01,983637,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1251587,Cottonwood Heights-4.01.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-03-21,982369,Certification of Annexation Petition - Creek Road West,1249277,WST-Cottonwood Heights-Notice of Certification of Annexation Petiton (Creek Road West).pdf,False
2147,City Council,2025-03-18,980425,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1245579,3.18.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-03-18,979691,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1243855,3.18.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-03-04,976993,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1238937,3.04.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-02-25,975571,NOTICE OF POTENTIAL QUORUM,1235697,PUBLIC NOTICE of POTENTIAL QUORUM - Short-Term Rental Town Hall.pdf,False
2147,City Council,2025-02-24,976421,REQUEST FOR QUALIFICATIONS - CITY PROJECT 003.25 - CITY WIDE STRIPING PROJECT 2025-2027,1237567,RFQ - 003.25 - CITY WIDE STRIPING PROJECT 2025 - 2027.pdf,False
2147,City Council,2025-02-18,961417,"City Council Work Session, CDRA Meeting, and City Council Business Meeting Agendas",1221935,CH CDRA Notice of Public Hearing for Website Posting- FINAL 1.17.25.pdf,False
2147,City Council,2025-02-18,961417,"City Council Work Session, CDRA Meeting, and City Council Business Meeting Agendas",1232297,2.18.2025 CC Work Session CDRA and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-02-04,970407,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1226097,2.04.2025 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-02-03,1055415,CITY COUNCIL WORK SESSION AND BUSINESS MEETING AGENDAS,1383671,2.03.2026 CC Work Session and CC Business Meeting Agendas.pdf,False
2147,City Council,2025-01-21,968189,"CITY COUNCIL WORK SESSION, CDRA, AND BUSINESS MEETING AGENDAS",1221943,1.21.2025 CC Work Session CDRA and CC Business Meeting Packet (1.17.25).pdf,False
2147,City Council,2025-01-21,968189,"CITY COUNCIL WORK SESSION, CDRA, AND BUSINESS MEETING AGENDAS",1221947,1.21.2025 CC Work Session CDRA and CC Business Meeting Agendas (1.17.25).pdf,False
2147,City Council,2025-01-16,966031,PUBLIC NOTICE of Council Retreat and Agenda 1.16.2025,1217781,Notice of Council Retreat and Agenda 1.16.2025.pdf,False
2147,City Council,2025-01-15,965991,PUBLIC NOTICE State of the City Address,1217703,Public Notice State of the City Cottonwood Heights 1.15.25.pdf,False
2147,City Council,2025-01-07,964239,"City Council Work Session, CDRA Meeting, and City Council Business Meeting Agendas",1214787,1.7.2025 CC Work Session CDRA and CC Business Meeting Agendas (1.2.25).pdf,False
2147,City Council,2025-01-07,965397,Certification of Annexation Petition - Creek Road West,1216321,Creek West 1_7_25 - 17x11 (1).pdf,False
2147,City Council,2025-01-07,965397,Certification of Annexation Petition - Creek Road West,1216323,"Creek Road West Certification of Annexation, and Contact Sponsor Letter..pdf",False
2147,City Council,2024-12-06,959297,REQUEST FOR PROPOSALS FOR DEVELOPMENT OF COTTONWOOD HEIGHTS TOWN CENTER,1205919,Cottonwood Heights CDRA - Town Center Development RFP - 12-6-2024 (2).pdf,False
2147,City Council,2024-12-03,957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,1202463,12.3.2024 CHCC Work Session and Business Meeting Agendas.pdf,False
2147,City Council,2024-12-03,957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,1203827,Dec06 - Danish Speed Study.pdf,False
2147,City Council,2024-12-03,957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,1203829,7425 south creek road.pdf,False
2147,City Council,2024-12-03,957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,1203831,2175 east creek road.pdf,False
2147,City Council,2024-12-03,957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,1203835,CED Memo - UDOT BCC Study Public Comment.pdf,False
2147,City Council,2024-12-03,957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,1203837,CED Slides - MIH Discussion.pdf,False
2147,City Council,2024-12-03,957349,CITY COUNCIL WORK SESSION AND BUSINESS MEETING,1203839,Final EIS Public Comments - City of Cottonwood Heights.pdf,False
2147,City Council,2024-11-19,954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",1196787,11.19. 2024 CC Work Session CDRA Board of Canvassers CC Business Meeting Agendas.pdf,False
2147,City Council,2024-11-19,954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",1198253,STR POLICY OBJECTIVES 11-19-2024 (1).pdf,False
2147,City Council,2024-11-19,954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",1198255,3500 East &amp; Bengal Blvd_Existing.pdf,False
2147,City Council,2024-11-19,954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",1198257,3500 East &amp; Bengal Blvd_Striping Plan_11_13_24-alg.pdf,False
2147,City Council,2024-11-19,954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",1198259,BCC Study - Cottonwood Heights Scoping Presentation 11-19-2024.pdf,False
2147,City Council,2024-11-19,954301,"CH CC Work Session. CDRA. Board of Canvassers, CC Business Meeting Agendas",1198279,CED Slides - 11-19-24.pdf,False
2147,City Council,2024-11-15,956209,Request for proposals  HIGHLAND DRIVE PEDESTRIAN TRAIL  PHASE 3,1200671,RFP - Highland Drive Pedstrian Trail - Phase 3 .pdf,False
2147,City Council,2024-11-15,956209,Request for proposals  HIGHLAND DRIVE PEDESTRIAN TRAIL  PHASE 3,1200673,006.24 --RFP Clarification - Highland Drive Pedestrian Trail Phase 3.pdf,False
2147,City Council,2024-11-12,952035,City Council Amended Work Session and Business Meeting Agendas,1226815,111224 CHCC Work Session and Business Meeting Minutes Approved.pdf,True
2147,City Council,2024-11-12,952035,City Council Amended Work Session and Business Meeting Agendas,1193589,"11.12.2024 CH CC Amended Work Session, and Business Meeting Agendas..pdf",False
2147,City Council,2024-11-05,948213,City Council Work Session and City Council Business Meeting Cancellation,1185453,CH CC Work Session and Business Meeting Notice of Cancellation 11.5.2024.pdf,False
2147,City Council,2024-10-29,948679,JOINT CITY COUNCIL AND PLANNING COMMISSION WORK SESSION,1205421,102924 CHCC PC Meeting Minutes Approved.pdf,True
2147,City Council,2024-10-29,948679,JOINT CITY COUNCIL AND PLANNING COMMISSION WORK SESSION,1186417,10.29.2024 CC.PC Joint Work Session Agenda.pdf,False
2147,City Council,2024-10-29,948679,JOINT CITY COUNCIL AND PLANNING COMMISSION WORK SESSION,1205423,Joint Work Session Presentation (10.29.24).pdf,False
2147,City Council,2024-10-15,944537,NOTICE OF PUBLIC HEARING,1226779,101524 CHCC Meeting Minutes Approved.pdf,True
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1180931,10-15-2024 CH CC Work Session and Business Meeting Agendas.pdf,False
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1183359,CHPD Statistics Review September 2024 (1).pdf,False
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1183361,Laura Briefer.pdf,False
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1183363,Laura Garcia Arts.pdf,False
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1183365,Matt Shipp Presentation.pdf,False
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1183367,Pam Roberts Presentation.pdf,False
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1183369,WFWRD 2024 Report for Cottonwood Heights Council 10-15-24.pdf,False
2147,City Council,2024-10-15,945917,10/15/2024 Work Session and Business Meetings,1183371,G-402CWH.pdf,False
2147,City Council,2024-10-01,943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,1184187,100124 CHCC Meeting Minutes Approved.pdf,True
2147,City Council,2024-10-01,943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,1176371,"10-01-2024 CH CC Work Session, and Business Meeting Agendas..pdf",False
2147,City Council,2024-10-01,943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,1177135,Yeonsu-gu Sister City.pdf,False
2147,City Council,2024-10-01,943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,1177137,Wasatch Blvd. at Ft. Union Intersection Project presentation.pdf,False
2147,City Council,2024-10-01,943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,1177141,2024 Landscape Beautification Awards.pdf,False
2147,City Council,2024-10-01,943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,1177143,CED Presentation - EJCT Study (1).pdf,False
2147,City Council,2024-10-01,943525,Amended Notice of Cottonwood Heights City Council Business Meeting Agenda,1184189,Ordinance No. 422 Amending Ch 9.05 CWH Code of Ordinances Regarding Nuisances.pdf,False
2147,City Council,2024-10-01,942687,City Council Work Session and Business Meeting Agendas,1184183,100124 CHCC Meeting Minutes Approved.pdf,True
2147,City Council,2024-10-01,942687,City Council Work Session and Business Meeting Agendas,1174977,"10-01-2024 CH CC Work Session, and Business Meeting Agendas.pdf",False
2147,City Council,2024-09-17,936789,Notice of Public Hearing - Bond Election,1164021,Notice of Public Hearing (with Spanish Translation) - Cottonwood Heights GO Election 2024.pdf,False
2147,City Council,2024-09-17,939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",1184261,091724 CHCC Meeting Minutes Approved.pdf,True
2147,City Council,2024-09-17,939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",1168521,"09-17-2024 CH CC Work Session, CDRA Business Meeting, and Business Meeting Agendas.pdf",False
2147,City Council,2024-09-17,939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",1173235,Resolution 2024-62 A Resolution Approving Performance Contract and Addendum.pdf,False
2147,City Council,2024-09-17,939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",1173237,Resolution 2024-64 Approving an Agreement with Mountain West Commercial for Real Estate Services.pdf,False
2147,City Council,2024-09-17,939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",1173239,Resolution 2024-63 Approving and Ratifying entry into an ILA with SLCo. for Bond services.pdf,False
2147,City Council,2024-09-17,939321,"City Council Work Session, CDRA Business Meeting, and City Council Business Meeting",1173241,"RES 2024-64 Approving a Consulting Agreement with H.W. Lochner, Inc. for the 2300 East Fort Union Blvd..pdf",False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1184259,091024 CHCC Meeting Minutes Approved.pdf,True
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1165755,"09-10-2024 CH CC Work Session, CDRA Business Meeting, and Business Meeting Agendas.pdf",False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1166711,"09-10-2024 CH CC Work Session, CDRA Business Meeting, and Business Meeting AMENDED Agendas.pdf",False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1168561,Mr. Joel Hochhalter Handout.pdf,False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1168563,Utah Recycling Alliance_CHaRM Recap_Cottonwood Heights_09.03.24-3.pdf,False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1168565,Ordinance No. 421 (Amending Title 19 of the CWH Code of Ordinances - Sept 2024 Code Maintenance).pdf,False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1168567,Resolution 2024-58 (Declaring Certain Property Surplus - PD Firearms).pdf,False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1168569,Resolution 2024-59 (Declaring Police K-9 Odie Surplus and Authorizing Sale to Lt. McHugh).pdf,False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1168571,Resolution 2024-60 (Approving and Ratifying a Bid and Awarding a Construction Contract to DRD Paving - Banbury Rd Crossing)).pdf,False
2147,City Council,2024-09-10,937659,"City Council Work Session, AMENDED CDRA Business Meeting, and City Council Business Meeting",1168573,Resolution 2024-61 (Approving Entry Into an ILA w SLCounty for Health Coalition Funding).pdf,False
2147,City Council,2024-09-04,936953,NOTICE OF MAYOR AND CITY COUNCIL ATTENDANCE OF THE UTAH LEAGUE OF CITIES AND TOWNS (ULCT) 2024 ANNUAL CONVENTION,1164283,9-4 and 5-2024 CH CC Notice of ULCT 2024 Annual Convention.pdf,False
2147,City Council,2024-08-30,936651,NOTICE OF MEETING CANCELLATION,1163829,CH CC Notice of Cancellation of September 3 Meeting.pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1157609,08-20-2024 CH CC Work Session and Business Meeting Agendas Final.pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161625,Bond Memo 2024 Aug 20 w-updates.pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161627,FT Union Bike and Trail.pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161629,Highland Drive Capacity Expansion.pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161631,Salt Lake County - Coalition Questions.pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161633,Sister City .pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161635,Wasatch Blvd. Trail and Bicycle Path.pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161637,Ordinance No. 420 (Amending Chapter 9.05 CWH Code of Ordinances Regarding Nuisances).pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161639,"Resolution 2024-55 (Providing for a Special Bond Election to be held November 5, 2024).pdf",False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161641,Resolution 2024-56 (Approving Entry Into an Interlocal Cooperation Agreement w Canyons School District - School Resource Officers).pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161643,Resolution 2024-57 (Consenting to an Appointment to the ARC).pdf,False
2147,City Council,2024-08-20,933669,City Council Work Session and Business Meeting,1161679,Salt Lake County - Coalition - Handouts.pdf,False
2147,City Council,2024-08-12,932353,NOTICE OF POTENTIAL QUORUM  CITY COUNCIL  Open House for the Heights Town Center at City Hall,1155373,CHCC PUBLIC NOTICE Open House For The Heights Town Center at City Hall.pdf,False
2147,City Council,2024-08-06,930359,City Council Work Session and Business Meeting,1168575,08-06-2024 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,True
2147,City Council,2024-08-06,930359,City Council Work Session and Business Meeting,1151999,08-06-2024 CH CC Work Session and Business Meeting Agendas.pdf,False
2147,City Council,2024-08-06,930359,City Council Work Session and Business Meeting,1155725,Resolution 2024-54 (Approving an Agreement w Bowen Collins &amp; Associates for Construction Management Services).pdf,False
2147,City Council,2024-08-06,930359,City Council Work Session and Business Meeting,1155927,GO Bond Outline.pdf,False
2147,City Council,2024-08-06,930359,City Council Work Session and Business Meeting,1155929,CED Slides.pdf,False
2147,City Council,2024-08-05,931743,Invitation to Bid: City Project 005.24 BANBURY ROAD CROSSING,1154109,005.24 - Inv to Bid (1).pdf,False
2147,City Council,2024-08-03,930643,NOTICE OF POTENTIAL QUORUM  CITY COUNCIL,1152469,CHCC PUBLIC NOTICE Austism Council BBQ.pdf,False
2147,City Council,2024-07-22,928837,NOTICE OF POTENTIAL QUORUM  CITY COUNCIL  Town Center Bond Advisory Committee Training Session,1149209,CHCC PUBLIC NOTICE TRAINING.pdf,False
2147,City Council,2024-07-19,928420,Request for Statements of Qualifications - Real Estate Brokerage Services,1148494,WST-Cottonwood Heights-CDRA-Hillside Plaza-Request for Statements of Qualifications (SOQ) for Real Estate Brokerage Services (July 2024).pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1155727,07-16-2024 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,True
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1146176,07-16-2024 CH CC Work Session and Business Meeting Agendas.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1146634,07-16-2024 CH CC AMENDED Work Session and Business Meeting Agendas.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147580,2024 06 June Council Financial Report.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147582,CWH Parks and Recreation Service Area Board Presentation.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147584,Old Mill Development Presentation.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147586,Petition to City Council and PC by Residents (Old Mill)_Redacted.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147588,Speaker Comment Card - Krista Marti_Redacted.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147590,Public Speaker Card - Erin Salazar_Redacted.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147592,Public Speaker Card - Erin Salazar (2)_Redacted.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147594,Speaker Comment Card - Debbie Bush_Redacted.pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147596,Resolution 2024-50 (Appointing a City Manager and Approving an Employment Agreement w such Manager).pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147598,Resolution 2024-51 (Approving the Fourth Amendment to an independent Contractor Agreement w Greg Curtis DBA Curtis Consulting).pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147600,Resolution 2024-52 (Approving the Fourth Amendment to an Independent Contractor Agreement w Evviva Enterprises Inc).pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1147602,Resolution 2024-53 (Approving and Ratifying a Bid and Awarding a Construction Contract w Lyndon Jones Construction Inc - Supernal Way Storm Drain Improvements Project).pdf,False
2147,City Council,2024-07-16,927232,City Council Work Session and Business Meeting,1148660,UFA Quarterly Report 7-16-2024.pdf,False
2147,City Council,2024-07-02,924459,"City Council Work Session, CDRA Work Session, and City Council Business Meeting",1147576,07-02-2024 CH CC Work Session and CC Business Meeting Minutes-APPROVED.pdf,True
2147,City Council,2024-07-02,924459,"City Council Work Session, CDRA Work Session, and City Council Business Meeting",1141671,"07-02-2024 CH CC Work Session, CDRA Work Session, and City Council Business Meeting Agendas.pdf",False
