date,title,body,meeting_type,packet_kind,source_url,retrieved_date,format,extraction_method,path,meeting_title,filename,content_length_bytes,size_mb,stored_locally,doc_class,fetch_status,sha256,text_path,text_chars
2022-01-18,Ord 22-01 Rezone Ethan's Honest Automotive - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-01%20Rezone%20Ethan%27s%20Honest%20Automotive%20-%20ACTION.pdf?t=20220114102836585,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Ord 22-01 Rezone Ethan's Honest Automotive - ACTION.pdf,1072839,1.07,no,staff_report,ok,5a383520799a7e33ce46d52b250ed713422301fa532e6eee92536449ec66e071,text/attachments/2022-01-18_Ord_22_01_Rezone_Ethan_s_Honest_Automotive_ACTION_7897fe94.txt,22745
2022-01-18,Ord 22-02 LMC 12.28.050 Watercourse Maintenance - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-02%20LMC%2012.28.050%20Watercourse%20Maintenance%20-%20WORKSHOP.pdf?t=20220114103007507,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Ord 22-02 LMC 12.28.050 Watercourse Maintenance - WORKSHOP.pdf,73383,0.07,no,,,,,
2022-01-18,Res 21-43 Comcast Cable Franchise Agreement 2022January - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2021-43%20Comcast%20Cable%20Franchise%20Agreement%202022January%20-%20ACTION.pdf?t=20220114102903819,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Res 21-43 Comcast Cable Franchise Agreement 2022January - ACTION.pdf,240225,0.24,no,,,,,
2022-01-18,Res 22-01 Budget Adjustments - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-01%20Budget%20Adjustments%20-%20ACTION.pdf?t=20220114102808726,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Res 22-01 Budget Adjustments - ACTION.pdf,15231,0.02,no,,,,,
2022-01-18,Res 22-02 Budget Adjustments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-02%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=20220114102940413,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Res 22-02 Budget Adjustments - WORKSHOP.pdf,13607,0.01,no,,,,,
2022-01-18,Res 22-03 Creating Logan City School Board Districts Option 1 - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-03%20Creating%20Logan%20City%20School%20Board%20Districts%20Option%201%20-%20ACTION.pdf?t=20220114171732328,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Res 22-03 Creating Logan City School Board Districts Option 1 - ACTION.pdf,117080,0.12,no,,,,,
2022-01-18,Res 22-03 Creating Logan City School Board Districts Option 2 - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-03%20Creating%20Logan%20City%20School%20Board%20Districts%20Option%202%20-%20ACTION.pdf?t=20220114171814688,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,January 18 - Regular Meeting,Res 22-03 Creating Logan City School Board Districts Option 2 - ACTION.pdf,156920,0.16,no,,,,,
2022-02-01,AGENDA 2022February1,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022February1.pdf?t=20220128105626353,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,AGENDA 2022February1.pdf,170779,0.17,no,,,,,
2022-02-01,AGENDA 2022February1 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022February1%20Spanish.pdf?t=20220128105704389,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,AGENDA 2022February1 Spanish.pdf,164329,0.16,no,,,,,
2022-02-01,Board Appointment - Library,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Board%20Appointment%20-%20Library.pdf?t=20220128105754654,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,Board Appointment - Library.pdf,65782,0.07,no,,,,,
2022-02-01,Ord 22-02 LMC 12.28.050 Watercourse Maintenance - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-02%20LMC%2012.28.050%20Watercourse%20Maintenance%20-%20ACTION.pdf?t=20220128110705312,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,Ord 22-02 LMC 12.28.050 Watercourse Maintenance - ACTION.pdf,73383,0.07,no,,,,,
2022-02-01,Ord 22-03 Rezone 2200 South - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-03%20Rezone%202200%20South%20-%20WORKSHOP.pdf?t=20220128110803906,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,Ord 22-03 Rezone 2200 South - WORKSHOP.pdf,925232,0.93,no,staff_report,ok,9bb1526984e32605feca57b05d0e1ff32acb0ebb6c92fba5aaa188e45f2c691c,text/attachments/2022-02-01_Ord_22_03_Rezone_2200_South_WORKSHOP_37bdd57d.txt,17406
2022-02-01,Res 22-02 Budget Adjustments - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-02%20Budget%20Adjustments%20-%20ACTION.pdf?t=20220128110635437,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,Res 22-02 Budget Adjustments - ACTION.pdf,13607,0.01,no,,,,,
2022-02-01,Res 22-04 2022 Parks and Rec Dept Proposed Fees - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-04%202022%20Parks%20and%20Rec%20Dept%20Proposed%20Fees%20-%20WORKSHOP.pdf?t=20220128110829781,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,Res 22-04 2022 Parks and Rec Dept Proposed Fees - WORKSHOP.pdf,152086,0.15,no,,,,,
2022-02-01,Res 22-05 Parking Enforcement Fines - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-05%20Parking%20Enforcement%20Fines%20-%20WORKSHOP.pdf?t=20220128110858172,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,Res 22-05 Parking Enforcement Fines - WORKSHOP.pdf,69409,0.07,no,,,,,
2022-02-01,Res 22-06 Budget Adjustments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-06%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=20220128110734297,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 1 - Regular Meeting,Res 22-06 Budget Adjustments - WORKSHOP.pdf,14154,0.01,no,,,,,
2022-02-15,AGENDA 2022February15,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022February15.pdf?t=20220211112606293,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,AGENDA 2022February15.pdf,173294,0.17,no,,,,,
2022-02-15,AGENDA 2022February15 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022February15%20Spanish.pdf?t=2022021111263345,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,AGENDA 2022February15 Spanish.pdf,155410,0.16,no,,,,,
2022-02-15,Board Appointments,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Board%20Appointments.pdf?t=20260114130854862,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,Board Appointments.pdf,491925,0.49,no,,,,,
2022-02-15,Ord 22-03 Rezone 2200 South - ACTION,Council,regular,staff_report,https://www.loganutah.gov/Ord%2022-03%20Rezone%202200%20South%20-%20ACTION.pdf?t=20220211112825856,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,Ord 22-03 Rezone 2200 South - ACTION.pdf,925232,0.93,no,staff_report,ok,9bb1526984e32605feca57b05d0e1ff32acb0ebb6c92fba5aaa188e45f2c691c,text/attachments/2022-02-15_Ord_22_03_Rezone_2200_South_ACTION_70db6433.txt,17406
2022-02-15,Ord 22-04 Code Amendments Short Term Rentals - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-04%20Code%20Amendments%20Short%20Term%20Rentals%20-%20WORKSHOP.pdf?t=20220211113027215,2026-07-05,na,claude_vision,,February 15 - Regular Meeting,Ord 22-04 Code Amendments Short Term Rentals - WORKSHOP.pdf,2633914,2.63,no,staff_report,ok,f2a5bb026f48f63830888c3ee610a05b348cf5c6a98cd1eefa1651d67a28b89a,text/attachments/2022-02-15_Ord_22_04_Code_Amendments_Short_Term_Rentals_WORKS_6a3e0a6d.txt,31473
2022-02-15,"Ord 22-05 Code Amendments RV Parks, District Corridor Use Table Changes - WORKSHOP",Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-05%20Code%20Amendments%20RV%20Parks%2C%20District%20Corridor%20Use%20Table%20Changes%20-%20WORKSHOP.pdf?t=20220211113058028,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,"Ord 22-05 Code Amendments RV Parks, District Corridor Use Table Changes - WORKSHOP.pdf",3780266,3.78,no,,,,,
2022-02-15,Res 22-04 2022 Parks and Rec Dept Proposed Fees - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-04%202022%20Parks%20and%20Rec%20Dept%20Proposed%20Fees%20-%20ACTION.pdf?t=20220211112857262,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,Res 22-04 2022 Parks and Rec Dept Proposed Fees - ACTION.pdf,152913,0.15,no,,,,,
2022-02-15,Res 22-05 Parking Enforcement Fines - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-05%20Parking%20Enforcement%20Fines%20-%20ACTION.pdf?t=20220211112932325,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,Res 22-05 Parking Enforcement Fines - ACTION.pdf,69660,0.07,no,,,,,
2022-02-15,Res 22-06 Budget Adjustments - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-06%20Budget%20Adjustments%20-%20ACTION.pdf?t=20220211112758762,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,Res 22-06 Budget Adjustments - ACTION.pdf,14495,0.01,no,,,,,
2022-02-15,Res 22-07 Budget Adjustments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-07%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=2022021111295934,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,February 15 - Regular Meeting,Res 22-07 Budget Adjustments - WORKSHOP.pdf,66866,0.07,no,,,,,
2022-03-01,AGENDA 2022March1,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022March1.pdf?t=20220225132151783,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,AGENDA 2022March1.pdf,160506,0.16,no,,,,,
2022-03-01,AGENDA 2022March1 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022March1%20Spanish.pdf?t=20220225132234393,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,AGENDA 2022March1 Spanish.pdf,175040,0.18,no,,,,,
2022-03-01,Ord 22-04 Code Amendments Short Term Rentals - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-04%20Code%20Amendments%20Short%20Term%20Rentals%20-%20ACTION.pdf?t=20220225132407221,2026-07-05,na,claude_vision,,March 1 - Regular Meeting,Ord 22-04 Code Amendments Short Term Rentals - ACTION.pdf,2636918,2.64,no,staff_report,ok,660033007ae9874cc5c6ce4f39b755a70c0a4e9058a8b380d4c5c9ee746ee411,text/attachments/2022-03-01_Ord_22_04_Code_Amendments_Short_Term_Rentals_ACTIO_e944786a.txt,33120
2022-03-01,"Ord 22-05 Code Amendments RV Parks, District Corridor Use Table Changes - ACTION",Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-05%20Code%20Amendments%20RV%20Parks%2C%20District%20Corridor%20Use%20Table%20Changes%20-%20ACTION.pdf?t=2022022513243508,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,"Ord 22-05 Code Amendments RV Parks, District Corridor Use Table Changes - ACTION.pdf",3783314,3.78,no,,,,,
2022-03-01,Ord 22-06 West Pointe Subdivision Rezone - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-06%20West%20Pointe%20Subdivision%20Rezone%20-%20WORKSHOP.pdf?t=20220225132557377,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,Ord 22-06 West Pointe Subdivision Rezone - WORKSHOP.pdf,3640954,3.64,no,staff_report,ok,5a90e6636b82a800f9e1de2328db2a02ab94e9c79d13c970a9a217adcdc9e69c,text/attachments/2022-03-01_Ord_22_06_West_Pointe_Subdivision_Rezone_WORKSHOP_656dbdc8.txt,23819
2022-03-01,PY2022 Annual Action Plan,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/PY2022%20Annual%20Action%20Plan.pdf?t=20220225132503799,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,PY2022 Annual Action Plan.pdf,427580,0.43,no,,,,,
2022-03-01,Res 22-07 Budget Adjustments - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-07%20Budget%20Adjustments%20-%20ACTION.pdf?t=20220225132336892,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,Res 22-07 Budget Adjustments - ACTION.pdf,65882,0.07,no,,,,,
2022-03-01,Res 22-09 Budget Adjustments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-09%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=20220225132531642,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,Res 22-09 Budget Adjustments - WORKSHOP.pdf,14265,0.01,no,,,,,
2022-03-01,Res 22-10 Steel Solar 1B UAMPS Project - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/Res%2022-10%20Steel%20Solar%201B%20UAMPS%20Project%20-%20WORKSHOP.pdf?t=20220225132626564,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,Res 22-10 Steel Solar 1B UAMPS Project - WORKSHOP.pdf,79332,0.08,no,,,,,
2022-03-01,Res 22-08 RDA Budget Adjustments - WORKSHOP,RDA,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-08%20RDA%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=20220225132717502,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 1 - Regular Meeting,Res 22-08 RDA Budget Adjustments - WORKSHOP.pdf,106224,0.11,no,,,,,
2022-03-15,AGENDA 2022March15,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022March15.pdf?t=20220311114531448,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 15 - Regular Meeting,AGENDA 2022March15.pdf,172746,0.17,no,,,,,
2022-03-15,AGENDA 2022March15 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022March15%20Spanish.pdf?t=20220311114601683,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 15 - Regular Meeting,AGENDA 2022March15 Spanish.pdf,172209,0.17,no,,,,,
2022-03-15,Ord 22-07 Park Strip Code Amendment - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-07%20Park%20Strip%20Code%20Amendment%20-%20WORKSHOP.pdf?t=20220311114855636,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 15 - Regular Meeting,Ord 22-07 Park Strip Code Amendment - WORKSHOP.pdf,1089367,1.09,no,,,,,
2022-03-15,Res 22-09 Budget Adjustments - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-09%20Budget%20Adjustments%20-%20ACTION.pdf?t=20220311114717229,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 15 - Regular Meeting,Res 22-09 Budget Adjustments - ACTION.pdf,14983,0.01,no,,,,,
2022-03-15,Res 22-10 Steel Solar 1B UAMPS Project - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/Res%2022-10%20Steel%20Solar%201B%20UAMPS%20Project%20-%20ACTION.pdf?t=20220311114746104,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 15 - Regular Meeting,Res 22-10 Steel Solar 1B UAMPS Project - ACTION.pdf,86032,0.09,no,,,,,
2022-03-15,Res 22-11 Budget Adjustments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-11%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=20220311114825776,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 15 - Regular Meeting,Res 22-11 Budget Adjustments - WORKSHOP.pdf,12467,0.01,no,,,,,
2022-03-15,Res 22-08 RDA Budget Adjustments - ACTION,RDA,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-08%20RDA%20Budget%20Adjustments%20-%20ACTION.pdf?t=20220311114924839,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,March 15 - Regular Meeting,Res 22-08 RDA Budget Adjustments - ACTION.pdf,106253,0.11,no,,,,,
2022-04-05,AGENDA 2022April5,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022April5.pdf?t=20220401105025348,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,AGENDA 2022April5.pdf,174128,0.17,no,,,,,
2022-04-05,AGENDA 2022April5 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022April5%20Spanish.pdf?t=20220401105119551,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,AGENDA 2022April5 Spanish.pdf,152732,0.15,no,,,,,
2022-04-05,Board Appointment,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Board%20Appointment.pdf?t=20251030155234197,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,Board Appointment.pdf,168569,0.17,no,,,,,
2022-04-05,Certification of Rivergate LLC Annexation Petition - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Certification%20of%20Rivergate%20LLC%20Annexation%20Petition%20-%20ACTION.pdf?t=20220401110610583,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,Certification of Rivergate LLC Annexation Petition - ACTION.pdf,1282750,1.28,no,staff_report,ok,c201bad16bc96f82c8a4a697683c74251e6f6ad9b924fe54356e071eefd1948a,text/attachments/2022-04-05_Certification_of_Rivergate_LLC_Annexation_Petition_f3fb55e1.txt,69363
2022-04-05,Ord 22-07 Park Strip Code Amendments - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-07%20Park%20Strip%20Code%20Amendments%20-%20ACTION.pdf?t=20220401105336895,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,Ord 22-07 Park Strip Code Amendments - ACTION.pdf,1060683,1.06,no,,,,,
2022-04-05,Ord 22-09 LMC Chapter 2.28 Power Advisory Board Amendments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-09%20LMC%20Chapter%202.28%20Power%20Advisory%20Board%20Amendments%20-%20WORKSHOP.pdf?t=20220401105516567,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,Ord 22-09 LMC Chapter 2.28 Power Advisory Board Amendments - WORKSHOP.pdf,476270,0.48,no,,,,,
2022-04-05,Res 22-11 Budget Adjustments - ACTION,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-11%20Budget%20Adjustments%20-%20ACTION.pdf?t=20220401105257614,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,Res 22-11 Budget Adjustments - ACTION.pdf,12467,0.01,no,,,,,
2022-04-05,Res 22-12 Budget Adjustments - WORKSHOP,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Res%2022-12%20Budget%20Adjustments%20-%20WORKSHOP.pdf?t=20220401105440989,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 5 - Regular Meeting,Res 22-12 Budget Adjustments - WORKSHOP.pdf,14212,0.01,no,,,,,
2022-04-19,AGENDA 2022April19,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022April19.pdf?t=20220415110036704,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 19 - Regular Meeting,AGENDA 2022April19.pdf,173580,0.17,no,,,,,
2022-04-19,AGENDA 2022April19 Spanish,Council,regular,agenda,https://www.loganutah.gov/departments/admin/council/AGENDA%202022April19%20Spanish.pdf?t=20220415110105423,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 19 - Regular Meeting,AGENDA 2022April19 Spanish.pdf,154945,0.15,no,,,,,
2022-04-19,Conservation Promotional Plan,Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Conservation%20Promotional%20Plan.pdf?t=20220415110205236,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 19 - Regular Meeting,Conservation Promotional Plan.pdf,98432,0.1,no,,,,,
2022-04-19,Drought Operation Plan (1),Council,regular,staff_report,https://www.loganutah.gov/departments/Drought%20Operation%20Plan%20%281%29.pdf?t=20220415110249126,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 19 - Regular Meeting,Drought Operation Plan (1).pdf,305653,0.31,no,,,,,
2022-04-19,Micromobility Presentation (1),Council,regular,staff_report,https://www.loganutah.gov/departments/admin/Micromobility%20Presentation%20%281%29.pdf?t=20220418190338317,2026-07-05,na,not_retrieved (index-only; fetch source_url on demand),,April 19 - Regular Meeting,Micromobility Presentation (1).pdf,13080870,13.08,no,,,,,
2022-04-19,Ord 22-04  LDC Amendments Short Term Rentals (ACTION) and Ord 22-08 LMC Amendments Short Term Rentals (Workshop),Council,regular,staff_report,https://www.loganutah.gov/departments/admin/council/Ord%2022-04%20%20LDC%20Amendments%20Short%20Term%20Rentals%20%28ACTION%29%20and%20Ord%2022-08%20LMC%20Amendments%20Short%20Term%20Rentals%20%28Workshop%29.pdf?t=20220415110455673,2026-07-05,na,claude_vision,,April 19 - Regular Meeting,Ord 22-04  LDC Amendments Short Term Rentals (ACTION) and Ord 22-08 LMC Amendments Short Term Rentals (Workshop).pdf,13286493,13.29,no,staff_report,ok,f2ec8c19d4c0fe05fd72873351632031bff63310a273a2365cdee9d293f98dd5,text/attachments/2022-04-19_Ord_22_04_LDC_Amendments_Short_Term_Rentals_ACTION_e31db1a6.txt,108174
