date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,document_id,sha256,matched_election_candidate,join_confidence,provider
2025-07-11,Alison Stroud,Council District 2,2025,interim,2025 Primary 4 Weeks Prior,Alison Stroud — Sandy City Report of Contributions & Expenditures (2025 Primary 4 Weeks Prior),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202507_Stroud_2025-Primary-4-Weeks-Prior_3D2DB6E7.pdf,3D2DB6E7-D743-406D-80FA-00ADB2B1C28B,8a769ad6ec05471b0c36489b9133b96f4bc5a9000dce83b2a95b9662be1f4de3,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-08-05,Alison Stroud,Council District 2,2025,interim,2025 Primary 1 Week,Alison Stroud — Sandy City Report of Contributions & Expenditures (2025 Primary 1 Week),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202508_Stroud_2025-Primary-1-Week_7E406798.pdf,7E406798-D86D-44AC-9FE4-E11798E05073,917f0bb41866b3350196f9fd3cb2e0bd19feed66f5e4c3bcb48f79c9350fef2a,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-10-14,Alison Stroud,Council District 2,2025,summary,2025 Final,Alison Stroud — Sandy City Report of Contributions & Expenditures (2025 Final),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Stroud_2025-Final_F06401A2.pdf,F06401A2-B5A8-4AB1-88B9-E897D7288302,0d2f860513e1f2de34fce84995ba454d931a9557d325dd2920c45ed19e062eec,,none,EasyVote (ecf-api.easyvoteapp.com)
2026-01-15,Alison Stroud,Council District 2,2025,summary,2025 Annual Disclosure,Alison Stroud — Sandy City Report of Contributions & Expenditures (2025 Annual Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202601_Stroud_2025-Annual-Disclosure_B92D55AA.pdf,B92D55AA-8C7E-4769-8894-490C19DE614A,2b95b28f10b147cafce049e523805b3faa535f73697e207e7acca930d009deab,,none,EasyVote (ecf-api.easyvoteapp.com)
2021-10-10,Brooke Christensen,Council District 1,2021,interim,Oct 11,Brooke Christensen — Sandy City Report of Contributions & Expenditures (Oct 11),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_Christensen_Oct-11_1CEC30AB.pdf,1CEC30AB-A2C0-4F8B-92EE-C4BDFD58271E,d3beadd29dde22a0385296890fa9dfbdb66b52241f0dd48d999f4ac09aef9c1a,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-26,Brooke Christensen,Council District 1,2021,summary,October 26 - Final,Brooke Christensen — Sandy City Report of Contributions & Expenditures (October 26 - Final),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_Christensen_October-26-Final_53EB31D4.pdf,53EB31D4-F7EC-41E1-929D-2D8BAD52E7F8,e802c7c8042170979172b3d9499aa5d5cffcf20aafc4a1eb2a0d1ef6396ba051,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-12-02,Brooke Christensen,Council District 1,2021,interim,Dec 02,Brooke Christensen — Sandy City Report of Contributions & Expenditures (Dec 02),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202112_Christensen_Dec-02_903AAEBD.pdf,903AAEBD-249C-46B3-91CC-A8BF10AE157F,2d29747b95e4a95e820e290358bc0be54daa9c1307ce07d2af5ea73f0ef9d381,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-08-06,Brooke Christensen,Council District 1,2023,interim,votebrookechristensen@gmail.com,Brooke Christensen — Sandy City Report of Contributions & Expenditures (votebrookechristensen@gmail.com),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202308_Christensen_votebrookechristensen-gmail-com_05642101.pdf,05642101-5D9E-4E8A-99F4-9A6094CE17CC,19867bfa7cdedaeb2d2fb7ace2871fae548ab1d24806ef149c010259a38241fb,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-08-28,Brooke Christensen,Council District 1,2023,interim,votebrookechristensen@gmail.com,Brooke Christensen — Sandy City Report of Contributions & Expenditures (votebrookechristensen@gmail.com),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202308_Christensen_votebrookechristensen-gmail-com_4CFAE4F9.pdf,4CFAE4F9-2426-4C30-AD05-1600674B4BC9,f415b56933eab42f6578c340383408d6c6af6174de65979371864daa20c8dfcd,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-10-21,Brooke Christensen,Council District 1,2023,interim,votebrookechristensen@gmail.com,Brooke Christensen — Sandy City Report of Contributions & Expenditures (votebrookechristensen@gmail.com),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202310_Christensen_votebrookechristensen-gmail-com_7071BBF6.pdf,7071BBF6-57DB-4E0F-ADE3-0C1F16A495ED,bdc7af187f77c05723a46755199265ab4e9aedf7435bb3d51e7f91481b7604c9,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-10-30,Brooke Christensen,Council District 1,2023,interim,votebrookechristensen@gmail.com,Brooke Christensen — Sandy City Report of Contributions & Expenditures (votebrookechristensen@gmail.com),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202310_Christensen_votebrookechristensen-gmail-com_245FEB4C.pdf,245FEB4C-988F-4EE3-8135-25F7DA56F4A0,b7b112fc2080d2ab5e117657ad32f8bd4de493738bc703cc6bd121d37982278a,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-11-14,Brooke Christensen,Council District 1,2023,interim,votebrookechristensen@gmail.com,Brooke Christensen — Sandy City Report of Contributions & Expenditures (votebrookechristensen@gmail.com),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202311_Christensen_votebrookechristensen-gmail-com_6D74DBEC.pdf,6D74DBEC-CD2F-4ED4-A191-D814449D17A8,7621e6a9186a539a6cff3c43b663ff2afe5b8e9f03321f7cd56e8635841e6d75,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-12-19,Brooke Christensen,Council District 1,2023,summary,After General,Brooke Christensen — Sandy City Report of Contributions & Expenditures (After General),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202312_Christensen_After-General_B1DD1600.pdf,B1DD1600-26BC-4509-81E7-6D48679DE171,82e89c8763c2cb3c32ed97a042f1241baecfedaa522d416f3252bc8e7d351e29,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-04,Brooke Christensen,Council District 1,2025,interim,Oct 7 2025 (28 Day before General),Brooke Christensen — Sandy City Report of Contributions & Expenditures (Oct 7 2025 (28 Day before General)),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Christensen_Oct-7-2025-28-Day-before-General_19229C11.pdf,19229C11-AB95-4207-A9C2-CB4C7849A75B,cb95352355b7c4ef0ac4c038adfe39cdbdb6d03c7c63884f110e1932e1e44d4c,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-28,Brooke Christensen,Council District 1,2025,interim,7 Days before General 2025,Brooke Christensen — Sandy City Report of Contributions & Expenditures (7 Days before General 2025),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Christensen_7-Days-before-General-2025_477811CE.pdf,477811CE-5B46-45A0-B505-2D0F2A3D9B07,60e5f4ab7498f80c3198d0186fae5e9c01dbe3ba42bbc20a959984331aa5a721,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-11-20,Brooke Christensen,Council District 1,2025,summary,30 days after election,Brooke Christensen — Sandy City Report of Contributions & Expenditures (30 days after election),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202511_Christensen_30-days-after-election_4A8B712A.pdf,4A8B712A-CD29-4F43-9596-B90AD28C2732,947013163d367487f2dedb4dc53ac7bd2058568be463f4d567fa2b6168b062ed,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2026-01-07,Brooke Christensen,Council District 1,2025,interim,January 2026,Brooke Christensen — Sandy City Report of Contributions & Expenditures (January 2026),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202601_Christensen_January-2026_CF2056BD.pdf,CF2056BD-D614-4D05-BA92-664083806385,98c0978f8976aee53f130a411a62abb7758422c934a7e82e6942607329887a32,BROOKE CHRISTENSEN,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-10,Brooke D'Sousa,Council At-Large,2021,interim,Disclosures 10/11/21,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Disclosures 10/11/21),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_D-Sousa_Disclosures-10-11-21_EACF8B8C.pdf,EACF8B8C-D909-4EE0-B1BE-44EB82B69F61,f52605b2c661e3da437bc1494222cb971f016e6dd22f199ca1e458fb2df2b0f8,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-25,Brooke D'Sousa,Council At-Large,2021,interim,Disclosures 10/26/21,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Disclosures 10/26/21),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_D-Sousa_Disclosures-10-26-21_4E9392B8.pdf,4E9392B8-0B37-44F5-9323-17FACD96E1F0,70225b705fd2a52ce685f1207af9eece4e85ff1d347a17bede865f927fd06791,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-11-30,Brooke D'Sousa,Council At-Large,2021,interim,Disclosures 12/3/21,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Disclosures 12/3/21),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202111_D-Sousa_Disclosures-12-3-21_F6C699D0.pdf,F6C699D0-6CEC-4F5E-A086-A2A22E0FDB5D,88338050f0cd9a5f2835b560053192392016845aa7ba355f61b1db4c9023431b,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2022-01-10,Brooke D'Sousa,Council At-Large,2021,summary,Annual Disclosure 2021,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Annual Disclosure 2021),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202201_D-Sousa_Annual-Disclosure-2021_6290C342.pdf,6290C342-AF40-4BDB-8E1E-E66A104235B0,644a5fa4aaf1f494f846dc9577be270b865b2c923a308267bb309841b25956c0,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-01-15,Brooke D'Sousa,Council At-Large,2021,summary,Annual Disclosure 2022,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Annual Disclosure 2022),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202301_D-Sousa_Annual-Disclosure-2022_5F4EB8A2.pdf,5F4EB8A2-9DC5-487D-8FDD-229EFB28F765,b94473c4beafe27f476884ab0485e3da64f2df9ef3ed9b4e3e2c55d42433637c,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2024-01-10,Brooke D'Sousa,Council At-Large,2023,summary,Annual Disclosure 2023,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Annual Disclosure 2023),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202401_D-Sousa_Annual-Disclosure-2023_DFCFBC86.pdf,DFCFBC86-3BB0-4444-91F2-3B76768786DB,63fde09dc84df9212eeeccc43ec6dce7440ae78f72c18e9290edf8ebb9d37bf2,,none,EasyVote (ecf-api.easyvoteapp.com)
2024-12-30,Brooke D'Sousa,Council At-Large,2023,summary,Annual Disclosure 2024,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Annual Disclosure 2024),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202412_D-Sousa_Annual-Disclosure-2024_8168602E.pdf,8168602E-BA23-4E1E-9A4A-95262C7A35BC,134a15413981b626220ed237713435dbc2dc7fb8829ca2878e83a88aa7c52776,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-10-07,Brooke D'Sousa,Council At-Large,2025,interim,Disclosures 10/07/25,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Disclosures 10/07/25),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_D-Sousa_Disclosures-10-07-25_315EDCFA.pdf,315EDCFA-E95C-4205-981C-DAC1E9A0C721,91280cad04da8cb84da44c6cd68cd337d40be4a3ce235520f61db01f7bb154e8,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-27,Brooke D'Sousa,Council At-Large,2025,interim,Disclosures 10/28/25,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Disclosures 10/28/25),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_D-Sousa_Disclosures-10-28-25_618939F8.pdf,618939F8-0235-47DA-8763-42D82921EA5A,4baf2ef9c41ffe42f813c66a311556d99e3129df2d469eed41aec860b1d311f3,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-12-02,Brooke D'Sousa,Council At-Large,2025,interim,Disclosures 12/4/25,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Disclosures 12/4/25),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202512_D-Sousa_Disclosures-12-4-25_A532A4B7.pdf,A532A4B7-B8C6-4CA7-91D0-B56F2A023BF0,5da097c05b461843863ecb770ad8d5fe1f98cabf95c331eae66800766cfa9d53,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2026-01-15,Brooke D'Sousa,Council At-Large,2025,summary,Annual Disclosure 2025,Brooke D'Sousa — Sandy City Report of Contributions & Expenditures (Annual Disclosure 2025),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202601_D-Sousa_Annual-Disclosure-2025_0F7060B6.pdf,0F7060B6-C44D-45D0-8E98-E01AF2424007,354504659841dd1d6d6ceafec06c9613e84658cc718ea0c90c0782e716ea6c33,BROOKE D'SOUSA,exact,EasyVote (ecf-api.easyvoteapp.com)
2022-01-11,Cyndi Sharkey,Mayor,2021,summary,Annual Disclosure Filing Jan 2022,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Annual Disclosure Filing Jan 2022),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202201_Sharkey_Annual-Disclosure-Filing-Jan-2022_F4FA4BD5.pdf,F4FA4BD5-FD0C-4A98-95F9-08D42A9A2DCB,f7926393654bf2cd99c73b2f4b4ed9f867c0d5035d62f21ffdb4ead993b575b0,,none,EasyVote (ecf-api.easyvoteapp.com)
2023-01-15,Cyndi Sharkey,Mayor,2021,summary,2023 January Annual Filing,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (2023 January Annual Filing),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202301_Sharkey_2023-January-Annual-Filing_F32737E6.pdf,F32737E6-9C76-4789-9E79-8179E4F7B9C7,b5e58fc692de30a08f8d19731bf3150008aa8b58aec2ac0cc4fc63ee1815d3ce,,none,EasyVote (ecf-api.easyvoteapp.com)
2023-08-07,Cyndi Sharkey,Mayor,2023,interim,2023 Primary Filing Aug 8,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (2023 Primary Filing Aug 8),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202308_Sharkey_2023-Primary-Filing-Aug-8_15AE9F21.pdf,15AE9F21-3BDA-470A-9EC2-7170F65921F4,9f9772274c715afd04b80985d039bfd6213b43764ae748cb852e9974d50beae2,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-08-28,Cyndi Sharkey,Mayor,2023,interim,2023 Primary Filing Aug 29,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (2023 Primary Filing Aug 29),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202308_Sharkey_2023-Primary-Filing-Aug-29_98892664.pdf,98892664-274E-4DBF-BCD7-493B8DF50B74,fa20f82f75e939c46451ed6426060834f6df0f48b86b635a2a060f44a6db4eeb,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-10-19,Cyndi Sharkey,Mayor,2023,interim,Amend Aug 28 filing,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Amend Aug 28 filing),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202310_Sharkey_Amend-Aug-28-filing_D7675899.pdf,D7675899-7037-462A-A0EF-F93C3D10D9C0,b4cab04d7415bfa6fef9cf931033fd7c7be29d468fa891e50c5e0753f684c8b4,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-10-20,Cyndi Sharkey,Mayor,2023,interim,2023 Primary Filing Oct 24,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (2023 Primary Filing Oct 24),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202310_Sharkey_2023-Primary-Filing-Oct-24_CAF477C2.pdf,CAF477C2-C690-47CF-913A-0C1F2B118EBC,7d9d2328d3f77f766e01b267a00752a89263e525387406a760557e9bd3d054dc,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-10-31,Cyndi Sharkey,Mayor,2023,interim,Amend Oct 20 incl YTD,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Amend Oct 20 incl YTD),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202310_Sharkey_Amend-Oct-20-incl-YTD_04416B70.pdf,04416B70-432C-42AA-8DD2-FA1F52DFB7A8,837d0d6d5a0c8da69b0e7eed4ae99a0b10c651b7e0807bcce603bae9d43f4289,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-11-14,Cyndi Sharkey,Mayor,2023,interim,2023 General Filing Nov 14,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (2023 General Filing Nov 14),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202311_Sharkey_2023-General-Filing-Nov-14_AD2F6930.pdf,AD2F6930-CE69-4064-96A8-9C8FEB7E5E0E,e2c4293335ca093420fba69e93547c29efcfce3c9073ebd5a252da5b5114e166,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2023-12-20,Cyndi Sharkey,Mayor,2023,summary,2023 General after 30 days Nov 21,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (2023 General after 30 days Nov 21),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202312_Sharkey_2023-General-after-30-days-Nov-21_731CE240.pdf,731CE240-BCF0-4AF7-9E76-ADDF787E1D51,f46ed4c97e132fdf20c39490de0d565503a6a1dd038773be9a43dededd001179,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2024-01-12,Cyndi Sharkey,Mayor,2023,summary,Annual Disclosure Jan 2024,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Annual Disclosure Jan 2024),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202401_Sharkey_Annual-Disclosure-Jan-2024_AB06DCDC.pdf,AB06DCDC-17C0-4385-B67F-5AEDD87DF318,e8570b53ff528230d84e34a46c1fefd82771f3386ced7de386812a071cc2dce4,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-01-11,Cyndi Sharkey,Mayor,2023,summary,Annual Disclosure Jan 2025,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Annual Disclosure Jan 2025),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202501_Sharkey_Annual-Disclosure-Jan-2025_59F326B7.pdf,59F326B7-199F-45B3-84D7-85E1DE27E37E,0288f5735c6e14f79ac5fafb1e5735cb0ccb6f6a6a5de3caaf45e0d4249ba06a,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
