date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,recovery_source,doc_type,text_path
2021-02-23,2021,White City Planning Commission Meeting,2021-02-23-planning-commission,PlanningCommission,raw/pc_2021-02-23_722733.pdf,pmn,https://www.utah.gov/pmn/files/722733.pdf,https://www.utah.gov/pmn/sitemap/notice/657785.html,5879,722733,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2021-02-23_722733.txt
2021-03-09,2021,White City General Plan Steering Committee Meeting,2021-03-09-general-plan-steering-committee,GPSC,raw/pc_2021-03-09_697291.pdf,pmn,https://www.utah.gov/pmn/files/697291.pdf,https://www.utah.gov/pmn/sitemap/notice/661751.html,5879,697291,2026-07-13,text,pdftotext -layout,pmn,meeting_report,text/pc_2021-03-09_697291.txt
2021-03-23,2021,White City General Plan Steering Committee Meeting,2021-03-23-general-plan-steering-committee,GPSC,raw/pc_2021-03-23_700729.pdf,pmn,https://www.utah.gov/pmn/files/700729.pdf,https://www.utah.gov/pmn/sitemap/notice/664697.html,5879,700729,2026-07-13,text,pdftotext -layout,pmn,meeting_report,text/pc_2021-03-23_700729.txt
2021-05-25,2021,White City Planning Commission Meeting,2021-05-25-planning-commission,PlanningCommission,raw/pc_2021-05-25_753467.pdf,pmn,https://www.utah.gov/pmn/files/753467.pdf,https://www.utah.gov/pmn/sitemap/notice/676947.html,5879,753467,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2021-05-25_753467.txt
2021-08-26,2021,White City Planning Commission Meeting,2021-08-26-planning-commission,PlanningCommission,raw/pc_2021-08-26_763317.pdf,pmn,https://www.utah.gov/pmn/files/763317.pdf,https://www.utah.gov/pmn/sitemap/notice/695835.html,5879,763317,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2021-08-26_763317.txt
2021-09-07,2021,White City Planning Commission Meeting,2021-09-07-planning-commission,PlanningCommission,raw/pc_2021-09-07_841597.pdf,pmn,https://www.utah.gov/pmn/files/841597.pdf,https://www.utah.gov/pmn/sitemap/notice/698809.html,5879,841597,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2021-09-07_841597.txt
2021-09-23,2021,White City Planning Commission Meeting,2021-09-23-planning-commission,PlanningCommission,raw/pc_2021-09-23_841599.pdf,pmn,https://www.utah.gov/pmn/files/841599.pdf,https://www.utah.gov/pmn/sitemap/notice/702074.html,5879,841599,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2021-09-23_841599.txt
2022-03-03,2022,White City Council Meeting,2022-03-03-council-meeting,Council,raw/council_2022-03-03_844751.pdf,pmn,https://www.utah.gov/pmn/files/844751.pdf,https://www.utah.gov/pmn/sitemap/notice/738979.html,5805,844751,2026-07-13,text,pdftotext -layout,pmn,minutes,text/council_2022-03-03_844751.txt
2022-04-28,2022,White City Planning Commission Meeting,2022-04-28-planning-commission,PlanningCommission,raw/pc_2022-04-28_874445.pdf,pmn,https://www.utah.gov/pmn/files/874445.pdf,https://www.utah.gov/pmn/sitemap/notice/748845.html,5879,874445,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2022-04-28_874445.txt
2022-07-28,2022,White City Planning Commission Meeting,2022-07-28-planning-commission,PlanningCommission,raw/pc_2022-07-28_959163.pdf,pmn,https://www.utah.gov/pmn/files/959163.pdf,https://www.utah.gov/pmn/sitemap/notice/769261.html,5879,959163,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2022-07-28_959163.txt
2022-08-18,2022,White City Council Meeting,2022-08-18-council-meeting,Council,raw/council_2022-08-18_886304.pdf,pmn,https://www.utah.gov/pmn/files/886304.pdf,https://www.utah.gov/pmn/sitemap/notice/775527.html,5805,886304,2026-07-13,text,pdftotext -layout,pmn,minutes,text/council_2022-08-18_886304.txt
2023-03-23,2023,White City Planning Commission Meeting,2023-03-23-planning-commission,PlanningCommission,raw/pc_2023-03-23_971773.pdf,pmn,https://www.utah.gov/pmn/files/971773.pdf,https://www.utah.gov/pmn/sitemap/notice/818199.html,5879,971773,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2023-03-23_971773.txt
2023-04-27,2023,White City Planning Commission Meeting,2023-04-27-planning-commission,PlanningCommission,raw/pc_2023-04-27_1077369.pdf,pmn,https://www.utah.gov/pmn/files/1077369.pdf,https://www.utah.gov/pmn/sitemap/notice/825367.html,5879,1077369,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2023-04-27_1077369.txt
2023-10-05,2023,White City Council Meeting,2023-10-05-council-meeting,Council,raw/council_2023-10-05_1105907.pdf,pmn,https://www.utah.gov/pmn/files/1105907.pdf,https://www.utah.gov/pmn/sitemap/notice/861859.html,5805,1105907,2026-07-13,text,pdftotext -layout,pmn,minutes,text/council_2023-10-05_1105907.txt
2023-11-02,2023,White City Council Meeting,2023-11-02-council-meeting,Council,raw/council_2023-11-02_1081971.pdf,pmn,https://www.utah.gov/pmn/files/1081971.pdf,https://www.utah.gov/pmn/sitemap/notice/868479.html,5805,1081971,2026-07-13,text,pdftotext -layout,pmn,minutes,text/council_2023-11-02_1081971.txt
2024-01-25,2024,White City Planning Commission Meeting,2024-01-25-planning-commission,PlanningCommission,raw/pc_2024-01-25_1104709.pdf,pmn,https://www.utah.gov/pmn/files/1104709.pdf,https://www.utah.gov/pmn/sitemap/notice/884889.html,5879,1104709,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2024-01-25_1104709.txt
2024-03-28,2024,White City Planning Commission Meeting,2024-03-28-planning-commission,PlanningCommission,raw/pc_2024-03-28_1142095.pdf,pmn,https://www.utah.gov/pmn/files/1142095.pdf,https://www.utah.gov/pmn/sitemap/notice/899625.html,5879,1142095,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2024-03-28_1142095.txt
2024-06-27,2024,White City Planning Commission Meeting,2024-06-27-planning-commission,PlanningCommission,raw/pc_2024-06-27_1175585.pdf,pmn,https://www.utah.gov/pmn/files/1175585.pdf,https://www.utah.gov/pmn/sitemap/notice/920827.html,5879,1175585,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2024-06-27_1175585.txt
2024-09-26,2024,White City Planning Commission Meeting,2024-09-26-planning-commission,PlanningCommission,raw/pc_2024-09-26_1262311.pdf,pmn,https://www.utah.gov/pmn/files/1262311.pdf,https://www.utah.gov/pmn/sitemap/notice/939511.html,5879,1262311,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2024-09-26_1262311.txt
2025-04-22,2025,White City Planning Commission Meeting,2025-04-22-planning-commission,PlanningCommission,raw/pc_2025-04-22_1274777.pdf,pmn,https://www.utah.gov/pmn/files/1274777.pdf,https://www.utah.gov/pmn/sitemap/notice/986855.html,5879,1274777,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2025-04-22_1274777.txt
2025-05-20,2025,White City Planning Commission Meeting,2025-05-20-planning-commission,PlanningCommission,raw/pc_2025-05-20_1290609.pdf,pmn,https://www.utah.gov/pmn/files/1290609.pdf,https://www.utah.gov/pmn/sitemap/notice/993419.html,5879,1290609,2026-07-13,text,pdftotext -layout,pmn,minutes,text/pc_2025-05-20_1290609.txt
