date,body,md_path,source_url,doc_status,note
2023-05-25,Council,legislative/minutes/2023/2023-05-25_council.md,https://wfrc.utah.gov/Committees/Council/2023/03_May25/Council_2023May25_MinutesFINAL.pdf,final,
2023-08-24,Council,legislative/minutes/2023/2023-08-24_council.md,https://wfrc.utah.gov/Committees/Council/2023/04_Aug24/Council_2023Aug24_MinutesFINAL.pdf,final,
2023-10-26,Council,legislative/minutes/2023/2023-10-26_council.md,https://wfrc.utah.gov/Committees/Council/2023/05_Oct26/1a_Council_2023Oct26_MinutesFINAL.pdf,final,
2024-01-25,Council,legislative/minutes/2024/2024-01-25_council.md,https://wfrc.utah.gov/Committees/Council/2024/01_Jan/Council_2024Jan25_MinutesFINAL.pdf,final,
2024-03-28,Council,legislative/minutes/2024/2024-03-28_council.md,https://wfrc.utah.gov/Committees/Council/2024/02_Mar/Council_2024Mar28_MinutesFINAL.docx.pdf,final,
2024-05-23,Council,legislative/minutes/2024/2024-05-23_council.md,https://wfrc.utah.gov/Committees/Council/2024/03_May/Item1_Council_2024_23MayMinutesFINAL.pdf,final,
2024-08-22,Council,legislative/minutes/2024/2024-08-22_council.md,https://wfrc.utah.gov/Committees/Council/2024/04_Aug/Council_2024Aug22_MinutesFINAL.pdf,final,
2024-10-24,Council,legislative/minutes/2024/2024-10-24_council.md,https://wfrc.utah.gov/Committees/Council/2024/05_Oct/Council_2024Oct24_MinutesFINAL.pdf,final,
2025-01-23,Council,legislative/minutes/2025/2025-01-23_council.md,https://wfrc.utah.gov/Committees/Council/2025/2025Jan23_Council_MinutesFINAL.pdf,final,
2025-03-27,Council,legislative/minutes/2025/2025-03-27_council.md,https://wfrc.utah.gov/Committees/Council/2025/02_Mar27/2025Mar27_Council_MinutesFINAL.pdf,final,
2025-05-22,Council,legislative/minutes/2025/2025-05-22_council.md,https://wfrc.utah.gov/Committees/Council/2025/03_May22/Copy%20of%202025May22_Council_MinutesFINAL%20%281%29.pdf,final,
2025-08-28,Council,legislative/minutes/2025/2025-08-28_council.md,https://wfrc.utah.gov/Committees/Council/2025/04_Aug28/2025Aug28_Council_MinutesFINAL.pdf,final,
2025-10-23,Council,legislative/minutes/2025/2025-10-23_council.md,https://wfrc.utah.gov/Committees/Council/2025/05_Oct23/2025Oct23_Council_Minutes_FINAL.pdf,final,
2026-01-22,Council,legislative/minutes/2026/2026-01-22_council.md,https://wfrc.utah.gov/Committees/Council/2026/01_Jan22/2026Jan22_Council_MinutesFINAL.pdf,final,
2026-03-26,Council,legislative/minutes/2026/2026-03-26_council.md,https://wfrc.utah.gov/Committees/Council/2026/02_Mar26/2026Mar26_Council_MinutesFINAL.pdf,final,
2026-05-28,Council,legislative/minutes/2026/2026-05-28_council.md,https://wfrc.utah.gov/Committees/Council/2026/03_May28/2026May28_Council_MinutesDRAFT.pdf,draft,
