staging_file,path,office,confidence,evidence,added,candidate
,raw/2020/2020_White05.15.20Redacted.pdf,County Commission Seat C,medium,Office field is handwritten 'COMMISSION C'. Was office-unresolved. Seat letter legible; 'Utah County' prefix not written by the filer.,2026-08-01,
,raw/2020/2020_White_05.15.20_Redacted_Redacted.pdf,County Commission Seat C,medium,Byte-distinct republication of the same Steve White 5/15/2020 report; Office field handwritten 'COMMISSION C'.,2026-08-01,
,raw/2021/2021_Powers__Gardner.pdf,County Commission Seat A,high,"Office field reads 'Utah County Commission Seat A'. Was office-unresolved. NOTE the channel also mislabels the CYCLE: the API files this under candidacyYear 2021 / 'Special Election', but the form's own Date of Report is 04/02/2022 - a 2022 Commission Seat A filing. election_year is NOT changed here (this file only overrides office); the cycle mislabel is recorded in AVAILABILITY.md.",2026-08-01,
,raw/2022/2022_Graves_Greg_3.31.2022_Redacted.pdf,County Commission Seat A,high,Office field typed 'Commission Seat A'. Was office-unresolved. The same filer's 4/11/2022 filing writes seat 'B' by hand - the two are NOT reconciled; each row carries what its own page prints.,2026-08-01,
,raw/2022/2022_SakievichThomas_Redacted.pdf,County Commission,high,Office field reads 'Utah County Commissioner'. Was office-unresolved. The SEAT is not printed and is NOT inferred from the filer's other cycles.,2026-08-01,
,raw/2022/2022_Diamond_Steven_4.11.2022_Redacted.pdf,County Commission Seat A,high,Office field reads 'Utah County Commissioner Seat A'. Was office-unresolved.,2026-08-01,
,raw/2022/2022_Diamond_Steven_3.30.2022_Redacted.pdf,County Commission Seat A,low,"The Office box on this filing is BLACKED OUT by the county (the redaction covers the office cell, not just the address). Attribution is by sibling corroboration only: the same filer's 4/11/2022 filing (raw/2022/2022_Diamond_Steven_4.11.2022_Redacted.pdf), same cycle, same phone and email, prints 'Utah County Commissioner Seat A'. Confidence LOW because this page states no office of its own.",2026-08-01,
,raw/2022/2022_McCabeTeri.pdf,__school__,high,"Office field handwritten 'Provo School Board District 5' (End-of-Year Report, signed 28 Dec 2022). Verified by direct read of the cover page. LOCAL SCHOOL BOARD - out of Package-B scope.",2026-08-01,
,raw/2022/2022_WarnickShauna.pdf,__school__,high,"Office field reads 'Nebo School Board district 3'. Verified by direct read of the cover page. LOCAL SCHOOL BOARD - out of scope. (The page's own Date of Report is 12/2/2020, so the channel's 2022 cycle label is also wrong - recorded in AVAILABILITY.md.)",2026-08-01,
,raw/2022/2022_Ashely_Hoiland.pdf,__school__,high,"Office field handwritten 'School board' (v. 2.22 form, signed 05/06/2022). Verified by direct read. LOCAL SCHOOL BOARD - out of Package-B scope; the district is not named on the form.",2026-08-01,
,raw/2022/2022_Rebecca_Nielsen_Scanned_Copy_of_FD.pdf,__school__,high,"The Office box is blank, but the Name of Candidate field reads 'Rebecca Nielsen - Provo School District Board Member' in the filer's own hand (End-of-Year Report, 12/27/22). Verified by direct read. LOCAL SCHOOL BOARD - out of Package-B scope.",2026-08-01,
,raw/2018/2018_TAinge.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/0fcc92b9.json reads candidate_printed='Tanner Ainge', office_printed='County Commission, Seat A'; the acquisition channel named NO filer for this document (index title: 'filer not named by the channel'). Promoted 2026-08-02 because the born-digital itemized layer for this filing reconciles exactly on both sides and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv.",2026-08-02,Tanner Ainge
,raw/2014/2014_10-14Graves.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/40bd7997.json reads candidate_printed='Gregory J. Graves', office_printed='County Commissioner Seat A'; the acquisition channel (county_static, the Wayback <YEAR>Disclosures.html listing) grouped filings by OFFICE and named no filer for this document. Promoted 2026-08-18 by the Phase B itemization wave because both itemized sides reconcile exactly on the promoted per-period Column A figure (2,725.75) and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-18,Gregory J. Graves
,raw/2010/2010_CountyAttorney-BuhmanJeffreyR-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/0989f448.json reads candidate_printed='Jeffrey R. Buhman', office_printed='County Attorney'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Jeffrey R. Buhman
,raw/2010/2010_CountyAssessor-PoulsonKris-102210.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/18c17be8.json reads candidate_printed='Kris Poulson', office_printed='Assessor'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Kris Poulson
,raw/2010/2010_CountyAttorneyBuhmanJeffreyR060410.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/1c604c81.json reads candidate_printed='Jeffrey R. Buhman'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Jeffrey R. Buhman
,raw/2010/2010_AssessHemmingwaySteve52110.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/3ebf4721.json reads candidate_printed='STEVE HEMINGWAY', office_printed='UTAH COUNTY ASSESSOR'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,STEVE HEMINGWAY
,raw/2010/2010_CountyClerkAuditor-ThompsonBryanE-061510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/4592dac0.json reads candidate_printed='Bryan E. Thompson', office_printed='Utah County Clerk/Auditor'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Bryan E. Thompson
,raw/2010/2010_CountyCommissionSeatA-HendersonJLane-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/54467fcc.json reads candidate_printed='J. Lane Henderson', office_printed='County Commissioner'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,J. Lane Henderson
,raw/2010/2010_CountyCommissionSeatA-AndersonGaryJ-061510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/68bec774.json reads candidate_printed='Gary J Anderson', office_printed='County Commissioner'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Gary J Anderson
,raw/2010/2010_CountyAttorney-HullingerSean-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/71705161.json reads candidate_printed='Sean Hullinger', office_printed='COUNTY ATTORNEY'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Sean Hullinger
,raw/2010/2010_CountyCommissionSeatA-HendersonJLane-120210.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/75d007f0.json reads candidate_printed='J. Lane Henderson', office_printed='County Commissioner'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,J. Lane Henderson
,raw/2010/2010_CountyAssessor-PoulsonKris-061510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/86200276.json reads candidate_printed='Kris Poulson', office_printed='Assessor'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Kris Poulson
,raw/2010/2010_CommissionSeatBHouskeeperLinda052410.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/9348e3c7.json reads candidate_printed='Linda Houskeeper', office_printed='County Commissioner B'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Linda Houskeeper
,raw/2010/2010_CountyCommissionSeatA-AndersonGaryJ-120210.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/988c4066.json reads candidate_printed='Gary J. Anderson', office_printed='County Commissioner'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Gary J. Anderson
,raw/2010/2010_CountyClerkAuditor-ThompsonBryanE-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/9935eb94.json reads candidate_printed='Bryan E. Thompson', office_printed='Utah County Clerk/Auditor'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Bryan E. Thompson
,raw/2010/2010_CountyCommissionSeatA-HendersonJLane-061510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/b2b16869.json reads candidate_printed='J. Lane Henderson', office_printed='County Commissioner'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,J. Lane Henderson
,raw/2010/2010_CountyAssessor-PoulsonKris-121510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/b384a42f.json reads candidate_printed='Kris Poulson', office_printed='ASSESSOR'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Kris Poulson
,raw/2010/2010_CountyAttorney-HullingerSean-061410_1.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/b8aadb88.json reads candidate_printed='SEAN HULLINGER', office_printed='County Attorney'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,SEAN HULLINGER
,raw/2010/2010_CommissionSeatBWitneyDouglas05112010.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/d2a138cd.json reads candidate_printed='Douglas Witney', office_printed='Utah County Commission Seat B'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Douglas Witney
,raw/2010/2010_CountyCommissionSeatA-AndersonGaryJ-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/d493f815.json reads candidate_printed='Gary J. Anderson', office_printed='County Commissioner'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Gary J. Anderson
,raw/2010/2010_CountyCommissionSeatB-WhiteSteve-061410.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/08cc1ba2.json reads candidate_printed='STEVE WHITE', office_printed='COUNTY COMMISSION ""B""'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,STEVE WHITE
,raw/2010/2010_CountySheriff-TracyJamesO-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/3bc0a08d.json reads candidate_printed='JAMES O. TRACY JR.', office_printed='SHERIFF'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,JAMES O. TRACY JR.
,raw/2010/2010_CountySheriff-TracyJamesO-061510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/8c9846a6.json reads candidate_printed='James O. Tracy Jr.', office_printed='Sheriff'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,James O. Tracy Jr.
,raw/2010/2010_CountyCommissionSeatA-WrightJoel-061510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/f03ad5f9.json reads candidate_printed='Joel Wright', office_printed='Utah County Commission Seat A'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Joel Wright
,raw/2010/2010_CountySheriff-TracyJamesO-110910R.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/0ed9170b.json reads candidate_printed='JAMES O. TRACY JR.', office_printed='SHERIFF'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,JAMES O. TRACY JR.
,raw/2010/2010_CountyRecorderCampbellRodney081310.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/17353d6c.json reads candidate_printed='RODNEY D. CAMPBELL', office_printed='COUNTY RECORDER'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,RODNEY D. CAMPBELL
,raw/2010/2010_CountyRecorder-SmithJefferyDean-120210.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/207b36f3.json reads candidate_printed='JEFFERY DEAN SMITH', office_printed='UT. COUNTY RECORDER'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,JEFFERY DEAN SMITH
,raw/2010/2010_CountyTreasurer-KirkRobert-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/26c3d3b9.json reads candidate_printed='Robert Kirk', office_printed='Utah County Treasurer'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Robert Kirk
,raw/2012/2012_Ellertson102912.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/2db0f4a1.json reads candidate_printed='Larry Alton Ellertson', office_printed='Utah County Commission Seat C'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Larry Alton Ellertson
,raw/2010/2010_CountyCommissionSeatA-WrightJoel-072210.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/2e02af38.json reads candidate_printed='Joel Wright', office_printed='Utah County Commission Seat A'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Joel Wright
,raw/2010/2010_CountySurveyor-RatcliffeGary-102610.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/36982384.json reads candidate_printed='GARY RATCLIFFE', office_printed='COUNTY SURVEYOR'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,GARY RATCLIFFE
,raw/2010/2010_CountyCommissionSeatB-BarrattTedB-102510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/42b9fe0c.json reads candidate_printed='Ted B. Barratt', office_printed='Utah County Commission Seat B.'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Ted B. Barratt
,raw/2010/2010_CountySurveyor-RatcliffeGary-120210.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/4cbe208f.json reads candidate_printed='GARY RATCLIFFE', office_printed='COUNTY SURVEYOR'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,GARY RATCLIFFE
,raw/2012/2012_Ellertson112712.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/860d1cab.json reads candidate_printed='Larry Alton Ellertson', office_printed='Utah County Commission Seat C'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Larry Alton Ellertson
,raw/2010/2010_CountyCommissionSeatB-BarrattTedB-061510.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/8c629a81.json reads candidate_printed='Ted B. Barratt', office_printed='Utah County Commission Seat B.'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,Ted B. Barratt
,raw/2010/2010_CountySurveyor-RatcliffeGary-061410.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/9442c520.json reads candidate_printed='GARY RATCLIFFE', office_printed='COUNTY SURVEYOR'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,GARY RATCLIFFE
,raw/2012/2012_Ballard083012.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/9630b1c7.json reads candidate_printed='LARRY BALLARD', office_printed='COUNTY COMMISSION SEAT C'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,LARRY BALLARD
,raw/2012/2012_Grierson061912.pdf,,high,"candidate promoted from the filing's OWN PAGE FACE: the 2026-08-01 vision transcript vision/9cceca7c.json reads candidate_printed='LORNE W GRIERSON'; the acquisition channel (county_static) named NO filer for this document (the 2008-2018 listing grouped filings by OFFICE). Promoted 2026-08-19 by the Phase B itemization wave because this filing publishes itemized rows and the shared validator requires a contributions row's (candidate, election_year) to exist in index.csv. A non-empty channel label is NEVER overwritten by this mechanism — the Ainge 2018 precedent.",2026-08-19,LORNE W GRIERSON
