path,url,indexed_candidate,candidate,confidence,evidence,determined_by,determined_date
raw/wayback_forms2020/Recorder_Gary L_06-17-2020. Christensen_June 23 2020 FCR.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Recorder_Gary L_06-17-2020. Christensen_June 23 2020 FCR,G AVY L. GF ¥ sen = Sor,Gary L. Christensen,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Gary L. Christensen'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Recorder_Gary L_12-16-2020. Christensen_December 15 2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Recorder_Gary L_12-16-2020. Christensen_December 15 2020,( - 2 Chay \ S t RAS LAN,Gary L. Christensen,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Gary L. Christensen'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Oct 29_Robert E Ford_FCR_10-30-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Oct 29_Robert E Ford_FCR_10-30-2018.pdf,(2) bert ; ord,Robert E. Ford,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Robert E. Ford'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Commission Seat C_Dean J_10-21-2020. Cox_October 20 2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Commission Seat C_Dean J_10-21-2020. Cox_October 20 2020,D.2an V- Cox,Dean J. Cox,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Dean J. Cox'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_Slade Hughes 4-6-10.pdf,http://municipal.utah.gov/washington\2010 Elections\Slade Hughes 4-6-10.pdf,Slade Rudy Hosp he $,Slade Rudy Hughes,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Slade Rudy Hughes'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/June 19_Gil Almquist_FCR_06-19-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 19_Gil Almquist_FCR_06-19-2018.pdf,Gilbert M@. Almquist =,Gilbert M. Almquist,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Gilbert M. Almquist'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Oct 23_2018_Brock R Belnap_FCR_10-23-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Oct 23_2018_Brock R Belnap_FCR_10-23-2018.pdf,8 roclh_ R 6 elna e,Brock R Belnap,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Brock R Belnap'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2016/Gil Almquist_Commission C_Financial Campaign Report_6_17_2016_06-24-2016.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Gil Almquist_Commission C_Financial Campaign Report_6_17_2016_06-24-2016.pdf,Gilbert Almquist JUN 17 2016,Gilbert Almquist,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Gilbert Almquist'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Oct 30_Victor Iverson_FCR_10-31-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Oct 30_Victor Iverson_FCR_10-31-2018.pdf,ee,Victor Moses Iverson,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Victor Moses Iverson'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_Russell Shirts 4-5-10.pdf,http://municipal.utah.gov/washington\2010 Elections\Russell Shirts 4-5-10.pdf,455 Ae lwibp PWT DS ones,Russell Baird Shirts,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Russell Baird Shirts'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Jan 7 2019_Gil Almquist_Final FCR_01-07-2019.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 7 2019_Gil Almquist_Final FCR_01-07-2019.pdf,", Gusser Wocttae Aum OUST",GILBERT MICHAEL ALMQUIST,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'GILBERT MICHAEL ALMQUIST'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_kevin_brooks_4-13-10.pdf,http://municipal.utah.gov/washington\2010 Elections\kevin_brooks_4-13-10.pdf,Kev ia) EL we rf gb feo,Kevin Edward Brooks,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Kevin Edward Brooks'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/Jan 5 2019_Kim M Hafen_Final FCR_01-07-2019.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 5 2019_Kim M Hafen_Final FCR_01-07-2019.pdf,Ki M M t Le xa nN,Kim M Hafen,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Kim M Hafen'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/June 12_Kim M Hafen_FCR_06-13-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 12_Kim M Hafen_FCR_06-13-2018.pdf,Ki MAN WV L I tAfe n),Kim M Hafen,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Kim M Hafen'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Attorney_Special 2 Year_Eric Wesley Clarke_October 21 2020_10-21-2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Attorney_Special 2 Year_Eric Wesley Clarke_October 21 2020_10-21-2020.pdf,vic es\e C\ arke,Eric Wesley Clarke,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Eric Wesley Clarke'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/state_disclosures/washington_2010 Elections_Rob Tersigni 4-9-10.pdf,http://municipal.utah.gov/washington\2010 Elections\Rob Tersigni 4-9-10.pdf,LA,Rob Tersigni,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Rob Tersigni'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Commission Seat C_Robert V Love_October 26 2020_10-27-2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Commission Seat C_Robert V Love_October 26 2020_10-27-2020.pdf,"chert \o DON Le, Ou",Robert Vernon Love,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Robert Vernon Love'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Treasurer_David Alan Whitehead_June 23 2020 FCR_06-16-2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Treasurer_David Alan Whitehead_June 23 2020 FCR_06-16-2020.pdf,AV’ O ALAN WHiteneAo,David Alan Whitehead,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'David Alan Whitehead'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2020/Assessor_Tom Durrant_October 22 2020_10-23-2020.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Assessor_Tom Durrant_October 22 2020_10-23-2020.pdf,” We D Ut CAR is,Tom Durrant,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Tom Durrant'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/June 13_Brock R Belnap_FCR_06-14-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 13_Brock R Belnap_FCR_06-14-2018.pdf,Bro ck Ke B el LACS f,Brock R Belnap,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Brock R Belnap'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
raw/wayback_forms2018/June 19_Victor Iverson_FCR_06-19-2018.pdf,https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 19_Victor Iverson_FCR_06-19-2018.pdf,LAEZz on OBELE Liven?,Victor Moses Iverson,high,"the cover's 'Full name of Candidate' line, read from the page image in the 2026-08-01 vision totals pass and re-confirmed by the 2026-08-23 itemization wave, reads 'Victor Moses Iverson'; the indexed value is tesseract noise from the same line",phase-b-final-wave coordinator (page evidence),2026-08-23
