url,channel,verdict,office,office_source,office_confidence,evidence,determined_by,determined_date
http://www.washco.utah.gov/clerk/pdf/2010elections/Wesley Christiansen Candidate Summary.pdf,wayback_2010elections,school_board,,document,high,"Document header ""Local School Board Candidate""; Office ""Local School Board"", District 5",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/Carole Morris Contributions.pdf,wayback_clerkpdf2008,school_board,,document,high,"Document header line: ""Carole Morris   Local School Board #3   2008""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/Carole Morris Expenditure.pdf,wayback_clerkpdf2008,school_board,,document,high,"Document header line: ""Carole Morris    Local School Board #3       2008""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/Craig Seegmiller Contributions.pdf,wayback_clerkpdf2008,school_board,,document,high,"Document header line: ""Craig Seegmiller     Local School Board #2       2008""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/Craig Seegmiller Expenditures.pdf,wayback_clerkpdf2008,school_board,,document,high,"Document header line: ""Craig Seegmiller     Local School Board #2       2008""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/Wendell Gubler Contributions.pdf,wayback_clerkpdf2008,school_board,,document,high,"Document header line: ""Wendell Gubler Local School Board #1   2008""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/Wendell Gubler Expenditures.pdf,wayback_clerkpdf2008,school_board,,document,high,"Document header line: ""Wendell Gubler Local School Board #1        2008""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/financialreports/Contributions - Chris White_01-17-2013.xls,wayback_financialreports,county,Commission Seat C,document,high,"Workbook cells A1/F1: ""All Contributions for:"" / ""Position""; row 2: ""Chris White"" / ""County Commission Seat C""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/financialreports/Contributions - Craig Seegmiller_05-07-2012.pdf,wayback_financialreports,school_board,,document,high,"Ledger header: ""All Contributions for ... Local School Board 2 / Craig Seegmiller""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
http://www.washco.utah.gov/clerk/pdf/financialreports/Expenditures - Chris White_01-17-2013.xls,wayback_financialreports,county,Commission Seat C,document,high,"Workbook cells A1/F1: ""All Expeditures for"" / ""Position""; row 2: ""Chris White"" / ""County Commission Seat C""",born-digital-read(pdftotext -layout / xlrd cell read),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Becky Dunn 10_31_2016 FCR_11-01-2016.pdf,wayback_forms2016,school_board,,document,high,School Board / Representative District # 1 / Washington County School District,vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Craig D Seegmiller 10_26_2016 FCR_10-27-2016.pdf,wayback_forms2016,school_board,,document,high,"Representative District 2 / ""Washington Co."" School District (Office line holds a phone number); same filer files as Local School Board 2 in 2008 and 2012",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Debbra Zockoll 10_26_2016 FCR_10-27-2016.pdf,wayback_forms2016,school_board,,document,high,Representative District 3 / Washington County School District,vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Greg Aldred 10_26_2016 FCR_11-05-2016.pdf,wayback_forms2016,county,Commission Seat C,document,high,"Name of Office: ""County Commissioner Seat C""; Political Party ""Unafiliated""; signed 10-27-16",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Josh Warburton 11_1_2016 FCR_11-05-2016.pdf,wayback_forms2016,county,Commission (seat not stated),document,high,"Name of Office: ""Washington County Commissioner"" (no seat letter); signed 11/1/16",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Richelle H_10-27-2016. Nelson 10_26_2016 FCR,wayback_forms2016,school_board,,document,high,"Representative District 1 / ""Washington Co."" School District",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Rick Nelson 11_1_2016 FCR_11-02-2016.pdf,wayback_forms2016,school_board,,document,high,"Name of Office: ""Washington Co. School Board"", Office District #2",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Terry Hutchinson 11_1_2016 FCR_11-02-2016.pdf,wayback_forms2016,school_board,,document,high,"Representative District 3 / ""Washington County School Dist"" (Office line holds a street address)",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 3 2019_LaRene Cox_Final FCR_01-07-2019.pdf,wayback_forms2018,school_board,,document,high,"Office: ""School Board District 4"" / Representative District (four) / Washington County School District",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 3 2019_Laura J Hesson_Final FCR_01-07-2019.pdf,wayback_forms2018,school_board,,document,high,"Representative District #7 / Washington County School District; county canvass lists LAURA J. HESSON under ""Local School Board District 7""",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 7 2019_Allen J Davis_Final FCR_01-09-2019.pdf,wayback_forms2018,undetermined,,document,,"Office, Representative District and School District lines are ALL BLANK on the form; filer not present in the county canvass 2018-2024 - office not determinable, never guessed",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 7 2019_David Stirland_Final FCR_01-09-2019.pdf,wayback_forms2018,school_board,,document,high,"Office: ""Washington County School Board"" / Representative District 5",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Jan 7 2019_Kelly Wade Blake_Final FCR_01-09-2019.pdf,wayback_forms2018,school_board,,document,high,"Office: ""Washington County School Board"" / Representative District 7",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 15_Laura J Hesson_FCR_06-15-2018.pdf,wayback_forms2018,school_board,,document,high,Representative District #7 / Washington County School District,vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 18_Gregory Brooks_FCR_06-18-2018.pdf,wayback_forms2018,school_board,,document,high,"Office: ""School Board"" / Representative District #7 / Washington County School District",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 19_Allen J Davis_FCR_06-19-2018.pdf,wayback_forms2018,undetermined,,document,,"Office, Representative District and School District lines are ALL BLANK on the form; filer not present in the county canvass 2018-2024 - office not determinable, never guessed",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 19_David Stirling_FCR_06-20-2018.pdf,wayback_forms2018,school_board,,document,high,Representative District 5 / Washington County School District,vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 19_LaRene Cox_FCR_06-19-2018.pdf,wayback_forms2018,school_board,,document,high,"Representative District ""Four"" / Washington County School District",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/June 26_Kelly W_06-13-2018. Blake_FCR,wayback_forms2018,school_board,,document,high,"Form header is the SCHOOL BOARD CANDIDATE FINANCIAL CAMPAIGN REPORT (Utah Code 20A-11-1301..1305); Office ""School Board"", District 5",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Oct 23_2018_Kelly Wade Blake_FCR_10-23-2018.pdf,wayback_forms2018,school_board,,document,high,"Form header is the SCHOOL BOARD CANDIDATE FINANCIAL CAMPAIGN REPORT (20A-11-1301..1305); Office ""Washington County School Board"", District 6",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Oct 23_2018_LaRene Cox_FCR_10-23-2018.pdf,wayback_forms2018,school_board,,document,high,"Office: ""School Board"" / Representative District ""Four""",vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/forms/clerk-auditor/elections/2018/reports/Oct 29_Laura Hesson_FCR_10-30-2018.pdf,wayback_forms2018,school_board,,document,high,Representative District #7 / Washington County School District,vision-read(claude-opus-5; 2026-08-01 totals tranche),2026-08-01
https://www.washco.utah.gov/wp-content/uploads/2026/05/2016-Gil-Almquist.pdf,live_wp,county,Commission Seat C,document,high,"Office line reads verbatim ""Office: Washington County Commissioner seat C"" on the typed cover (page 1, RECEIVED JUN 17 2016 clerk stamp), candidate ""Gilbert Almquist"". The cascade took Commission Seat A from the LIVE PAGE LISTING, which groups Almquist under the seat he holds NOW; the 2016 filing is for seat C. Document beats portal listing. [supersedes the cascade value 'Commission Seat A']","vision-read(claude-opus-5; 2026-08-02 totals tranche, resumed) - page image re-read at 190-200dpi",2026-08-02
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Gil Almquist_Commission C_Financial Campaign Report_6_17_2016_06-24-2016.pdf,wayback_forms2016,county,Commission Seat C,document,high,"Office line reads verbatim ""Office: Washington County Commissioner seat C"" (page 1). The cascade took Commission Seat A from the person_roster, which is keyed (person, cycle) and mapped Almquist to the seat he later held. The county filename agrees with the document (""Commission C""). [supersedes the cascade value 'Commission Seat A']","vision-read(claude-opus-5; 2026-08-02 totals tranche, resumed) - page image re-read at 190-200dpi",2026-08-02
https://www.washco.utah.gov/forms/clerk-auditor/elections/2016/reports/Gil Almquist_County Commission Seat C_Final FCR_8_4_2016_08-05-2016.pdf,wayback_forms2016,county,Commission Seat C,document,high,"Office line reads verbatim ""Office: Washington County Commissioner seat C"" (page 1); the county filename also states ""County Commission Seat C"". Same person_roster over-ride as the 6/17/2016 report. [supersedes the cascade value 'Commission Seat A']","vision-read(claude-opus-5; 2026-08-02 totals tranche, resumed) - page image re-read at 190-200dpi",2026-08-02
https://www.washco.utah.gov/forms/clerk-auditor/elections/2020/reports/Commission C_Slade Hughes_June 23 2020_04-20-2020.pdf,wayback_forms2020,county,Commission Seat C,document,high,"Handwritten office line reads ""County Commission Seat C"" (page 1), candidate ""Slade Rudy Hughes"", dated 4-20-2020. The seat IS stated on the form, so the honest ""seat not stated"" value the filename-tier assigned understates the document. NB the sibling 2020 file for Douglas Wulfenstein genuinely states only ""County Commission"" and correctly REMAINS ""Commission (seat not stated)"". [supersedes the cascade value 'Commission (seat not stated)']","vision-read(claude-opus-5; 2026-08-02 totals tranche, resumed) - page image re-read at 190-200dpi",2026-08-02
