ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_type,status,minutes_files
05-05-2020,2020-05-05,2020-05-05,"amending section 7-5-7 of the Nephi City code, and the revised Cemeteries Policies and Procedures booklet",meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,no,,,,none,,,meeting_minutes/minutes/2020/2020-05-04/2020-05-05_city-council-meeting.md
05-19-2020,2020-05-19,2020-05-19,ELECTRIC FUND LONG-TERM RATE PLAN,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2020-05-19,5,within_source,,ADOPTED,meeting_minutes/minutes/2020/2020-05-18/2020-05-19_city-council-meeting.md
06-16-2020,2020-06-16,2020-06-16,on when a sign can be displayed,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2020-06-16,3,within_source,,,meeting_minutes/minutes/2020/2020-06-15/2020-06-16_city-council-meeting.md
07-07-2020,2020-07-07,2020-07-07,NUISANCE AND ABATEMENT FOR FURTHER REVIEW: Mr,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,no,,,,none,,TABLED,meeting_minutes/minutes/2020/2020-07-06/2020-07-07_city-council-meeting.md
07-21-2020,2020-07-21,2020-07-21,NUISANCE AND ABATEMENT,meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2020-07-21,7,within_source,,ADOPTED,meeting_minutes/minutes/2020/2020-07-20/2020-07-21_city-council-meeting.md
11-03-2020,2020-11-03,2020-11-03,GUN RANGE ANNEXATION,meeting_minutes/minutes/2020/2020-11-02/2020-11-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2020-11-03,3,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2020/2020-11-02/2020-11-03_city-council-meeting.md
11-17-2020,2020-11-17,2020-11-17,AMENDMENT TO SECTION 5-3-1 OF THE NEPHI CITY CODE,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2020-11-17,5,within_source,,,meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council-meeting.md
12-01-2020,2020-12-01,2020-12-01,MALMGREN ANNEXATION,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2020-12-01,4,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2020/2020-11-30/2020-12-01_city-council-meeting.md
12-15-2020,2020-12-15,2020-12-15,PLANNED UNIT DEVELOPMENT CODE,meeting_minutes/minutes/2020/2020-12-14/2020-12-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2020-12-15,2,within_source,land_use_code,ADOPTED,meeting_minutes/minutes/2020/2020-12-14/2020-12-15_city-council-meeting.md
01-19-2021,2021-01-19,2021-01-19,NEPHI SOUTH COMMERCIAL PARK ANNEXATION,meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-01-19,4,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2021/2021-01-18/2021-01-19_city-council-meeting.md
02-02-2021,2021-02-02,2021-02-02,"AN ORDINANCE AMENDING THE ZONE MAP OF NEPHI CITY, STATE OF UTAH. The property known as Savage Bluffs Subdivision was changed from Residential R1-H to Residential R1",meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2021-02-02,3,within_source,zone_change,,meeting_minutes/minutes/2021/2021-02-01/2021-02-02_city-council-meeting.md
03-02-2021,2021-03-02,2021-03-02,TWO YEAR BUDGET,meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2021-03-02,5,within_source,,ADOPTED,meeting_minutes/minutes/2021/2021-03-01/2021-03-02_city-council-meeting.md
03-16-2021,2021-03-16,2021-03-16,SPERRY PROPERTY RE-ZONED,meeting_minutes/minutes/2021/2021-03-15/2021-03-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-03-16,3,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2021/2021-03-15/2021-03-16_city-council-meeting.md
03-16-2021-A,2021-03-16,2021-03-16,ESTABLISHING AN INDUSTRIAL ZONE 2,meeting_minutes/minutes/2021/2021-03-15/2021-03-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-03-16,9,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2021/2021-03-15/2021-03-16_city-council-meeting.md
04-20-2021,2021-04-20,2021-04-20,RED CLIFFS COMMERCIAL ANNEXATION,meeting_minutes/minutes/2021/2021-04-19/2021-04-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-04-20,2,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2021/2021-04-19/2021-04-20_city-council-meeting.md
04-20-2021-A,2021-04-20,2021-04-20,AMENDING TITLE 10 CHAPTER 14 AND TITLE 11 CHAPTER 4,meeting_minutes/minutes/2021/2021-04-19/2021-04-20_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,Pass (unanimous),2021-04-20,3,within_source,subdivision,ADOPTED,meeting_minutes/minutes/2021/2021-04-19/2021-04-20_city-council-meeting.md
05-11-2021,2021-05-11,2021-05-11,TEMPORARY LAND USE ORDINANCE,meeting_minutes/minutes/2021/2021-05-10/2021-05-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-05-11,1,within_source,subdivision,ADOPTED,meeting_minutes/minutes/2021/2021-05-10/2021-05-11_city-council-meeting.md
05-18-2021,2021-05-18,2021-05-18,Mr. Atkinson presented for adoption. The ordinance was written to change the zone from R1-H to CU. The property was owned by Mr. Paul McPherson who plans on building some higher density housing. The l,meeting_minutes/minutes/2021/2021-05-17/2021-05-18_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,yes,,,,none,zone_change,,meeting_minutes/minutes/2021/2021-05-17/2021-05-18_city-council-meeting.md
07-06-2021,2021-07-06,2021-07-06,CANYON MINES ANNEXATION,meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-07-06,4,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md
07-20-2021,2021-07-20,2021-07-20,BLIGHT ORDINANCE,meeting_minutes/minutes/2021/2021-07-19/2021-07-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2021-07-20,6,within_source,,ADOPTED,meeting_minutes/minutes/2021/2021-07-19/2021-07-20_city-council-meeting.md
07-27-2021,2021-07-27,2021-07-27,ZONE CHANGE,meeting_minutes/minutes/2021/2021-07-26/2021-07-27_city-council-meeting-3.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2021-07-27,1,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2021/2021-07-26/2021-07-27_city-council-meeting-3.md
08-17-2021,2021-08-17,2021-08-17,NORTH RIDGE PHASE B ZONE CHANGE -: Mr,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-08-17,5,within_source,zone_change,APPROVED,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md
08-17-2021-A,2021-08-17,2021-08-17,AMENDMENT TO THE BEER LICENSE CODE: A discussion ensued about prohibiting beer licenses at special events. The City Council had recently,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2021-08-17,7,within_source,,ADOPTED,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md
09-21-2021,2021-09-21,2021-09-21,BAR W ANNEXATION,meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,4-1 Pass,2021-09-21,3,within_source,annexation,ADOPTED,meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md
09-21-2021-B,2021-09-21,2021-09-21,STREET VACATION,meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,Pass (unanimous),2021-09-21,4,within_source,street_vacation,APPROVED,meeting_minutes/minutes/2021/2021-09-20/2021-09-21_city-council-meeting.md
10-02-2021,2021-10-02,2021-10-02,PARKS AND RECREATION IMPACT FEES,meeting_minutes/minutes/2021/2021-11-01/2021-11-02_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,no,,,,none,,APPROVED,meeting_minutes/minutes/2021/2021-11-01/2021-11-02_city-council-meeting.md
11-02-2021,2021-11-02,2021-11-02,the full impact fee in,meeting_minutes/minutes/2021/2021-11-01/2021-11-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2021-11-02,3,within_source,,ADOPTED,meeting_minutes/minutes/2021/2021-11-01/2021-11-02_city-council-meeting.md
11-16-2021,2021-11-16,2021-11-16,TEMPORARY LAND USE PROHIBITING SUBDIVISON DEVELOPMENT APPLICATIONS,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-11-16,5,within_source,subdivision,ADOPTED,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md
11-16-2021-A,2021-11-16,2021-11-16,MANGELSON PROPERTY ZONE CHANGE,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-11-16,3,within_source,zone_change,APPROVED,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md
11-16-2021-B,2021-11-16,2021-11-16,POWELL YARDS ZONE CHANGE,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,Pass (unanimous),2021-11-16,4,within_source,zone_change,APPROVED,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md
11-16-2021-C,2021-11-16,2021-11-16,AUTHORIZING CITY ADMINISTRATION TO ASSIGN PHYSICAL ADDRESSES WITH THE CITY,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,no,Pass (unanimous),2021-11-16,6,within_source,,ADOPTED,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md
12-21-2021,2021-12-21,2021-12-21,ZONE CHANGE FOR GARDNER VILLAGE,meeting_minutes/minutes/2021/2021-12-20/2021-12-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2021-12-21,3,within_source,zone_change,APPROVED,meeting_minutes/minutes/2021/2021-12-20/2021-12-21_city-council-meeting.md
01-18-2022,2022-01-18,2022-01-18,WATER CONSERVATION PLAN,meeting_minutes/minutes/2022/2022-01-17/2022-01-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2022-01-18,8,within_source,,ADOPTED,meeting_minutes/minutes/2022/2022-01-17/2022-01-18_city-council-meeting.md
02-01-2022,2022-02-01,2022-02-01,W. WRIGHT INDUSTRIAL ANNEXATION,meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-02-01,5,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md
03-15-2022,2022-03-15,2022-03-15,AMMENDING ZONE MAP,meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-03-15,4,within_source,zone_change,APPROVED,meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md
04-12-2022,2022-04-12,2022-04-12,AMENDING THE ZONE MAP FOR THE BAR W PROPERTY,meeting_minutes/minutes/2022/2022-04-11/2022-04-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-04-12,2,within_source,zone_change,APPROVED,meeting_minutes/minutes/2022/2022-04-11/2022-04-12_city-council-meeting.md
05-17-2022,2022-05-17,2022-05-17,COMBINED USE I & II ZONE,meeting_minutes/minutes/2022/2022-05-16/2022-05-17_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,Pass,2022-05-17,3,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2022/2022-05-16/2022-05-17_city-council-meeting.md
06-07-2022,2022-06-07,2022-06-07,ID-3 LIGHT INDUSTRIAL ZONE,meeting_minutes/minutes/2022/2022-06-06/2022-06-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-06-07,5,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2022/2022-06-06/2022-06-07_city-council-meeting.md
06-07-2022-A,2022-06-07,2022-06-07,RODERICK NEPHI BUSINESS PARK ANNEXATION,meeting_minutes/minutes/2022/2022-06-06/2022-06-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-06-07,7,within_source,annexation,ADOPTED,meeting_minutes/minutes/2022/2022-06-06/2022-06-07_city-council-meeting.md
06-07-2022-B,2022-06-07,2022-06-07,AMENDMENT TO SECTION 3-1-4 OF THE BUSINESS AND LICENSE REGULATION TITLE,meeting_minutes/minutes/2022/2022-06-06/2022-06-07_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,no,Pass,2022-06-07,8,within_source,,ADOPTED,meeting_minutes/minutes/2022/2022-06-06/2022-06-07_city-council-meeting.md
07-05-2022,2022-07-05,2022-07-05,SUBDIVISION EXCEPTION,meeting_minutes/minutes/2022/2022-07-04/2022-07-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-07-05,4,within_source,subdivision,ADOPTED,meeting_minutes/minutes/2022/2022-07-04/2022-07-05_city-council-meeting.md
07-12-2022,2022-07-12,2022-07-12,Councilor Parady moved to adopt An ordinance amending section 10.3.6 c (3). Allowing the zoning administrator to approve sign permits. Councilor Ostler seconded the motion. The motion passed on a unan,meeting_minutes/minutes/2022/2022-07-18/2022-07-19_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,yes,,,,none,zone_change,,meeting_minutes/minutes/2022/2022-07-18/2022-07-19_city-council-meeting.md
07-19-2022,2022-07-19,2022-07-19,AMENDMENTS TO SECTION 10.3.6(C) (3) ZONING ADMINISTRATOR TO APPROVE SIGN PERMITS,meeting_minutes/minutes/2022/2022-07-18/2022-07-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-07-19,7,within_source,zone_change,,meeting_minutes/minutes/2022/2022-07-18/2022-07-19_city-council-meeting.md
07-19-2022-A,2022-07-19,2022-07-19,ZONE CHANGE OF THE MUNICIPAL BUILDING AUTHORITY OF JUAB COUNTY (CUCC),meeting_minutes/minutes/2022/2022-07-18/2022-07-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2022-07-19,3,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2022/2022-07-18/2022-07-19_city-council-meeting.md
08-16-2022,2022-08-16,2022-08-16,amending the zone map of Nephi City and changing North Ridge Estates Phase C from R-3(PUD) to R-3(Z),meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-08-16,3,within_source,zone_change,,meeting_minutes/minutes/2022/2022-08-15/2022-08-16_city-council-meeting.md
09-06-2022,2022-09-06,2022-09-06,RACCOON EYE ANNEXATION,meeting_minutes/minutes/2022/2022-09-05/2022-09-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2022-09-06,4,within_source,annexation,ADOPTED,meeting_minutes/minutes/2022/2022-09-05/2022-09-06_city-council-meeting.md
10-18-2022,2022-10-18,2022-10-18,222 BUSINES PARK REZONE TO HIGHWAY COMMERCIAL,meeting_minutes/minutes/2022/2022-10-17/2022-10-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2022-10-18,4,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2022/2022-10-17/2022-10-18_city-council-meeting.md
01-17-2023,2023-01-17,2023-01-17,TEMPORARY LAND USE FOR R3 ZONE,meeting_minutes/minutes/2023/2023-01-16/2023-01-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-01-17,2,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2023/2023-01-16/2023-01-17_city-council-meeting.md
02-07-2023,2023-02-07,2023-02-07,GENERAL PLAY UPDATE,meeting_minutes/minutes/2023/2023-02-06/2023-02-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-02-07,2,within_source,general_plan,ADOPTED,meeting_minutes/minutes/2023/2023-02-06/2023-02-07_city-council-meeting.md
02-07-2023-A,2023-02-07,2023-02-07,Amending Section 10.15.5 Nephi City Code — regulation of recreational vehicles and RV parks,https://www.utah.gov/pmn/files/940961.pdf,2026-07-05,scanned,PMN Notice-of-Ordinance PDF corroborates number+subject; linked to council motion,raw/940961.pdf,yes,Pass,2023-02-07,3,high,land_use_code,ADOPTED,meeting_minutes/minutes/2023/2023-02-06/2023-02-07_city-council-meeting.md
03-21-2023,2023-03-21,2023-03-21,AN ORDINANCE AMENDING SECTION 10.15.5 (S) OF THE NEPHI CIT,meeting_minutes/minutes/2023/2023-03-20/2023-03-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-03-21,3,within_source,land_use_code,,meeting_minutes/minutes/2023/2023-03-20/2023-03-21_city-council-meeting.md
04-18-2023,2023-04-18,2023-04-18,TITLE 11 UPDATES TO EXCEPTION TO SUBDIVISIONS: Ms. Talbot,meeting_minutes/minutes/2023/2023-04-17/2023-04-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-04-18,3,within_source,subdivision,,meeting_minutes/minutes/2023/2023-04-17/2023-04-18_city-council-meeting.md
05-16-2023,2023-05-16,2023-05-16,AMENDING TITLE 10 DEFINITIONS,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-05-16,3,within_source,land_use_code,ADOPTED,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md
05-16-2023-A,2023-05-16,2023-05-16,INTERNAL ACCESSORY DWELLING UNITS,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,Pass (unanimous),2023-05-16,4,within_source,adu,ADOPTED,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md
05-16-2023-B,2023-05-16,2023-05-16,OHV/ATV CODE CHANGES,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2023-05-16,5,within_source,,ADOPTED,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md
06-06-2023,2023-06-06,2023-06-06,table the adoption of,meeting_minutes/minutes/2023/2023-06-05/2023-06-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2023-06-06,3,within_source,,TABLED,meeting_minutes/minutes/2023/2023-06-05/2023-06-06_city-council-meeting.md
06-20-2023,2023-06-20,2023-06-20,OF TEMPORARY LAND USE,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-06-20,3,within_source,subdivision,RESCISSION,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md
06-20-2023-A,2023-06-20,2023-06-20,ZONE CHANGE FOR DIRECTRIX DEVELOPMENT,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-06-20,5,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md
