date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,text_path,status,pmn_event_date,orig_fname,chars,note
2023-09-12,2023,"September 12, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-09-12_1029159.pdf,pmn,https://www.utah.gov/pmn/files/1029159.pdf,https://www.utah.gov/pmn/sitemap/notice/856701.html,735,1029159,2026-07-13,text,pdftotext-layout,minutes/2023-09-12_city-council-meeting.md,recovered,2023-09-12,"September 12, 2023 (APPROVED on 10.3.2023) Council Meeting Minutes.pdf",23592,
2023-09-19,2023,"September 19, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-09-19_1035381.pdf,pmn,https://www.utah.gov/pmn/files/1035381.pdf,https://www.utah.gov/pmn/sitemap/notice/858273.html,735,1035381,2026-07-13,text,pdftotext-layout,minutes/2023-09-19_city-council-meeting.md,recovered,2023-09-19,"September 19, 2023 (APPROVED 10.17.2023) Meeting Minutes.pdf",13867,
2023-10-03,2023,"October 3, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-10-03_1035383.pdf,pmn,https://www.utah.gov/pmn/files/1035383.pdf,https://www.utah.gov/pmn/sitemap/notice/861525.html,735,1035383,2026-07-13,text,pdftotext-layout,minutes/2023-10-03_city-council-meeting.md,recovered,2023-10-03,"October 3, 2023 (APPROVED 10.17.2023) Council Meeting Minutes.pdf",14862,
2023-10-17,2023,"October 17, 2023 City Council Meeting Minutes",city-council-meeting,Council,raw/council_2023-10-17_1056541.pdf,pmn,https://www.utah.gov/pmn/files/1056541.pdf,https://www.utah.gov/pmn/sitemap/notice/865015.html,735,1056541,2026-07-13,text,pdftotext-layout,minutes/2023-10-17_city-council-meeting.md,recovered,2023-10-17,"October 17, 2023 (APPROVED 12.7.2023) Council Meeting Minutes and Attachments.pdf",31866,
2023-01-05,2023,"January 5, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-01-05_974049.pdf,pmn,https://www.utah.gov/pmn/files/974049.pdf,https://www.utah.gov/pmn/sitemap/notice/802541.html,983,974049,2026-07-13,text,pdftotext-layout,minutes/2023-01-05_planning-commission-meeting.md,recovered,2023-01-05,PC 01.05.23 Planning Commission Minutes.pdf,19305,
2023-01-19,2023,"January 19, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-01-19_973945.pdf,pmn,https://www.utah.gov/pmn/files/973945.pdf,https://www.utah.gov/pmn/sitemap/notice/806335.html,983,973945,2026-07-13,text,pdftotext-layout,minutes/2023-01-19_planning-commission-meeting.md,recovered,2023-01-19,2023.01.19 Planning Commission Minutes.pdf,19726,
2023-02-02,2023,"February 2, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-02-02_973957.pdf,pmn,https://www.utah.gov/pmn/files/973957.pdf,https://www.utah.gov/pmn/sitemap/notice/809277.html,983,973957,2026-07-13,text,pdftotext-layout,minutes/2023-02-02_planning-commission-meeting.md,recovered,2023-02-02,2023.02.02 Planning Commission Minutes.pdf,11835,
2023-03-02,2023,"March 2, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-03-02_1050083.pdf,pmn,https://www.utah.gov/pmn/files/1050083.pdf,https://www.utah.gov/pmn/sitemap/notice/815507.html,983,1050083,2026-07-13,text,pdftotext-layout,minutes/2023-03-02_planning-commission-meeting.md,recovered,2023-03-02,2023.03.02 Planning Commission Minutes.pdf,25986,
2023-04-06,2023,"April 6, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-04-06_991087.pdf,pmn,https://www.utah.gov/pmn/files/991087.pdf,https://www.utah.gov/pmn/sitemap/notice/823175.html,983,991087,2026-07-13,text,pdftotext-layout,minutes/2023-04-06_planning-commission-meeting.md,recovered,2023-04-06,2023.04.06 Planning Commission Meeting Minutes.pdf,33443,
2023-04-20,2023,"April 20, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-04-20_1021851.pdf,pmn,https://www.utah.gov/pmn/files/1021851.pdf,https://www.utah.gov/pmn/sitemap/notice/825740.html,983,1021851,2026-07-13,text,pdftotext-layout,minutes/2023-04-20_planning-commission-meeting.md,recovered,2023-04-20,2023.04.20 Planning Commission Meeting Minutes.pdf,30584,
2023-06-01,2023,"June 1, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-06-01_1019173.pdf,pmn,https://www.utah.gov/pmn/files/1019173.pdf,https://www.utah.gov/pmn/sitemap/notice/835417.html,983,1019173,2026-07-13,text,pdftotext-layout,minutes/2023-06-01_planning-commission-meeting.md,recovered,2023-06-01,2023.06.01 Planning Commission Meeting Minutes.pdf,15838,
2023-06-15,2023,"June 15, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-06-15_1019175.pdf,pmn,https://www.utah.gov/pmn/files/1019175.pdf,https://www.utah.gov/pmn/sitemap/notice/840119.html,983,1019175,2026-07-13,text,pdftotext-layout,minutes/2023-06-15_planning-commission-meeting.md,recovered,2023-06-15,2023.06.15 Planning Commission Meeting Minutes.pdf,74975,
2023-07-20,2023,"July 20, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-07-20_1021839.pdf,pmn,https://www.utah.gov/pmn/files/1021839.pdf,https://www.utah.gov/pmn/sitemap/notice/846206.html,983,1021839,2026-07-13,text,pdftotext-layout,minutes/2023-07-20_planning-commission-meeting.md,recovered,2023-07-20,2023.07.20 Planning Commission Meeting Minutes.pdf,30424,
2023-08-03,2023,"August 3, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-08-03_1021847.pdf,pmn,https://www.utah.gov/pmn/files/1021847.pdf,https://www.utah.gov/pmn/sitemap/notice/848691.html,983,1021847,2026-07-13,text,pdftotext-layout,minutes/2023-08-03_planning-commission-meeting.md,recovered,2023-08-03,2023.08.03 Planning Commission Meeting Minutes.pdf,30570,
2023-08-17,2023,"August 17, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-08-17_1021843.pdf,pmn,https://www.utah.gov/pmn/files/1021843.pdf,https://www.utah.gov/pmn/sitemap/notice/852047.html,983,1021843,2026-07-13,text,pdftotext-layout,minutes/2023-08-17_planning-commission-meeting.md,recovered,2023-08-17,2023.08.17 Planning Commission Meeting Minutes.pdf,5764,
2023-09-07,2023,"September 7, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-09-07_1038245.pdf,pmn,https://www.utah.gov/pmn/files/1038245.pdf,https://www.utah.gov/pmn/sitemap/notice/855893.html,983,1038245,2026-07-13,text,pdftotext-layout,minutes/2023-09-07_planning-commission-meeting.md,recovered,2023-09-07,2023.09.07 Planning Commission Meeting Minutes.pdf,46563,
2023-09-21,2023,"September 21, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-09-21_1036901.pdf,pmn,https://www.utah.gov/pmn/files/1036901.pdf,https://www.utah.gov/pmn/sitemap/notice/858539.html,983,1036901,2026-07-13,text,pdftotext-layout,minutes/2023-09-21_planning-commission-meeting.md,recovered,2023-09-21,2023.09.21 Planning Commission Meeting Minutes.pdf,21626,
2023-10-05,2023,"October 5, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-10-05_1050179.pdf,pmn,https://www.utah.gov/pmn/files/1050179.pdf,https://www.utah.gov/pmn/sitemap/notice/861801.html,983,1050179,2026-07-13,text,pdftotext-layout,minutes/2023-10-05_planning-commission-meeting.md,recovered,2023-10-05,2023.10.05 Planning Commission Meeting Minutes.pdf,34027,
2023-10-19,2023,"October 19, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-10-19_1057475.pdf,pmn,https://www.utah.gov/pmn/files/1057475.pdf,https://www.utah.gov/pmn/sitemap/notice/865151.html,983,1057475,2026-07-13,text,pdftotext-layout,minutes/2023-10-19_planning-commission-meeting.md,recovered,2023-10-19,2023.10.19 Planning Commission Meeting Minutes.pdf,13203,
2023-11-16,2023,"November 16, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-11-16_1094763.pdf,pmn,https://www.utah.gov/pmn/files/1094763.pdf,https://www.utah.gov/pmn/sitemap/notice/872173.html,983,1094763,2026-07-13,text,pdftotext-layout,minutes/2023-11-16_planning-commission-meeting.md,recovered,2023-11-16,2023.11.16 Planning Commission Meeting Minutes.pdf,25883,
2023-12-07,2023,"December 7, 2023 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2023-12-07_1087875.pdf,pmn,https://www.utah.gov/pmn/files/1087875.pdf,https://www.utah.gov/pmn/sitemap/notice/876241.html,983,1087875,2026-07-13,text,pdftotext-layout,minutes/2023-12-07_planning-commission-meeting.md,recovered,2023-12-07,2023.12.07 Planning Commission Meeting Minutes.pdf,51325,
2024-01-04,2024,"January 4, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-01-04_1094755.pdf,pmn,https://www.utah.gov/pmn/files/1094755.pdf,https://www.utah.gov/pmn/sitemap/notice/882143.html,983,1094755,2026-07-13,text,pdftotext-layout,minutes/2024-01-04_planning-commission-meeting.md,recovered,2024-01-04,2024.01.04 Planning Commission Meeting Minutes.pdf,6915,
2024-03-07,2024,"March 7, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-03-07_1118175.pdf,pmn,https://www.utah.gov/pmn/files/1118175.pdf,https://www.utah.gov/pmn/sitemap/notice/897149.html,983,1118175,2026-07-13,text,pdftotext-layout,minutes/2024-03-07_planning-commission-meeting.md,recovered,2024-03-07,2024.03.07 Planning Commission Meeting Minutes.pdf,89579,
2024-03-21,2024,"March 21, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-03-21_1118171.pdf,pmn,https://www.utah.gov/pmn/files/1118171.pdf,https://www.utah.gov/pmn/sitemap/notice/899936.html,983,1118171,2026-07-13,text,pdftotext-layout,minutes/2024-03-21_planning-commission-meeting.md,recovered,2024-03-21,2024.03.21 Planning Commission Meeting Minutes.pdf,54575,
2024-04-04,2024,"April 4, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-04-04_1124807.pdf,pmn,https://www.utah.gov/pmn/files/1124807.pdf,https://www.utah.gov/pmn/sitemap/notice/903249.html,983,1124807,2026-07-13,text,pdftotext-layout,minutes/2024-04-04_planning-commission-meeting.md,recovered,2024-04-04,2024.04.04 Planning Commission Meeting Minutes.pdf,28678,
2024-05-02,2024,"May 2, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-05-02_1134239.pdf,pmn,https://www.utah.gov/pmn/files/1134239.pdf,https://www.utah.gov/pmn/sitemap/notice/909585.html,983,1134239,2026-07-13,text,pdftotext-layout,minutes/2024-05-02_planning-commission-meeting.md,recovered,2024-05-02,2024.05.02 Planning Commission Meeting Minutes.pdf,14176,
2024-05-16,2024,"May 16, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-05-16_1142973.pdf,pmn,https://www.utah.gov/pmn/files/1142973.pdf,https://www.utah.gov/pmn/sitemap/notice/912919.html,983,1142973,2026-07-13,text,pdftotext-layout,minutes/2024-05-16_planning-commission-meeting.md,recovered,2024-05-16,2024.05.16 Planning Commission Meeting Minutes.pdf,13488,
2024-06-06,2024,"June 6, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-06-06_1148578.pdf,pmn,https://www.utah.gov/pmn/files/1148578.pdf,https://www.utah.gov/pmn/sitemap/notice/918021.html,983,1148578,2026-07-13,text,pdftotext-layout,minutes/2024-06-06_planning-commission-meeting.md,recovered,2024-06-06,PC 06.06.24.pdf,11044,
2024-06-20,2024,"June 20, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-06-20_1153233.pdf,pmn,https://www.utah.gov/pmn/files/1153233.pdf,https://www.utah.gov/pmn/sitemap/notice/921525.html,983,1153233,2026-07-13,text,pdftotext-layout,minutes/2024-06-20_planning-commission-meeting.md,recovered,2024-06-20,2024.06.20 Planning Commission Meeting Minutes.pdf,30554,
2024-07-18,2024,"July 18, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-07-18_1166369.pdf,pmn,https://www.utah.gov/pmn/files/1166369.pdf,https://www.utah.gov/pmn/sitemap/notice/927284.html,983,1166369,2026-07-13,text,pdftotext-layout,minutes/2024-07-18_planning-commission-meeting.md,recovered,2024-07-18,2024.07.18 Planning Commission Meeting Minutes.pdf,19188,
2024-08-01,2024,"August 1, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-08-01_1166381.pdf,pmn,https://www.utah.gov/pmn/files/1166381.pdf,https://www.utah.gov/pmn/sitemap/notice/929597.html,983,1166381,2026-07-13,text,pdftotext-layout,minutes/2024-08-01_planning-commission-meeting.md,recovered,2024-08-01,2024.08.01 Planning Commission Meeting Minutes.pdf,22520,
2024-08-15,2024,"August 15, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-08-15_1173137.pdf,pmn,https://www.utah.gov/pmn/files/1173137.pdf,https://www.utah.gov/pmn/sitemap/notice/932473.html,983,1173137,2026-07-13,text,pdftotext-layout,minutes/2024-08-15_planning-commission-meeting.md,recovered,2024-08-15,2024.08.15 Planning Commission Meeting Minutes.pdf,9436,
2024-09-05,2024,"September 5, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-09-05_1178641.pdf,pmn,https://www.utah.gov/pmn/files/1178641.pdf,https://www.utah.gov/pmn/sitemap/notice/937023.html,983,1178641,2026-07-13,text,pdftotext-layout,minutes/2024-09-05_planning-commission-meeting.md,recovered,2024-09-05,2024.09.05 Planning Commission Meeting Minutes.pdf,35475,
2024-09-19,2024,"September 19, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-09-19_1178647.pdf,pmn,https://www.utah.gov/pmn/files/1178647.pdf,https://www.utah.gov/pmn/sitemap/notice/939851.html,983,1178647,2026-07-13,text,pdftotext-layout,minutes/2024-09-19_planning-commission-meeting.md,recovered,2024-09-19,2024.09.19 Planning Commission Meeting Minutes.pdf,4805,
2024-10-03,2024,"October 3, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-10-03_1200735.pdf,pmn,https://www.utah.gov/pmn/files/1200735.pdf,https://www.utah.gov/pmn/sitemap/notice/943123.html,983,1200735,2026-07-13,text,pdftotext-layout,minutes/2024-10-03_planning-commission-meeting.md,recovered,2024-10-03,2024.10.03 Planning Commission Meeting Minutes.pdf,27391,
2024-10-17,2024,"October 17, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-10-17_1205463.pdf,pmn,https://www.utah.gov/pmn/files/1205463.pdf,https://www.utah.gov/pmn/sitemap/notice/946259.html,983,1205463,2026-07-13,text,pdftotext-layout,minutes/2024-10-17_planning-commission-meeting.md,recovered,2024-10-17,2024.10.17 Planning Commission Meeting Minutes.pdf,35650,
2024-11-07,2024,"November 7, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-11-07_1207747.pdf,pmn,https://www.utah.gov/pmn/files/1207747.pdf,https://www.utah.gov/pmn/sitemap/notice/950691.html,983,1207747,2026-07-13,text,pdftotext-layout,minutes/2024-11-07_planning-commission-meeting.md,recovered,2024-11-07,2024.11.07 (Updated) Planning Commission Meeting Minutes.pdf,7478,
2024-11-21,2024,"November 21, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-11-21_1212619.pdf,pmn,https://www.utah.gov/pmn/files/1212619.pdf,https://www.utah.gov/pmn/sitemap/notice/954439.html,983,1212619,2026-07-13,text,pdftotext-layout,minutes/2024-11-21_planning-commission-meeting.md,recovered,2024-11-21,2024.11.21 Planning Commission Meeting Minutes.pdf,15403,
2024-12-05,2024,"December 5, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-12-05_1215571.pdf,pmn,https://www.utah.gov/pmn/files/1215571.pdf,https://www.utah.gov/pmn/sitemap/notice/957389.html,983,1215571,2026-07-13,text,pdftotext-layout,minutes/2024-12-05_planning-commission-meeting.md,recovered,2024-12-05,2024.12.05 Planning Commission Meeting Minutes.pdf,18972,
2024-12-19,2024,"December 19, 2024 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2024-12-19_1221411.pdf,pmn,https://www.utah.gov/pmn/files/1221411.pdf,https://www.utah.gov/pmn/sitemap/notice/961281.html,983,1221411,2026-07-13,text,pdftotext-layout,minutes/2024-12-19_planning-commission-meeting.md,recovered,2024-12-19,2024.12.19 Planning Commission Meeting Minutes.pdf,15664,
2025-01-02,2025,"January 2, 2025 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2025-01-02_1237175.pdf,pmn,https://www.utah.gov/pmn/files/1237175.pdf,https://www.utah.gov/pmn/sitemap/notice/963037.html,983,1237175,2026-07-13,text,pdftotext-layout,minutes/2025-01-02_planning-commission-meeting.md,recovered,2025-01-02,2025.01.02 Planning Commission Meeting Minutes.pdf,7862,
2025-01-16,2025,"January 16, 2025 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2025-01-16_1237179.pdf,pmn,https://www.utah.gov/pmn/files/1237179.pdf,https://www.utah.gov/pmn/sitemap/notice/966703.html,983,1237179,2026-07-13,text,pdftotext-layout,minutes/2025-01-16_planning-commission-meeting.md,recovered,2025-01-16,2025.01.16 Planning Commission Meeting Minutes.pdf,10346,
2025-02-20,2025,"February 20, 2025 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2025-02-20_1242809.pdf,pmn,https://www.utah.gov/pmn/files/1242809.pdf,https://www.utah.gov/pmn/sitemap/notice/974565.html,983,1242809,2026-07-13,text,pdftotext-layout,minutes/2025-02-20_planning-commission-meeting.md,recovered,2025-02-20,2025.02.20 Planning Commission Meeting Minutes.pdf,11085,
2025-03-06,2025,"March 6, 2025 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2025-03-06_1249001.pdf,pmn,https://www.utah.gov/pmn/files/1249001.pdf,https://www.utah.gov/pmn/sitemap/notice/978127.html,983,1249001,2026-07-13,text,pdftotext-layout,minutes/2025-03-06_planning-commission-meeting.md,recovered,2025-03-06,2025.03.06 Planning Commission Meeting Minutes.pdf,9824,
2025-03-20,2025,"March 20, 2025 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2025-03-20_1260661.pdf,pmn,https://www.utah.gov/pmn/files/1260661.pdf,https://www.utah.gov/pmn/sitemap/notice/980806.html,983,1260661,2026-07-13,text,pdftotext-layout,minutes/2025-03-20_planning-commission-meeting.md,recovered,2025-03-20,2025.03.20 Planning Commission Meeting Minutes.pdf,9712,
2025-05-01,2025,"May 1, 2025 Planning Commission Meeting Minutes",planning-commission-meeting,PlanningCommission,raw/pc_2025-05-01_1281753.pdf,pmn,https://www.utah.gov/pmn/files/1281753.pdf,https://www.utah.gov/pmn/sitemap/notice/1000521.html,983,1281753,2026-07-13,text,pdftotext-layout,minutes/2025-05-01_planning-commission-meeting.md,recovered,2025-05-01,2025.05.01 Planning Commission Meeting Minutes.pdf,19765,
