date,title,source_url,retrieved_date,format,extraction_method,candidate,candidate_key,matched_election_candidate,join_confidence,office_stated,office_scope,election_cycle,filing_grain,page_start,page_end,pages_total,channel,portal_label,path,text_path,document_id,sha256,bytes,read_method,needs_review,notes,election_year
2012-06-18,Jeffrey Harris — Weber County campaign financial report 2012 (Ogden City School Board),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jeffrey Harris,JEFFREY HARRIS,,none,Ogden City School Board,school_board,2012,filing-in-compilation,7,11,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p7,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-18,Jennifer Zundel — Weber County campaign financial report 2012 (Board Member (Ogden)),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jennifer Zundel,JENNIFER ZUNDEL,,none,Board Member (Ogden),unclear,2012,filing-in-compilation,12,15,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p12,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),1,,2012
2012-06-15,Layne Clarke — Weber County campaign financial report 2012 (School Board District 4),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Layne Clarke,LAYNE CLARKE,,none,School Board District 4,school_board,2012,filing-in-compilation,16,18,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p16,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-13,Shane B Story — Weber County campaign financial report 2012 (Ogden School Board District #5),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Shane B Story,SHANE STORY,,none,Ogden School Board District #5,school_board,2012,filing-in-compilation,19,21,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p19,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-18,Jim Hutchins — Weber County campaign financial report 2012 (Ogden City School Board),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jim Hutchins,JIM HUTCHINS,,none,Ogden City School Board,school_board,2012,filing-in-compilation,22,24,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p22,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-19,Clark Hogan — Weber County campaign financial report 2012 (Ogden School Board District 5),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Clark Hogan,CLARK HOGAN,,none,Ogden School Board District 5,school_board,2012,filing-in-compilation,25,27,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p25,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-13,J. Scott Handy — Weber County campaign financial report 2012 (Ogden School Board Precinct #5),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),J. Scott Handy,J HANDY,,none,Ogden School Board Precinct #5,school_board,2012,filing-in-compilation,28,30,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p28,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-13,Jon S. Ritchie — Weber County campaign financial report 2012 (Weber School District #7),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jon S. Ritchie,JON RITCHIE,,none,Weber School District #7,school_board,2012,filing-in-compilation,31,33,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p31,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-11,Douglas R. Hurst — Weber County campaign financial report 2012 (Weber School Board Precinct #5),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Douglas R. Hurst,DOUGLAS HURST,,none,Weber School Board Precinct #5,school_board,2012,filing-in-compilation,34,36,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p34,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-12,Richard H. Favero — Weber County campaign financial report 2012 (Weber School Board),https://www.weberelections.gov/_files/ugd/7e3a53_770058fb028a412c86480caecd4959ec.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Richard H. Favero,RICHARD FAVERO,,none,Weber School Board,school_board,2012,filing-in-compilation,37,39,39,weberelections.gov consolidated cycle archive,weberelections.gov consolidated 2012 Reports archive,raw/archives/2012_combined_7e3a53_770058fb.pdf,text/archives__2012_combined_7e3a53_770058fb.txt,2012_combined_7e3a53_770058fb#p37,6664ccdbecce992b366669fd0017e95628736c50871d8fb83f3ea8f77d89b017,1728557,vision (rendered cover page),0,,2012
2012-06-19,Allen D Smith — Weber County campaign financial report 2012 (School Board District 1),https://municipal.utah.gov/weber%5C2012%20Primary%5CAllen%20D%20Smith%206-19-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Allen D Smith,ALLEN SMITH,,none,School Board District 1,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Allen D Smith 6-19-12 Primary.pdf,raw/state/st2012pri_Allen_D_Smith_6-19-12_Primary.pdf,text/state__st2012pri_Allen_D_Smith_6-19-12_Primary.txt,st2012pri_Allen_D_Smith_6-19-12_Primary,0055727cf1d6b699dd8fe1cc339d32a507a42684ff90dc4386135391b4f2d278,416060,ocr,0,,2012
2012-06-19,Clark Hogan — Weber County campaign financial report 2012 (Ogden School Board District 5),https://municipal.utah.gov/weber%5C2012%20Primary%5CClark%20Hogan%206-19-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Clark Hogan,CLARK HOGAN,,none,Ogden School Board District 5,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Clark Hogan 6-19-12 Primary.pdf,raw/state/st2012pri_Clark_Hogan_6-19-12_Primary.pdf,text/state__st2012pri_Clark_Hogan_6-19-12_Primary.txt,st2012pri_Clark_Hogan_6-19-12_Primary,2cc6096cdd3646a1aa012f77e0e684e79486413232ca482a78694f08ea89b772,553536,ocr,0,,2012
2012-06-18,David Tanner — Weber County campaign financial report 2012 (School Board Precinct 1),https://municipal.utah.gov/weber%5C2012%20Primary%5CDavid%20Tanner%206-18-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),David Tanner,DAVID TANNER,,none,School Board Precinct 1,school_board,2012,filing,1,4,4,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: David Tanner 6-18-12 Primary.pdf,raw/state/st2012pri_David_Tanner_6-18-12_Primary.pdf,text/state__st2012pri_David_Tanner_6-18-12_Primary.txt,st2012pri_David_Tanner_6-18-12_Primary,4cbf30cc4143510c32964e1cc944ae9d9c2a79beb6bce190f9741b30f6ed42ba,504765,ocr,0,,2012
2012-06-18,Don E. Belnap — Weber County campaign financial report 2012 (Ogden School Board),https://municipal.utah.gov/weber%5C2012%20Primary%5CDon%20E.%20Belnay%206-18-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Don E. Belnap,DON BELNAP,,none,Ogden School Board,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Don E. Belnay 6-18-12 Primary.pdf,raw/state/st2012pri_Don_E._Belnay_6-18-12_Primary.pdf,text/state__st2012pri_Don_E._Belnay_6-18-12_Primary.txt,st2012pri_Don_E._Belnay_6-18-12_Primary,9c64536710fdd495389b171bc3ac4f34ed400722fe2cc427e6ff45689691267e,567816,ocr,0,,2012
2012-06-11,Douglas R. Hurst — Weber County campaign financial report 2012 (Weber School Board),https://municipal.utah.gov/weber%5C2012%20Primary%5CDouglas%20R.%20Hurst%206-11-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Douglas R. Hurst,DOUGLAS HURST,,none,Weber School Board,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Douglas R. Hurst 6-11-12 Primary.pdf,raw/state/st2012pri_Douglas_R._Hurst_6-11-12_Primary.pdf,text/state__st2012pri_Douglas_R._Hurst_6-11-12_Primary.txt,st2012pri_Douglas_R._Hurst_6-11-12_Primary,04f61e8f869a762f301f85c396b51763f8611359622446c8fdc962ac2f8b1152,366076,ocr,0,,2012
2012-06-13,J. Scott Handy — Weber County campaign financial report 2012 (Ogden School Board Precinct #5),https://municipal.utah.gov/weber%5C2012%20Primary%5CJ.%20Scott%20Handy%206-13-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),J. Scott Handy,J HANDY,,none,Ogden School Board Precinct #5,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: J. Scott Handy 6-13-12 Primary.pdf,raw/state/st2012pri_J._Scott_Handy_6-13-12_Primary.pdf,text/state__st2012pri_J._Scott_Handy_6-13-12_Primary.txt,st2012pri_J._Scott_Handy_6-13-12_Primary,c5674703e7e629600baa1286ad3f769f2bdaf7b5489a6881399f353a94bf5bc8,555422,ocr,0,,2012
2012-06-18,Jeffrey Harris — Weber County campaign financial report 2012 (Ogden City School Board),https://municipal.utah.gov/weber%5C2012%20Primary%5CJeffrey%20Harris%206-18-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jeffrey Harris,JEFFREY HARRIS,,none,Ogden City School Board,school_board,2012,filing,1,1,1,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Jeffrey Harris 6-18-12 Primary.pdf,raw/state/st2012pri_Jeffrey_Harris_6-18-12_Primary.pdf,text/state__st2012pri_Jeffrey_Harris_6-18-12_Primary.txt,st2012pri_Jeffrey_Harris_6-18-12_Primary,3b7a349530636c346adec0bfd42018e7bf7c7716146a40e048130c094776a3d7,164470,ocr,0,,2012
2012-06-19,Jeffrey Heiner — Weber County campaign financial report 2012 (Ogden School Board District 4),https://municipal.utah.gov/weber%5C2012%20Primary%5CJeffrey%20Heiner%206-19-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jeffrey Heiner,JEFFREY HEINER,,none,Ogden School Board District 4,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Jeffrey Heiner 6-19-12 Primary.pdf,raw/state/st2012pri_Jeffrey_Heiner_6-19-12_Primary.pdf,text/state__st2012pri_Jeffrey_Heiner_6-19-12_Primary.txt,st2012pri_Jeffrey_Heiner_6-19-12_Primary,1eeee268f5542890972bced25ef776438539898ebbb95c5e0940d8541ca0830f,466287,ocr,0,,2012
2012-06-18,Jennifer Zundel — Weber County campaign financial report 2012 (School Board (Ogden)),https://municipal.utah.gov/weber%5C2012%20Primary%5CJennifer%20Zundel%206-18-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jennifer Zundel,JENNIFER ZUNDEL,,none,School Board (Ogden),school_board,2012,filing,1,1,1,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Jennifer Zundel 6-18-12 Primary.pdf,raw/state/st2012pri_Jennifer_Zundel_6-18-12_Primary.pdf,text/state__st2012pri_Jennifer_Zundel_6-18-12_Primary.txt,st2012pri_Jennifer_Zundel_6-18-12_Primary,45c28a4b222615cf9f730418621bf72900fdb487666ad9bd47c1b4201a1ad231,194966,ocr,0,,2012
2012-06-18,Jim Hutchins — Weber County campaign financial report 2012 (Ogden City School Board),https://municipal.utah.gov/weber%5C2012%20Primary%5CJim%20Hutchins%206-18-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jim Hutchins,JIM HUTCHINS,,none,Ogden City School Board,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Jim Hutchins 6-18-12 Primary.pdf,raw/state/st2012pri_Jim_Hutchins_6-18-12_Primary.pdf,text/state__st2012pri_Jim_Hutchins_6-18-12_Primary.txt,st2012pri_Jim_Hutchins_6-18-12_Primary,8fd87dce857a0f4c23e97c81213238cb6eac1a8a43c3baefdd17189e19f44987,402392,ocr,0,,2012
2012-06-13,Jon S. Ritchie — Weber County campaign financial report 2012 (Weber School District),https://municipal.utah.gov/weber%5C2012%20Primary%5CJon%20S.%20Ritchie%206-13-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Jon S. Ritchie,JON RITCHIE,,none,Weber School District,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Jon S. Ritchie 6-13-12 Primary.pdf,raw/state/st2012pri_Jon_S._Ritchie_6-13-12_Primary.pdf,text/state__st2012pri_Jon_S._Ritchie_6-13-12_Primary.txt,st2012pri_Jon_S._Ritchie_6-13-12_Primary,246ebaef12d23bdecb92db5226a19c5d99456409cf8daf7672debb6c4fee3929,429857,ocr,0,,2012
2012-06-15,Layne Clarke — Weber County campaign financial report 2012 (School Board Precinct),https://municipal.utah.gov/weber%5C2012%20Primary%5CLayne%20Clarke%206-15-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Layne Clarke,LAYNE CLARKE,,none,School Board Precinct,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Layne Clarke 6-15-12 Primary.pdf,raw/state/st2012pri_Layne_Clarke_6-15-12_Primary.pdf,text/state__st2012pri_Layne_Clarke_6-15-12_Primary.txt,st2012pri_Layne_Clarke_6-15-12_Primary,3db987d2ca8e7385b007912b7d98a0d601a83a7cec5cd1bd46298123c26161dd,455222,ocr,0,,2012
2012-06-12,Richard H. Favero — Weber County campaign financial report 2012 (Weber School Board),https://municipal.utah.gov/weber%5C2012%20Primary%5CRichard%20H.%20Favero%206-12-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Richard H. Favero,RICHARD FAVERO,,none,Weber School Board,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Richard H. Favero 6-12-12 Primary.pdf,raw/state/st2012pri_Richard_H._Favero_6-12-12_Primary.pdf,text/state__st2012pri_Richard_H._Favero_6-12-12_Primary.txt,st2012pri_Richard_H._Favero_6-12-12_Primary,a25a3237c44977642d9a9348d7f3a2774aa59d6cf0972c5eada96b7c71ce19b2,463776,ocr,0,,2012
2012-06-13,Shane B Story — Weber County campaign financial report 2012 (Ogden School Board District #5),https://municipal.utah.gov/weber%5C2012%20Primary%5CShane%20B%20Story%206-13-12%20primary.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Shane B Story,SHANE STORY,,none,Ogden School Board District #5,school_board,2012,filing,1,3,3,disclosures.utah.gov / municipal.utah.gov (Lt. Governor municipal tree),disclosures.utah.gov /Municipal/weber_2012 Primary — portal label: Shane B Story 6-13-12 Primary.pdf,raw/state/st2012pri_Shane_B_Story_6-13-12_Primary.pdf,text/state__st2012pri_Shane_B_Story_6-13-12_Primary.txt,st2012pri_Shane_B_Story_6-13-12_Primary,8cc1c408b2c6e9adb752d8c4d8e120fd4389b55c87f7d781cced174fbf732ec3,446401,ocr,0,,2012
2012-10-30,Corey Combe — Weber County campaign financial report 2012 (Commissioner),https://web.archive.org/web/20160824082859id_/http://www.weberelections.com:80/documents/CCombeCampaign.pdf,2026-08-01,scanned,tesseract --psm 6 (pdftoppm 300dpi gray),Corey Combe,COREY COMBE,"COMBE, COREY DEM",exact,Commissioner,county,2012,filing,1,6,6,weberelections.com (predecessor host) via Internet Archive,2012 | County Commissioner C | Corey Combe | portal-listed,raw/wayback/wb20160824082859_CCombeCampaign.pdf,text/wayback__wb20160824082859_CCombeCampaign.txt,wb20160824082859_CCombeCampaign,08ce2411b8bdcd8120951ea6f33bea9991917f5367f667d13124afe764da1324,274299,vision (rendered page 1),0,,2012
