path,page_start,page_end,candidate_stated,office_stated,filing_date_stated,office_scope,read_method,notes
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,14,21,James H. Harvey,Weber County Commissioner,2016-10-31,county,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,22,24,Douglas Richey Hurst,Weber School Board - Precinct 5,2016-12-12,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,25,27,Susan Louise Kerruish Richards,Ogden City School Board,2016-12-30,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,28,29,Jon Steven Ritchie,Weber School District Board #7,2016-12-07,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,30,32,Paul William Rivers,Ogden School Board,2016-10-30,school_board,vision (rendered cover page),
raw/archives/2016_combined_7e3a53_2e3f405d.pdf,33,35,Jennifer Ruby Zundel,Ogden School Board member,2017-01-03,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,2,2,Ryan Arbon,Sheriff,2018-11-30,county,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,3,3,Douglas Brian Barker,Ogden School Board,2018-11-30,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,4,6,Janalee Burrell,Weber School Board Member - District 2,2018-10-29,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,7,7,Janis H. Christensen,Weber School District Board Member,2019-01-04,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,8,13,Gage Froerer,County Commission Seat A,2019-01-06,county,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,14,19,Marcia Ruth Geilmann,Weber County School Board District 2,2018-12-01,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,20,23,Ricky D. Hatch,Clerk/Auditor,2019-01-04,county,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,24,26,Scott K Jenkins,County Commissioner Seat B,2018-12-30,county,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,27,29,Dean LeRoy Oborn,Weber County School Board,2018-12-31,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,30,32,Stacy Palen,Weber County School Board 4,2018-12-05,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,33,35,David L. Smith,Ogden School Board #2,2018-12-13,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,36,37,Paul J. Widdison,Weber School Board Precinct 4,2018-12-31,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,38,38,Sunni Brown Wilkinson,School Board Member,2018-12-27,school_board,vision (rendered cover page),
raw/archives/2018_combined_7e3a53_1c487f91.pdf,39,39,Joyce J. Wilson,Ogden City School Board,2018-12-06,school_board,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,1,2,Sue Ann K. Burton,Ogden School Board District 5,2020-12-30,school_board,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,3,5,Don Eric Belnap,Ogden City School Board District #1,2020-12-30,school_board,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,6,10,Douglas Rickey Hurst,Weber School District Precinct 5,2021-01-04,school_board,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,11,13,Jennifer Zundel,School Board Member,2020-12-19,school_board,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,14,17,James Harrison Harvey,Commission Seat C,2021-01-05,county,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,18,18,John B. Bond,Weber County Treasurer,2020-12-10,county,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,19,21,John E. Ulibarri,Assessor,2020-12-10,county,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,22,24,Jon Steven Ritchie,Weber School District - Board of Education #7,2021-01-05,school_board,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,25,28,Leann H. Kilts,Weber County Recorder/Surveyor,2020-12-18,county,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,29,36,Nancy Blair,School Board,2020-12-30,school_board,vision (rendered cover page),
raw/archives/2020_combined_7e3a53_f03540b9.pdf,37,37,Susan L. Richards,Board Member,2021-01-07,unclear,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,1,2,Douglas B. Barker,Ogden School Board Dist. 2,2022-10-15,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,3,3,Bruce D. Jardine,Weber County School Board member,2022-10-25,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,4,6,Ricky D. Hatch - Committee to Elect Ricky Hatch,County Clerk/Auditor,2022-10-27,county,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,7,7,Chris Allred,Weber County Attorney,2022-10-26,county,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,8,10,Ryan Arbon,Sheriff,2022-10-24,county,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,11,13,Janalee Burrell,Weber School Board,2022-10-26,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,14,16,Joyce Wilson,"Ogden Board of Ed., District 7",2022-10-24,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,17,19,Janis Christensen,Weber School Board District 6,2022-10-28,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,20,29,Stacy Joy Bernal,"Ogden School Board, District Two",2022-10-31,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,30,33,John Holloway Thompson,HOME OFFICE,2022-10-31,unclear,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,34,36,Sharon Arrington Bolos,Weber County Commission Seat B,2022-10-31,county,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,37,39,Gage Froerer,WC Commission Seat A,2022-11-01,county,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,40,42,Gage Froerer,Weber County Commission Seat A,2022-06-21,county,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,43,46,Heidi Harris Gross,Weber School Board #6,2022-10-31,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,47,49,Jeremy Shinoda,Ogden School Board,2022-11-01,school_board,vision (rendered cover page),
raw/archives/2022_combined_7e3a53_78d55edd.pdf,50,52,Brian Keith Rowley,County Commissioner Seat B,2022-11-01,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,1,3,"James H. ""Jim"" Harvey",Weber County Commissioner - Seat C,2024-04-08,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,4,7,Lynelle Jensen,Weber County Treasurer,2024-04-05,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,8,10,Bahram Rahimzadegan,Weber County Recorder Surveyors Office,2024-04-07,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,11,11,Brian Rowley,County Commission Seat C,2024-03-15,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,12,14,John Ulibarri,Assessor,2024-04-07,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,15,18,Steven Van Wagoner,"County Commission, Seat C",2024-04-08,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,19,21,Bahram Rahimzadegan,Weber County Recorder Surveyors Office,2024-10-07,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,22,27,Arlene Anderson,Ogden School Board of Education District 1,2024-10-03,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,28,30,Douglas Richey Hurst,Weber School District,2024-10-07,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,31,33,Eric Hall,Ogden School Board District 5,2024-10-08,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,34,36,Jennifer Genta,Ogden City School Board,2024-10-02,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,37,39,Jennifer Ruby Zundel,Ogden School Board Member,2024-10-08,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,40,42,"James H. ""Jim"" Harvey",Weber County Commission - Seat C,2024-10-04,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,43,46,John D Peterson,"Ogden School Board, District 5",,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,47,49,John Ulibarri,Assessor,2024-10-02,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,50,52,Lynelle Jensen,Weber County Treasurer,2024-10-04,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,53,55,Paul J. Widdison,Weber School Board,2024-10-08,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,56,58,Stefanie Cragun,Ogden School Board District 3,2024-10-04,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,59,66,Steven Van Wagoner,"County Commission, Seat C",2024-10-08,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,67,69,Wyle Williams,Weber County School Board,2024-10-08,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,70,72,Arlene Anderson,Ogden School Board of Education District 1,2024-10-03,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,73,75,Arlene Anderson,Ogden School Board District 1,2024-10-29,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,76,78,Bahram Rahimzadegan,Recorder/Surveyor,2024-10-29,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,79,81,Brian Keith Rowley,County Commission Seat C,2024-10-29,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,82,82,Douglas Richey Hurst,Weber School District - Precinct #5,2024-10-28,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,83,86,Eric Hall,Ogden School Board District 5,2024-10-25,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,87,89,Jennifer Genta,,2024-10-24,unclear,vision (rendered cover page),office field left blank / not stated on the form
raw/archives/2024_combined_92078f_26b6bacd.pdf,90,90,Jennifer Zundel,School Board Member,2024-10-29,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,91,93,"James H. ""Jim"" Harvey",Weber County Commission - Seat C,2024-10-28,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,94,97,John D Peterson,"Ogden School Board, District 5",2024-10-27,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,98,101,John Ulibarri,Assessor,2024-10-25,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,102,104,Lynelle Jensen,Weber County Treasurer,2024-10-04,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,105,107,Paul J. Widdison,Weber School Board,2024-10-29,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,108,110,Stefanie Cragun,Ogden School Board District 3,,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,111,114,Steven Van Wagoner,"County Commission, Seat C",2024-10-29,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,115,118,Wyle Williams,Weber County School Board,2024-10-23,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,119,121,Arlene Anderson,Ogden School Board of Education District 1,2024-12-02,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,122,124,Bahram Rahimzadegan,Recorder/Surveyor,2024-12-03,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,125,127,Brian Rowley,County Commission Seat C,2024-12-05,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,128,134,Douglas Richey Hurst,Weber School District Precinct 5,2024-12-04,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,135,137,Jennifer Genta,Ogden School Board,2024-12-03,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,138,140,Jennifer Ruby Zundel,Ogden School Board Member,2024-12-05,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,141,143,"James H. ""Jim"" Harvey",Weber County Commission - Seat C,2024-12-04,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,144,146,John D Peterson,Ogden School Board District 5,2024-12-04,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,147,149,John Ulibarri,Assessor,2024-12-04,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,150,152,Lynelle Jensen,Weber County Treasurer,2024-12-05,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,153,157,Paul J. Widdison,Weber School Board,2024-12-04,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,158,160,Stefanie Cragun,Ogden School Board District 3,2024-12-27,school_board,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,161,164,Steven Van Wagoner,"County Commission, Seat C",2024-12-05,county,vision (rendered cover page),
raw/archives/2024_combined_92078f_26b6bacd.pdf,165,167,Wyle Williams,Weber County School Board,2024-12-03,school_board,vision (rendered cover page),
raw/wayback/wb20151203045241_Gibson_financials.pdf,1,3,Kerry Wayne Gibson,County Commission Seat B,2014-10-28,county,ocr,
raw/wayback/wb20160824031236_JUlibarri_1.5.15.pdf,1,3,John E. Ulibarri II,Assessor,2014-12-29,county,ocr,
raw/wayback/wb20160824031246_Thompson_financials.pdf,1,3,Terry Thompson,County Sheriff,2014-10-28,county,ocr,
raw/wayback/wb20160824031350_Allred_financials.pdf,1,3,Chris Allred,Weber County Attorneys Office,2014-10-27,county,ocr,
raw/wayback/wb20160824031446_NHansen_1.5.15.pdf,1,3,Neil Hansen,Clerk/Auditor,2015-01-05,county,ocr,
raw/wayback/wb20160824031502_16June_Harvey_Commission.pdf,1,6,James H. Harvey,Weber County Commissioner,2016-06-20,county,ocr,
raw/wayback/wb20160824031533_Kilts_financials.pdf,1,3,Leann Kilts,Weber County Recorder/Surveyor,2014-10-27,county,ocr,
raw/wayback/wb20160824031600_Ernest_Rowley_June_Financial.pdf,1,6,Ernest Dee Rowley,Recorder / Surveyor,2014-06-16,county,ocr,
raw/wayback/wb20160824031922_TThompson_1.5.15.pdf,1,3,Terry L. Thompson,Sheriff,2015-01-05,county,ocr,
raw/wayback/wb20160824033528_Bond_financial.pdf,1,3,John B. Bond,Weber County Treasurer,2014-10-24,county,ocr,
raw/wayback/wb20160824033548_JErickson_1.5.15.pdf,1,3,Jared B. Erickson,Weber County Treasurer,2014-11-07,county,ocr,
raw/wayback/wb20160824033824_Leann_Kilts_June_Financials.pdf,1,3,Leann Kilts,Weber County Recorder/Surveyor,2014-06-17,county,ocr,
raw/wayback/wb20160824033834_RHatch1.5.2015.pdf,1,3,Ricky D. Hatch,Clerk/Auditor,2015-01-05,county,ocr,
raw/wayback/wb20160824043243_16June_Gochnour_Commission.pdf,1,11,Caitlin K. Gochnour,Weber County Commissioner Seat C,2016-06-16,county,ocr,
raw/wayback/wb20160824043247_Hansen_financials.pdf,1,3,Neil Hansen,Clerk/Auditor,2014-10-27,county,vision (rendered page 1),
raw/wayback/wb20160824043328_Ulibarri_financials.pdf,1,3,John E. Ulibarri II,Assessor,2014-10-27,county,vision (rendered page 1),
raw/wayback/wb20160824045455_16July_Gochnour_Commission.pdf,1,3,Caitlin K. Gochnour,Weber County Commissioner Seat C,2016-07-15,county,ocr,
raw/wayback/wb20160824045511_JBond_1.5.15.pdf,1,3,John B. Bond,Weber County Treasurer,2014-12-31,county,ocr,
raw/wayback/wb20160824045524_July_Post-Primary_report.pdf,1,6,Ernest Dee Rowley,Recorder / Surveyor,2014-07-25,county,ocr,
raw/wayback/wb20160824045532_LKilts_1.5.15.pdf,1,1,Leann Kilts,Weber County Recorder/Surveyor,2014-12-31,county,ocr,
raw/wayback/wb20160824045615_JEbert_1.5.15.pdf,1,2,James Ebert,Commission Seat A,2014-12-30,county,ocr,
raw/wayback/wb20160824055025_CAllred_1.5.15.pdf,1,3,Chris Allred,Weber County Attorneys Office,2015-01-05,county,ocr,
raw/wayback/wb20160824055040_Ebert_financials.pdf,1,3,James Ebert,Commission Seat A,2014-10-24,county,ocr,
raw/wayback/wb20160824082859_CCombeCampaign.pdf,1,6,Corey Combe,Commissioner,2012-10-30,county,vision (rendered page 1),
raw/wayback/wb20160824082904_Erickson_Financials.pdf,1,3,Jared B. Erickson,Weber County Treasurer,2014-10-27,county,ocr,
raw/wayback/wb20160824082910_Hatch_financials.pdf,1,3,Ricky D. Hatch,Clerk/Auditor,2014-10-28,county,ocr,
raw/wayback/wb20160910181514_MBellCampaign2.pdf,1,3,Matthew Bell,Commission,2013-01-10,county,ocr,
raw/wayback/wb20161019231334_MBellCampaign.pdf,1,6,Matthew Bell,Commission,2012-10-30,county,ocr,
raw/wayback/wb20161020003411_KGibson_1.5.15.pdf,1,3,Kerry W. Gibson,County Commissioner Seat B,2015-01-05,county,ocr,
raw/wayback/wb20190828041319_harvey_commission.pdf,1,8,James H. Harvey,Weber County Commissioner,2016-10-31,county,ocr,
raw/state/st2010_Brad_Smith_8-26-10.pdf,1,3,Brad C Smith,Ogden City School Board,2010-08-26,school_board,vision (rendered page 1),
raw/state/st2010_Cheryl_Ferrin_08312010.pdf,1,3,Cheryl Ferrin,School Board,2010-08-31,school_board,vision (rendered page 1),
raw/state/st2010_Dean_Oborn_08312010.pdf,1,3,Dean L. Oborn,Weber County School Board,2010-08-17,school_board,vision (rendered page 1),
raw/state/st2010_Jh_Thompson_8-10-2010.pdf,1,3,J H Thompson,Ogden School Board,2010-08-10,school_board,vision (rendered page 1),
raw/state/st2010_Sharilyn_Gerber_08312010.pdf,1,3,Sharilyn Gerber,Weber School Board,2010-08-24,school_board,vision (rendered page 1),
raw/state/st2010_Stan_Bassett_8-25-10.pdf,1,3,Stan Bassett,Weber School Board,2010-08-25,school_board,vision (rendered page 1),
raw/state/st2010_Steven_Prisbreg_6-8-10.pdf,1,3,Steven Prisbrey,Ogden School Board,2010-06-15,school_board,vision (rendered page 1),
raw/state/st2012pri_Allen_D_Smith_6-19-12_Primary.pdf,1,3,Allen D Smith,School Board District 1,2012-06-19,school_board,ocr,
raw/state/st2012pri_Clark_Hogan_6-19-12_Primary.pdf,1,3,Clark Hogan,Ogden School Board District 5,2012-06-19,school_board,ocr,
raw/state/st2012pri_David_Tanner_6-18-12_Primary.pdf,1,4,David Tanner,School Board Precinct 1,2012-06-18,school_board,ocr,
raw/state/st2012pri_Don_E._Belnay_6-18-12_Primary.pdf,1,3,Don E. Belnap,Ogden School Board,2012-06-18,school_board,ocr,
raw/state/st2012pri_Douglas_R._Hurst_6-11-12_Primary.pdf,1,3,Douglas R. Hurst,Weber School Board,2012-06-11,school_board,ocr,
raw/state/st2012pri_J._Scott_Handy_6-13-12_Primary.pdf,1,3,J. Scott Handy,Ogden School Board Precinct #5,2012-06-13,school_board,ocr,
raw/state/st2012pri_Jeffrey_Harris_6-18-12_Primary.pdf,1,1,Jeffrey Harris,Ogden City School Board,2012-06-18,school_board,ocr,
raw/state/st2012pri_Jeffrey_Heiner_6-19-12_Primary.pdf,1,3,Jeffrey Heiner,Ogden School Board District 4,2012-06-19,school_board,ocr,
raw/state/st2012pri_Jennifer_Zundel_6-18-12_Primary.pdf,1,1,Jennifer Zundel,School Board (Ogden),2012-06-18,school_board,ocr,
raw/state/st2012pri_Jim_Hutchins_6-18-12_Primary.pdf,1,3,Jim Hutchins,Ogden City School Board,2012-06-18,school_board,ocr,
raw/state/st2012pri_Jon_S._Ritchie_6-13-12_Primary.pdf,1,3,Jon S. Ritchie,Weber School District,2012-06-13,school_board,ocr,
raw/state/st2012pri_Layne_Clarke_6-15-12_Primary.pdf,1,3,Layne Clarke,School Board Precinct,2012-06-15,school_board,ocr,
raw/state/st2012pri_Richard_H._Favero_6-12-12_Primary.pdf,1,3,Richard H. Favero,Weber School Board,2012-06-12,school_board,ocr,
raw/state/st2012pri_Shane_B_Story_6-13-12_Primary.pdf,1,3,Shane B Story,Ogden School Board District #5,2012-06-13,school_board,ocr,
raw/y2026/2026_ugd_7e3a53_253b9fd2.pdf,1,3,James Ebert,Commission Seat A,,county,vision (rendered page 1),
raw/y2026/2026_ugd_7e3a53_300692b1.pdf,1,6,Sharon Arrington Bolos,County Commission - Seat B,,county,ocr,
raw/y2026/2026_ugd_7e3a53_3037c6f1.pdf,1,3,Katrina C. Gibson,Weber County Commission Seat A,,county,ocr,
raw/y2026/2026_ugd_7e3a53_3751da9b.pdf,1,3,Richard A. Hyer,Weber County Commissioner seat a,,county,ocr,
raw/y2026/2026_ugd_7e3a53_4667baf3.pdf,1,3,Jon D. Beesley,Campaign for Jon Beesley,,unclear,ocr,"the ""Name of Office"" line names the CAMPAIGN, not an office; the county candidate/office table lists Beesley under Commission Seat B (portal label, not carried into office_stated)"
raw/y2026/2026_ugd_7e3a53_b032cea9.pdf,1,3,Duane D. Kearsley,Weber Co. Commission Seat A,,county,vision (rendered page 1),
raw/y2026/2026_ugd_92078f_163de27d.pdf,1,7,Michelle Tait,County Commisioner Seat A,2026-04-02,county,ocr (born-digital),"office stated with the filer's own spelling ""Commisioner"" (one s) — kept verbatim"
raw/y2026/2026_ugd_92078f_26dc5c7e.pdf,1,4,Sharon Arrington Bolos,,,county,vision (rendered page 1),office not read from the form; candidate appears ONLY under a county office in the portal candidate/office table (batch/portal_manifest.json)
raw/y2026/2026_ugd_92078f_39510beb.pdf,1,2,Ryan Arbon,Sheriff,2026-04-01,county,ocr (born-digital),
raw/y2026/2026_ugd_92078f_43ba38c9.pdf,1,3,Richard Hyer,,,county,vision (rendered page 1),office not read from the form; candidate appears ONLY under a county office in the portal candidate/office table (batch/portal_manifest.json)
raw/y2026/2026_ugd_92078f_443f5c0e.pdf,1,3,Chris Allred,Weber County Attorneys Office,2026-04-02,county,ocr (born-digital),
raw/y2026/2026_ugd_92078f_4df9df3b.pdf,1,3,Richard A. Hyer,Weber County Commissioner seat a,,county,ocr,
raw/y2026/2026_ugd_92078f_514dc4bb.pdf,1,3,Jared Preisler,Weber County Assessor,,county,ocr,
raw/y2026/2026_ugd_92078f_6280fe33.pdf,1,3,Katrina C. Gibson,Weber County Commission Seat A,,county,ocr,
raw/y2026/2026_ugd_92078f_741f163c.pdf,1,3,James Ebert,Commission - Seat A,,county,ocr,
raw/y2026/2026_ugd_92078f_863a82a7.pdf,1,5,Gary C New,County Commissioner,2026-03-20,county,ocr (born-digital),
raw/y2026/2026_ugd_92078f_916755f7.pdf,1,5,Jon Beesley,Weber county commissioners seat b,2026-04-03,county,ocr (born-digital),
raw/y2026/2026_ugd_92078f_995d4b3b.pdf,1,3,Richard A. Hyer,Weber County Commisioner Seat A,,county,ocr,"office stated with the filer's own spelling ""Commisioner"" (one s) — kept verbatim"
raw/y2026/2026_ugd_92078f_9e369872.pdf,1,4,Michael Nyron Thomas,County Commissioner Seat B,,county,ocr,
raw/y2026/2026_ugd_92078f_a7965ee7.pdf,1,4,Sharon Arrington Bolos,,,county,vision (rendered page 1),office not read from the form; candidate appears ONLY under a county office in the portal candidate/office table (batch/portal_manifest.json)
raw/y2026/2026_ugd_92078f_b0a9dedf.pdf,1,3,Jon D Beesley,Campaign for Jon Beesley,,unclear,ocr,"the ""Name of Office"" line names the CAMPAIGN, not an office; the county candidate/office table lists Beesley under Commission Seat B (portal label, not carried into office_stated)"
raw/y2026/2026_ugd_92078f_c0e75e41.pdf,1,5,Katrina C. Gibson,Weber County Commission Seat A,,county,ocr,
raw/y2026/2026_ugd_92078f_d61dc956.pdf,1,4,Alvin Thurgood,Weber County Commission Seat A,,county,vision (rendered page 1),
raw/y2026/2026_ugd_92078f_d8532285.pdf,1,3,Katrina C. Gibson,Weber County Commission Seat A,,county,ocr,
raw/y2026/2026_ugd_92078f_e3986a38.pdf,1,3,Duane D. Kearsley,Weber Co. Commission Seat A,,county,ocr,
raw/y2026/2026_ugd_92078f_eae67827.pdf,1,3,Duane D. Kearsley,Weber Co. Commission Seat A,,county,vision (rendered page 1),
