election_cycle,candidate,office_listed,date_filed_listed,original_url,listed_on,status,also_in_archive_pdf
2018,James J. Couts,County Commissioner A,2018-07-26,http://www.weberelections.com/documents/reports/Couts_July2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,John Holloway Thompson,County Clerk/Auditor,2018-10-29,http://www.weberelections.com/documents/reports/thompson_oct2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,John Holloway Thompson,County Clerk/Auditor,2019-01-07,http://www.weberelections.com/documents/reports/thompson_final.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,Kevin Burns,County Sheriff,2018-06-18,http://www.weberelections.com/documents/reports/burns_June18.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,Kevin Burns,County Sheriff,2018-07-25,http://www.weberelections.com/documents/reports/burns_july2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,Neil Hansen,County Commissioner Seat B,2018-10-29,http://www.weberelections.com/documents/reports/hansen_oct2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,Neil Hansen,County Commissioner Seat B,2019-01-07,http://www.weberelections.com/documents/reports/hansen_final.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2018,Ricky D. Hatch,County Clerk/Auditor,2018-10-25,http://www.weberelections.com/documents/reports/hatch_oct2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Ricky D. Hatch,County Clerk/Auditor,2019-01-07,http://www.weberelections.com/documents/reports/hatch.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Ryan Arbon,County Sheriff,2018-06-18,http://www.weberelections.com/documents/reports/arbon_final.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Ryan Arbon,County Sheriff,2018-06-18,http://www.weberelections.com/documents/reports/arbon_June18.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Ryan Arbon,County Sheriff,2018-10-28,http://www.weberelections.com/documents/reports/arbon_oct2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Scott K Jenkins,County Commissioner Seat B,2018-10-30,http://www.weberelections.com/documents/reports/jenkins_oct2018.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20181212164241 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2018,Scott K Jenkins,County Commissioner Seat B,2019-01-07,http://www.weberelections.com/documents/reports/jenkins_final.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2020,Alex McDonald,County Commission,2020-10-27,https://www.weberelections.com/documents/reports/Alex McDonald Commission Oct 2020 Financials.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20210624094316 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2020,James Couts,Recorder,2020-06-23,http://www.weberelections.com/documents/reports/James Couts Recorder June Financial Report.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2020,James Couts,Record,2020-07-30,http://www.weberelections.com/documents/reports/James Couts Recorder July Financial Report.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
2020,James Harvey,County Commission,2020-10-27,https://www.weberelections.com/documents/reports/Jim Harvey Commission Oct 2020 Financials.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20210624094316 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2020,John Bond,County Treasurer,2020-10-27,https://www.weberelections.com/documents/reports/John Bond Treasurer Oct 2020 Financials.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20210624094316 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2020,John Ulibarri,County Assessor,2020-10-27,https://www.weberelections.com/documents/reports/John Ulibarri Assessor Oct 2020 Financials.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20210624094316 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2020,LeAnn Kilts,County Recorder,2020-10-27,https://www.weberelections.com/documents/reports/LeAnn Kilts Recorder Oct 2020 Financials.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20210624094316 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2020,Leann Kilts,Recorder,2020-06-16,http://www.weberelections.com/documents/reports/Leann Kilts Recorder June Financial Report.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20201016162731 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,yes (a different report by the same candidate is retained)
2020,Samuel Leake,County Recorder,2020-10-27,https://www.weberelections.com/documents/reports/Samuel Leake Recorder Oct 2020 Financials.pdf,http://www.weberelections.com/candidate_ballot_info/financial_disclosures.php (20210624094316 Wayback capture),not archived by the Internet Archive (CDX over weberelections.com/documents/reports/* returns 0 rows) and the path no longer exists on the live site,NO — this candidate has zero retained filings for this cycle
