week_tuesday,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2021-02-09,2021-02-03,39,2,7,0,council work session; redevelopment agency rda meeting
2021-02-16,2021-02-10,1,2,9,0,council formal meeting; council work session
2021-02-23,2021-02-17,35,0,0,0,
2021-03-02,2021-02-24,38,2,8,0,council formal meeting; council work session
2021-03-09,2021-03-03,24,0,0,0,
2021-03-16,2021-03-10,26,2,12,0,council formal meeting; council work session
2021-03-23,2021-03-17,41,2,6,0,council work session; redevelopment agency rda meeting
2021-03-30,2021-03-24,14,0,0,0,
2021-04-06,2021-03-31,12,2,8,0,council formal meeting; council work session
2021-04-13,2021-04-07,105,2,5,0,revised council work session; revised redevelopment agency rda meeting
2021-04-20,2021-04-14,143,2,15,1,council formal meeting; revised council work session
2021-04-27,2021-04-21,17,0,0,0,
2021-05-04,2021-04-28,12,2,2,0,council work session; redevelopment agency rda meeting
2021-05-11,2021-05-05,24,1,1,0,council work session
2021-05-18,2021-05-12,0,5,23,7,council work session; lba rda and council formal meeting; redevelopment agency rda meeting; special limited formal meeting
2021-05-25,2021-05-19,8,1,0,0,council work session
2021-06-01,2021-05-26,17,3,15,0,council work session; lba rda and council formal meeting; special limited redevelopment agency rda meeting
2021-06-08,2021-06-02,21,4,10,0,council work session; limited council formal meeting; redevelopment agency rda meeting
2021-06-15,2021-06-09,19,3,22,0,council work session; lba rda and council formal meeting
2021-06-22,2021-06-16,12,1,2,0,special council work session
2021-06-29,2021-06-23,39,0,0,0,
2021-07-06,2021-06-30,6,0,0,0,
2021-07-13,2021-07-07,7,2,11,0,council formal meeting; council work session
2021-07-20,2021-07-14,8,3,18,1,council formal meeting; council work session; redevelopment agency rda meeting
2021-07-27,2021-07-21,8,0,0,0,
2021-08-03,2021-07-28,1,0,0,0,
2021-08-10,2021-08-04,3,0,0,0,
2021-08-17,2021-08-11,51,2,16,0,council work session; local building authority and council formal meeting
2021-08-24,2021-08-18,111,3,13,0,council formal meeting; council work session; redevelopment agency rda meeting
2021-08-31,2021-08-25,47,0,0,0,
2021-09-07,2021-09-01,6,2,13,0,council formal meeting; council work session
2021-09-14,2021-09-08,79,1,1,1,limited formal meeting
2021-09-21,2021-09-15,55,2,14,0,council work session; revised council formal meeting
2021-09-28,2021-09-22,39,0,0,0,
2021-10-05,2021-09-29,5,1,2,0,council work session
2021-10-12,2021-10-06,14,2,5,0,council work session; redevelopment agency rda meeting
2021-10-19,2021-10-13,7,2,11,0,revised council formal meeting; revised council work session
2021-10-26,2021-10-20,2,0,0,0,
2021-11-02,2021-10-27,4,0,0,0,
2021-11-09,2021-11-03,5,2,13,0,council work session meeting; lba and council formal meeting
2021-11-16,2021-11-10,7,2,14,2,revised council work session meeting; revised lba and council formal meeting
2021-11-23,2021-11-17,13,0,0,0,
2021-11-30,2021-11-24,4,0,0,0,
2021-12-07,2021-12-01,14,2,16,0,council work session meeting; lba and council formal meeting
2021-12-14,2021-12-08,13,3,14,0,council work session meeting; redevelopment agency rda meeting; revised council formal meeting
2021-12-28,2021-12-22,1,0,0,0,
2022-01-04,2021-12-29,25,2,5,0,council formal meeting; council work session meeting
2022-01-11,2022-01-05,53,1,0,0,council work session meeting
2022-01-18,2022-01-12,20,3,8,0,council formal meeting; council work session meeting; redevelopment agency rda meeting
2022-01-25,2022-01-19,10,1,0,0,city council retreat
2022-02-01,2022-01-26,7,2,4,0,council formal meeting; council work session meeting
2022-02-08,2022-02-02,4,2,3,0,council work session meeting; redevelopment agency rda meeting
2022-02-15,2022-02-09,4,1,9,1,council formal meeting
2022-02-22,2022-02-16,0,1,2,0,special council work session meeting
2022-03-01,2022-02-23,11,2,10,2,council work session meeting; revised council formal meeting
2022-03-08,2022-03-02,5,2,7,0,council work session meeting; redevelopment agency rda meeting
2022-03-15,2022-03-09,7,0,0,0,
2022-03-22,2022-03-16,18,2,12,0,revised council formal meeting; revised council work session meeting
2022-03-29,2022-03-23,5,0,0,0,
2022-04-05,2022-03-30,5,1,2,1,council work session meeting
2022-04-12,2022-04-06,3,2,9,1,council work session meeting; redevelopment agency rda meeting
2022-04-19,2022-04-13,15,2,15,0,council work session meeting; lba and council formal meeting
2022-04-26,2022-04-20,49,0,0,0,
2022-05-03,2022-04-27,53,2,20,0,council work session meeting; lba rda and council formal meeting
2022-05-10,2022-05-04,34,3,7,0,council work session meeting; limited council formal meeting; redevelopment agency rda meeting
2022-05-17,2022-05-11,38,3,18,0,council work session meeting; redevelopment agency rda meeting; revised lba rda and council formal meeting
2022-05-24,2022-05-18,19,1,0,0,council work session meeting
2022-05-31,2022-05-25,26,0,0,0,
2022-06-07,2022-06-01,4,4,13,0,council work session meeting; lba rda and council formal meeting; limited council formal meeting
2022-06-14,2022-06-08,2,4,28,0,council work session meeting; lba rda and council formal meeting; redevelopment agency rda meeting
2022-06-21,2022-06-15,11,0,0,0,
2022-06-28,2022-06-22,6,0,0,0,
2022-07-05,2022-06-29,2,0,0,0,
2022-07-12,2022-07-06,6,2,3,0,council work session meeting; revised council formal meeting
2022-07-19,2022-07-13,5,2,7,0,council formal meeting; council work session meeting
2022-07-26,2022-07-20,4,0,0,0,
2022-08-02,2022-07-27,8,1,2,0,special work session meeting
2022-08-09,2022-08-03,2,2,5,0,council work session meeting; redevelopment agency rda meeting
2022-08-16,2022-08-10,8,2,18,0,council formal meeting; council work session meeting
2022-08-23,2022-08-17,2,0,0,0,
2022-08-30,2022-08-24,8,2,6,0,special limited formal meeting budget amendment; special limited formal meeting truth in taxation
2022-09-06,2022-08-31,4,1,0,0,council work session meeting
2022-09-13,2022-09-07,55,2,5,0,council work session meeting; redevelopment agency rda meeting
2022-09-20,2022-09-14,163,2,13,0,council formal meeting; council work session meeting
2022-09-27,2022-09-21,28,0,0,0,
2022-10-04,2022-09-28,17,2,16,0,revised council formal meeting; revised council work session meeting
2022-10-11,2022-10-05,18,2,5,0,council work session meeting; redevelopment agency rda meeting
2022-10-18,2022-10-12,14,2,23,2,revised council formal meeting; revised council work session meeting
2022-10-25,2022-10-19,16,0,0,0,
2022-11-01,2022-10-26,9,0,0,0,
2022-11-08,2022-11-02,22,0,0,0,
2022-11-15,2022-11-09,14,3,19,1,redevelopment agency rda meeting; revised council formal meeting; revised council work session meeting
2022-11-22,2022-11-16,2,2,9,0,revised council formal meeting; revised council work session meeting
2022-11-29,2022-11-23,8,0,0,0,
2022-12-06,2022-11-30,8,2,9,1,council formal meeting; council work session meeting
2022-12-13,2022-12-07,42,3,19,2,council formal meeting; council work session meeting; redevelopment agency rda meeting
2022-12-20,2022-12-14,15,0,0,0,
2022-12-27,2022-12-21,6,0,0,0,
2023-01-03,2022-12-28,19,2,6,1,council formal meeting; council work session meeting
2023-01-10,2023-01-04,3,2,9,3,council work session meeting; redevelopment agency rda meeting
2023-01-17,2023-01-11,9,2,6,0,council formal meeting; council work session meeting
2023-01-24,2023-01-18,10,0,0,0,
2023-01-31,2023-01-25,3,1,0,0,city council retreat
2023-02-07,2023-02-01,35,2,10,0,council formal meeting; council work session meeting
2023-02-14,2023-02-08,27,2,5,0,council work session meeting; redevelopment agency rda meeting
2023-02-21,2023-02-15,36,2,14,1,council formal meeting; council work session meeting
2023-02-28,2023-02-22,35,0,0,0,
2023-03-07,2023-03-01,72,2,18,4,council formal meeting; council work session meeting
2023-03-14,2023-03-08,23,2,5,1,council work session meeting; redevelopment agency rda meeting
2023-03-21,2023-03-15,30,2,15,0,council formal meeting; council work session meeting
2023-03-28,2023-03-22,10,0,0,0,
2023-04-04,2023-03-29,8,2,8,2,council formal meeting; council work session meeting
2023-04-11,2023-04-05,15,2,6,0,council work session meeting; redevelopment agency rda meeting
2023-04-18,2023-04-12,10,2,12,1,council work session meeting; lba and council formal meeting
2023-04-25,2023-04-19,10,0,0,0,
2023-05-02,2023-04-26,64,2,17,0,council work session meeting; lba rda and council formal meeting
2023-05-09,2023-05-03,0,2,9,1,council work session meeting; redevelopment agency rda meeting
2023-05-16,2023-05-10,105,3,14,3,council work session meeting; lba rda and council formal meeting; redevelopment agency rda meeting
2023-05-23,2023-05-17,28,1,0,0,council work session meeting
2023-05-30,2023-05-24,24,1,0,0,council work session meeting
2023-06-06,2023-05-31,16,3,17,1,council work session meeting; lba rda an council formal meeting
2023-06-13,2023-06-07,0,4,20,0,council work session meeting; lba rda and council formal meeting; redevelopment agency rda meeting
2023-06-20,2023-06-14,11,0,0,0,
2023-06-27,2023-06-21,9,0,0,0,
2023-07-04,2023-06-28,5,0,0,0,
2023-07-11,2023-07-05,68,3,11,0,redevelopment agency rda meeting; revised council formal meeting; revised council work session meeting
2023-07-18,2023-07-12,23,3,12,0,council work session meeting; revised council formal meeting
2023-07-25,2023-07-19,14,0,0,0,
2023-08-01,2023-07-26,10,0,0,0,
2023-08-08,2023-08-02,15,3,13,0,council formal meeting; council work session meeting; revised redevelopment agency rda meeting
2023-08-15,2023-08-09,16,3,10,0,council formal meeting; council work session meeting; limited redevelopment agency rda meeting
2023-08-22,2023-08-16,11,0,0,0,
2023-08-29,2023-08-23,11,0,0,0,
2023-09-05,2023-08-30,120,2,13,0,council formal meeting; council work session meeting
2023-09-12,2023-09-06,59,2,5,0,council work session meeting; redevelopment agency rda meeting
2023-09-19,2023-09-13,17,2,6,1,council formal meeting; council work session meeting
2023-09-26,2023-09-20,27,0,0,0,
2023-10-03,2023-09-27,45,2,11,0,council formal meeting; council work session meeting
2023-10-10,2023-10-04,47,2,2,0,council work session meeting; redevelopment agency rda meeting
2023-10-17,2023-10-11,16,2,14,0,council formal meeting; revised council work session meeting
2023-10-24,2023-10-18,27,0,0,0,
2023-10-31,2023-10-25,7,0,0,0,
2023-11-07,2023-11-01,25,2,19,0,revised council formal meeting; revised council work session meeting
2023-11-14,2023-11-08,34,3,17,1,council formal meeting; council work session meeting; redevelopment agency rda meeting
2023-11-21,2023-11-15,15,0,0,0,
2023-11-28,2023-11-22,6,0,0,0,
2023-12-05,2023-11-29,47,2,14,2,council formal meeting; council work session meeting
2023-12-12,2023-12-06,20,4,16,0,council formal meeting; council work session meeting; redevelopment agency rda meeting; special council work session meeting
2023-12-19,2023-12-13,4,0,0,0,
2023-12-26,2023-12-20,7,0,0,0,
2024-01-02,2023-12-27,4,0,0,0,
2024-01-09,2024-01-03,13,3,8,0,council formal meeting; council work session meeting; revised redevelopment agency rda meeting
2024-01-16,2024-01-10,11,2,7,0,council formal meeting; council work session meeting
2024-01-23,2024-01-17,7,1,0,0,city council retreat
2024-01-30,2024-01-24,9,0,0,0,
2024-02-06,2024-01-31,36,2,10,0,council formal meeting; council work session meeting
2024-02-13,2024-02-07,16,2,5,0,council work session meeting; redevelopment agency rda meeting
2024-02-20,2024-02-14,80,2,11,0,council work session meeting; revised council formal meeting
2024-02-27,2024-02-21,288,0,0,0,
2024-03-05,2024-02-28,59,2,20,1,revised council formal meeting; revised council work session meeting
2024-03-12,2024-03-06,18,0,0,0,
2024-03-19,2024-03-13,29,2,4,0,revised council work session meeting; revised redevelopment agency rda meeting
2024-03-26,2024-03-20,20,2,13,1,council formal meeting; council work session meeting
2024-04-02,2024-03-27,15,2,10,2,revised council formal meeting; revised council work session meeting
2024-04-09,2024-04-03,17,0,0,0,
2024-04-16,2024-04-10,23,3,20,0,redevelopment agency rda meeting; revised council formal meeting; revised council work session meeting
2024-04-23,2024-04-17,36,0,0,0,
2024-04-30,2024-04-24,63,0,0,0,
2024-05-07,2024-05-01,61,1,24,1,lba rda and council formal meeting
2024-05-14,2024-05-08,117,2,9,0,council work session meeting; redevelopment agency rda meeting
2024-05-21,2024-05-15,162,3,25,3,council work session meeting; lba rda and council formal meeting; redevelopment agency rda meeting
2024-05-28,2024-05-22,73,0,0,0,
2024-06-04,2024-05-29,61,3,15,0,council work session meeting; lba rda and council formal meeting
2024-06-11,2024-06-05,0,4,23,0,council work session meeting; lba rda and council formal meeting; redevelopment agency rda meeting
2024-06-18,2024-06-12,30,0,0,0,
2024-06-25,2024-06-19,19,0,0,0,
2024-07-02,2024-06-26,56,2,10,0,council work session meeting; revised council formal meeting
2024-07-09,2024-07-03,200,3,19,2,council work session meeting; rda and council formal meeting; redevelopment agency rda meeting
2024-07-16,2024-07-10,60,0,0,0,
2024-07-23,2024-07-17,20,0,0,0,
2024-07-30,2024-07-24,4,0,0,0,
2024-08-06,2024-07-31,19,0,0,0,
2024-08-13,2024-08-07,28,3,16,0,council formal meeting; council work session meeting; redevelopment agency rda meeting
2024-08-20,2024-08-14,9,0,0,0,
2024-08-27,2024-08-21,212,2,14,0,council formal meeting; council work session meeting
2024-09-03,2024-08-28,30,2,8,0,council formal meeting; council work session meeting
2024-09-10,2024-09-04,21,2,6,0,council work session meeting; redevelopment agency rda meeting
2024-09-17,2024-09-11,32,2,9,0,council work session meeting; revised council formal meeting
2024-09-24,2024-09-18,15,0,0,0,
2024-10-01,2024-09-25,40,2,23,0,council formal meeting; council work session meeting
2024-10-08,2024-10-02,17,2,5,0,council work session meeting; redevelopment agency rda meeting
2024-10-15,2024-10-09,17,2,11,0,council formal meeting; council work session meeting
2024-10-22,2024-10-16,10,0,0,0,
2024-10-29,2024-10-23,12,0,0,0,
2024-11-05,2024-10-30,5,0,0,0,
2024-11-12,2024-11-06,9,3,18,0,council formal meeting; council work session meeting; redevelopment agency rda meeting
2024-11-19,2024-11-13,15,2,14,1,council formal meeting; council work session meeting
2024-11-26,2024-11-20,24,0,0,0,
2024-12-03,2024-11-27,11,2,9,0,council formal meeting; council work session meeting
2024-12-10,2024-12-04,13,3,15,0,council work session meeting; redevelopment agency rda meeting; revised council formal meeting
2024-12-17,2024-12-11,5,0,0,0,
2024-12-24,2024-12-18,1,0,0,0,
2024-12-31,2024-12-25,3,0,0,0,
2025-01-07,2025-01-01,3,2,12,1,council formal meeting; council work session meeting
2025-01-14,2025-01-08,3,1,0,0,city council retreat
2025-01-21,2025-01-15,4,3,11,0,community reinvestment agency cra meeting; council formal meeting; council work session meeting
2025-01-28,2025-01-22,9,0,0,0,
2025-02-04,2025-01-29,11,2,13,0,council work session meeting; revised council formal meeting
2025-02-11,2025-02-05,14,2,2,0,community reinvestment agency cra meeting; council work session meeting
2025-02-18,2025-02-12,6,2,8,1,council formal meeting; council work session meeting
2025-02-25,2025-02-19,18,0,0,0,
2025-03-04,2025-02-26,24,2,10,0,council formal meeting; council work session meeting
2025-03-11,2025-03-05,7,0,0,0,
2025-03-18,2025-03-12,12,2,9,0,community reinvestment agency cra meeting; council work session meeting
2025-03-25,2025-03-19,20,3,7,0,council formal meeting; council work session meeting; limited community reinvestment agency cra meeting
2025-04-01,2025-03-26,11,2,8,0,council formal meeting; council work session meeting
2025-04-08,2025-04-02,22,3,8,0,community reinvestment agency cra meeting; council work session meeting; limited council formal meeting
2025-04-15,2025-04-09,16,2,18,3,council work session meeting; lba and council formal meeting
2025-04-22,2025-04-16,21,0,0,0,
2025-04-29,2025-04-23,33,0,0,0,
2025-05-06,2025-04-30,52,2,16,0,revised council work session meeting; revised lba cra and council formal meeting
2025-05-13,2025-05-07,23,2,8,0,community reinvestment agency cra meeting; council work session meeting
2025-05-20,2025-05-14,20,3,15,1,community reinvestment agency cra meeting; council work session meeting; lba cra and council formal meeting
2025-05-27,2025-05-21,10,1,0,0,council work session meeting
2025-06-03,2025-05-28,15,4,15,0,council work session meeting; lba cra and council formal meeting; limited community reinvestment agency cra meeting
2025-06-10,2025-06-04,22,4,29,0,community reinvestment agency cra meeting; council work session meeting; lba cra and council formal meeting
2025-06-17,2025-06-11,16,0,0,0,
2025-06-24,2025-06-18,9,0,0,0,
2025-07-01,2025-06-25,15,2,6,0,council formal meeting; council work session meeting
2025-07-08,2025-07-02,12,3,11,1,community reinvestment agency cra meeting; council formal meeting; council work session meeting
2025-07-15,2025-07-09,13,0,0,0,
2025-07-22,2025-07-16,2,0,0,0,
2025-07-29,2025-07-23,15,0,0,0,
2025-08-05,2025-07-30,3,0,0,0,
2025-08-12,2025-08-06,8,3,14,0,community reinvestment agency cra meeting; council formal meeting; council work session meeting
2025-08-19,2025-08-13,10,2,11,0,council formal meeting; council work session meeting
2025-08-26,2025-08-20,6,0,0,0,
2025-09-02,2025-08-27,20,2,11,0,revised council formal meeting; revised council work session meeting
2025-09-09,2025-09-03,11,3,13,0,community reinvestment agency cra meeting; council work session meeting; revised council formal meeting
2025-09-16,2025-09-10,11,1,0,0,council work session meeting
2025-09-23,2025-09-17,11,0,0,0,
2025-09-30,2025-09-24,4,0,0,0,
2025-10-07,2025-10-01,2,2,12,0,council formal meeting; council work session meeting
2025-10-14,2025-10-08,9,2,10,1,community reinvestment agency cra meeting; council work session meeting
2025-10-21,2025-10-15,13,2,15,1,council formal meeting; council work session meeting
2025-10-28,2025-10-22,2,0,0,0,
2025-11-04,2025-10-29,9,0,0,0,
2025-11-11,2025-11-05,3,0,0,0,
2025-11-18,2025-11-12,16,3,12,0,community reinvestment agency cra meeting; council formal meeting; council work session meeting
2025-11-25,2025-11-19,16,2,5,0,council formal meeting; council work session meeting
2025-12-02,2025-11-26,3,2,5,0,council formal meeting; council work session meeting
2025-12-09,2025-12-03,15,3,12,2,community reinvestment agency cra meeting; council formal meeting; council work session meeting
2025-12-16,2025-12-10,12,0,0,0,
2025-12-23,2025-12-17,2,0,0,0,
2025-12-30,2025-12-24,2,0,0,0,
2026-01-06,2025-12-31,1,0,0,0,
2026-01-13,2026-01-07,16,3,11,0,community reinvestment agency cra meeting; council formal meeting; council work session meeting
2026-01-20,2026-01-14,44,2,6,0,council formal meeting; council work session meeting
2026-01-27,2026-01-21,42,2,2,0,city council retreat; council work session meeting
2026-02-03,2026-01-28,62,3,10,0,city council retreat follow up; council formal meeting; council work session meeting
2026-02-10,2026-02-04,0,2,0,0,community reinvestment agency cra meeting; council work session meeting
2026-02-17,2026-02-11,10,2,9,2,council formal meeting; council work session meeting
2026-02-24,2026-02-18,11,0,0,0,
2026-03-03,2026-02-25,13,1,2,0,council work session meeting
2026-03-10,2026-03-04,76,3,13,1,community reinvestment agency cra meeting; council formal meeting; council work session meeting
2026-03-17,2026-03-11,24,0,0,0,
2026-03-24,2026-03-18,109,3,26,4,limited community reinvestment agency cra meeting; revised council work session meeting; revised cra and council formal meeting
2026-03-31,2026-03-25,72,0,0,0,
2026-04-07,2026-04-01,31,2,8,0,council formal meeting; council work session meeting
2026-04-14,2026-04-08,0,2,6,1,community reinvestment agency cra meeting; council work session meeting
2026-04-21,2026-04-15,0,2,13,0,council work session meeting; lba cra and council formal meeting
2026-05-05,2026-04-29,0,3,18,2,council work session meeting; limited community reinvestment agency cra meeting; revised lba cra and council formal meeting
2026-05-12,2026-05-06,0,2,6,0,community reinvestment agency cra meeting; council work session meeting
2026-05-19,2026-05-13,0,4,20,0,council work session meeting; lba cra and council formal meeting; limited community reinvestment agency cra meeting
2026-05-26,2026-05-20,0,1,2,0,council work session meeting
2026-06-02,2026-05-27,0,3,15,0,council work session meeting; lba cra and council formal meeting
2026-06-09,2026-06-03,0,4,9,5,community reinvestment agency cra meeting; council formal meeting; council work session meeting; limited council formal meeting
2026-06-16,2026-06-10,0,2,26,0,council work session meeting; lba cra and council formal meeting
