book,section_no,section_title,char_count
Land Use Ordinance,8.72,Cemetery Approval Standards,4433
Land Use Ordinance,8.84,Requirements For Approval Of A Farm Caretaker Dwelling,2567
Land Use Ordinance,8.88,Accessory Ski Lifts And Associated Mountain Resort Facilities In The CE-1 Zone,7627
Land Use Ordinance,8.92,Dude Ranches,3499
Land Use Ordinance,8.96,Reception Centers,3425
Land Use Ordinance,8.100,Buildings And Facilities For A Licensed Veterinarian,2960
Land Use Ordinance,8.104,Buildings And Facilities For The Repair Of Agricultural Equipment And Agricultural Vehicles,3529
Land Use Ordinance,8.108,Equine Reproduction And/or Rehabilitation Facility,2754
Land Use Ordinance,8.112,Hunting Preserves And Shooting Ranges,11106
Land Use Ordinance,8.116,Accessory Dwelling Units,5495
Land Use Ordinance,8.120,Kennels,3741
Land Use Ordinance,8.124,Assembly And Sale Of High Tunnels And Hoophouses,3520
Land Use Ordinance,8.128,Buildings And Facilities For The Recycling Of Food Grade Oil,3332
Land Use Ordinance,10.04,Zones Established,1145
Land Use Ordinance,10.08,Declaration,486
Land Use Ordinance,10.12,Official Zone Map,1474
Land Use Ordinance,10.16,Boundaries Of Zones,364
Land Use Ordinance,10.20,Area And Width Requirements,410
Land Use Ordinance,10.24,Lots Lying In Multiple Zones,3403
Land Use Ordinance,12.04,Declaration,418
Land Use Ordinance,12.08,RA-5 Residential Agricultural Zone,20927
Land Use Ordinance,12.12,RR-5 Rural Residential Zone,12483
Land Use Ordinance,12.16,TR-5 Transitional Residential Zone,11724
Land Use Ordinance,12.20,CE-1 Critical Environmental Zone,12501
Land Use Ordinance,12.24,CE-2 Critical Environmental Zone,14699
Land Use Ordinance,12.28,M And G-1 Mining And Grazing Zone,19144
Land Use Ordinance,12.32,NC-1 Neighborhood Commercial Zone,13954
Land Use Ordinance,12.36,"HS-1, Highway Service Zone",12320
Land Use Ordinance,12.40,I-1 Industrial Zone,20747
Land Use Ordinance,12.44,NHO Natural Hazards Overlay Zone,19454
Land Use Ordinance,12.48,A-40 Agricultural Zone 1,14689
Land Use Ordinance,12.52,APO Airport Overlay Zone,1836
Land Use Ordinance,12.56,PF-Public Facilities Zone,7857
Land Use Ordinance,12.60,Transfer Of Development Rights Sending Overlay Zone And Transfer Of Development Rights Receiving Overlay Zone,17028
Land Use Ordinance,12.64,Goshen Valley Planned Community (P-C) Zone,56711
Land Use Ordinance,12.68,G-1 Grazing Zone,14231
Land Use Ordinance,14.02,Boundary Adjustment,3041
Land Use Ordinance,14.04,"Division Of Land, Plat Required",2016
Land Use Ordinance,14.06,General Provisions,28886
Land Use Ordinance,14.08,Planned Unit Development,40856
Land Use Ordinance,14.12,Planned Subdivisions,52050
Land Use Ordinance,14.16,Mountain Home Developments,42659
Land Use Ordinance,14.20,Recreational Resorts,48012
Land Use Ordinance,14.24,Planned Nonresidential Subdivision,29522
Land Use Ordinance,14.26,Amendments To Large-Scale Developments,7918
Land Use Ordinance,14.28,Appendix A Developmental Impact Statement Checklist,2689
Land Use Ordinance,14.30,Condominium Projects,3790
Land Use Ordinance,16.04,Zoning Administrator Appointed,321
Land Use Ordinance,16.08,Powers And Duties Of The Zoning Administrator,912
Land Use Ordinance,16.12,Scope,477
Land Use Ordinance,16.16,"Permits For Building, Grading, And Land Use",1170
Land Use Ordinance,16.20,Plans Required,726
Land Use Ordinance,16.24,Permit To Comply With Ordinance,261
Land Use Ordinance,16.28,Utility Installation Unlawful Without Permit,1341
Land Use Ordinance,16.32,Construction And Use To Comply With Permit,645
Land Use Ordinance,16.36,Zoning Compliance Permit Required,1593
Land Use Ordinance,16.40,"Board Of Adjustment Created, Members, Terms",2374
Land Use Ordinance,16.41,"Land Use Administrative Law Judge, Position Created, Powers And Duties",1512
Land Use Ordinance,16.44,"Appeal Authority, Rules And Procedures",1656
Land Use Ordinance,16.48,Powers And Duties Of The Appeal Authority,476
Land Use Ordinance,16.52,Power Of Appeal Authority Limited,708
Land Use Ordinance,16.56,Requests To Appear Before The Appeal Authority,1333
Land Use Ordinance,16.60,Land Use Authority Response Procedures,337
Land Use Ordinance,16.64,Hearing Procedures,732
Land Use Ordinance,16.68,Decisions Of The Appeal Authority,588
Land Use Ordinance,16.72,Rules For Hearing And Deciding Appeals On Alleged Errors,4109
Land Use Ordinance,16.76,Rules For Hearing And Deciding Appeals For Variances,1597
Land Use Ordinance,16.84,Notification And Duration Of Approval,2897
Land Use Ordinance,16.88,Recourse From Actions Taken By The Appeal Authority,777
Land Use Ordinance,16.92,Powers And Duties Of The Planning Commission,9995
Land Use Ordinance,16.94,Rules For Hearing And Deciding Conditional Use Applications,9327
Land Use Ordinance,16.96,Powers And Duties Of The County Commission,5669
Land Use Ordinance,16.100,Amendments To Ordinance And Map,1545
Land Use Ordinance,16.104,Violations,2341
Code of Ordinances,,PREFACE,3161
Code of Ordinances,1.01,Code Adoption,101
Code of Ordinances,1.01.010,"Adoption, Designation, And Citation",239
Code of Ordinances,1.01.020,Effect Of Repealing Existing General Ordinances,764
Code of Ordinances,1.02,Code Construction And General Provisions,225
Code of Ordinances,1.02.010,Definitions,6534
Code of Ordinances,1.02.020,Rules Of Construction,1049
Code of Ordinances,1.02.030,Interpretation Of Language,312
Code of Ordinances,1.02.040,Parenthetical And Reference Matter,264
Code of Ordinances,1.02.050,Catchlines Of Section,360
Code of Ordinances,1.02.060,Correction Of Technical Errors,1124
Code of Ordinances,1.02.070,Altering Code,377
Code of Ordinances,1.03,Official And Corporate Provisions,103
Code of Ordinances,1.03.010,"Reference To Code, Conflicts",721
Code of Ordinances,1.03.020,Effect Of Repeals,392
Code of Ordinances,1.03.030,Severability Of Parts Of Code,451
Code of Ordinances,1.04,General Penalties,123
Code of Ordinances,1.04.010,General Penalties; Continuing Violations,1848
Code of Ordinances,1.04.020,Penalty Not Exclusive,410
Code of Ordinances,1.04.030,Liability Of Employers And Agents,421
Code of Ordinances,1.05,Adoption Of State Codes,201
Code of Ordinances,1.05.010,Adoption Of Utah Criminal Code,247
Code of Ordinances,1.05.020,Adoption Of Utah Code Of Criminal Procedure,110
Code of Ordinances,1.05.030,Adoption Of Utah Controlled Substances Act,258
Code of Ordinances,1.05.040,Adoption Of Imitation Controlled Substances Act,1099
Code of Ordinances,2.01,In General,363
Code of Ordinances,2.01.010,Improvements Reserve Fund,867
Code of Ordinances,2.01.020,Annexation,230
Code of Ordinances,2.01.030,"Authority To Acquire, Hold, Manage And Dispose Of Real And Personal Property For Benefit Of County",5882
Code of Ordinances,2.01.040,Financial Administration,7709
Code of Ordinances,2.01.050,Adoption Of Procurement Regulations,289
Code of Ordinances,2.01.060,Fees Of County Officers; Refund Of Overpayments,1153
Code of Ordinances,2.01.070,Fee Waiver Requests,1317
Code of Ordinances,2.01.080,The County Logo And Slogan,2614
Code of Ordinances,2.02,Theft Or Crime Insurance,195
Code of Ordinances,2.02.010,Amount Required For County Officials,331
Code of Ordinances,2.02.020,Amount Required For County Treasurer,229
Code of Ordinances,2.02.030,Amount Required For Deputies Or Assistants,331
Code of Ordinances,2.02.040,Blanket Policy,119
Code of Ordinances,2.02.050,Payment Of Premium,113
Code of Ordinances,2.03,Government Records Access And Management,355
Code of Ordinances,2.03.010,In General,1282
Code of Ordinances,2.03.020,Purpose Of Chapter,596
Code of Ordinances,2.03.030,Definitions,1055
Code of Ordinances,2.03.040,Right Of Privacy,954
Code of Ordinances,2.03.050,Classification And Retention Of Records,1997
Code of Ordinances,2.03.060,Request For Records,1217
Code of Ordinances,2.03.070,Establishment Of Fees,286
Code of Ordinances,2.03.080,Appeals,2293
Code of Ordinances,2.03.090,Amendment Of Records,1147
Code of Ordinances,2.03.100,Records Officers,1563
Code of Ordinances,2.03.110,Management Of Records,1221
Code of Ordinances,2.03.120,Justice Court Records,114
Code of Ordinances,2.03.130,Penalty,2162
Code of Ordinances,2.04,Accident Review Board,230
Code of Ordinances,2.04.010,Establishment Of County Risk Management Committee And Discretion To Form Department Safety Subcommittees,3463
Code of Ordinances,2.04.020,Department Head Responsibility,609
Code of Ordinances,2.05,County Constables,406
Code of Ordinances,2.05.010,Appointment Of Constables,576
Code of Ordinances,2.05.020,Liability Of Constables,704
Code of Ordinances,2.05.030,Constable Nominating Commission,1771
Code of Ordinances,2.05.040,Term Of Office,128
Code of Ordinances,2.05.050,Certification,429
Code of Ordinances,2.05.060,User Agreements,480
Code of Ordinances,2.05.070,Removal Of Constables,1483
Code of Ordinances,2.05.080,Approval Of Deputy Constables,2527
Code of Ordinances,2.05.090,Procedure For Oversight Of County Constables And Deputy Constables By County,1561
Code of Ordinances,2.06,Historic Preservation Commission,107
Code of Ordinances,2.06.010,Purpose,964
Code of Ordinances,2.06.020,Historic Preservation Commission,1134
Code of Ordinances,2.06.030,Historic Preservation Commission Duties,1741
Code of Ordinances,2.07,Campaign Financial Disclosure,78
Code of Ordinances,2.07.010,Definitions,2259
Code of Ordinances,2.07.020,Campaign Financial Disclosure,2792
Code of Ordinances,2.07.030,Penalties,102
Code of Ordinances,2.08,The Indigent Dead,164
Code of Ordinances,2.08.010,Purpose Of The Provisions,446
Code of Ordinances,2.08.020,Cremation Services - Designated,373
Code of Ordinances,2.08.030,Attendance Of Services And Disposal Of Remains,620
Code of Ordinances,2.08.040,Objections To Cremation,565
Code of Ordinances,2.09,Contact By And With Individual County Commissioners Outside Regularly Scheduled County Commission Meetings,342
Code of Ordinances,2.09.010,Purpose,594
Code of Ordinances,2.09.020,Definitions,1839
Code of Ordinances,2.09.030,Goals,429
Code of Ordinances,2.09.040,Permitted Contact Between Individual Commissioners And Constituents Outside Regularly Scheduled County Commission Meetings,195
Code of Ordinances,2.09.050,Prohibited Contact Between Individual Commissioners And Others Outside Regularly Scheduled County Commission Meetings,3533
Code of Ordinances,2.09.060,Penalty For Violation,210
Code of Ordinances,2.10,Rules Of Procedure For The Operation Of The County Commission And Other County Offices And Departments,363
Code of Ordinances,2.10.010,Purpose,462
Code of Ordinances,2.10.020,Commission Meeting Agendas,1627
Code of Ordinances,2.10.030,Regular Meetings Of The County Commission To Be Held At County Seat,532
Code of Ordinances,2.10.030,General Rules Of Procedure,590
Code of Ordinances,2.10.040,Authority Of Commission Chair,685
Code of Ordinances,2.10.050,Authority Of Commissioners,582
Code of Ordinances,2.10.060,Commission Decorum,1721
Code of Ordinances,2.10.070,Commission Administration,1263
Code of Ordinances,2.10.080,Procedures Of Other County Offices And Departments,1908
Code of Ordinances,2.11,Consolidated Of County Offices,176
Code of Ordinances,2.11.010,Consolidation Of County Offices Of County Clerk And County Auditor,10
Code of Ordinances,2.11.020,Separation Of Previously Consolidated County Offices Of County Recorder And County Surveyor,1844
Code of Ordinances,2.12,Disaster Response And Management,423
Code of Ordinances,2.12.010,Legislative Findings - Purpose,758
Code of Ordinances,2.12.020,Definitions,2795
Code of Ordinances,2.12.030,Emergency Disaster Council Created,706
Code of Ordinances,2.12.040,Local Emergency Declaration,3005
Code of Ordinances,2.12.050,"Political Subdivisions Of The County - Declaration Of A ""Local Emergency Declaration""",1679
Code of Ordinances,2.12.060,Authority Of The County Commission,2244
Code of Ordinances,2.12.070,"Orders, Rules, And Regulations Having The Force Of Law",226
Code of Ordinances,2.12.080,Acquisition Of Property For Public Use,426
Code of Ordinances,2.12.090,Mutual Aid Agreements,298
Code of Ordinances,2.13,Emergency Interim Succession,83
Code of Ordinances,2.13.010,Title,68
Code of Ordinances,2.13.020,Definitions,407
Code of Ordinances,2.13.030,Emergency Interim Succession Procedure,2009
Code of Ordinances,2.14,Professional Ethics And Conflict Of Interest,550
Code of Ordinances,2.14.010,Purpose,819
Code of Ordinances,2.14.020,Definitions,2679
Code of Ordinances,2.14.030,Prohibited Conflicts Of Interest,4215
Code of Ordinances,2.14.040,Exceptions To The Gifts And Honoraria Prohibitions,2586
Code of Ordinances,2.14.050,Public Contract And The Procurement Process,1640
Code of Ordinances,2.14.060,Representation Regarding Ethical Standards Clause In Contracts,1381
Code of Ordinances,2.14.070,Restricted And Non-Restricted Conflicts Of Interest - Disclosure Required,2500
Code of Ordinances,2.14.080,Disclosure Statement,1317
Code of Ordinances,2.14.090,Professional Code Of Ethics,1279
Code of Ordinances,2.14.100,Loss Of County Property Or Funds,542
Code of Ordinances,2.14.110,Violations,1804
Code of Ordinances,2.14.120,Prohibition Of Filing A Complaint Immediately Before An Election,581
Code of Ordinances,2.15,Setting Of Salaries Of Elected Officials,95
Code of Ordinances,2.15.010,Method Of Calculation,1100
Code of Ordinances,2.15.020,Timing Of Reevaluation Of Salaries Of Elected Officials,153
Code of Ordinances,2.16,County Legislative Body's Consent To The Appointment Of Deputies And Employees,210
Code of Ordinances,2.16.010,Authority To Appoint Deputies And Employees,213
Code of Ordinances,2.16.020,Method Of Providing Consent By The Legislative Body,418
Code of Ordinances,2.16.030,"Deputy Appointment Process, Liability Of Officer, Effect Of Vacancy, And Oath Of Office",860
Code of Ordinances,2.17,Appeal Of Certain County Recorder Rule Implementations,72
Code of Ordinances,2.17.010,Appeal Right,419
Code of Ordinances,2.17.020,Notice Of Appeals,422
Code of Ordinances,2.17.030,Appeal Details,2819
Code of Ordinances,3.01,Transient Room Tax,342
Code of Ordinances,3.01.010,Title Of Provisions,114
Code of Ordinances,3.01.020,Purpose Of Provisions,1423
Code of Ordinances,3.01.030,Statutes Adopted By References,529
Code of Ordinances,3.01.040,Tax Imposed,1147
Code of Ordinances,3.01.050,Exclusions,362
Code of Ordinances,3.01.060,Convention Bureau Special Reserve Fund,445
Code of Ordinances,3.01.070,Contributions And Donations Permitted,387
Code of Ordinances,3.01.080,Audits,875
Code of Ordinances,3.01.090,Remittance Tax,136
Code of Ordinances,3.01.100,Appeals,527
Code of Ordinances,3.01.110,Penalties And Interest,325
Code of Ordinances,3.01.120,Repealer,129
Code of Ordinances,3.02,Sales And Use Tax,101
Code of Ordinances,3.02.010,Title,113
Code of Ordinances,3.02.020,Purpose,331
Code of Ordinances,3.02.030,Effective Date,66
Code of Ordinances,3.02.040,Sales And Use Tax,3301
Code of Ordinances,3.02.050,Penalties,493
Code of Ordinances,3.03,"Tourism, Recreation, Cultural And Convention Facilities Tax",193
Code of Ordinances,3.03.010,Provisions,118
Code of Ordinances,3.03.020,Statutory Authority,81
Code of Ordinances,3.03.030,Purpose Of Provisions,402
Code of Ordinances,3.03.040,Definitions,129
Code of Ordinances,3.03.050,Imposition - Amount,2026
Code of Ordinances,3.03.060,Use Of Revenues,689
Code of Ordinances,3.03.070,Collection,751
Code of Ordinances,3.03.080,Licensure,384
Code of Ordinances,3.04,Real Property Tax Sale Procedures,938
Code of Ordinances,3.04.010,Purpose,310
Code of Ordinances,3.04.020,Bidder Registration Procedures,1465
Code of Ordinances,3.04.030,Redemption Rights And Procedures,1018
Code of Ordinances,3.04.040,Prohibition Of Collusive Bidding,497
Code of Ordinances,3.04.050,Conflict Of Interest Prohibitions And Disclosure Requirements,510
Code of Ordinances,3.04.060,Criteria For Accepting Or Rejecting Bids,4264
Code of Ordinances,3.04.070,Sale Ratification Procedures,346
Code of Ordinances,3.04.080,Criteria For Granting Bidder Preference,1435
Code of Ordinances,3.04.090,Procedures For Recording Tax Deeds,1164
Code of Ordinances,3.04.100,Payment Methods And Procedures,301
Code of Ordinances,3.04.110,Procedures For Contesting Bids And Sales,682
Code of Ordinances,3.04.120,Criteria For Striking Properties To The County,915
Code of Ordinances,3.04.130,Procedures For Disclosing Properties Withdrawn From The Sale For Reasons Other Than Redemption,320
Code of Ordinances,3.04.140,Disclaimers By The County With Respect To Sale Procedures And Actions,2252
Code of Ordinances,3.04.150,Excess Proceeds,2539
Code of Ordinances,3.04.160,Miscellaneous Procedures,3648
Code of Ordinances,3.05,911 Access Line Surcharge,55
Code of Ordinances,3.05.010,Definitions,2159
Code of Ordinances,3.05.020,911 Access Line Surcharge,2435
Code of Ordinances,3.06,Optional County Sales And Use Tax,259
Code of Ordinances,3.06.010,Title Of Provisions,97
Code of Ordinances,3.06.020,Statutory Authority,84
Code of Ordinances,3.06.030,Purpose Of Provisions,342
Code of Ordinances,3.06.040,Imposition - Amount,686
Code of Ordinances,3.06.050,Incorporation Of State Law,1188
Code of Ordinances,3.06.060,"Administration, Collection And Distribution By State",1288
Code of Ordinances,3.06.070,Exemptions,224
Code of Ordinances,3.06.080,Effective Date,66
Code of Ordinances,3.07,"Administration Of Property Tax Refund, Abatement, Payment Agreement, Deferral, Credit And Exemption Requests",152
Code of Ordinances,3.07.010,Uniform Policies Established,485
Code of Ordinances,3.07.020,"Processing Requests For Property Tax Refund, Abatement, Payment Agreement, Deferral, Credit And Exemption",4840
Code of Ordinances,3.08,Property Penalty Reductions,388
Code of Ordinances,3.08.010,Purpose,423
Code of Ordinances,3.08.020,Personal Property Penalty Reduction Not Based On County Error,1506
Code of Ordinances,3.08.030,Personal Property Penalty Waiver And Reduction Based On County Error,182
Code of Ordinances,3.08.040,Real Property Penalty Reduction Not Based On County Error,1376
Code of Ordinances,3.08.050,Real Property Penalty Waiver And Reduction Based On County Error,184
Code of Ordinances,3.09,Property Tax Abatement Or Deferral Applications,150
Code of Ordinances,3.09.010,Applications Based On Financial Hardship,5656
Code of Ordinances,3.09.020,Applications For Property Tax Abatement Or Deferral Not Based On Extreme Financial Hardship,2943
Code of Ordinances,3.10,Residential Property Tax Exemptions,98
Code of Ordinances,3.10.010,Authority And Purpose,478
Code of Ordinances,3.10.020,Procedure,2507
Code of Ordinances,3.10.030,Criteria,3709
Code of Ordinances,3.10.040,Grandfather Provision,1371
Code of Ordinances,3.11,[REPEALED] Reassignment Of Personal Property Tax Collection Responsibilities,0
Code of Ordinances,3.12,County Option Sales And Use Tax For Transportation,272
Code of Ordinances,3.12.010,Title Of Provisions,139
Code of Ordinances,3.12.020,Statutory Authority,84
Code of Ordinances,3.12.030,Purpose Of Provisions,342
Code of Ordinances,3.12.040,Imposition - Amount,722
Code of Ordinances,3.12.050,Incorporation Of State Law,1217
Code of Ordinances,3.12.060,"Administration, Collection, Enforcement And Distribution By State",1127
Code of Ordinances,3.12.070,Exemptions,266
Code of Ordinances,3.12.080,Effective Date,64
Code of Ordinances,3.13,"County Of The Second Class Airport, Highway, And Public Transit Sales And Use Tax Of The County Of Utah",193
Code of Ordinances,3.13.010,Provisions,139
Code of Ordinances,3.13.020,Statutory Authority,83
Code of Ordinances,3.13.030,Purpose Of Provisions,607
Code of Ordinances,3.13.040,Definitions,528
Code of Ordinances,3.13.050,Imposition - Amount,1518
Code of Ordinances,3.13.060,Use Of Revenues,3330
Code of Ordinances,3.13.070,Collection,716
Code of Ordinances,3.13.080,Licensure,430
Code of Ordinances,3.14,County Option Sales And Use Tax For Systems For Public Transit Of The County Of Utah,315
Code of Ordinances,3.14.010,Title Of Provisions,158
Code of Ordinances,3.14.020,Statutory Authority,484
Code of Ordinances,3.14.030,Purpose Of Provisions,389
Code of Ordinances,3.14.040,Imposition - Amount,1037
Code of Ordinances,3.14.050,Use Of Revenues,207
Code of Ordinances,3.14.060,Incorporation Of State Law,1194
Code of Ordinances,3.14.070,"Administration, Collection, Enforcement And Distribution By State",1120
Code of Ordinances,3.14.080,Exemptions,275
Code of Ordinances,3.14.090,Effective Date Of Tax Imposition,66
Code of Ordinances,3.15,County Option Sales And Use Tax For Highways And Public Transit Of Utah County,311
Code of Ordinances,3.15.010,Title Of Provisions,152
Code of Ordinances,3.15.020,Statutory Authority,84
Code of Ordinances,3.15.030,Purpose Of Provisions,402
Code of Ordinances,3.15.040,Imposition - Amount,784
Code of Ordinances,3.15.050,Use Of Revenues,182
Code of Ordinances,3.15.060,Incorporation Of State Law,1196
Code of Ordinances,3.15.070,"Administration, Collection And Distribution By State",742
Code of Ordinances,3.15.080,Effective Date Of Tax Imposition And Review Of Tax Imposition,421
Code of Ordinances,3.16,Urban Farming,77
Code of Ordinances,3.16.010,Authority,112
Code of Ordinances,3.16.020,Authorization To Use Urban Farming Assessment Act,920
Code of Ordinances,4.01,In General,1053
Code of Ordinances,4.01.010,Definitions,3602
Code of Ordinances,4.01.020,Business License Required,1165
Code of Ordinances,4.01.030,Exemptions From Business License Requirements,2898
Code of Ordinances,4.01.040,Business License Division - Duties And Responsibilities,551
Code of Ordinances,4.01.050,Business License Application,301
Code of Ordinances,4.01.060,Issuance Of A Business License,1979
Code of Ordinances,4.01.070,Renewals Of Business Licenses,690
Code of Ordinances,4.01.080,Inspections,1193
Code of Ordinances,4.01.090,Payment Dates Of Business License Fees,1375
Code of Ordinances,4.01.100,Term Of Business Licenses,242
Code of Ordinances,4.01.110,Business License Fees,517
Code of Ordinances,4.01.120,Transfer Of License Restricted,603
Code of Ordinances,4.01.130,Display Of Licenses,599
Code of Ordinances,4.01.140,Reciprocal Recognition Of Business Licenses,378
Code of Ordinances,4.01.150,Penalty,1189
Code of Ordinances,4.01.160,Constructive Notice Of Time Periods,882
Code of Ordinances,4.01.170,Temporary Uses,299
Code of Ordinances,4.01.180,Denial Of A Business License,1023
Code of Ordinances,4.01.190,Reasons For Suspension Or Revocation,1334
Code of Ordinances,4.01.200,Enforcement,876
Code of Ordinances,4.01.210,Procedure For Suspension Or Revocation,149
Code of Ordinances,4.01.220,Designation,88
Code of Ordinances,4.01.230,Duties,309
Code of Ordinances,4.01.240,Meeting; Records,623
Code of Ordinances,4.01.250,Action By The Board,329
Code of Ordinances,4.01.260,Appeal Requirements And Procedures,2848
Code of Ordinances,4.01.270,Filing Costs; Salaries,328
Code of Ordinances,4.01.280,Notification Of Decision; Recourse,2661
Code of Ordinances,4.01.290,Applicability To Sexually Oriented Business,243
Code of Ordinances,4.02,Sexually Oriented Businesses,1150
Code of Ordinances,4.02.010,Title For Citation,100
Code of Ordinances,4.02.020,Purpose And Findings,8298
Code of Ordinances,4.02.030,Definitions,15201
Code of Ordinances,4.02.040,Classification Of Sexually Oriented Businesses,291
Code of Ordinances,4.02.050,License Requirements,6208
Code of Ordinances,4.02.060,Issuance Of Sexually Oriented Business License And Sexually Oriented Business Employee License,4298
Code of Ordinances,4.02.070,Inspection Of Sexually Oriented Business Premises,750
Code of Ordinances,4.02.080,Expiration Of Licenses,550
Code of Ordinances,4.02.090,Suspension,1055
Code of Ordinances,4.02.100,Revocation Or Denial,3805
Code of Ordinances,4.02.110,"Hearing On Revocation, Suspension Or Denial; Appeal",5474
Code of Ordinances,4.02.120,Transfer Of License,315
Code of Ordinances,4.02.130,Hours Of Operation,384
Code of Ordinances,4.02.140,Location And Distance Requirements,1365
Code of Ordinances,4.02.150,Live Public Nudity And Semi-Nudity,2499
Code of Ordinances,4.02.160,Interior Design Requirements Pertaining To Sexually Oriented Businesses Featuring Live Semi-Nudity,2729
Code of Ordinances,4.02.170,Regulations Pertaining To Sexually Oriented Businesses That Exhibit Sexually Explicit Films Or Videos,6305
Code of Ordinances,4.02.180,Additional Regulations For Escort Agencies,291
Code of Ordinances,4.02.190,"Loitering, Exterior Monitoring",901
Code of Ordinances,4.02.200,"Zoning, Exterior Design",748
Code of Ordinances,4.02.210,Penalties And Enforcement,365
Code of Ordinances,4.02.220,Applicability To Existing Businesses,953
Code of Ordinances,4.02.230,Persons Under Eighteen (18),1053
Code of Ordinances,4.02.240,"Sale, Use Or Consumption Of Beer Prohibited",356
Code of Ordinances,4.02.250,Exemptions,672
Code of Ordinances,4.03,Massage Parlors,36
Code of Ordinances,4.03.010,In General,2395
Code of Ordinances,4.03.020,License,324
Code of Ordinances,4.04,Registration Of Entertainers,221
Code of Ordinances,4.04.010,Coverage Of Chapter,896
Code of Ordinances,4.04.020,Penalty For Violation,93
Code of Ordinances,4.04.030,Cards Required,132
Code of Ordinances,4.04.040,Procedure For Obtaining Card,1472
Code of Ordinances,4.04.050,Fees,254
Code of Ordinances,4.04.060,Issuance Restricted,309
Code of Ordinances,4.04.070,Nontransferable,89
Code of Ordinances,4.04.080,Grounds For Revocation,1013
Code of Ordinances,4.05,Taxicabs,133
Code of Ordinances,4.05.010,Definitions,181
Code of Ordinances,4.05.020,Rates,277
Code of Ordinances,4.05.030,Inspection,885
Code of Ordinances,4.05.040,Financial Responsibility,691
Code of Ordinances,4.05.050,Qualification For Driver's License,218
Code of Ordinances,4.06,Secondhand Dealers,593
Code of Ordinances,4.06.010,Definitions,1661
