year,view,name,ts,statuscode,mime,original
2019,1871,Gudmundsom---General-Election-Financial-Disclosure-Statement---Redacted,20210118080047,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1871/Gudmundsom---General-Election-Financial-Disclosure-Statement---Redacted
2019,1875,Welsh-Cristy---General-Election-Campaign-inancial-Diclosure-Statement,20210118083807,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1875/Welsh-Cristy---General-Election-Campaign-inancial-Diclosure-Statement
2019,1876,Lauret-David---General-Election-Financial-Disclosure-Statement---redacted,20210118070329,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1876/Lauret-David---General-Election-Financial-Disclosure-Statement---redacted
2019,1903,2019-Vineyard-November-1-Report,20240304131026,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1903/2019-Vineyard-November-1-Report
2019,1915,Jenkins-Final-Municipal-Campaign-Financial-Disclosure-Form,20210118070748,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1915/Jenkins-Final-Municipal-Campaign-Financial-Disclosure-Form
2019,1916,Gudmundon-Tay---Final-Municipal-Campaign-Financial-Disclosure-Redacted,20210118073134,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1916/Gudmundon-Tay---Final-Municipal-Campaign-Financial-Disclosure-Redacted
2019,1917,Cristy-Welsh--Redacted-Final-Campaign-Finance-Form-12-4-19,20210809042925,-,warc/revisit,https://www.vineyardutah.org/DocumentCenter/View/1917/Cristy-Welsh--Redacted-Final-Campaign-Finance-Form-12-4-19
2019,1919,Flake-Final-Election-Financial-Campaign-Disclosure-Statement,20210118074458,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1919/Flake-Final-Election-Financial-Campaign-Disclosure-Statement
2019,1920,Kuder-Keith---Final-Municipal-Campaign-Financial-Disclosure,20210118061832,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1920/Kuder-Keith---Final-Municipal-Campaign-Financial-Disclosure
2019,1921,Lauret-David--Final---Municipal-Campaign-Financial-Disclosure-Form---David-Lauret-191205,20210118074031,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1921/Lauret-David--Final---Municipal-Campaign-Financial-Disclosure-Form---David-Lauret-191205
2019,1923,Hernandez-Hector--redacted-Final-Financial-Disclosure-statement-1252019,20210118082754,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/1923/Hernandez-Hector--redacted-Final-Financial-Disclosure-statement-1252019
2019,1956,2019-Vineyard-Audit-Report,20200812183819,200,application/pdf,http://www.vineyardutah.org/DocumentCenter/View/1956/2019-Vineyard-Audit-Report
2021,2485,Brimhall---Financial-Disclosure,20211127231942,200,application/pdf,https://vineyardutah.org/DocumentCenter/View/2485/Brimhall---Financial-Disclosure
2021,2486,Cane---Financial-Disclosure,20211127231120,200,application/pdf,https://vineyardutah.org/DocumentCenter/View/2486/Cane---Financial-Disclosure
2021,2487,Sifuentes---Financial-Disclosure,20220302090243,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2487/Sifuentes---Financial-Disclosure
2021,2489,Rasmussen---Financial-Disclosure,20220302091055,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2489/Rasmussen---Financial-Disclosure
2021,2490,Fullmer---Financial-Disclosure,20220302090019,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2490/Fullmer---Financial-Disclosure?bidId=
2021,2491,Cane---Financial-Disclosure-redacted,20220302090111,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2491/Cane---Financial-Disclosure-redacted?bidId=
2021,2493,Brimhall---Financial-Disclosure---redacted,20220302085934,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2493/Brimhall---Financial-Disclosure---redacted?bidId=
2021,2494,Price---Financial-Disclosure-redacted,20220302091218,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2494/Price---Financial-Disclosure-redacted
2021,2497,Pacheco---Financial-Disclosure---redacted,20220302090146,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2497/Pacheco---Financial-Disclosure---redacted
2021,2555,Sifuentes---Final-Financial-Disclosure-Form,20220302090618,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2555/Sifuentes---Final-Financial-Disclosure-Form
2021,2556,Cane---Final-Financial-Disclosure-Form,20220302090117,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2556/Cane---Final-Financial-Disclosure-Form
2021,2557,Price---Final-Financial-Disclosure-Form--redacted,20220302091441,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2557/Price---Final-Financial-Disclosure-Form--redacted
2021,2562,Pacheco---Final-Financial-Disclosure---redacted,20220302090153,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2562/Pacheco---Final-Financial-Disclosure---redacted
2021,2563,Rasmussen---Final-Financial-Disclosure-Form,20220302091116,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2563/Rasmussen---Final-Financial-Disclosure-Form
2021,2564,Brimhall---Final-Financial-Disclosure-Form,20220302085944,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2564/Brimhall---Final-Financial-Disclosure-Form
2021,2566,Fullmer---Final-Financial-Disclosure-Form,20220302090021,200,application/pdf,https://www.vineyardutah.org/DocumentCenter/View/2566/Fullmer---Final-Financial-Disclosure-Form
2023,3333,Vineyard-2022-Water-Quality-Report,20240108225821,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://www.vineyardutah.org/DocumentCenter/View/3333/Vineyard-2022-Water-Quality-Report?bidId=
2023,3370,Harbin-Finance-Statement-1,20240304145349,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3370/Harbin-Finance-Statement-1
2023,3371,Teemsma-Finance-Statement-1,20240304142752,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3371/Teemsma-Finance-Statement-1
2023,3372,Holdaway---Financial-Statement-1,20240304145253,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3372/Holdaway---Financial-Statement-1
2023,3373,Hendrix---Financial-Satement-1---Redacted,20240304142931,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3373/Hendrix---Financial-Satement-1---Redacted
2023,3374,Rhoton---Financial-Statement-1,20240304151424,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3374/Rhoton---Financial-Statement-1
2023,3377,Cameron---Financial-Statement-1,20240304154955,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3377/Cameron---Financial-Statement-1
2023,3378,Welsh---Financial-Statement-1,20240304145444,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3378/Welsh---Financial-Statement-1
2023,3391,Harbin----Finance-Statement-2,20240304145355,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3391/Harbin----Finance-Statement-2
2023,3392,Hendrix---Financial-Statement-2---redacted,20240304142937,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3392/Hendrix---Financial-Statement-2---redacted
2023,3394,Cameron---Financial-Statement-2,20240304155112,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3394/Cameron---Financial-Statement-2
2023,3395,Holdaway---Financial-Statement-2,20240304145257,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3395/Holdaway---Financial-Statement-2
2023,3396,Teemsma-Financial-Statement-2,20240304142855,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3396/Teemsma-Financial-Statement-2
2023,3397,Rhoton---Financial-Statement-2,20240304151547,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3397/Rhoton---Financial-Statement-2
2023,3399,Welsh---Financial-Statement-2,20240304150858,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3399/Welsh---Financial-Statement-2
2023,3408,Harbin---2023-Final-Financial-Disclosure-Statement,20240304145404,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3408/Harbin---2023-Final-Financial-Disclosure-Statement
2023,3409,Welsh---Financial-Statement-3,20240304150949,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3409/Welsh---Financial-Statement-3
2023,3411,Cameron---Financial-Statement-3,20240304155350,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3411/Cameron---Financial-Statement-3
2023,3412,Teemsma-Financial-Statement-3,20240304142910,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3412/Teemsma-Financial-Statement-3
2023,3414,Rhoton---Financial-Statement-3,20240304151812,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3414/Rhoton---Financial-Statement-3
2023,3416,Holdaway---Financial-Statement-3,20240304145309,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3416/Holdaway---Financial-Statement-3
2023,3417,Hendrix---Financial-Satement-3-redacted,20240304142951,404,text/html,https://www.vineyardutah.org/DocumentCenter/View/3417/Hendrix---Financial-Satement-3-redacted
