name,date,clip_id,duration_s,media_url,downloadfile_url
Regular City Council Meeting,2016-04-19,57,6480,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=57,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=57
Planning Commission Meeting,2016-04-28,58,3360,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=58,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=58
Redevelopment Agency Meeting,2016-05-03,59,540,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=59,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=59
Regular City Council Meeting,2016-05-03,60,9120,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=60,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=60
City Council Meeting,2016-05-10,61,16560,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=61,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=61
Planning Commission Meeting,2016-05-12,63,3600,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=63,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=63
Regular City Council Meeting,2016-05-17,64,17700,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=64,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=64
Redevelopment Agency Meeting,2016-06-07,73,180,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=73,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=73
Regular City Council Meeting,2016-06-07,74,8340,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=74,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=74
Planning Commission Meeting,2016-06-09,75,8040,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=75,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=75
Redevelopment Agency Meeting,2016-06-14,76,840,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=76,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=76
City Council Meeting,2016-06-14,77,4980,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=77,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=77
Planning Commission Meeting,2016-06-23,78,1260,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=78,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=78
City Council Meeting,2016-06-28,79,7500,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=79,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=79
Redevelopment Agency Meeting,2016-06-28,81,60,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=81,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=81
Planning Commission Meeting,2016-07-14,82,3720,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=82,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=82
Regular City Council Meeting,2016-07-19,83,13680,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=83,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=83
Emergency City Council Meeting,2016-07-22,84,4920,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=84,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=84
Redevelopment Agency Meeting,2016-08-02,85,1140,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=85,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=85
Regular City Council Meeting,2016-08-02,86,11580,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=86,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=86
Planning Commission Meeting,2016-08-11,87,2640,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=87,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=87
Regular City Council Meeting,2016-08-16,88,11160,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=88,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=88
Planning Commission Meeting,2016-08-25,89,12360,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=89,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=89
Redevelopment Agency Meeting,2016-09-06,90,480,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=90,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=90
Regular City Council Meeting,2016-09-06,91,7020,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=91,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=91
Planning Commission Meeting,2016-09-07,92,3900,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=92,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=92
Regular City Council Meeting,2016-09-20,93,9720,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=93,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=93
Planning Commission Meeting,2016-09-22,94,5820,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=94,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=94
Redevelopment Agency Meeting,2016-09-27,95,300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=95,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=95
Regular City Council Meeting,2016-10-04,96,10500,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=96,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=96
Emergency City Council Meeting,2016-10-05,97,360,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=97,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=97
Planning Commission Meeting,2016-10-13,98,3840,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=98,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=98
Regular City Council Meeting,2016-10-18,99,4920,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=99,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=99
Redevelopment Agency Meeting,2016-10-27,100,840,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=100,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=100
Planning Commission Meeting,2016-10-27,101,6180,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=101,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=101
Regular City Council Meeting,2016-11-01,102,11280,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=102,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=102
Planning Commission Meeting,2016-11-10,103,3060,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=103,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=103
Regular City Council Meeting,2016-11-15,104,13140,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=104,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=104
Redevelopment Agency Meeting,2016-11-22,105,180,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=105,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=105
Redevelopment Agency Meeting,2016-12-06,106,1920,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=106,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=106
Board of Equalization Meeting,2016-12-06,107,720,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=107,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=107
Regular City Council Meeting,2016-12-06,108,5880,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=108,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=108
Planning Commission Meeting,2016-12-08,109,7140,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=109,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=109
Redevelopment Agency Meeting,2016-12-21,110,300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=110,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=110
Redevelopment Agency Meeting,2017-01-03,111,900,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=111,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=111
Regular City Council Meeting,2017-01-03,112,9240,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=112,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=112
City Council Meeting,2017-01-10,113,6300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=113,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=113
Planning Commission Meeting,2017-01-12,114,4800,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=114,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=114
Redevelopment Agency Meeting,2017-01-17,115,240,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=115,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=115
Regular City Council Meeting,2017-01-17,116,720,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=116,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=116
Regular City Council Meeting,2017-01-17,117,5940,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=117,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=117
City Council Work Session,2017-01-24,118,11340,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=118,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=118
Planning Commission Meeting,2017-01-26,119,28800,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=119,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=119
Regular City Council Meeting,2017-02-07,120,12660,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=120,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=120
Planning Commission Meeting,2017-02-09,121,3300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=121,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=121
Regular City Council Meeting,2017-02-21,122,6300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=122,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=122
Planning Commission Meeting,2017-02-23,123,4020,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=123,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=123
Regular City Council Meeting,2017-03-07,125,9120,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=125,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=125
Planning Commission Meeting,2017-03-09,126,2820,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=126,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=126
Regular City Council Meeting,2017-03-21,127,5580,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=127,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=127
Planning Commission Meeting,2017-03-23,128,6720,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=128,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=128
Special City Council Meeting,2017-03-28,129,3660,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=129,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=129
Regular City Council Meeting,2017-04-04,130,8220,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=130,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=130
Planning Commission Meeting,2017-04-13,131,9180,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=131,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=131
Regular City Council Meeting,2017-04-18,132,9480,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=132,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=132
Planning Commission Meeting,2017-04-27,133,28800,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=133,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=133
Regular City Council Meeting,2017-05-02,134,1140,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=134,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=134
Regular City Council Meeting,2017-05-02,135,7380,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=135,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=135
Redevelopment Agency Meeting,2017-05-02,136,120,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=136,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=136
Regular City Council Meeting,2017-05-16,137,600,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=137,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=137
Planning Commission Meeting,2017-05-25,138,4500,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=138,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=138
Redevelopment Agency Meeting,2017-06-06,139,240,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=139,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=139
Regular City Council Meeting,2017-06-06,140,10560,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=140,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=140
Planning Commission Meeting,2017-06-08,141,5280,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=141,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=141
Board of Equalization Meeting,2017-06-20,142,840,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=142,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=142
Redevelopment Agency Meeting,2017-06-20,143,240,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=143,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=143
Regular City Council Meeting,2017-06-20,144,11580,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=144,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=144
Planning Commission Meeting,2017-06-22,145,4560,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=145,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=145
Board of Equalization Meeting,2017-07-11,146,1200,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=146,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=146
Regular City Council Meeting,2017-07-11,147,11460,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=147,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=147
Planning Commission Meeting,2017-07-13,148,5940,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=148,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=148
Planning Commission Meeting,2017-07-27,149,3060,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=149,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=149
Regular City Council Meeting,2017-08-01,150,9300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=150,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=150
Planning Commission Meeting,2017-08-10,151,4680,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=151,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=151
Regular City Council Meeting,2017-08-15,152,10740,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=152,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=152
Planning Commission Meeting,2017-08-24,153,3480,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=153,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=153
Regular City Council Meeting,2017-09-05,154,7080,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=154,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=154
Planning Commission Meeting,2017-09-14,155,1440,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=155,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=155
Regular City Council Meeting,2017-09-19,156,9480,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=156,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=156
Planning Commission Meeting,2017-09-28,157,3480,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=157,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=157
Regular City Council Meeting,2017-10-03,158,10380,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=158,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=158
Regular City Council Meeting,2017-10-24,160,7500,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=160,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=160
Riverton Law Enforcement Service Area Meeting,2017-10-24,161,240,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=161,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=161
Regular City Council Meeting,2017-10-24,162,60,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=162,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=162
Planning Commission Meeting,2017-10-26,163,1080,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=163,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=163
Planning Commission Meeting,2017-11-09,164,6300,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=164,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=164
Board of Equalization Meeting,2017-11-14,165,1380,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=165,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=165
Riverton Law Enforcement Service Area Meeting,2017-11-14,166,1440,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=166,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=166
Regular City Council Meeting,2017-11-14,167,5880,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=167,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=167
Board of Canvassers Meeting,2017-11-21,168,360,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=168,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=168
Regular City Council Meeting,2017-11-21,169,180,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=169,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=169
Redevelopment Agency Meeting,2017-11-21,170,1260,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=170,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=170
Regular City Council Meeting,2017-12-05,171,6780,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=171,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=171
Riverton Law Enforcement Service Area Meeting,2017-12-05,172,1800,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=172,https://rivertoncity.granicus.com/DownloadFile.php?view_id=1&clip_id=172
