date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,text_path,note
2016-06-21,"City Council Meeting - June 21, 2016",Council,https://www.youtube.com/watch?v=khH4NgHK54g,khH4NgHK54g,asr,https://www.youtube.com/watch?v=khH4NgHK54g,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-07-12,"City Council Meeting - July 12, 2016",Council,https://www.youtube.com/watch?v=7Zo7lmef8AU,7Zo7lmef8AU,asr,https://www.youtube.com/watch?v=7Zo7lmef8AU,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-08-09,"City Council Meeting - August 9, 2016",Council,https://www.youtube.com/watch?v=bsBF2-47zd8,bsBF2-47zd8,asr,https://www.youtube.com/watch?v=bsBF2-47zd8,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-09-13,"City  Council Meeting - Sept. 13th, 2016",Council,https://www.youtube.com/watch?v=V1Jq1WfzRks,V1Jq1WfzRks,asr,https://www.youtube.com/watch?v=V1Jq1WfzRks,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-09-20,"City  Council Meeting - Sept. 20th, 2016",Council,https://www.youtube.com/watch?v=wO7ri-HuzUY,wO7ri-HuzUY,asr,https://www.youtube.com/watch?v=wO7ri-HuzUY,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-10-11,"City Council Meeting - October 11th, 2016",Council,https://www.youtube.com/watch?v=vIqVCq5FF_4,vIqVCq5FF_4,asr,https://www.youtube.com/watch?v=vIqVCq5FF_4,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-10-25,"City Council Meeting - October 25,2016",Council,https://www.youtube.com/watch?v=XzrSiHxlP24,XzrSiHxlP24,asr,https://www.youtube.com/watch?v=XzrSiHxlP24,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-11-15,"City Council Meeting - November 15, 2016",Council,https://www.youtube.com/watch?v=uVN1FEU6_D4,uVN1FEU6_D4,asr,https://www.youtube.com/watch?v=uVN1FEU6_D4,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2016-12-13,"City Council Meeting - December 13, 2016",Council,https://www.youtube.com/watch?v=AeHrXrvb_EY,AeHrXrvb_EY,asr,https://www.youtube.com/watch?v=AeHrXrvb_EY,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-01-10,"City Council Meeting - January 10, 2017",Council,https://www.youtube.com/watch?v=Uk-XfewxVqo,Uk-XfewxVqo,asr,https://www.youtube.com/watch?v=Uk-XfewxVqo,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-01-24,Orem CIty Council Meeting - Jan 24 2017,Council,https://www.youtube.com/watch?v=Hn0wktvWd3M,Hn0wktvWd3M,asr,https://www.youtube.com/watch?v=Hn0wktvWd3M,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-02-07,Orem CIty Council Meeting - Feb 7 2017,Council,https://www.youtube.com/watch?v=nl0jcsSqCi0,nl0jcsSqCi0,asr,https://www.youtube.com/watch?v=nl0jcsSqCi0,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-02-28,"Orem City Council Meeting - Feb. 28, 2017",Council,https://www.youtube.com/watch?v=sTBfpjIhWhc,sTBfpjIhWhc,asr,https://www.youtube.com/watch?v=sTBfpjIhWhc,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-03-06,"Orem City Council Meeting - March 6th, 2017",Council,https://www.youtube.com/watch?v=QZn75OLFX-k,QZn75OLFX-k,asr,https://www.youtube.com/watch?v=QZn75OLFX-k,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-03-28,"City of Orem City Council Meeting - March 28th, 2017",Council,https://www.youtube.com/watch?v=SFakdagoffM,SFakdagoffM,asr,https://www.youtube.com/watch?v=SFakdagoffM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-04-11,"Orem City Council Meeting - April 11th, 2017",Council,https://www.youtube.com/watch?v=ooZMVoE1S94,ooZMVoE1S94,asr,https://www.youtube.com/watch?v=ooZMVoE1S94,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-04-25,Orem City Council Meeting  - 4/25/2017,Council,https://www.youtube.com/watch?v=uNqLco4Zysw,uNqLco4Zysw,asr,https://www.youtube.com/watch?v=uNqLco4Zysw,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-05-09,"Orem City Council Meeting - May 9, 2017",Council,https://www.youtube.com/watch?v=wx2jgPLEpzA,wx2jgPLEpzA,asr,https://www.youtube.com/watch?v=wx2jgPLEpzA,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-05-23,"Orem City Council Meeting - May 23, 2017",Council,https://www.youtube.com/watch?v=VUaqa_ohj7s,VUaqa_ohj7s,asr,https://www.youtube.com/watch?v=VUaqa_ohj7s,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-06-13,"Orem City Council Meeting - June 13, 2017",Council,https://www.youtube.com/watch?v=DI7khX4nrDk,DI7khX4nrDk,asr,https://www.youtube.com/watch?v=DI7khX4nrDk,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-06-27,"Orem City Council Meeting - June 27, 2017",Council,https://www.youtube.com/watch?v=GinfEmkvAFE,GinfEmkvAFE,asr,https://www.youtube.com/watch?v=GinfEmkvAFE,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-07-11,"Orem City Council Meeting - July 11, 2017",Council,https://www.youtube.com/watch?v=xg8tS4Ofky0,xg8tS4Ofky0,asr,https://www.youtube.com/watch?v=xg8tS4Ofky0,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-08-08,"Orem City Council Meeting - Aug 8, 2017",Council,https://www.youtube.com/watch?v=DCQLOc9gO2c,DCQLOc9gO2c,asr,https://www.youtube.com/watch?v=DCQLOc9gO2c,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-09-12,"Orem City Council Meeting - Sept 12, 2017",Council,https://www.youtube.com/watch?v=5VLWPOCGMnE,5VLWPOCGMnE,asr,https://www.youtube.com/watch?v=5VLWPOCGMnE,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-10-10,"Orem City Council Meeting -  Oct 10, 2017",Council,https://www.youtube.com/watch?v=N7Dxh8QDL1c,N7Dxh8QDL1c,asr,https://www.youtube.com/watch?v=N7Dxh8QDL1c,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2017-10-17,"Orem City Council Meeting -  Oct 17, 2017",Council,https://www.youtube.com/watch?v=brcdSjy85a8,brcdSjy85a8,asr,https://www.youtube.com/watch?v=brcdSjy85a8,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2020-02-05,"Orem City Council/Alpine School District Joint Mtg - Feb. 05, 2020",Council,https://www.youtube.com/watch?v=chuH22VaX8I,chuH22VaX8I,asr,https://www.youtube.com/watch?v=chuH22VaX8I,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-01-12,"City Council Meeting - January 12th, 2021",Council,https://www.youtube.com/watch?v=XXNhOHh26Vg,XXNhOHh26Vg,asr,https://www.youtube.com/watch?v=XXNhOHh26Vg,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-01-26,City Council Meeting 1.26.2021,Council,https://www.youtube.com/watch?v=rOP-F7X5Gik,rOP-F7X5Gik,asr,https://www.youtube.com/watch?v=rOP-F7X5Gik,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-02-09,City Council Work Session - Feb. 9th,Council,https://www.youtube.com/watch?v=GWTb47RY2lQ,GWTb47RY2lQ,asr,https://www.youtube.com/watch?v=GWTb47RY2lQ,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-02-23,City Council Meeting - February 23,Council,https://www.youtube.com/watch?v=2bLrKDgi4yU,2bLrKDgi4yU,asr,https://www.youtube.com/watch?v=2bLrKDgi4yU,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-05-25,"Orem City Council Meeting - May 25, 2021",Council,https://www.youtube.com/watch?v=DVO5D-PY1yA,DVO5D-PY1yA,asr,https://www.youtube.com/watch?v=DVO5D-PY1yA,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-07-27,"Special City Council Meeting - July 27, 2021",Council,https://www.youtube.com/watch?v=rgPJNFbocvM,rgPJNFbocvM,asr,https://www.youtube.com/watch?v=rgPJNFbocvM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-08-09,"Special City Council Meeting - August 9, 2021",Council,https://www.youtube.com/watch?v=KZGNK5spu0g,KZGNK5spu0g,asr,https://www.youtube.com/watch?v=KZGNK5spu0g,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-08-18,"Planning Commission - August 18, 2021",PlanningCommission,https://www.youtube.com/watch?v=1uJ2doTgA4M,1uJ2doTgA4M,asr,https://www.youtube.com/watch?v=1uJ2doTgA4M,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-08-24,"Orem City Council - August 24, 2021",Council,https://www.youtube.com/watch?v=n_s_KIm1Uiw,n_s_KIm1Uiw,asr,https://www.youtube.com/watch?v=n_s_KIm1Uiw,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-09-01,"Planning Commission - September 1, 2021",PlanningCommission,https://www.youtube.com/watch?v=wzfJeutCa0U,wzfJeutCa0U,asr,https://www.youtube.com/watch?v=wzfJeutCa0U,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-09-14,"Orem City Council Meeting - September 14, 2021",Council,https://www.youtube.com/watch?v=M5qWFvUL794,M5qWFvUL794,asr,https://www.youtube.com/watch?v=M5qWFvUL794,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-09-15,"Planning Commission - September 15, 2021",PlanningCommission,https://www.youtube.com/watch?v=qwR3-8NiuNI,qwR3-8NiuNI,asr,https://www.youtube.com/watch?v=qwR3-8NiuNI,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-09-28,"Orem City Council Meeting - September 28, 2021",Council,https://www.youtube.com/watch?v=cQZDIStVPy0,cQZDIStVPy0,asr,https://www.youtube.com/watch?v=cQZDIStVPy0,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-10-20,"Planning Commission - October 20, 2021",PlanningCommission,https://www.youtube.com/watch?v=EyzAuOndiag,EyzAuOndiag,asr,https://www.youtube.com/watch?v=EyzAuOndiag,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-10-26,"Orem City Council - October 26, 2021",Council,https://www.youtube.com/watch?v=qDIy6Ly-03o,qDIy6Ly-03o,asr,https://www.youtube.com/watch?v=qDIy6Ly-03o,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-11-03,"Planning Commission - November 3, 2021",PlanningCommission,https://www.youtube.com/watch?v=jb9NY2mfwKE,jb9NY2mfwKE,asr,https://www.youtube.com/watch?v=jb9NY2mfwKE,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-11-03,"Planning Commission - November 3, 2021",PlanningCommission,https://www.youtube.com/watch?v=FMlK5ajLjl4,FMlK5ajLjl4,asr,https://www.youtube.com/watch?v=FMlK5ajLjl4,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-11-23,"Orem City Council - November 23, 2021 (Regular Session)",Council,https://www.youtube.com/watch?v=JPz-6PqUNvs,JPz-6PqUNvs,asr,https://www.youtube.com/watch?v=JPz-6PqUNvs,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-11-23,"Orem City Council - November 23, 2021",Council,https://www.youtube.com/watch?v=iqK1phw5oXA,iqK1phw5oXA,asr,https://www.youtube.com/watch?v=iqK1phw5oXA,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2021-12-08,"Planning Commission - December 8, 2021",PlanningCommission,https://www.youtube.com/watch?v=lsxhu8dJgxQ,lsxhu8dJgxQ,asr,https://www.youtube.com/watch?v=lsxhu8dJgxQ,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-01-04,"Orem City Council - January 4, 2022 (Work Session)",Council,https://www.youtube.com/watch?v=PiRHsiyuFGk,PiRHsiyuFGk,asr,https://www.youtube.com/watch?v=PiRHsiyuFGk,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-01-10,Orem City Council Meeting - 1.10.22,Council,https://www.youtube.com/watch?v=YeYZcmpMYfE,YeYZcmpMYfE,asr,https://www.youtube.com/watch?v=YeYZcmpMYfE,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-01-11,"Orem City Council - January 11, 2022",Council,https://www.youtube.com/watch?v=Cjvo2kh7Z9g,Cjvo2kh7Z9g,asr,https://www.youtube.com/watch?v=Cjvo2kh7Z9g,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-01-19,"Planning Commission - January 19, 2022",PlanningCommission,https://www.youtube.com/watch?v=6epWq6g33NM,6epWq6g33NM,asr,https://www.youtube.com/watch?v=6epWq6g33NM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-01-25,"Orem City Council - January 25, 2022",Council,https://www.youtube.com/watch?v=7O72WhBdh_8,7O72WhBdh_8,asr,https://www.youtube.com/watch?v=7O72WhBdh_8,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-02-02,"Planning Commission - February 2, 2022",PlanningCommission,https://www.youtube.com/watch?v=XULHFvMAJ80,XULHFvMAJ80,asr,https://www.youtube.com/watch?v=XULHFvMAJ80,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-02-02,"Planning Commission - February 2, 2022",PlanningCommission,https://www.youtube.com/watch?v=RMjnYMatmYs,RMjnYMatmYs,asr,https://www.youtube.com/watch?v=RMjnYMatmYs,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-02-08,"Orem City Council - February 8, 2022",Council,https://www.youtube.com/watch?v=vJcGMmubFtw,vJcGMmubFtw,asr,https://www.youtube.com/watch?v=vJcGMmubFtw,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-02-08,"Planning Commission - February 8, 2022",PlanningCommission,https://www.youtube.com/watch?v=e27JBxTMMtM,e27JBxTMMtM,asr,https://www.youtube.com/watch?v=e27JBxTMMtM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-02-16,"Planning Commission - February 16, 2022",PlanningCommission,https://www.youtube.com/watch?v=wd_2WaKsYig,wd_2WaKsYig,asr,https://www.youtube.com/watch?v=wd_2WaKsYig,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-02-22,"City Council Meeting - February 22, 2022",Council,https://www.youtube.com/watch?v=Vgp-dTFov3o,Vgp-dTFov3o,asr,https://www.youtube.com/watch?v=Vgp-dTFov3o,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-03-02,"Planning Commission - March 2, 2022",PlanningCommission,https://www.youtube.com/watch?v=ayGTW5XeIOo,ayGTW5XeIOo,asr,https://www.youtube.com/watch?v=ayGTW5XeIOo,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-03-09,"Orem City Council Meeting - March 9, 2022",Council,https://www.youtube.com/watch?v=n0FmbWzKLqo,n0FmbWzKLqo,asr,https://www.youtube.com/watch?v=n0FmbWzKLqo,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-03-22,Orem City Council Meeting - 3.22.22,Council,https://www.youtube.com/watch?v=66AwAmv-Sz8,66AwAmv-Sz8,asr,https://www.youtube.com/watch?v=66AwAmv-Sz8,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-04-12,Orem City Council Meeting - 4.12.22,Council,https://www.youtube.com/watch?v=QW6HvVk8_bQ,QW6HvVk8_bQ,asr,https://www.youtube.com/watch?v=QW6HvVk8_bQ,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-04-26,"Orem City Council Meeting - April 26, 2022",Council,https://www.youtube.com/watch?v=e3_BXKkOEHM,e3_BXKkOEHM,asr,https://www.youtube.com/watch?v=e3_BXKkOEHM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-05-10,Orem City Council Meeting - 5.10.22,Council,https://www.youtube.com/watch?v=ca1L49t3ZmQ,ca1L49t3ZmQ,asr,https://www.youtube.com/watch?v=ca1L49t3ZmQ,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-05-24,"Orem City Council Meeting May, 24, 2022",Council,https://www.youtube.com/watch?v=hX1j-HcI2t8,hX1j-HcI2t8,asr,https://www.youtube.com/watch?v=hX1j-HcI2t8,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-06-14,Orem City Council Meeting - 6.14.22,Council,https://www.youtube.com/watch?v=-FQoOgHKoSI,-FQoOgHKoSI,asr,https://www.youtube.com/watch?v=-FQoOgHKoSI,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-06-15,City of Orem Planning Commission 6-15-2022,PlanningCommission,https://www.youtube.com/watch?v=5qEyD4WN_1A,5qEyD4WN_1A,asr,https://www.youtube.com/watch?v=5qEyD4WN_1A,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-06-28,"Orem City Council Meeting - June 28, 2022",Council,https://www.youtube.com/watch?v=V1ghIMlX0UE,V1ghIMlX0UE,asr,https://www.youtube.com/watch?v=V1ghIMlX0UE,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-07-06,Orem City Planning Commission Pre-meeting 7-6-2022,PlanningCommission,https://www.youtube.com/watch?v=G_9zgTEcLJ4,G_9zgTEcLJ4,asr,https://www.youtube.com/watch?v=G_9zgTEcLJ4,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-07-06,Orem planning commission July 6 2022,PlanningCommission,https://www.youtube.com/watch?v=w7y3JXiGWH0,w7y3JXiGWH0,asr,https://www.youtube.com/watch?v=w7y3JXiGWH0,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-07-12,Orem City Council Meeting - 7.12.22,Council,https://www.youtube.com/watch?v=gUU-qzmgYB4,gUU-qzmgYB4,asr,https://www.youtube.com/watch?v=gUU-qzmgYB4,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-07-20,"City of Orem Planning Commission Meeting, July 20, 2022",PlanningCommission,https://www.youtube.com/watch?v=OxgkBXwOD-A,OxgkBXwOD-A,asr,https://www.youtube.com/watch?v=OxgkBXwOD-A,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-08-17,Orem City Planning Commission Meeting 8.17.22,PlanningCommission,https://www.youtube.com/watch?v=6a7AO51m-5A,6a7AO51m-5A,asr,https://www.youtube.com/watch?v=6a7AO51m-5A,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-08-23,Orem City Council Meeting - 8.23.22,Council,https://www.youtube.com/watch?v=3El3whQpWUA,3El3whQpWUA,asr,https://www.youtube.com/watch?v=3El3whQpWUA,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-09-07,"Orem City Planning Commission, September 7, 2022",PlanningCommission,https://www.youtube.com/watch?v=jBS1kjviCf4,jBS1kjviCf4,asr,https://www.youtube.com/watch?v=jBS1kjviCf4,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2022-09-07_pc.vtt,text/2022-09-07_pc.md,sample caption retrieved
2022-09-13,Orem City Council Meeting 9.13.2022,Council,https://www.youtube.com/watch?v=71NyMBxAEVU,71NyMBxAEVU,asr,https://www.youtube.com/watch?v=71NyMBxAEVU,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-09-21,"Orem City Planning Commission - September 21, 2022",PlanningCommission,https://www.youtube.com/watch?v=B4lM-GH-LEo,B4lM-GH-LEo,asr,https://www.youtube.com/watch?v=B4lM-GH-LEo,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2022-09-21_pc.vtt,text/2022-09-21_pc.md,sample caption retrieved
2022-09-27,Orem City Council Meeting | 9.27.22,Council,https://www.youtube.com/watch?v=VYD2zTZo8bc,VYD2zTZo8bc,asr,https://www.youtube.com/watch?v=VYD2zTZo8bc,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-10-25,Orem City Council Meeting - 10.25.22,Council,https://www.youtube.com/watch?v=3L5nZLrGMS0,3L5nZLrGMS0,asr,https://www.youtube.com/watch?v=3L5nZLrGMS0,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-11-09,Orem City Council Meeting - 11.9,Council,https://www.youtube.com/watch?v=TuxodrZ1IPY,TuxodrZ1IPY,asr,https://www.youtube.com/watch?v=TuxodrZ1IPY,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2022-12-13,Orem City Council Meeting 12.13.22,Council,https://www.youtube.com/watch?v=6vJbV8aS0Ls,6vJbV8aS0Ls,asr,https://www.youtube.com/watch?v=6vJbV8aS0Ls,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2023-01-24,Orem City Council Meeting - 1.24.2023,Council,https://www.youtube.com/watch?v=z2j-1uxrZ9Q,z2j-1uxrZ9Q,asr,https://www.youtube.com/watch?v=z2j-1uxrZ9Q,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2023-09-19,City Council Meeting | 9.19.2023,Council,https://www.youtube.com/watch?v=IcF1lv_jmsM,IcF1lv_jmsM,asr,https://www.youtube.com/watch?v=IcF1lv_jmsM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2023-12-12,Orem City Council Meeting | 12.12.2023 - Full Version,Council,https://www.youtube.com/watch?v=GA6jZkxaV0g,GA6jZkxaV0g,asr,https://www.youtube.com/watch?v=GA6jZkxaV0g,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2024-04-23,Orem City Council Meeting- 4/23/2024 pt. 2,Council,https://www.youtube.com/watch?v=ixTAkeKdhfM,ixTAkeKdhfM,asr,https://www.youtube.com/watch?v=ixTAkeKdhfM,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2024-04-23,Orem City Council - 04/23/2024,Council,https://www.youtube.com/watch?v=UMTLyQaOEgI,UMTLyQaOEgI,asr,https://www.youtube.com/watch?v=UMTLyQaOEgI,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2024-06-18,City Council Meeting 6.18.2024,Council,https://www.youtube.com/watch?v=VHLlqzdFDtA,VHLlqzdFDtA,asr,https://www.youtube.com/watch?v=VHLlqzdFDtA,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2025-01-28,Orem City Council Meeting | 1.28.2025,Council,https://www.youtube.com/watch?v=OeIagiDM1yI,OeIagiDM1yI,asr,https://www.youtube.com/watch?v=OeIagiDM1yI,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2025-01-28.vtt,text/2025-01-28.md,sample caption retrieved
2025-02-11,Orem City Council Meeting | 2.11.2025,Council,https://www.youtube.com/watch?v=eiZDktyyeeI,eiZDktyyeeI,asr,https://www.youtube.com/watch?v=eiZDktyyeeI,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2025-02-11.vtt,text/2025-02-11.md,sample caption retrieved
2025-03-11,Orem City Council Meeting | 3.11.2025,Council,https://www.youtube.com/watch?v=1RT8Xm8xCms,1RT8Xm8xCms,asr,https://www.youtube.com/watch?v=1RT8Xm8xCms,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2025-03-25,Orem City Council Meeting | 3.25.2025,Council,https://www.youtube.com/watch?v=4IKViWqoaDk,4IKViWqoaDk,asr,https://www.youtube.com/watch?v=4IKViWqoaDk,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2025-03-25.vtt,text/2025-03-25.md,sample caption retrieved
2025-04-08,Orem City Council Meeting | 4.8.2025,Council,https://www.youtube.com/watch?v=zvIk172Z6pM,zvIk172Z6pM,asr,https://www.youtube.com/watch?v=zvIk172Z6pM,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2025-04-08.vtt,text/2025-04-08.md,sample caption retrieved
2025-04-22,Orem City Council Meeting | 4.22.2025,Council,https://www.youtube.com/watch?v=H7bSl28TMS4,H7bSl28TMS4,asr,https://www.youtube.com/watch?v=H7bSl28TMS4,2026-07-05,na,mapped_not_downloaded_sample_only,,,video unavailable (removed/private) as of 2026-07-05
2025-05-13,Orem City Council Meeting | 5.13.2025,Council,https://www.youtube.com/watch?v=Z6QUxoTSjL4,Z6QUxoTSjL4,asr,https://www.youtube.com/watch?v=Z6QUxoTSjL4,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2025-05-13.vtt,text/2025-05-13.md,sample caption retrieved
2025-05-13,Orem City Council Meeting | 5.13.2025 Pt 2,Council,https://www.youtube.com/watch?v=Gp9YVqlpS3c,Gp9YVqlpS3c,asr,https://www.youtube.com/watch?v=Gp9YVqlpS3c,2026-07-05,na,mapped_not_downloaded_sample_only,,,
2025-05-27,Orem City Council Meeting | 5.27.2025,Council,https://www.youtube.com/watch?v=zQN0lDYDnaY,zQN0lDYDnaY,asr,https://www.youtube.com/watch?v=zQN0lDYDnaY,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2025-05-27.vtt,text/2025-05-27.md,sample caption retrieved
2025-06-10,Orem City Council Meeting | 6.10.2025,Council,https://www.youtube.com/watch?v=BT0fmCf6cQs,BT0fmCf6cQs,asr,https://www.youtube.com/watch?v=BT0fmCf6cQs,2026-07-05,caption,yt-dlp --write-auto-sub (en-orig vtt),raw/2025-06-10.vtt,text/2025-06-10.md,sample caption retrieved
