date,year,title,slug,body,path,source,source_url,notice_url,pmn_body_id,pmn_file_id,retrieved_date,format,extraction_method,orig_filename
2024-03-12,2024,City Council Regular Meeting,2024-03-12-council-city-council-regular-meeting,Council,raw/2024-03-12__council__CC-Minutes-3-12-2024.pdf,pmn,https://www.utah.gov/pmn/files/1103645.pdf,https://www.utah.gov/pmn/sitemap/notice/898007.html,753,1103645,2026-07-13,text,pdftotext,CC Minutes 3-12-2024.pdf
2024-03-12,2024,Redevelopment Agency Meeting,2024-03-12-rda-redevelopment-agency-meeting,RDA,raw/2024-03-12__rda__RDA-Minutes-3-12-2024.pdf,pmn,https://www.utah.gov/pmn/files/1103649.pdf,https://www.utah.gov/pmn/sitemap/notice/898013.html,756,1103649,2026-07-13,text,pdftotext,RDA Minutes 3-12-2024.pdf
2024-05-07,2024,City Council Regular Meeting,2024-05-07-council-city-council-regular-meeting,Council,raw/2024-05-07__council__CC-Minutes-5-7-2024.pdf,pmn,https://www.utah.gov/pmn/files/1131957.pdf,https://www.utah.gov/pmn/sitemap/notice/910767.html,753,1131957,2026-07-13,text,pdftotext,CC Minutes 5-7-2024.pdf
2024-05-07,2024,Municipal Building Authority Meeting,2024-05-07-mba-municipal-building-authority-meeting,MBA,raw/2024-05-07__mba__MBA-Minutes-5-7-2024.pdf,pmn,https://www.utah.gov/pmn/files/1204845.pdf,https://www.utah.gov/pmn/sitemap/notice/910761.html,757,1204845,2026-07-13,text,pdftotext,MBA Minutes 5-7-2024.pdf.pdf
2024-05-07,2024,Redevelopment Agency Meeting,2024-05-07-rda-redevelopment-agency-meeting,RDA,raw/2024-05-07__rda__RDA-Minutes-5-7-2024.pdf,pmn,https://www.utah.gov/pmn/files/1140753.pdf,https://www.utah.gov/pmn/sitemap/notice/910759.html,756,1140753,2026-07-13,text,pdftotext,RDA Minutes 5-7-2024.pdf
2024-05-21,2024,City Council Regular Meeting,2024-05-21-council-city-council-regular-meeting,Council,raw/2024-05-21__council__CC-Minutes-5-21-2024.pdf,pmn,https://www.utah.gov/pmn/files/1131955.pdf,https://www.utah.gov/pmn/sitemap/notice/914489.html,753,1131955,2026-07-13,text,pdftotext,CC Minutes 5-21-2024.pdf
2024-05-21,2024,Redevelopment Agency Meeting,2024-05-21-rda-redevelopment-agency-meeting,RDA,raw/2024-05-21__rda__RDA-Minutes-5-21-2024.pdf,pmn,https://www.utah.gov/pmn/files/1140759.pdf,https://www.utah.gov/pmn/sitemap/notice/914469.html,756,1140759,2026-07-13,text,pdftotext,RDA Minutes 5-21-2024.pdf
2024-06-18,2024,City Council Regular Meeting,2024-06-18-council-city-council-regular-meeting,Council,raw/2024-06-18__council__CC-Minutes-6-18-2024.pdf,pmn,https://www.utah.gov/pmn/files/1149461.pdf,https://www.utah.gov/pmn/sitemap/notice/921139.html,753,1149461,2026-07-13,text,pdftotext,CC Minutes 6-18-2024.pdf
2024-06-18,2024,Redevelopment Agency Meeting,2024-06-18-rda-redevelopment-agency-meeting,RDA,raw/2024-06-18__rda__RDA-Minutes-6-18-2024.pdf,pmn,https://www.utah.gov/pmn/files/1149241.pdf,https://www.utah.gov/pmn/sitemap/notice/921141.html,756,1149241,2026-07-13,text,pdftotext,RDA Minutes 6-18-2024.pdf
2024-08-06,2024,Redevelopment Agency Meeting,2024-08-06-rda-redevelopment-agency-meeting,RDA,raw/2024-08-06__rda__RDA-Minutes-8-6-2024.pdf,pmn,https://www.utah.gov/pmn/files/1165967.pdf,https://www.utah.gov/pmn/sitemap/notice/930475.html,756,1165967,2026-07-13,text,pdftotext,RDA Minutes 8-6-2024.pdf
2025-06-03,2025,City Council Regular Meeting,2025-06-03-council-city-council-regular-meeting,Council,raw/2025-06-03__council__CC-Minutes-6-3-2025.pdf,pmn,https://www.utah.gov/pmn/files/1290349.pdf,https://www.utah.gov/pmn/sitemap/notice/998391.html,753,1290349,2026-07-13,text,pdftotext,CC Minutes 6-3-2025.pdf
2025-06-03,2025,Redevelopment Agency Meeting,2025-06-03-rda-redevelopment-agency-meeting,RDA,raw/2025-06-03__rda__RDA-Minutes-6-3-2025.pdf,pmn,https://www.utah.gov/pmn/files/1299325.pdf,https://www.utah.gov/pmn/sitemap/notice/998399.html,756,1299325,2026-07-13,text,pdftotext,RDA Minutes 6-3-2025.pdf
