date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,word_count,youtube_duration_s,duplicate_video_id,granicus_clip_id,granicus_media_url,granicus_mp4_url,note
2026-02-17,City Council - Draper City - 2026-02-17,Council,https://www.youtube.com/watch?v=6KgJJeVSR_Y,6KgJJeVSR_Y,asr,https://www.youtube.com/watch?v=6KgJJeVSR_Y,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-02-17_city-council.md,17914,6999,jZP66uJpGj0,2037,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2037,https://archive-video.granicus.com/draper/draper_ccb93876-e9fb-4800-a549-acce8910cca8.mp4,
2026-02-18,Historic Preservation Commission - Draper City - 2026-02-18,HistoricPreservationCommission,https://www.youtube.com/watch?v=Lj4A18_dvY0,Lj4A18_dvY0,asr,https://www.youtube.com/watch?v=Lj4A18_dvY0,2026-07-13,na,not_retrieved_sample_policy,,,2625,NN46ZvDD5AE,2038,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2038,https://archive-video.granicus.com/draper/draper_8cdd5bf0-dbd6-4d7f-8370-141aa7088c7c.mp4,
2026-02-25,Community Engagement and Events Committee - Draper City - 2026-02-25,CommunityEngagementEventsCommittee,https://www.youtube.com/watch?v=HyMo48cz7AI,HyMo48cz7AI,asr,https://www.youtube.com/watch?v=HyMo48cz7AI,2026-07-13,na,not_retrieved_sample_policy,,,2879,Y-blkozfy8Y,2040,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2040,https://archive-video.granicus.com/draper/draper_0cbd0c3a-0c78-4079-b1b3-6a0b17a93ab2.mp4,
2026-02-26,Planning Commission - Draper City - 2026-02-26,PlanningCommission,https://www.youtube.com/watch?v=q96OXmyzNXc,q96OXmyzNXc,asr,https://www.youtube.com/watch?v=q96OXmyzNXc,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-02-26_planning-commission.md,16884,6011,R3siwvMhsgc,2041,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2041,https://archive-video.granicus.com/draper/draper_ecb863ec-abed-4eda-a8ce-6cb0191efa52.mp4,
2026-03-03,City Council - Draper City - 2026-03-03,Council,https://www.youtube.com/watch?v=gL9mxc99KoY,gL9mxc99KoY,asr,https://www.youtube.com/watch?v=gL9mxc99KoY,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-03-03_city-council.md,14398,5735,wmJ202KkhBw,2043,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2043,https://archive-video.granicus.com/draper/draper_9ae314bf-902e-468a-9288-a02b686daf9b.mp4,
2026-03-03,Tree Committee - Draper City - 2026-03-03,TreeCommittee,https://www.youtube.com/watch?v=5Rc9COnD980,5Rc9COnD980,asr,https://www.youtube.com/watch?v=5Rc9COnD980,2026-07-13,na,not_retrieved_sample_policy,,,3908,Ukv3qAjvz8Q,2042,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2042,https://archive-video.granicus.com/draper/draper_2aabdede-d42f-4ef6-8343-72eee756ae33.mp4,
2026-03-12,Planning Commission - Draper City - 2026-03-12,PlanningCommission,https://www.youtube.com/watch?v=atmd5vqHDS4,atmd5vqHDS4,asr,https://www.youtube.com/watch?v=atmd5vqHDS4,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-03-12_planning-commission.md,34203,12318,0SU1GjiCvdU,2046,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2046,https://archive-video.granicus.com/draper/draper_373eeeec-64f0-44d2-b11f-a801e4f94d13.mp4,captions fetched from duplicate upload (primary upload 0SU1GjiCvdU has no caption track)
2026-03-18,Historic Preservation Commission - Draper City - 2026-03-18,HistoricPreservationCommission,https://www.youtube.com/watch?v=cmOWy4dRlKU,cmOWy4dRlKU,asr,https://www.youtube.com/watch?v=cmOWy4dRlKU,2026-07-13,na,not_retrieved_sample_policy,,,3994,js1NXpQNDPs,2050,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2050,https://archive-video.granicus.com/draper/draper_dd86b5db-ed87-489a-b5ff-6fc8d045fe5e.mp4,
2026-03-24,City Council - Draper City - 2026-03-24,Council,https://www.youtube.com/watch?v=iLvicQF_g1Y,iLvicQF_g1Y,asr,https://www.youtube.com/watch?v=iLvicQF_g1Y,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-03-24_city-council.md,14158,5238,QyxOegzZMcg,2053,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2053,https://archive-video.granicus.com/draper/draper_269f240a-d28a-417c-9cc3-87a8408f830e.mp4,mirror video 5238s vs Granicus clip 7680s — mirror likely truncated
2026-03-25,Community Engagement and Events Committee - Draper City - 2026-03-25,CommunityEngagementEventsCommittee,https://www.youtube.com/watch?v=VUGX4kvTGoM,VUGX4kvTGoM,asr,https://www.youtube.com/watch?v=VUGX4kvTGoM,2026-07-13,na,not_retrieved_sample_policy,,,7202,juK4zTLXLMk,2055,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2055,https://archive-video.granicus.com/draper/draper_02c6ebf9-14ba-4465-9bec-94fa03123c31.mp4,
2026-03-26,Planning Commission - Draper City - 2026-03-26,PlanningCommission,https://www.youtube.com/watch?v=GcG21IXYgQY,GcG21IXYgQY,asr,https://www.youtube.com/watch?v=GcG21IXYgQY,2026-07-13,na,not_retrieved_sample_policy,,,14572,,2068,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2068,https://archive-video.granicus.com/draper/draper_ef57df08-09f6-49bb-bdc8-cf8129b88fd7.mp4,
2026-03-31,Appeals and Variance Officer - Draper City - 2026-03-31,AppealsVarianceOfficer,https://www.youtube.com/watch?v=BrhLmhY6i2Q,BrhLmhY6i2Q,asr,https://www.youtube.com/watch?v=BrhLmhY6i2Q,2026-07-13,na,not_retrieved_sample_policy,,,2988,pbFK9beZ5pA,2071,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2071,https://archive-video.granicus.com/draper/draper_88eb45d5-5cd8-4d7b-9aa0-2e13b3cd80a9.mp4,
2026-04-07,City Council - Draper City - 2026-04-07,Council,https://www.youtube.com/watch?v=AYHPB0UqL1I,AYHPB0UqL1I,asr,https://www.youtube.com/watch?v=AYHPB0UqL1I,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-04-07_city-council.md,36980,14779,iWDm5JRxG_Y,2073,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2073,https://archive-video.granicus.com/draper/draper_dcd85115-45d9-43e6-aff0-6a2b14a80ccc.mp4,
2026-04-07,Tree Committee - Draper City - 2026-04-07,TreeCommittee,https://www.youtube.com/watch?v=y-5txd0sjtM,y-5txd0sjtM,asr,https://www.youtube.com/watch?v=y-5txd0sjtM,2026-07-13,na,not_retrieved_sample_policy,,,3236,,2072,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2072,https://archive-video.granicus.com/draper/draper_ea358965-2056-45b1-98a1-b8cfdf6ad5b4.mp4,
2026-04-15,Historic Preservation Commission - Draper City - 2026-04-15,HistoricPreservationCommission,https://www.youtube.com/watch?v=i9djuDik88c,i9djuDik88c,none,https://www.youtube.com/watch?v=i9djuDik88c,2026-07-13,na,no_caption_track_on_source,,,2256,,2077,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2077,https://archive-video.granicus.com/draper/draper_68c9ed1a-7c4a-4c29-b89b-13bc2bfe47b4.mp4,
