video_id,title,date,body,duration_s,video_url
NN46ZvDD5AE,Historic Preservation Commission - Draper City - 2026-02-18,2026-02-18,HistoricPreservationCommission,2625,https://www.youtube.com/watch?v=NN46ZvDD5AE
HyMo48cz7AI,Community Engagement and Events Committee - Draper City - 2026-02-25,2026-02-25,CommunityEngagementEventsCommittee,2879,https://www.youtube.com/watch?v=HyMo48cz7AI
Y-blkozfy8Y,Community Engagement and Events Committee - Draper City - 2026-02-25,2026-02-25,CommunityEngagementEventsCommittee,2879,https://www.youtube.com/watch?v=Y-blkozfy8Y
R3siwvMhsgc,Planning Commission - Draper City - 2026-02-26,2026-02-26,PlanningCommission,6011,https://www.youtube.com/watch?v=R3siwvMhsgc
q96OXmyzNXc,Planning Commission - Draper City - 2026-02-26,2026-02-26,PlanningCommission,6011,https://www.youtube.com/watch?v=q96OXmyzNXc
gL9mxc99KoY,City Council - Draper City - 2026-03-03,2026-03-03,Council,5735,https://www.youtube.com/watch?v=gL9mxc99KoY
wmJ202KkhBw,City Council - Draper City - 2026-03-03,2026-03-03,Council,5735,https://www.youtube.com/watch?v=wmJ202KkhBw
5Rc9COnD980,Tree Committee - Draper City - 2026-03-03,2026-03-03,TreeCommittee,3908,https://www.youtube.com/watch?v=5Rc9COnD980
Ukv3qAjvz8Q,Tree Committee - Draper City - 2026-03-03,2026-03-03,TreeCommittee,3908,https://www.youtube.com/watch?v=Ukv3qAjvz8Q
0SU1GjiCvdU,Planning Commission - Draper City - 2026-03-12,2026-03-12,PlanningCommission,12318,https://www.youtube.com/watch?v=0SU1GjiCvdU
atmd5vqHDS4,Planning Commission - Draper City - 2026-03-12,2026-03-12,PlanningCommission,12318,https://www.youtube.com/watch?v=atmd5vqHDS4
cmOWy4dRlKU,Historic Preservation Commission - Draper City - 2026-03-18,2026-03-18,HistoricPreservationCommission,3994,https://www.youtube.com/watch?v=cmOWy4dRlKU
js1NXpQNDPs,Historic Preservation Commission - Draper City - 2026-03-18,2026-03-18,HistoricPreservationCommission,3994,https://www.youtube.com/watch?v=js1NXpQNDPs
QyxOegzZMcg,City Council - Draper City - 2026-03-24,2026-03-24,Council,5238,https://www.youtube.com/watch?v=QyxOegzZMcg
iLvicQF_g1Y,City Council - Draper City - 2026-03-24,2026-03-24,Council,5238,https://www.youtube.com/watch?v=iLvicQF_g1Y
VUGX4kvTGoM,Community Engagement and Events Committee - Draper City - 2026-03-25,2026-03-25,CommunityEngagementEventsCommittee,7202,https://www.youtube.com/watch?v=VUGX4kvTGoM
juK4zTLXLMk,Community Engagement and Events Committee - Draper City - 2026-03-25,2026-03-25,CommunityEngagementEventsCommittee,7202,https://www.youtube.com/watch?v=juK4zTLXLMk
GcG21IXYgQY,Planning Commission - Draper City - 2026-03-26,2026-03-26,PlanningCommission,14572,https://www.youtube.com/watch?v=GcG21IXYgQY
BrhLmhY6i2Q,Appeals and Variance Officer - Draper City - 2026-03-31,2026-03-31,AppealsVarianceOfficer,2988,https://www.youtube.com/watch?v=BrhLmhY6i2Q
pbFK9beZ5pA,Appeals and Variance Officer - Draper City - 2026-03-31,2026-03-31,AppealsVarianceOfficer,2988,https://www.youtube.com/watch?v=pbFK9beZ5pA
AYHPB0UqL1I,City Council - Draper City - 2026-04-07,2026-04-07,Council,14779,https://www.youtube.com/watch?v=AYHPB0UqL1I
iWDm5JRxG_Y,City Council - Draper City - 2026-04-07,2026-04-07,Council,14779,https://www.youtube.com/watch?v=iWDm5JRxG_Y
y-5txd0sjtM,Tree Committee - Draper City - 2026-04-07,2026-04-07,TreeCommittee,3236,https://www.youtube.com/watch?v=y-5txd0sjtM
i9djuDik88c,Historic Preservation Commission - Draper City - 2026-04-15,2026-04-15,HistoricPreservationCommission,2256,https://www.youtube.com/watch?v=i9djuDik88c
