ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,kind,date_basis,lu_basis,n_motions,origin,audit_flag
20-13,2020-06-16,2020-06-16,Ordinance 20-13 — Amending Private Club Liquor License Consents Bar Establishments,https://www.loganutah.gov/departments/admin/council/20-13%20Amending%20Private%20Club%20Liquor%20License%20Consents%20Bar%20Establishments.pdf?t=202010091023580,,na,recorder_listing,,no,4-1 Pass (no names),2020-06-16,4,high,Ordinance,council_motion,,2,archive,
20-14,2020-06-16,2020-06-16,Ordinance 20-14 — Vacation Logan City to State of Utah Fish and Game 1465 W 200 N,https://www.loganutah.gov/departments/admin/council/20-14%20Vacation%20Logan%20City%20to%20State%20of%20Utah%20Fish%20and%20Game%201465%20W%20200%20N.pdf?t=202010091024430,2026-07-05,text,recorder_pdf,raw/ord_20-14_Vacation_Logan_City_to_State_of_Utah_Fish_and_Game_1465_W_200_N.pdf,yes,Carried unanimously (no names),2020-06-16,2,high,Ordinance,council_motion,keyword,1,archive,
20-15,2020-07-21,2020-07-21,Ordinance 20-15 — Westfield Warehouse Rezone,https://www.loganutah.gov/departments/admin/20-15%20Westfield%20Warehouse%20Rezone.pdf?t=202010091025330,2026-07-05,text,recorder_pdf,raw/ord_20-15_Westfield_Warehouse_Rezone.pdf,yes,3-2 Pass (no names),2020-07-21,6,high,Ordinance,council_motion,keyword,1,archive,
20-16,2020-07-21,2020-07-21,Ordinance 20-16 — AMENDED Trespass LMC,https://www.loganutah.gov/departments/admin/council/20-16%20AMENDED%20Trespass%20LMC.pdf?t=202010091028090,,na,recorder_listing,,no,Carried unanimously (no names),2020-07-21,4,high,Ordinance,council_motion,,1,archive,
20-17,2020-07-07,2020-07-07,Ordinance 20-17 — Amended Date Prohibiting the Distribution of Disposable Plastic Bags,https://www.loganutah.gov/departments/admin/council/20-17%20Amended%20Date%20Prohibiting%20the%20Distribution%20of%20Disposable%20Plastic%20Bags.pdf?t=202010091029060,,na,recorder_listing,,no,Carried unanimously (no names),2020-07-07,4,high,Ordinance,council_motion,,1,archive,
20-18,2020-08-04,2020-08-04,Ordinance 20-18 — Brown Warehouse Rezone - DENIED,https://www.loganutah.gov/departments/admin/council/20-18%20Brown%20Warehouse%20Rezone%20-%20DENIED.pdf?t=202010091029430,2026-07-05,text,recorder_pdf,raw/ord_20-18_Brown_Warehouse_Rezone_-_DENIED.pdf,yes,Carried unanimously (no names),2020-08-04,4,high,Ordinance,council_motion,keyword,1,archive,
20-19,2020-08-04,2020-08-04,Ordinance 20-19 — Global Property Town Home and Rezone - DENIED,https://www.loganutah.gov/departments/admin/council/20-19%20Global%20Property%20Town%20Home%20and%20Rezone%20-%20DENIED.pdf?t=202010091030460,2026-07-05,text,recorder_pdf,raw/ord_20-19_Global_Property_Town_Home_and_Rezone_-_DENIED.pdf,yes,Carried unanimously (no names),2020-08-04,5,high,Ordinance,council_motion,keyword,1,archive,
20-20,2020-08-04,2020-08-04,Ordinance 20-20 — Citywide Zoning Map Amendments,https://www.loganutah.gov/departments/admin/council/20-20%20Citywide%20Zoning%20Map%20Amendments.pdf?t=202010091031290,2026-07-05,text,recorder_pdf,raw/ord_20-20_Citywide_Zoning_Map_Amendments.pdf,yes,Carried unanimously (no names),2020-08-04,6,high,Ordinance,council_motion,keyword,1,archive,
20-21,2020-08-04,2020-08-04,"Ordinance 20-21 — ADA, Subdivision, Procedural LDC Amendments",https://www.loganutah.gov/departments/admin/council/20-21%20ADA%2C%20Subdivision%2C%20Procedural%20LDC%20Amendments.pdf?t=202010091032120,2026-07-05,text,recorder_pdf,raw/ord_20-21_ADA_Subdivision_Procedural_LDC_Amendments.pdf,yes,Carried unanimously (no names),2020-08-04,7,high,Ordinance,council_motion,keyword,1,archive,
20-22,2020-08-04,2020-08-04,Ordinance 20-22 — Public Works Design Standards,https://www.loganutah.gov/departments/admin/council/20-22%20Public%20Works%20Design%20Standards.pdf?t=202010091032500,2026-07-05,text,recorder_pdf,raw/ord_20-22_Public_Works_Design_Standards.pdf,yes,Carried unanimously (no names),2020-08-04,8,high,Ordinance,council_motion,keyword,1,archive,
20-23,2020-08-04,2020-08-04,Ordinance 20-23 — Commercial Design Standards LDC Amendments,https://www.loganutah.gov/departments/admin/council/20-23%20Commercial%20Design%20Standards%20LDC%20Amendments.pdf?t=202010091033290,2026-07-05,text,recorder_pdf,raw/ord_20-23_Commercial_Design_Standards_LDC_Amendments.pdf,yes,Carried unanimously (no names),2020-08-04,9,high,Ordinance,council_motion,keyword,1,archive,
20-24,2020-08-04,2020-08-04,Ordinance 20-24 — Wireless Telecommunications Facilities Amendments,https://www.loganutah.gov/departments/admin/council/20-24%20Wireless%20Telecommunications%20Facilities%20Amendments.pdf?t=202010091034050,2026-07-05,text,recorder_pdf,raw/ord_20-24_Wireless_Telecommunications_Facilities_Amendments.pdf,yes,Carried unanimously (no names),2020-08-04,10,high,Ordinance,council_motion,keyword,1,archive,
20-25,2020-11-17,2020-11-17,"Ordinance 20-25 — (from motion) continue Ordinance 20-25 to the February 2, 2021 Council mee",meeting_minutes/minutes/2020/2020-11-16/2020-11-17_city-council-meeting.md,,na,minutes_motion_text,,no,Carried unanimously (no names),2020-11-17,4,within_source,Ordinance,council_motion,,2,votes,no_archive_pdf
20-26,2020-09-15,2020-09-15,Ordinance 20-26 — (from motion) adopt Ordinance 20-26 as presented,meeting_minutes/minutes/2020/2020-09-14/2020-09-15_city-council-meeting.md,,na,minutes_motion_text,,no,Carried unanimously (no names),2020-09-15,4,within_source,Ordinance,council_motion,,1,votes,no_archive_pdf
20-27,2020-10-06,2020-10-06,Ordinance 20-27 — Vacation 2054 S 1400 W Spring Creek Village,https://www.loganutah.gov/departments/admin/council/20-27%20Vacation%202054%20S%201400%20W%20Spring%20Creek%20Village.pdf?t=202010091034390,2026-07-05,text,recorder_pdf,raw/ord_20-27_Vacation_2054_S_1400_W_Spring_Creek_Village.pdf,yes,Carried unanimously (no names),2020-10-06,3,high,Ordinance,council_motion,keyword,1,archive,
20-28,2020-10-06,2020-10-06,Ordinance 20-28 — LMC Children in Vehicles,https://www.loganutah.gov/departments/admin/council/20-28%20LMC%20Children%20in%20Vehicles.pdf?t=202010091035150,,na,recorder_listing,,no,Carried unanimously (no names),2020-10-06,6,high,Ordinance,council_motion,,1,archive,
20-29,2020-11-03,2020-11-03,Ordinance 20-29 — Woodmore Pointe Rezone,https://www.loganutah.gov/departments/admin/council/20-29%20Woodmore%20Pointe%20Rezone.pdf?t=202011061704010,2026-07-05,text,recorder_pdf,raw/ord_20-29_Woodmore_Pointe_Rezone.pdf,yes,Carried unanimously (no names),2020-11-03,3,high,Ordinance,council_motion,keyword,1,archive,
20-30,2020-11-17,2020-11-17,Ordinance 20-30 — A OK RV Park Occupancy Code Amendment - DENIED,https://www.loganutah.gov/departments/admin/council/20-30%20A%20OK%20RV%20Park%20Occupancy%20Code%20Amendment%20-%20DENIED.pdf?t=20201123165449186,,na,recorder_listing,,no,Carried unanimously (no names),2020-11-17,3,high,Ordinance,council_motion,,1,archive,
20-31,2020-12-01,2020-12-01,Ordinance 20-31 — Amending date Prohibiting the Distribution of Disposable Plastic Bags,https://www.loganutah.gov/departments/admin/council/20-31%20Amending%20date%20Prohibiting%20the%20Distribution%20of%20Disposable%20Plastic%20Bags.pdf?t=20201209184751607,,na,recorder_listing,,no,Carried unanimously (no names),2020-12-01,7,high,Ordinance,council_motion,,1,archive,
21-01,2021-01-19,2021-01-19,Ordinance 21-01 — Regulating Disorderly House Amendment,https://www.loganutah.gov/departments/admin/council/21-01%20Regulating%20Disorderly%20House%20Amendment.pdf?t=20210122124129249,,na,recorder_listing,,no,Carried unanimously (no names),2021-01-19,5,high,Ordinance,council_motion,,1,archive,
21-02,2021-02-16,2021-02-16,Ordinance 21-02 — RV Park Occupancy Code Amendment,https://www.loganutah.gov/departments/admin/council/21-02%20RV%20Park%20Occupancy%20Code%20Amendment.pdf?t=20210218120143856,,na,recorder_listing,,no,3-2 Pass (no names),2021-02-16,5,high,Ordinance,council_motion,,1,archive,
21-03,2021-03-02,2021-03-02,Ordinance 21-03 — Renewal Rezone 286 S 100 W,https://www.loganutah.gov/departments/admin/council/21-03%20Renewal%20Rezone%20286%20S%20100%20W.pdf?t=20210303112705475,2026-07-05,text,recorder_pdf,raw/ord_21-03_Renewal_Rezone_286_S_100_W.pdf,yes,Carried unanimously (no names),2021-03-02,2,high,Ordinance,council_motion,keyword,2,archive,
21-04,2021-05-18,2021-05-18,Ordinance 21-04 — Paul Campbell Legacy Annexation,https://www.loganutah.gov/departments/admin/council/21-04%20Paul%20Campbell%20Legacy%20Annexation.pdf?t=20210629174955672,2026-07-05,text,recorder_pdf,raw/ord_21-04_Paul_Campbell_Legacy_Annexation.pdf,yes,Carried unanimously (no names),2021-05-18,2,high,Ordinance,council_motion,keyword,4,archive,
21-05,2021-03-02,2021-03-02,Ordinance 21-05 — Charles and Sally Carles Annexation,https://www.loganutah.gov/departments/admin/council/21-05%20Charles%20and%20Sally%20Carles%20Annexation.pdf?t=20210629175805297,2026-07-05,text,recorder_pdf,raw/ord_21-05_Charles_and_Sally_Carles_Annexation.pdf,yes,3-2 Pass (no names),2021-03-02,5,high,Ordinance,council_motion,keyword,1,archive,
21-06,,2021-04-21,Ordinance 21-06 — 1200 West 1400 North Rezone WITHDREW,https://www.loganutah.gov/departments/admin/council/21-06%201200%20West%201400%20North%20Rezone%20WITHDREW.pdf?t=20210421142539572,2026-07-05,text,recorder_pdf,raw/ord_21-06_1200_West_1400_North_Rezone_WITHDREW.pdf,yes,,,,none,Ordinance,recorder_posted,keyword,0,archive,adopted_no_vote_row
21-07,2021-04-20,2021-04-20,Ordinance 21-07 — Brickyard Rezone 800 N 50 W,https://www.loganutah.gov/departments/admin/council/21-07%20Brickyard%20Rezone%20800%20N%2050%20W.pdf?t=20210421142618884,2026-07-05,text,recorder_pdf,raw/ord_21-07_Brickyard_Rezone_800_N_50_W.pdf,yes,Carried unanimously (no names),2021-04-20,6,high,Ordinance,council_motion,keyword,1,archive,
21-08,2021-05-04,2021-05-04,Ordinance 21-08 — Regulating Cross Connections,https://www.loganutah.gov/departments/admin/council/21-08%20Regulating%20Cross%20Connections.pdf?t=20210526122134472,,na,recorder_listing,,no,Carried unanimously (no names),2021-05-04,5,high,Ordinance,council_motion,,1,archive,
21-09,2021-05-04,2021-05-04,Ordinance 21-09 — Public Utility Easements Airport Industrial Park,https://www.loganutah.gov/departments/admin/council/21-09%20Public%20Utility%20Easements%20Airport%20Industrial%20Park.pdf?t=20210629175053984,2026-07-05,text,recorder_pdf,raw/ord_21-09_Public_Utility_Easements_Airport_Industrial_Park.pdf,yes,Carried unanimously (no names),2021-05-04,7,high,Ordinance,council_motion,keyword,1,archive,
21-10,2021-05-18,2021-05-18,Ordinance 21-10 — Logan 100 West Rezone,https://www.loganutah.gov/departments/admin/council/21-10%20Logan%20100%20West%20Rezone.pdf?t=20210526121927519,2026-07-05,text,recorder_pdf,raw/ord_21-10_Logan_100_West_Rezone.pdf,yes,Carried unanimously (no names),2021-05-18,3,high,Ordinance,council_motion,keyword,1,archive,
21-11,2021-05-18,2021-05-18,Ordinance 21-11 — Riverside RV Park Rezone - DENIED,https://www.loganutah.gov/departments/admin/council/21-11%20Riverside%20RV%20Park%20Rezone%20-%20DENIED.pdf?t=20210526122307972,2026-07-05,text,recorder_pdf,raw/ord_21-11_Riverside_RV_Park_Rezone_-_DENIED.pdf,yes,3-1 Pass (no names),2021-05-18,4,high,Ordinance,council_motion,keyword,1,archive,
21-12,2021-06-15,2021-06-15,Ordinance 21-12 — LDC Chapter 17.11 District and Corridor Zones,https://www.loganutah.gov/departments/admin/council/21-12%20LDC%20Chapter%2017.11%20District%20and%20Corridor%20Zones.pdf?t=20210617104414774,2026-07-05,text,recorder_pdf,raw/ord_21-12_LDC_Chapter_17.11_District_and_Corridor_Zones.pdf,yes,Carried unanimously (no names),2021-06-15,2,high,Ordinance,council_motion,keyword,1,archive,
21-14,2021-09-21,2021-09-21,Ordinance 21-14 — LDC Accessory Dwelling Units,https://www.loganutah.gov/departments/admin/council/21-14%20LDC%20Accessory%20Dwelling%20Units.pdf?t=202109221311350,2026-07-05,text,recorder_pdf,raw/ord_21-14_LDC_Accessory_Dwelling_Units.pdf,yes,Carried unanimously (no names),2021-09-21,3,high,Ordinance,council_motion,keyword,2,archive,
21-15,2021-09-21,2021-09-21,Ordinance 21-15 — Thornley Dental Rezone,https://www.loganutah.gov/departments/admin/council/21-15%20Thornley%20Dental%20Rezone.pdf?t=2021092213123225,2026-07-05,text,recorder_pdf,raw/ord_21-15_Thornley_Dental_Rezone.pdf,yes,4-1 Pass (no names),2021-09-21,7,high,Ordinance,council_motion,keyword,1,archive,
21-16,2021-11-16,2021-11-16,Ordinance 21-16 — Hoggan Property Rezone - DENIED,https://www.loganutah.gov/departments/admin/council/21-16%20Hoggan%20Property%20Rezone%20-%20DENIED.pdf?t=20211122170536714,2026-07-05,text,recorder_pdf,raw/ord_21-16_Hoggan_Property_Rezone_-_DENIED.pdf,yes,Carried unanimously (no names),2021-11-16,6,high,Ordinance,council_motion,keyword,3,archive,
21-17,2021-09-21,2021-09-21,Ordinance 21-17 — LDC Amendments Conditional Use Permits,https://www.loganutah.gov/departments/admin/council/21-17%20LDC%20Amendments%20Conditional%20Use%20Permits.pdf?t=20210922131324781,2026-07-05,text,recorder_pdf,raw/ord_21-17_LDC_Amendments_Conditional_Use_Permits.pdf,yes,Carried unanimously (no names),2021-09-21,9,high,Ordinance,council_motion,keyword,1,archive,
21-18,2021-09-21,2021-09-21,Ordinance 21-18 — LDC Amendments Commercial Dev Standards,https://www.loganutah.gov/departments/admin/council/21-18%20LDC%20Amendments%20Commercial%20Dev%20Standards.pdf?t=20210922131413812,2026-07-05,text,recorder_pdf,raw/ord_21-18_LDC_Amendments_Commercial_Dev_Standards.pdf,yes,Carried unanimously (no names),2021-09-21,10,high,Ordinance,council_motion,keyword,1,archive,
21-19,2021-09-21,2021-09-21,Ordinance 21-19 — LDC Amendments Residential Development Standards,https://www.loganutah.gov/departments/admin/council/21-19%20LDC%20Amendments%20Residential%20Development%20Standards.pdf?t=20210922131458953,2026-07-05,text,recorder_pdf,raw/ord_21-19_LDC_Amendments_Residential_Development_Standards.pdf,yes,Carried unanimously (no names),2021-09-21,11,high,Ordinance,council_motion,keyword,1,archive,
21-20,2021-09-21,2021-09-21,Ordinance 21-20 — LDC Amendment Parking and Landscaping,https://www.loganutah.gov/departments/admin/council/21-20%20LDC%20Amendment%20Parking%20and%20Landscaping.pdf?t=2021092213153964,2026-07-05,text,recorder_pdf,raw/ord_21-20_LDC_Amendment_Parking_and_Landscaping.pdf,yes,Carried unanimously (no names),2021-09-21,12,high,Ordinance,council_motion,keyword,1,archive,
21-22,2021-11-16,2021-11-16,Ordinance 21-22 — LDC Code Amendments Urban Agriculture,https://www.loganutah.gov/departments/admin/council/21-22%20LDC%20Code%20Amendments%20Urban%20Agriculture.pdf?t=20211122170610761,2026-07-05,text,recorder_pdf,raw/ord_21-22_LDC_Code_Amendments_Urban_Agriculture.pdf,yes,Carried unanimously (no names),2021-11-16,5,high,Ordinance,council_motion,keyword,3,archive,
21-23,2021-12-07,2021-12-07,Ordinance 21-23 — Repealing Chapter 8.36 Distribution of Disposable Plastic Bags,https://www.loganutah.gov/departments/admin/council/21-23%20Repealing%20Chapter%208.36%20Distribution%20of%20Disposable%20Plastic%20Bags.pdf?t=20211208121711288,,na,recorder_listing,,no,3-2 Pass,2021-12-07,6,high,Ordinance,council_motion,,5,archive,
22-02,2022-02-01,2022-02-01,Ordinance 22-02 — LMC Regulating Watercourse Maintenance,https://www.loganutah.gov/departments/admin/council/22-02%20LMC%20Regulating%20Watercourse%20Maintenance.pdf?t=20220202132050673,,na,recorder_listing,,no,Carried unanimously (no names),2022-02-01,4,high,Ordinance,council_motion,,1,archive,
22-03,2022-02-15,2022-02-15,Ordinance 22-03 — Rezone 2200 South,https://www.loganutah.gov/departments/admin/council/22-03%20Rezone%202200%20South.pdf?t=20220216131821641,2026-07-05,text,recorder_pdf,raw/ord_22-03_Rezone_2200_South.pdf,yes,5-0 Pass,2022-02-15,4,high,Ordinance,council_motion,keyword,5,archive,
22-04,2022-04-19,2022-04-19,Ordinance 22-04 — LDC Amendments Short Term Rentals,https://www.loganutah.gov/departments/admin/council/22-04%20LDC%20Amendments%20Short%20Term%20Rentals.pdf?t=20220420122340452,2026-07-05,text,recorder_pdf,raw/ord_22-04_LDC_Amendments_Short_Term_Rentals.pdf,yes,Carried unanimously (no names),2022-04-19,5,high,Ordinance,council_motion,keyword,2,archive,
22-05,2022-03-01,2022-03-01,Ordinance 22-05 — RV Park Standards & District Corridor Use,https://www.loganutah.gov/departments/admin/council/22-05%20RV%20Park%20Standards%20&%20District%20Corridor%20Use.pdf?t=20220302104638055,2026-07-05,text,recorder_pdf,raw/ord_22-05_RV_Park_Standards_District_Corridor_Use.pdf,yes,Carried unanimously (no names),2022-03-01,4,high,Ordinance,council_motion,keyword,1,archive,
22-06,2022-05-17,2022-05-17,Ordinance 22-06 — West Pointe Subdivision Rezone,https://www.loganutah.gov/departments/admin/council/22-06%20West%20Pointe%20Subdivision%20Rezone.pdf?t=20220518174903696,2026-07-05,text,recorder_pdf,raw/ord_22-06_West_Pointe_Subdivision_Rezone.pdf,yes,Carried unanimously (no names),2022-05-17,4,high,Ordinance,council_motion,keyword,7,archive,
22-07,2022-04-05,2022-04-05,Ordinance 22-07 — Park Strip Code Amendment,https://www.loganutah.gov/departments/admin/council/22-07%20Park%20Strip%20Code%20Amendment.pdf?t=2022040613155078,2026-07-05,text,recorder_pdf,raw/ord_22-07_Park_Strip_Code_Amendment.pdf,yes,Carried unanimously (no names),2022-04-05,5,high,Ordinance,council_motion,keyword,1,archive,
22-08,2022-05-03,2022-05-03,Ordinance 22-08 — LMC Chapter 5.15 Short Term Rentals,https://www.loganutah.gov/departments/admin/council/22-08%20LMC%20Chapter%205.15%20Short%20Term%20Rentals.pdf?t=20220505103637388,2026-07-05,text,recorder_pdf,raw/ord_22-08_LMC_Chapter_5.15_Short_Term_Rentals.pdf,yes,Carried unanimously (no names),2022-05-03,4,high,Ordinance,council_motion,keyword,1,archive,
22-09,2022-04-19,2022-04-19,Ordinance 22-09 — LMC Chapter 2.28 Power Advisory Board,https://www.loganutah.gov/departments/admin/council/22-09%20LMC%20Chapter%202.28%20Power%20Advisory%20Board.pdf?t=20220420122141437,,na,recorder_listing,,no,Carried unanimously (no names),2022-04-19,3,high,Ordinance,council_motion,,1,archive,
22-10,2022-05-03,2022-05-03,Ordinance 22-10 — LMC Chapter 10.68 Bicycles and 10.70 Skateboards,https://www.loganutah.gov/departments/admin/council/22-10%20LMC%20Chapter%2010.68%20Bicycles%20and%2010.70%20Skateboards.pdf?t=20220505103710904,,na,recorder_listing,,no,Carried unanimously (no names),2022-05-03,3,high,Ordinance,council_motion,,1,archive,
22-11,2022-06-21,2022-06-21,Ordinance 22-11 — Rezone 1000 West 200 South,https://www.loganutah.gov/departments/admin/council/22-11%20Rezone%201000%20West%20200%20South.pdf?t=20220622170342956,2026-07-05,text,recorder_pdf,raw/ord_22-11_Rezone_1000_West_200_South.pdf,yes,5-0 Pass,2022-06-21,4,high,Ordinance,council_motion,keyword,7,archive,
22-12,2022-05-17,2022-05-17,Ordinance 22-12 — Rivergate Annexation 1900 West 600 South,https://www.loganutah.gov/departments/admin/council/22-12%20Rivergate%20Annexation%201900%20West%20600%20South.pdf?t=20220701103510884,2026-07-05,text,recorder_pdf,raw/ord_22-12_Rivergate_Annexation_1900_West_600_South.pdf,yes,Carried unanimously (no names),2022-05-17,5,high,Ordinance,council_motion,keyword,1,archive,
22-13,,2022-06-22,Ordinance 22-13 — LDC Amendment Annexations,https://www.loganutah.gov/departments/admin/council/22-13%20LDC%20Amendment%20Annexations.pdf?t=20220622170444424,2026-07-05,text,recorder_pdf,raw/ord_22-13_LDC_Amendment_Annexations.pdf,yes,,,,none,Ordinance,recorder_posted,keyword,0,archive,adopted_no_vote_row
22-14,2022-06-21,2022-06-21,Ordinance 22-14 — South Logan Partners Duane E Cox and Purser Warehousing Annexation,https://www.loganutah.gov/departments/admin/council/22-14%20South%20Logan%20Partners%20Duane%20E%20Cox%20and%20Purser%20Warehousing%20Annexation.pdf?t=20220808154957326,2026-07-05,text,recorder_pdf,raw/ord_22-14_South_Logan_Partners_Duane_E_Cox_and_Purser_Warehousing_Annexation.pdf,yes,5-0 Pass,2022-06-21,5,high,Ordinance,council_motion,keyword,5,archive,
22-15,2022-07-19,2022-07-19,Ordinance 22-15 — MPI Group Disconnect,https://www.loganutah.gov/departments/admin/council/22-15%20MPI%20Group%20Disconnect.pdf?t=20220907185709101,2026-07-05,text,recorder_pdf,raw/ord_22-15_MPI_Group_Disconnect.pdf,yes,5-0 Pass,2022-07-19,4,high,Ordinance,council_motion,keyword,5,archive,
22-16,2022-08-02,2022-08-02,Ordinance 22-16 — Ville 364 South Main Street Rezone,https://www.loganutah.gov/departments/admin/council/22-16%20Ville%20364%20South%20Main%20Street%20Rezone.pdf?t=20220803114955625,2026-07-05,text,recorder_pdf,raw/ord_22-16_Ville_364_South_Main_Street_Rezone.pdf,yes,4-0 Pass,2022-08-02,7,high,Ordinance,council_motion,keyword,5,archive,
22-17,2022-08-02,2022-08-02,Ordinance 22-17 — Mobile Food Vendors,https://www.loganutah.gov/departments/admin/council/22-17%20Mobile%20Food%20Vendors.pdf?t=20220803121249952,,na,recorder_listing,,no,4-0 Pass,2022-08-02,6,high,Ordinance,council_motion,,5,archive,
22-18,2022-09-20,2022-09-20,"Ordinance 22-18 — LMC Amendment Police Officer, Firefighter and Fire Officer Residency Requirements",https://www.loganutah.gov/departments/admin/council/22-18%20LMC%20Amendment%20Police%20Officer%2C%20Firefighter%20and%20Fire%20Officer%20Residency%20Requirements.pdf?t=20220920210600069,,na,recorder_listing,,no,5-0 Pass,2022-09-20,2,high,Ordinance,council_motion,,5,archive,
22-19,2022-10-04,2022-10-04,Ordinance 22-19 — Code Amendments Mixed Use Development Standards and Residential Density and Height Bonuses,https://www.loganutah.gov/departments/admin/council/22-19%20Code%20Amendments%20Mixed%20Use%20Development%20Standards%20and%20Residential%20Density%20and%20Height%20Bonuses.pdf?t=2022100512243396,2026-07-05,scanned,recorder_pdf,raw/ord_22-19_Code_Amendments_Mixed_Use_Development_Standards_and_Residential_Density_an.pdf,yes,5-0 Pass,2022-10-04,4,high,Ordinance,council_motion,keyword,16,archive,
22-20,2022-12-06,2022-12-06,Ordinance 22-20 — Zollinger Global Property Annexation,https://www.loganutah.gov/departments/admin/council/22-20%20Zollinger%20Global%20Property%20Annexation.pdf?t=20230223105700616,2026-07-05,scanned,recorder_pdf,raw/ord_22-20_Zollinger_Global_Property_Annexation.pdf,yes,5-0 Pass,2022-12-06,5,high,Ordinance,council_motion,keyword,5,archive,
