n,candidate,office,source_filing,document_id,pages_total,pages_read,itemized_pages_A,itemized_pages_B,n_contrib_rows,n_expend_rows,contrib_verified,expend_verified,stated_contrib,stated_expend,itemized_contrib_sum,itemized_expend_sum,recon_contrib,recon_expend,recon_contrib_detail,recon_expend_detail,withheld_sides,n_escalations,escalations,notes
14,Jim Bradley,County Council,raw/clerk_legacy/Bradley_J_12_April_Interim_CntyCncl_AtLrgC_Redacte.pdf,c7c7567e,4,1 2 3 4,3,4,2,0,2,0,3000.00,0.00,3000.00,0.00,exact,exact,exact (3000.00 = 3000.00),"exact (0.00 = 0.00, zero rows)",,0,,"This is the ORIGINAL of filing 6 (which is its amendment): same two donors, same amounts, but written in a DIFFERENT hand (cursive here, block caps on the amendment). Schedule B is struck through with a single diagonal pen line and carries ZERO rows; its total cell and Summary lines 2/6 carry a slashed-zero glyph, which under the ZERO-GLYPH RULING is 0.00 (pilot_set records 0.00)."
15,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_M_Recorder_June14.pdf,39998d1a,6,1 2 3 4 5 6,4,6,12,3,12,3,1450.00,366.04,1450.00,366.04,exact,exact,exact (1450.00 = 1450.00; the attachment prints Total Contributions 1450),exact (366.04 = 366.04; the attachment prints Total Expenses 366.04),,1,p4/p6 rendered 300dpi + rotated -90 + normalized (landscape attachments; a +90 rotate renders them upside-down),"Schedules A and B are stamped 'see attached'. The Schedule-B attachment's 'In-Kind Value' column is empty on all three rows - in_kind=False, an honest empty column."
16,Rob Latham,District Attorney,raw/clerk_legacy/rlatham_june202006amend.pdf,6edc810e,4,1 2 3 4,3,4,11,10,11,10,865.82,985.27,865.82,985.27,exact,exact,exact (865.82 = 865.82),exact (985.27 = 985.27),,1,p3 date column re-rendered 600dpi + normalized to settle three overwritten day digits,"Three of the four 'Loan from Rob Latham' contribution rows are exactly matched by same-date expenditures (23.95 CafePress, 78.00 CafePress, 53.87 Cricket) - the candidate front-funded specific bills. index.csv/pilot_set carry election_year 2020; the form is dated JUNE 2006 (filename mis-parse, flagged, transcribed from the form)."
17,Joe Hatch,County Council,raw/clerk_legacy/joehatch_april506amendment.pdf,b66d9548,5,1 2 3 4 5,3 4,5,23,7,23,7,5725.00,1275.68,5725.00,1275.68,exact,exact,"exact (5725.00 = 5725.00; page-3 subtotal 2775 + page-4 subtotal 2950, both reproduced exactly by my counted rows)",exact (1275.68 = 1275.68),,0,,A different (neater) hand than the other Hatch filings. Two occupation cells carry a struck-through first answer with the correction beside it ('Investor'->Business/self-employed; 'Real Estate'->Construction/Bodell Const) - both retained in the row note. Page-4 dates use a single-digit year ('3/2/6' = 2006).
18,Michael Jensen,County Council,raw/clerk_legacy/jensen_january312005.pdf,2145469a,11,1 2 3 4 5 6 7 8 9 10 11,4,6,3,16,3,16,1400.00,2043.85,1400.00,2643.85,exact,delta,"exact (1400.00 = 1400.00; the attachment prints Total Contributions $1,400.00)","DELTA: itemized 2643.85 vs stated 2043.85, recon_delta +600.00",,2,p4 and p6 cropped and re-scaled 140-180% to read the amount column; p2 Summary re-rendered 400dpi to confirm the stated expenditure figure,"EXPENDITURES DO NOT RECONCILE. My 16 counted rows sum to 2,643.85, which EQUALS the Schedule-B attachment's own printed 'Total Expenditures $2,643.85' - but the Summary Page's Column A line 2 prints 2043.85 (re-rendered at 400 dpi and unambiguous). So the $600 gap is INSIDE the filing, between the attachment and the summary - the filer's own transposition. Both figures retained verbatim, nothing adjusted. Pages 7-11 are Wells Fargo account statements stapled behind the report - read but not a schedule. One expenditure date is printed '11/15/004', a malformed year, left BLANK rather than repaired."
19,Janice Auger,County Council,raw/clerk_legacy/20_june_auger_janice06.pdf,3d07b3af,4,1 2 3 4,3,4,37,18,37,18,19875.85,19435.13,19875.85,19435.13,exact,exact,"exact (19875.85 = 19875.85; the schedule prints TOTAL $19,875.85)","exact (19435.13 = 19435.13; the schedule prints TOTAL $19,435.13)",,0,,"This is also calibration specimen slco-superscript-cents: the Summary Page writes its totals with raised superscript cents over a rule (19 875 -85-, 19,435 -13-), which resolve to 19875.85 / 19435.13 and match the typed schedules exactly. Each schedule prints TWO unlabeled figures BELOW its total ($4,490.75 and $24,366.60 on A; $2,257.17 and $21,692.30 on B) - almost certainly a prior-period figure and a cumulative, but they are UNLABELED so no meaning is assigned to them here. Two filer date errors retained verbatim: a contribution dated 4/19/2009 on a June-2006 report, and an expenditure dated '05/53/06' (day 53) which is left BLANK."
20,Jani Iwamoto,County Council,raw/clerk_legacy/08_jiwamoto_april7.pdf,ee991932,6,1 2 3 4 5 6,5,6,17,8,17,8,10070.00,271.28,10070.00,271.28,exact,exact,"exact (10070.00 = 10070.00; the attachment prints Total $10,070.00)",exact (271.28 = 271.28; the attachment prints TOTAL $271.28),,2,p5 rotated -90 (landscape attachment); p6 cropped + normalized,"Schedules A and B (pages 3-4) are blank forms marked 'See attached'. The two in-kind contributions (Nakamura $119 website, Ashman $31 copies) reappear as the matching in-kind expenditures (Network Solutions $119, Kinkos $31); both sides still reconcile exactly."
21,Sim Gill,District Attorney,raw/clerk_legacy/Gill_S_10_Sept_DA_Redacted.pdf,cc04f0b6,10,1 2 3 4 5 6 7 8 9 10,4 5 6 7 8,10,244,58,244,58,65325.11,73782.12,65325.11,73782.12,exact,exact,"exact (65325.11 = 65325.11; 244 rows, and the attachment prints Total Contributions $65,325.11)","exact (73782.12 = 73782.12; 58 rows, and the attachment prints Total Expenses - Period Ending $73,782.12)",,2,p4-p8 rendered 300dpi + rotated -90 + normalized (a +90 rotate renders them upside-down and unreadable); p10 rendered 260dpi + cropped + normalized,"The largest filing in the pilot: FIVE landscape contribution pages (the attachment prints its own Total Contributions $65,325.11 on the last page) and one dense expenditure page (Total Expenses - Period Ending $73,782.12). The whole Mailing Address/City/State/Zip block is redacted as one solid bar on every contribution page, so donor geography is uniformly blank. Occupation/Employer are printed and are captured in the row notes only where present."
22,Jim Bradley,County Council,raw/clerk_legacy/Bradley_J_12_Final_CouncilC_Redacted.pdf,622005c3,9,1 2 3 4 5 6 7 8 9,4,6,14,6,14,6,6350.00,13514.52,6350.00,13514.52,exact,exact,"exact (6350.00 = 6350.00; the attachment prints TOTAL $6,350.00)","exact (13514.52 = 13514.52; the attachment prints Total $13,514.52)",,2,p4 rendered 300dpi + rotated +90 + normalized (landscape attachment); p6 cropped + normalized,"Pages 3 and 5 are the blank Schedule A/B forms struck through with a diagonal line and marked 'Prev See Attached'. Pages 7-9 are the 'Other Campaign Accounts' summary/schedules, filled in 'N/A' and struck through - a genuinely empty second-account section, NOT a missing page (they are also a different table from the standard Summary Page and are not treated as one). Three Jim Bradley self-contributions are marked LOAN in a column of their own; recorded as in_kind=False with the LOAN marker in the note (the SCHEMA's loan handling is donor_type, not in_kind)."
23,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_Mary_Recorder_Oct14.pdf,dbbf9294,4,1 2 3 4,3,4,4,4,4,4,1875.00,1855.36,1875.00,1855.36,exact,exact,exact (1875.00 = 1875.00),exact (1855.36 = 1855.36),,1,p3/p4 cropped + normalized,Small handwritten filing; both sides reconcile exactly. One filer year typo retained verbatim (10-1-15).
24,Joe Hatch,County Council,raw/clerk_legacy/joehatch_september1506amendment.pdf,c50cce42,6,1 2 3 4 5 6,3 4 5,6,31,11,31,11,7175.00,1906.00,7175.00,1906.00,exact,exact,"exact (7175.00 = 7175.00; page subtotals 5680 + 1445 + 50, all three reproduced exactly)",exact (1906.00 = 1906.00),,1,p5/p6 cropped + normalized,"Schedule A runs over THREE pages. Two contribution date cells are not single dates (a two-date cell '6/23/6 & 9/10/6' and a range '6/18/6 - 9/18/6') and are left BLANK. The Wells-Fargo bank-charge amount is a single ambiguous glyph; it is recorded as 8.00 because the other ten rows sum to 1898.00 against a printed page total of 1906 - an arithmetic recovery, flagged here rather than presented as a clean read."
25,Jennifer Wilson,County Council,raw/clerk_legacy/jwilson_january312005.pdf,ca6e1fd8,11,contact-sheet page-role survey only,,,0,0,0,0,9695.00,18363.81,,,withheld,withheld,WITHHELD - not attempted,WITHHELD - not attempted,contributions;expenditures,0,,"NOT ATTEMPTED - the pilot transcription budget was exhausted after filing 24. NO rows emitted and NO reconciliation claimed for either side. This is a transcriber-side limit, not a source property: the rows are legible. Page-role survey completed so a follow-up run resumes without redoing recon: p3 landscape typed contributions; p4 landscape typed expenditures; p5-p11 Wells Fargo statements"
26,Jim Bradley,County Council,raw/clerk_legacy/20_june_bradley_jim06.pdf,adfcf1a3,7,contact-sheet page-role survey only,,,0,0,0,0,14691.51,2323.06,,,withheld,withheld,WITHHELD - not attempted,WITHHELD - not attempted,contributions;expenditures,0,,"NOT ATTEMPTED - the pilot transcription budget was exhausted after filing 24. NO rows emitted and NO reconciliation claimed for either side. This is a transcriber-side limit, not a source property: the rows are legible. Page-role survey completed so a follow-up run resumes without redoing recon: p3 Schedule A 'see attached'; p4-p5 landscape 'Schedule A: Itemized Contributions'; p6 Schedule B 'see attached'; p7 landscape 'Schedule B: Itemized Expenditures'"
27,Jani Iwamoto,County Council,raw/clerk_legacy/08_jiwamoto_cojunereport.pdf,0d921dc1,9,contact-sheet page-role survey only,,,0,0,0,0,24742.77,20201.22,,,withheld,withheld,WITHHELD - not attempted,WITHHELD - not attempted,contributions;expenditures,0,,"NOT ATTEMPTED - the pilot transcription budget was exhausted after filing 24. NO rows emitted and NO reconciliation claimed for either side. This is a transcriber-side limit, not a source property: the rows are legible. Page-role survey completed so a follow-up run resumes without redoing recon: p3 Schedule A 'see attached'; p4-p7 FOUR landscape contribution attachment pages; p8 Schedule B 'see attached'; p9 landscape expenditure attachment"
28,Randy Horiuchi,County Council,raw/clerk_legacy/Horiuchi_R_10_Final_Amended_Redacted.pdf,f47866a4,5,contact-sheet page-role survey only,,,0,0,0,0,5500.00,6400.00,,,withheld,withheld,WITHHELD - not attempted,WITHHELD - not attempted,contributions;expenditures,0,,"NOT ATTEMPTED - the pilot transcription budget was exhausted after filing 24. NO rows emitted and NO reconciliation claimed for either side. This is a transcriber-side limit, not a source property: the rows are legible. Page-role survey completed so a follow-up run resumes without redoing recon: p3 Schedule A 'see attached'; p4 landscape contribution attachment (redaction block); p5 Schedule B, ~14 handwritten rows"
29,Jim Bradley,County Council,raw/clerk_legacy/Bradley_J_12_June_Interim_CntyCncl_AtLrgC_Redacted.pdf,b6859fae,9,contact-sheet page-role survey only,,,0,0,0,0,2364.00,4117.35,,,withheld,withheld,WITHHELD - not attempted,WITHHELD - not attempted,contributions;expenditures,0,,"NOT ATTEMPTED - the pilot transcription budget was exhausted after filing 24. NO rows emitted and NO reconciliation claimed for either side. This is a transcriber-side limit, not a source property: the rows are legible. Page-role survey completed so a follow-up run resumes without redoing recon: p3 Itemized Contributions 'Prev See Attached'; p4 landscape contribution attachment; p5 Itemized Expenditures 'Prev See Attached'; p6 landscape expenditure attachment; p7-p9 'Other Campaign Accounts' pages filled N/A"
30,Mary Bishop,Recorder,raw/clerk_legacy/Bishop_Mary_Recorder_Sept.pdf,a5e8390c,6,contact-sheet page-role survey only,,,0,0,0,0,3675.00,5345.16,,,withheld,withheld,WITHHELD - not attempted,WITHHELD - not attempted,contributions;expenditures,0,,"NOT ATTEMPTED - the pilot transcription budget was exhausted after filing 24. NO rows emitted and NO reconciliation claimed for either side. This is a transcriber-side limit, not a source property: the rows are legible. Page-role survey completed so a follow-up run resumes without redoing recon: p3 Schedule B 'see attached'; p4 landscape expenditure attachment; p5 Schedule A 'see attached'; p6 landscape contribution attachment"
