candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry,verified,cell_confidence,transcriber_note
Joe Hatch,County Council,,,,,2007-11-21,Wilson for Mayor,Wilson for Mayor,Campaign cont.,250.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,12,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1525,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,2007-11-15,Carlos Vasquez for Treasure,Carlos Vasquez for Treasure,Campaign cont.,200.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,13,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1608,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,printed 'TREASURE' (no final R) - kept verbatim
Joe Hatch,County Council,,,,,2007-11-29,Ed Mayne Dinner,Ed Mayne Dinner,Tribute,300.00,False,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,14,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x209,y1691,w1298,h83@200dpi",1,date=high;vendor=high;amount=high,
Jim Bradley,County Council,,2004,,,2004-02-04,Clarke American,Clarke American,Checks for acct,12.99,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,1,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y594,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,
Jim Bradley,County Council,,2004,,,2004-03-12,Elizabeth Bradley,Elizabeth Bradley,Research,250.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,2,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x211,y674,w1332,h80@200dpi",1,date=medium;vendor=medium;amount=high,row written in very light pencil
Jim Bradley,County Council,,2004,,,2004-07-15,Peter Corroon Campaign,Peter Corroon Campaign,Contribution,150.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,3,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y754,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,
Jim Bradley,County Council,,2004,,,2004-11-01,Jenny Wilson Campaign,Jenny Wilson Campaign,Contribution,150.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y834,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,amount written 150 with superscript 00
Jim Bradley,County Council,,2004,,,2004-11-02,Dina Blaes Campaign,Dina Blaes Campaign,Contribution,150.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,5,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y914,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,superscript cents
Jim Bradley,County Council,,2004,,,2004-11-02,Democratic Party of Utah,Democratic Party of Utah,Contribution,150.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,6,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y994,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,superscript cents
Jim Bradley,County Council,,2004,,,2004-11-04,Key Bank,Key Bank,Interest payment,95.39,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,7,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y1074,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,
Jim Bradley,County Council,,2004,,,2004-11-06,Jim Bradley,Jim Bradley,Reimbursement,109.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,8,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y1154,w1332,h80@200dpi",1,date=medium;vendor=high;amount=high,day digit smudged: 06 or 08
Jim Bradley,County Council,,2004,,,2004-09-30,U. of U Credit Union,U. of U Credit Union,Fee,20.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,9,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y1234,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,
Jim Bradley,County Council,,2004,,,2004-01-26,Jim Bradley,Jim Bradley,Reimbursement,25.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,10,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y1314,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,
Jim Bradley,County Council,,2004,,,2004-10-25,Jim Bradley,Jim Bradley,Reimbursement,100.00,False,,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,11,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x211,y1394,w1332,h80@200dpi",1,date=high;vendor=high;amount=high,superscript cents
James M Winder,Sheriff,,2006,,,2007-03-10,T Mobile,T Mobile,cell phone,201.76,False,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,1,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x45,y590,w1440,h31@200dpi",1,date=high;vendor=high;amount=high,
James M Winder,Sheriff,,2006,,,2007-12-31,American Express,American Express,credit card merchant fees @ $5.95 per month,71.40,False,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,2,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x45,y621,w1440,h31@200dpi",1,date=high;vendor=high;amount=high,
James M Winder,Sheriff,,2006,,,2007-12-31,Authorize.net,Authorize.net,credit card merchant fees @ $20.00 per month,240.00,False,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,3,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x45,y652,w1440,h31@200dpi",1,date=high;vendor=high;amount=high,
James M Winder,Sheriff,,2006,,,2007-09-06,Robert Dyer Photography,Robert Dyer Photography,copyright fee,58.77,False,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x45,y683,w1440,h31@200dpi",1,date=high;vendor=high;amount=high,
James M Winder,Sheriff,,2006,,,2007-08-31,Card Signs Inc,Card Signs Inc,signs,436.10,False,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,5,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x45,y714,w1440,h31@200dpi",1,date=high;vendor=high;amount=high,
James M Winder,Sheriff,,2006,,,2007-12-31,Utah Law Enforcement Credit Union,Utah Law Enforcement Credit Union,bank fees,266.40,False,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,6,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x45,y745,w1440,h31@200dpi",1,date=high;vendor=high;amount=high,
James M Winder,Sheriff,,2006,,,2007-10-26,United States Postal Service,United States Postal Service,post office box rental,58.00,False,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,7,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x45,y776,w1440,h31@200dpi",1,date=high;vendor=high;amount=high,
James M Winder,Sheriff,,2006,,,,Gastronomy Inc,Gastronomy Inc,fundraising dinner,1200.00,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,8,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y807,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Invitations,127.51,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,9,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y838,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Cards & Envelopes,24.46,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,10,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y869,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Stamps,123.00,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,11,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y900,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Printing,327.38,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,12,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y931,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,"Letterhead, remittance envelopes",770.39,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,13,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y962,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Stamps,123.00,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,14,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y993,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Holiday Cards,100.81,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,15,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y1024,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Eggs in the City meeting with supporter,33.20,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,16,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y1055,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
James M Winder,Sheriff,,2006,,,,Committee to Re-Elect Jackie Biskupski,Committee to Re-Elect Jackie Biskupski,Holiday Cards,134.29,True,,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,17,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x45,y1086,w1440,h31@200dpi",1,vendor=high;amount=high,IN KIND marker occupies the DATE cell
Ben McAdams,Mayor,,2010,,,2011-11-15,Anna Thompson,Anna Thompson,Salary,500.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,1,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y245,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-01,Anna Thompson,Anna Thompson,Salary,500.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,2,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y298,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-01,NGP VAN,NGP VAN,Database,1650.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,3,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y351,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-07,Gastronomy,Gastronomy,Tips,60.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,4,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y404,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-07,Sam Granato,Sam Granato,Food,100.00,True,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,5,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y457,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,IN-KIND flag printed to the right of the amount
Ben McAdams,Mayor,,2010,,,2011-12-11,Chevron,Chevron,Gas,30.82,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,6,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y510,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-12,FedEx,FedEx,Copies,10.26,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,7,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y563,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-12,Patrick Thompson,Patrick Thompson,Design Work,60.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,8,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y616,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-14,Maverick,Maverick,Gas,29.48,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,9,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y669,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-15,Anna Thompson,Anna Thompson,Salary,750.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,10,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y722,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-15,Costco,Costco,Postage,420.50,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,11,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y775,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-15,FedEx,FedEx,Copies,463.48,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,12,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y828,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-15,Jeff Bell,Jeff Bell,Website,1500.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,13,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y881,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-15,Justin Miller,Justin Miller,Salary,4500.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,14,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y934,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-15,Service Press,Service Press,Printing,169.57,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,15,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y987,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-18,Chevron,Chevron,Gas,29.62,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,16,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1040,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-19,CLEAR,CLEAR,Internet,218.77,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,17,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1093,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-19,FedEx,FedEx,Copies,7.69,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,18,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1146,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-21,Glens Key,Glens Key,Keys,12.50,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,19,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1199,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-21,U-Haul,U-Haul,Rental,50.06,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,20,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1252,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-22,Patrick Thompson,Patrick Thompson,Design Work,100.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,21,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1305,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-23,Shoppers Express,Shoppers Express,Gas,29.59,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,22,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1358,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-27,Best Buy,Best Buy,PC Stuff,74.92,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,23,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1411,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-27,FedEx,FedEx,Copies,4.16,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,24,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1464,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-27,Harmons,Harmons,Office Supplies,82.94,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,25,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1517,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-27,Office Depot,Office Depot,Office Supplies,37.76,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,26,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1570,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-27,Radio Shack,Radio Shack,PC Items,21.36,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,27,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1623,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-28,USPS,USPS,PO Box,29.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,28,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1676,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Ben McAdams,Mayor,,2010,,,2011-12-31,Anna Thompson,Anna Thompson,Salary,500.00,False,,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,29,medium,vision-fullpage-200dpi/claude-opus-5,1,"p7:x160,y1729,w1300,h53@250dpi",1,date=high;vendor=high;amount=high,
Jim Bradley,County Council,,2012,,,2012-03-13,Salt Lake County,Salt Lake County,Filing Fee,259.74,False,,raw/clerk_legacy/Bradley_J_12_April_Interim_Amend_CntyCncl_AtLrgC_R.pdf,e2a072a4,1,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x185,y580,w1350,h80@200dpi",1,date=high;vendor=high;amount=high,"date written 3/13/12, the year corrected in superscript"
Mary Bishop,Recorder,,2014,,,2014-03-14,Service Press,Service Press,Poster/signs,114.17,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,1,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y290,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,"vendor city/state printed SLC, UT (street discarded per PRIVACY; the form prints 'SIC' for SLC on this row - kept verbatim in this note)"
Mary Bishop,Recorder,,2014,,,2014-03-14,Signz,Signz,Banners,170.96,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,2,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y340,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,"vendor city/state printed SLC, UT (street discarded per PRIVACY; the form prints 'SIC' for SLC on this row - kept verbatim in this note)"
Mary Bishop,Recorder,,2014,,,2014-03-14,SL Co. Clerk,SL Co. Clerk,Filing Fee,706.37,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,3,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y390,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,"vendor city/state printed SLC, UT (street discarded per PRIVACY; the form prints 'SIC' for SLC on this row - kept verbatim in this note)"
Mary Bishop,Recorder,,2014,,,2014-03-26,Service Press,Service Press,Remit Envelopes,192.33,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y440,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,"vendor city/state printed SIC, UT (street discarded per PRIVACY; the form prints 'SIC' for SLC on this row - kept verbatim in this note)"
Mary Bishop,Recorder,,2014,,,2014-01-19,Utah State,Utah State,DBA,22.00,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,5,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y490,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,"vendor city/state printed SLC, UT (street discarded per PRIVACY; the form prints 'SIC' for SLC on this row - kept verbatim in this note)"
Mary Bishop,Recorder,,2014,,,2014-02-09,GoDaddy.com,GoDaddy.com,Domain and Web services,79.93,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,6,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y540,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,no address printed
