date,body,meeting_kind,reason
2021-03-10,Council,WM,agenda-only/minutes-not-posted
2021-03-24,Council,RC,agenda-only/minutes-not-posted
2021-03-24,Council,WM,agenda-only/minutes-not-posted
2021-03-24,RDA,RC,1 agenda-only cand
2021-04-14,Council,RC,agenda-only/minutes-not-posted
2021-04-14,Council,WM,agenda-only/minutes-not-posted
2021-04-28,Council,RC,only candidate(s) >22MB (agenda packet)
2021-04-28,Council,WM,agenda-only/minutes-not-posted
2021-04-28,RDA,RC,1 agenda-only cand
2021-05-12,Council,RC,agenda-only/minutes-not-posted
2021-05-12,Council,WM,agenda-only/minutes-not-posted
2021-05-26,Council,RC,agenda-only/minutes-not-posted
2021-06-09,Council,RC,agenda-only/minutes-not-posted
2021-06-09,Council,WM,agenda-only/minutes-not-posted
2021-06-09,RDA,RC,1 agenda-only cand
2021-06-23,Council,RC,agenda-only/minutes-not-posted
2021-06-23,Council,WM,agenda-only/minutes-not-posted
2021-06-23,RDA,RC,1 agenda-only cand
2021-07-14,Council,RC,agenda-only/minutes-not-posted
2021-07-14,Council,WM,agenda-only/minutes-not-posted
2021-07-28,Council,RC,only candidate(s) >22MB (agenda packet)
2021-07-28,Council,WM,agenda-only/minutes-not-posted
2021-07-28,RDA,RC,1 agenda-only cand
2021-08-02,Council,SM,agenda-only/minutes-not-posted
2021-08-11,Council,RC,only candidate(s) >22MB (agenda packet)
2021-08-25,Council,RC,agenda-only/minutes-not-posted
2021-09-15,Council,RC,only candidate(s) >22MB (agenda packet)
2021-09-15,Council,WM,agenda-only/minutes-not-posted
2021-10-13,Council,RC,agenda-only/minutes-not-posted
2021-10-27,Council,RC,agenda-only/minutes-not-posted
2021-11-03,Council,RC,agenda-only/minutes-not-posted
2021-11-03,Council,WM,agenda-only/minutes-not-posted
2021-11-16,Council,BoC,agenda-only/minutes-not-posted
2021-11-17,Council,RC,only candidate(s) >22MB (agenda packet)
2021-12-01,Council,RC,agenda-only/minutes-not-posted
2021-12-01,Council,WM,agenda-only/minutes-not-posted
2021-12-08,Council,RC,only candidate(s) >22MB (agenda packet)
2021-12-08,RDA,RC,1 agenda-only cand
2022-01-12,Council,RC,agenda-only/minutes-not-posted
2022-01-12,Council,WM,agenda-only/minutes-not-posted
2022-01-12,RDA,RC,1 agenda-only cand
2022-01-26,Council,RC,agenda-only/minutes-not-posted
2022-01-26,Council,WM,agenda-only/minutes-not-posted
2022-02-09,Council,RC,agenda-only/minutes-not-posted
2022-02-09,Council,WM,agenda-only/minutes-not-posted
2022-02-23,Council,RC,agenda-only/minutes-not-posted
2022-02-23,Council,WM,agenda-only/minutes-not-posted
2022-03-09,Council,RC,agenda-only/minutes-not-posted
2022-03-09,Council,WM,agenda-only/minutes-not-posted
2022-03-23,Council,RC,only candidate(s) >22MB (agenda packet)
2022-03-23,RDA,RC,1 agenda-only cand
2022-04-13,Council,RC,only candidate(s) >22MB (agenda packet)
2022-04-27,Council,RC,agenda-only/minutes-not-posted
2022-04-27,RDA,RC,1 agenda-only cand
2022-05-11,Council,RC,agenda-only/minutes-not-posted
2022-05-11,Council,WM,agenda-only/minutes-not-posted
2022-05-25,Council,RC,agenda-only/minutes-not-posted
2022-05-25,Council,WM,agenda-only/minutes-not-posted
2022-06-08,Council,RC,agenda-only/minutes-not-posted
2022-06-08,Council,WM,agenda-only/minutes-not-posted
2022-06-08,RDA,RC,1 agenda-only cand
2022-06-15,Council,RC,agenda-only/minutes-not-posted
2022-06-15,RDA,RC,1 agenda-only cand
2022-07-13,Council,RC,agenda-only/minutes-not-posted
2022-07-13,Council,WM,agenda-only/minutes-not-posted
2022-07-27,Council,RC,agenda-only/minutes-not-posted
2022-07-27,Council,WM,agenda-only/minutes-not-posted
2022-08-09,Council,TT,agenda-only/minutes-not-posted
2022-08-10,Council,RC,agenda-only/minutes-not-posted
2022-08-10,Council,WM,agenda-only/minutes-not-posted
2022-08-24,Council,RC,agenda-only/minutes-not-posted
2022-08-24,Council,WM,agenda-only/minutes-not-posted
2022-09-14,Council,WM,agenda-only/minutes-not-posted
2022-09-14,RDA,RC,1 agenda-only cand
2022-09-28,Council,WM,agenda-only/minutes-not-posted
2022-10-12,Council,WM,agenda-only/minutes-not-posted
2022-10-26,Council,WM,only candidate(s) >22MB (agenda packet)
2022-11-09,Council,RC,agenda-only/minutes-not-posted
2022-11-09,Council,WM,agenda-only/minutes-not-posted
2022-11-16,Council,RC,agenda-only/minutes-not-posted
2022-11-16,Council,WM,agenda-only/minutes-not-posted
2022-12-14,Council,RC,agenda-only/minutes-not-posted
2022-12-14,Council,WM,agenda-only/minutes-not-posted
2022-12-14,RDA,RC,1 agenda-only cand
2023-01-11,Council,RC,agenda-only/minutes-not-posted
2023-01-11,Council,WM,agenda-only/minutes-not-posted
2023-01-25,Council,RC,agenda-only/minutes-not-posted
2023-01-25,Council,WM,agenda-only/minutes-not-posted
2023-02-08,Council,RC,agenda-only/minutes-not-posted
2023-02-08,Council,WM,agenda-only/minutes-not-posted
2023-02-22,Council,RC,agenda-only/minutes-not-posted
2023-02-22,Council,WM,agenda-only/minutes-not-posted
2023-03-22,Council,RC,agenda-only/minutes-not-posted
2023-03-22,Council,WM,agenda-only/minutes-not-posted
2023-04-12,Council,WM,agenda-only/minutes-not-posted
2023-04-26,Council,WM,agenda-only/minutes-not-posted
2023-04-26,RDA,RC,1 agenda-only cand
2023-05-10,Council,WM,agenda-only/minutes-not-posted
2023-05-24,Council,WM,agenda-only/minutes-not-posted
2023-06-07,Council,WM,only candidate(s) >22MB (agenda packet)
2023-06-14,Council,WM,agenda-only/minutes-not-posted
2023-07-26,Council,WM,agenda-only/minutes-not-posted
2023-08-23,Council,WM,agenda-only/minutes-not-posted
2023-09-13,Council,WM,agenda-only/minutes-not-posted
2023-10-11,Council,WM,agenda-only/minutes-not-posted
2023-10-25,Council,WM,agenda-only/minutes-not-posted
2023-11-15,Council,WM,agenda-only/minutes-not-posted
2023-12-06,Council,BoC,agenda-only/minutes-not-posted
2023-12-13,Council,WM,agenda-only/minutes-not-posted
2024-01-24,Council,WM,agenda-only/minutes-not-posted
2024-03-13,Council,WM,agenda-only/minutes-not-posted
2024-03-27,Council,WM,agenda-only/minutes-not-posted
2024-04-10,Council,WM,agenda-only/minutes-not-posted
2024-04-24,Council,WM,agenda-only/minutes-not-posted
2024-05-22,Council,WM,agenda-only/minutes-not-posted
2024-06-05,Council,WM,agenda-only/minutes-not-posted
2024-06-12,Council,WM,agenda-only/minutes-not-posted
2024-07-10,Council,WM,agenda-only/minutes-not-posted
2024-07-31,Council,WM,agenda-only/minutes-not-posted
2024-08-21,Council,SM,agenda-only/minutes-not-posted
2024-08-28,Council,WM,agenda-only/minutes-not-posted
2024-09-11,Council,WM,agenda-only/minutes-not-posted
2024-09-25,Council,WM,agenda-only/minutes-not-posted
2024-10-09,Council,WM,agenda-only/minutes-not-posted
2024-11-13,Council,WM,agenda-only/minutes-not-posted
2025-01-08,Council,WM,agenda-only/minutes-not-posted
2025-01-22,Council,WM,only candidate(s) >22MB (agenda packet)
2025-02-12,Council,WM,agenda-only/minutes-not-posted
2025-02-12,RDA,RC,1 agenda-only cand
2025-02-26,Council,WM,agenda-only/minutes-not-posted
2025-03-12,Council,WM,agenda-only/minutes-not-posted
2025-03-26,Council,WM,agenda-only/minutes-not-posted
2025-04-02,Council,WM,agenda-only/minutes-not-posted
2025-04-23,Council,WM,only candidate(s) >22MB (agenda packet)
2025-05-14,Council,WM,agenda-only/minutes-not-posted
2025-05-28,Council,WM,agenda-only/minutes-not-posted
2025-06-11,Council,WM,agenda-only/minutes-not-posted
2025-07-09,Council,WM,agenda-only/minutes-not-posted
2025-07-23,Council,WM,agenda-only/minutes-not-posted
2025-08-13,Council,WM,agenda-only/minutes-not-posted
2025-10-15,Council,WM,agenda-only/minutes-not-posted
2025-10-29,Council,WM,only candidate(s) >22MB (agenda packet)
2025-11-12,Council,WM,agenda-only/minutes-not-posted
2025-11-18,Council,BoC,agenda-only/minutes-not-posted
2025-12-10,Council,WM,agenda-only/minutes-not-posted
2026-02-11,Council,WM,agenda-only/minutes-not-posted
2026-02-25,Council,WM,agenda-only/minutes-not-posted
2026-03-11,Council,WM,only candidate(s) >22MB (agenda packet)
2026-03-25,Council,WM,agenda-only/minutes-not-posted
2026-04-15,Council,WM,agenda-only/minutes-not-posted
2026-04-29,Council,WM,agenda-only/minutes-not-posted
2026-05-13,Council,WM,agenda-only/minutes-not-posted
2026-05-27,Council,WM,agenda-only/minutes-not-posted
2026-06-10,Council,WM,agenda-only/minutes-not-posted
2026-07-08,Council,WM,agenda-only/minutes-not-posted
